time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AB12,AB10,13.150867213809553,5.135659044411893
2019Q1,AB12,AB11,9.466570684067037,4.018771969997329
2019Q1,AB12,AB15,1.1351490027203386,1.9405101273067813
2019Q1,AB12,AB16,1.1844210103355142,3.251294302982488
2019Q1,AB12,AB21,0.9181363022667388,1.7477712476475398
2019Q1,AB12,AB23,0.3675015016121409,0.7717786260742685
2019Q1,AB12,AB24,2.6424714496959147,1.852627793074625
2019Q1,AB12,AB25,2.576341683882721,2.1375934035149093
2019Q1,AB12,AB31,0.7225199104531896,1.3719831625964771
2019Q1,AB12,AB32,1.0716172801050152,5.161595969917473
2019Q1,AB12,AB34,0.044315372971885515,1.4169554714264947
2019Q1,AB12,AB35,0.06542371856441803,1.071421936935835
2019Q1,AB12,AB38,0.00948847666623343,0.16886919182469218
2019Q1,AB12,AB39,3.641373181452394,22.046898617676824
2019Q1,AB12,AB42,0.19311997284865906,0.17520929681379502
2019Q1,AB12,AB43,0.0570595951141385,0.07963478902304429
2019Q1,AB12,AB44,0.0028407105561659685,N/A
2019Q1,AB12,AB45,0.020485127914991214,0.09138608550606014
2019Q1,AB12,AB51,0.5351237160076411,0.339143536223804
2019Q1,AB12,AB52,0.010653468487083493,0.6141649500345553
2019Q1,AB12,AB53,0.020007555005611192,0.07922288013381559
2019Q1,AB12,AB54,0.06766089316846989,0.21295359597810254
2019Q1,AB12,AB56,0.030456887963052563,0.09175194121331308
2019Q1,AB12,B1,0.0011803491108312867,0.0009073376295092492
2019Q1,AB12,B2,0.00695358131417011,0.002634936537867521
2019Q1,AB12,B26,0.006093074101900857,0.0057504097078961
2019Q1,AB12,B4,0.00236929165107445,0.0007147790224347442
2019Q1,AB12,B40,0.0020103635090583977,0.0030537406205978826
2019Q1,AB12,B5,0.002388086312820425,0.0005839007177622687
2019Q1,AB12,BD1,0.0008507495117757675,0.00026346287251157813
2019Q1,AB12,BL6,0.005204402617752679,0.00180170700971768
2019Q1,AB12,BS1,0.0031858892111230183,0.00038334540916144967
