time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,BB9,B1,0.0042416867000717095,0.004479793091867765
2019Q1,BB9,B10,0.0015507185292018804,0.0036263749229152337
2019Q1,BB9,B15,0.0007414830720051148,0.0020146919933322236
2019Q1,BB9,B2,0.006297945361305157,0.003278849128048188
2019Q1,BB9,B26,0.0009518019711229737,0.0012341554105981321
2019Q1,BB9,B40,0.004146897925315789,0.008654496804179755
2019Q1,BB9,B45,0.0008486198097560577,N/A
2019Q1,BB9,B5,0.010185576416545687,0.003421649530401809
2019Q1,BB9,B7,0.0017745959759221184,N/A
2019Q1,BB9,B78,0.0016350155706940535,0.0005793228374249222
2019Q1,BB9,B8,0.004635812695406345,0.01033856384997031
2019Q1,BB9,BB1,2.8044332800085403,1.1082618446734014
2019Q1,BB9,BB10,2.6824232997716297,7.922294659307443
2019Q1,BB9,BB11,7.6191737700188975,5.638306264783474
2019Q1,BB9,BB12,4.4056747910948095,5.766689650512452
2019Q1,BB9,BB18,0.7646404256648545,4.108661774083091
2019Q1,BB9,BB2,0.6243486809215076,0.3668745072821706
2019Q1,BB9,BB4,0.43408428605627625,0.4072194889848946
2019Q1,BB9,BB5,0.8699544668781433,0.5343956440482039
2019Q1,BB9,BB7,1.5362472815111958,1.188200315238584
2019Q1,BB9,BB9,30.277742359836193,42.695571643314025
2019Q1,BB9,BD13,0.005854669630911896,0.061388666410842126
2019Q1,BB9,BD15,0.00094865445114385,0.03103613644472548
2019Q1,BB9,BD16,0.01222424124815224,0.029230988329093637
2019Q1,BB9,BD19,0.0012646977393040706,0.004277607859375129
2019Q1,BB9,BD20,0.1325540107556938,0.4971030457258074
2019Q1,BB9,BD21,0.13739065943746034,0.08326115822391933
2019Q1,BB9,BD22,0.029266770644859514,0.7868220263865361
2019Q1,BB9,BD23,0.6860410813328394,0.5041071074043332
2019Q1,BB9,BD24,0.06447153949443721,0.3759548900441084
2019Q1,BB9,BD3,0.04535047667972115,0.14211982610769894
2019Q1,BB9,BD5,0.008430430499981744,0.0169481891372446
2019Q1,BB9,BD8,0.0204274450173334,0.0669317213303512
2019Q1,BB9,BD9,0.008773550530526478,0.05790794591270381
2019Q1,BB9,BH1,0.0016196814990008866,0.0010615573077970503
2019Q1,BB9,BL0,0.04100762545929478,0.10576714892360356
2019Q1,BB9,BL1,0.07483386126365676,0.025983946488247082
2019Q1,BB9,BL3,0.07469815472917223,0.042989093405335514
2019Q1,BB9,BL4,0.005727074013296648,0.0062963057659559405
2019Q1,BB9,BL5,0.007964557190251183,0.01455660288046521
2019Q1,BB9,BL6,0.049169467587724634,0.023386741228096617
2019Q1,BB9,BL7,0.005684017554095045,0.045051888159885436
2019Q1,BB9,BL8,0.0416926549357769,0.06896861670910229
2019Q1,BB9,BL9,0.5034545772228374,0.12438399992157965
2019Q1,BB9,BS1,0.0023697597217182237,0.00039176427847722567
2019Q1,BB9,CA1,0.008443706577842406,0.0067136038827711455
2019Q1,BB9,CA10,0.03197981180840345,0.08434232959945615
2019Q1,BB9,CA11,0.023445835971672584,0.0161375952585177
2019Q1,BB9,CA12,0.030719189703944143,0.06583628656627517
2019Q1,BB9,CA13,0.0036894583550164703,0.006724365428794246
2019Q1,BB9,CA14,0.005578938810176607,0.003143724004989916
2019Q1,BB9,CA28,0.002880182544999459,0.0027770462608859717
2019Q1,BB9,CA3,0.007332309202649761,0.002750378757942621
2019Q1,BB9,CA4,0.0029466032871230197,0.018827420049219338
2019Q1,BB9,CB1,0.0022625019255065448,0.0006233488619667027
2019Q1,BB9,CB2,0.0015175888637805907,0.0005398008483589688
2019Q1,BB9,CF10,0.003987867460729549,0.0008494541062421201
2019Q1,BB9,CH1,0.030851708365629307,0.005670448097926771
2019Q1,BB9,CH2,0.014188374420765953,0.02710285500244666
2019Q1,BB9,CH3,0.0036851406032502357,0.0037153587044349116
2019Q1,BB9,CH4,0.0034494801330184066,0.00201554466571402
2019Q1,BB9,CH41,0.002852742627232739,0.0020973950214985704
2019Q1,BB9,CH44,0.0019421408855800906,0.0024305850214070106
2019Q1,BB9,CH45,0.005052092389055583,0.016035399534784882
2019Q1,BB9,CH5,0.002597026805339057,0.003171349695514212
2019Q1,BB9,CH62,0.0021906335526498863,0.0012713978011046178
2019Q1,BB9,CH65,0.05837959528048368,0.016845365819205708
2019Q1,BB9,CH7,0.0016832775437072847,0.0012179788423451149
2019Q1,BB9,CH8,0.0007882519906692742,0.0012609565376290545
2019Q1,BB9,CM1,0.0014927315265095618,0.0003712765039285813
2019Q1,BB9,CM23,0.0015842517228256221,0.0007236995260671161
2019Q1,BB9,CM24,0.0022238035708914213,0.00255176860223288
2019Q1,BB9,CT16,0.0020522637320291768,0.0014831098935165182
2019Q1,BB9,CV1,0.001548337712807415,0.0005081089107017956
2019Q1,BB9,CV3,0.0011041742203687591,0.0004854446604374697
2019Q1,BB9,CV35,0.005361840637257557,0.010355374815208944
2019Q1,BB9,CV37,0.0021821998132186445,0.0011896856924714595
2019Q1,BB9,CV4,0.002628380946669559,0.0013725032333476894
2019Q1,BB9,CV6,0.0019203503626476952,0.0007835703050478744
2019Q1,BB9,CV7,0.004107311808655271,0.0063294676210628705
2019Q1,BB9,CW1,0.004689481946332429,0.0018652212733839273
2019Q1,BB9,CW12,0.002413663590144976,0.0023033685555561927
2019Q1,BB9,CW2,0.002781277782578532,0.003769440433469505
2019Q1,BB9,CW5,0.003853532922133357,0.0025170575709892663
2019Q1,BB9,CW6,0.003796675798407904,0.012287826666563341
2019Q1,BB9,CW7,0.0035754212850036006,0.0030197782768050787
2019Q1,BB9,CW8,0.002559579388151533,0.004754022255983162
2019Q1,BB9,DD1,0.0017137439229923926,0.0008627682245499214
2019Q1,BB9,DD2,0.0031837568117039205,0.0037150958054404225
2019Q1,BB9,DE14,0.0033101821975320576,0.0013932733679986856
2019Q1,BB9,DE4,0.0009989744179895847,0.0010128460028527343
2019Q1,BB9,DE45,0.0010574053017046,0.0037536947549859844
2019Q1,BB9,DE65,0.0006714709288797338,0.0012941551867090909
2019Q1,BB9,DG11,0.002527418190416128,0.02516519872352701
2019Q1,BB9,DG16,0.004756386922298931,0.01823898768855488
2019Q1,BB9,DH1,0.004048719513659275,0.001024129611238694
2019Q1,BB9,DL10,0.0027608189027142275,0.0072323961061177685
2019Q1,BB9,DL14,0.001479172978907183,0.0007548821238363078
2019Q1,BB9,DL7,0.0025249566683811717,0.0036557348478665225
2019Q1,BB9,DL9,0.0015104464145971946,0.003371837247672209
2019Q1,BB9,DN14,0.001215144476042994,0.0012526612140216346
2019Q1,BB9,DN15,0.0014644038466974482,0.0006482989808611754
2019Q1,BB9,DN22,0.0031013967055835154,0.002709795440462589
2019Q1,BB9,DN31,0.0014246966715761946,0.0007860278762397457
2019Q1,BB9,DN4,0.001923901410829271,0.0007870351072395537
2019Q1,BB9,DN9,0.001272526186431635,0.005847393057874833
2019Q1,BB9,E1,0.008172656684255557,0.001847335247459334
2019Q1,BB9,E15,0.007241192534536153,0.002490089733675952
2019Q1,BB9,E16,0.003295251654041343,0.0030010179314644623
2019Q1,BB9,E17,0.0017219355455021636,0.0008785497844339344
2019Q1,BB9,E20,0.004863523660049875,0.0018153073343305066
2019Q1,BB9,E4,0.0020832950507977174,0.0006531762009968495
2019Q1,BB9,E6,0.001504393491560418,0.0005704376368768885
2019Q1,BB9,E7,0.0013992340420014885,0.0029257073368299962
2019Q1,BB9,EC1V,0.0026560629813577497,0.002147791326115728
