time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,BL9,AB10,0.0016399512219367528,0.0017410813893168405
2019Q1,BL9,AB11,0.0011258146041461703,0.001299313385273093
2019Q1,BL9,AB15,0.0006372512408361477,0.002961556915643029
2019Q1,BL9,AB21,0.0007938517361760342,0.004108309767590715
2019Q1,BL9,AB24,0.0009346269958883976,0.0017814044970714219
2019Q1,BL9,AL1,0.002981323481473287,0.002837637200166394
2019Q1,BL9,AL10,0.0008628832085976407,0.0012710634598015553
2019Q1,BL9,AL3,0.0009771063332751646,0.0032262266725986287
2019Q1,BL9,B1,0.005724309941324324,0.011962664909116896
2019Q1,BL9,B10,0.0014192340502915395,0.0065671838978490155
2019Q1,BL9,B11,0.0016683387580108669,0.005852884847541983
2019Q1,BL9,B14,0.0005705853964207174,0.0009980231782259817
2019Q1,BL9,B15,0.0015419000197497265,0.008289895631666001
2019Q1,BL9,B17,0.000395692070722727,0.0014088707996387387
2019Q1,BL9,B19,0.0005615511446385101,0.003261439034004587
2019Q1,BL9,B2,0.007825497444430788,0.008061575543388148
2019Q1,BL9,B21,0.0006027457012977847,0.003437893477833702
2019Q1,BL9,B24,0.0015264622576749386,0.002256963812982419
2019Q1,BL9,B26,0.002524961209730093,0.006478334839207468
2019Q1,BL9,B27,0.00045430254391022986,0.0021004309761524453
2019Q1,BL9,B29,0.0008975722882399313,0.0011377097357545178
2019Q1,BL9,B3,0.002522391648275109,0.00973610353054184
2019Q1,BL9,B31,0.000881481939128957,0.001195414016482066
2019Q1,BL9,B32,0.003044094197016479,0.020168551798670983
2019Q1,BL9,B40,0.00625771827002729,0.025841630489260668
2019Q1,BL9,B43,0.001823328179105168,N/A
2019Q1,BL9,B45,0.0010605355071826364,N/A
2019Q1,BL9,B48,0.000648202467037153,0.008815211110064744
2019Q1,BL9,B61,0.0004691692923283543,0.0009401479663764607
2019Q1,BL9,B69,0.002368523861149253,0.002705784422849959
2019Q1,BL9,B7,0.0015859700380371985,N/A
2019Q1,BL9,B70,0.0009146619112500661,0.0021435765119827282
2019Q1,BL9,B72,0.0010087771978750922,0.0033667882889498947
2019Q1,BL9,B76,0.0014460512988098296,N/A
2019Q1,BL9,B78,0.005366345558631132,0.003762381412845376
2019Q1,BL9,B8,0.0018684994380162047,0.008245419087636267
2019Q1,BL9,B91,0.0018100928982775102,0.0023522069850559213
2019Q1,BL9,B97,0.0012022896474492796,0.0015896641937245034
2019Q1,BL9,BA1,0.009474482918149748,0.004441891317923278
2019Q1,BL9,BA12,0.0014749486685059644,0.0031255167231082326
2019Q1,BL9,BA16,0.0012495614208830415,0.003826530960119807
2019Q1,BL9,BA2,0.0010808472786839425,0.0011384928897532785
2019Q1,BL9,BA6,0.0012297594830037565,0.003891586263879929
2019Q1,BL9,BB1,0.34957217458786904,0.27335029976358904
2019Q1,BL9,BB10,0.022766824324784395,0.13304898446280894
2019Q1,BL9,BB11,0.17081457514844506,0.2501215653052327
2019Q1,BL9,BB18,0.008807396213752948,0.09364316843471786
2019Q1,BL9,BB2,0.10903840224840132,0.1267813129145357
2019Q1,BL9,BB3,0.04099694514737954,0.14124360522020646
2019Q1,BL9,BB4,1.4157218676494734,2.6279546070666946
2019Q1,BL9,BB5,0.1979668659297824,0.24062698182375056
2019Q1,BL9,BB6,0.022385672708961697,0.5193224896549941
2019Q1,BL9,BB7,0.15012254933849128,0.2297523148199971
2019Q1,BL9,BB9,0.06250052411686588,0.17439275224424766
2019Q1,BL9,BD1,0.027616117017306985,0.0232501993129763
2019Q1,BL9,BD10,0.0029355812089055873,0.00770124724702667
2019Q1,BL9,BD15,0.0005693617957278676,0.03685813490153945
2019Q1,BL9,BD16,0.0010534386231641078,0.004984438633919141
2019Q1,BL9,BD18,0.0017419383396857792,0.011671662710933565
2019Q1,BL9,BD19,0.0055447057529588615,0.037108906725049774
2019Q1,BL9,BD20,0.0017019265970295925,0.012629315286497042
2019Q1,BL9,BD21,0.004307217192245272,0.0051649656860223575
2019Q1,BL9,BD23,0.04551933252146245,0.06618415247945733
2019Q1,BL9,BD24,0.00601099958365902,0.0693585210860959
2019Q1,BL9,BD3,0.0105506397275111,0.06542399101267235
2019Q1,BL9,BD5,0.008594856773404947,0.03418988361294042
2019Q1,BL9,BD7,0.010997763814023278,0.04413090573837486
2019Q1,BL9,BD8,0.004721059339911937,0.03060855533053015
2019Q1,BL9,BH1,0.0014988292753614154,0.0019437992897965023
2019Q1,BL9,BH12,0.0009286313524934338,0.0006819944589831322
2019Q1,BL9,BH15,0.0011389887049391859,0.0009547270516046383
2019Q1,BL9,BH2,0.0011318510342308958,0.0028462830365330372
2019Q1,BL9,BH22,0.0005599808570826861,0.0010036889767926153
2019Q1,BL9,BL0,2.547158447932356,12.999527459671679
