time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,DA2,AL1,0.011976829931446723,0.003417175844032077
2019Q1,DA2,AL10,0.0036011175290901884,0.0015901210559102793
2019Q1,DA2,AL3,0.005522330364589914,0.005465792116854475
2019Q1,DA2,B1,0.008577902365072724,0.005373578191260342
2019Q1,DA2,B2,0.0073636740829197845,0.002273946324586139
2019Q1,DA2,B40,0.006391026069140053,0.007911378654207175
2019Q1,DA2,B5,0.004805073037228949,0.0009574431837198553
2019Q1,DA2,B78,0.0019459083121033504,0.000408963204473692
2019Q1,DA2,B79,0.001248380153378893,0.0007298066587309969
2019Q1,DA2,BA11,0.0029903977123663557,0.0012396127415841027
2019Q1,DA2,BA12,0.0020944893614210343,0.0013304567349372027
2019Q1,DA2,BA16,0.0030170661058336323,0.002769555840572409
2019Q1,DA2,BA22,0.0016706523938161025,0.001733045265552341
2019Q1,DA2,BH1,0.00435524799231662,0.001693128101314255
2019Q1,DA2,BH12,0.006482052371331932,0.0014270122991020915
2019Q1,DA2,BH15,0.00478513977374448,0.0012023533442322512
2019Q1,DA2,BH2,0.005783163580287715,0.004359452660070339
2019Q1,DA2,BH21,0.001693102827092126,0.0009707441751338332
2019Q1,DA2,BH22,0.00424238354139261,0.002279363447460239
2019Q1,DA2,BH23,0.005502329069489454,0.001317987811297152
2019Q1,DA2,BH24,0.008041064883311806,0.005192847342827382
2019Q1,DA2,BH8,0.005292519565782615,0.001331109032157494
2019Q1,DA2,BL9,0.01271987124126712,0.0018640177598355145
2019Q1,DA2,BN1,0.07563510151722788,0.006778300843876111
2019Q1,DA2,BN10,0.001996932024094313,0.003952464358969413
2019Q1,DA2,BN11,0.002519482866497761,0.0009398851625041003
2019Q1,DA2,BN2,0.024846030569807397,0.005821149136890732
2019Q1,DA2,BN21,0.011964788335416856,0.004662977888830229
2019Q1,DA2,BN22,0.00383841180565616,0.002519819498443937
2019Q1,DA2,BN23,0.009527351597800562,0.0026194099398804717
2019Q1,DA2,BN26,0.006806223021514516,0.012215022887249741
2019Q1,DA2,BN27,0.0032370123203226764,0.0023905766962489913
2019Q1,DA2,BN3,0.009126713411247522,0.0019052500386467703
2019Q1,DA2,BN7,0.003849500959062196,0.0018736526780282231
2019Q1,DA2,BN9,0.0019356355380891696,0.004235176807862185
2019Q1,DA2,BR1,0.27286569549112744,0.04830862174060637
2019Q1,DA2,BR2,0.07464558166268315,0.0540038425667376
2019Q1,DA2,BR3,0.10242792481014648,0.03659459840663287
2019Q1,DA2,BR4,0.019173146239036147,0.017073979973945143
2019Q1,DA2,BR5,0.5833377035732261,0.2370809336295265
2019Q1,DA2,BR6,0.4197130271069745,0.1306942897497985
2019Q1,DA2,BR7,0.1967151184195588,0.2572464408056276
2019Q1,DA2,BR8,2.6462403938807517,6.185078618989596
2019Q1,DA2,BS1,0.015252892399346485,0.0014956701721116615
2019Q1,DA2,BT1,0.0016786801245026804,0.0003154867069656145
2019Q1,DA2,BT29,0.0010952409857900164,0.0033700416663574144
2019Q1,DA2,CB1,0.00925066701557757,0.0015117443970675676
2019Q1,DA2,CB4,0.0014571011512299256,0.0011162624246006637
2019Q1,DA2,CF10,0.007635052199095717,0.0009646601106535859
2019Q1,DA2,CF23,0.0026592198057370127,0.0007862196330556485
2019Q1,DA2,CH1,0.0016452085694366088,0.00017935861056932005
2019Q1,DA2,CM1,0.03751705511079517,0.005534872330205856
2019Q1,DA2,CM11,0.002070950422289204,0.0057140953865631615
2019Q1,DA2,CM12,0.008557288785428375,0.006875312302140865
2019Q1,DA2,CM13,0.017080289636398824,0.0230097068887834
2019Q1,DA2,CM14,0.038852175574558695,0.01711809186056369
2019Q1,DA2,CM15,0.010298421933407995,0.0134527049201915
2019Q1,DA2,CM16,0.009566333713761659,0.00645120166334639
