time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,DN9,B2,0.011809969312127178,0.0010762268897153405
2019Q1,DN9,B26,0.01512763286274056,0.0034334185732835393
2019Q1,DN9,B4,0.01212649714584215,0.0008797962175989229
2019Q1,DN9,B40,0.031252570465940675,0.011416598921450909
2019Q1,DN9,B5,0.024747958063706187,0.0014551970597358448
2019Q1,DN9,B77,0.008995799416891439,0.0014424645222882347
2019Q1,DN9,B78,0.00955854118098339,0.0005928200672617634
2019Q1,DN9,BB1,0.007284520385816244,0.0005038842188817552
2019Q1,DN9,BD1,0.03555532027544996,0.0026479864386911487
2019Q1,DN9,BD23,0.03228653065109118,0.004152662181705719
2019Q1,DN9,BD7,0.007997572526879906,0.002838858428373212
2019Q1,DN9,BL1,0.008016707130083362,0.00048723166067973664
2019Q1,DN9,BS1,0.008484236952934028,0.0002455081050389752
2019Q1,DN9,CA1,0.006244105153801918,0.0008690110786049813
2019Q1,DN9,CA10,0.02045189383844871,0.009441385768021846
2019Q1,DN9,CA11,0.031710187181107616,0.003820361209343297
2019Q1,DN9,CA12,0.021107311632514017,0.007918100647144497
2019Q1,DN9,CA3,0.008821974226344396,0.0005792286614578041
2019Q1,DN9,CA4,0.0029695520947433077,0.003321181545774425
2019Q1,DN9,CB23,0.008633855717741761,0.002116076212206697
2019Q1,DN9,CF10,0.014966256691145163,0.0005580137730648337
2019Q1,DN9,CH1,0.031045547891522574,0.000998780409830379
2019Q1,DN9,CH2,0.009789309106364807,0.003273157982665049
2019Q1,DN9,CM24,0.009446038935642598,0.001897261186156345
2019Q1,DN9,CV34,0.00674367967358367,0.0006576274578076481
2019Q1,DN9,CV35,0.003836833748374573,0.0012970521174159161
2019Q1,DN9,DE1,0.18771990945879424,0.010940794999991413
2019Q1,DN9,DE14,0.005166573402320649,0.0003806445057383007
2019Q1,DN9,DE21,0.3166751471059004,0.013353118127681349
2019Q1,DN9,DE22,0.036854398456792906,0.0050031555232345
2019Q1,DN9,DE4,0.0075102164886618064,0.0013328277684170914
2019Q1,DN9,DE45,0.019488478094024188,0.012109547630618993
2019Q1,DN9,DE55,0.04007246985579313,0.004711740491826036
2019Q1,DN9,DE65,0.003478348110044797,0.001173450327948724
2019Q1,DN9,DE74,0.0224965299325624,0.007771400823134865
2019Q1,DN9,DH1,0.03221275868693329,0.001426256629910114
2019Q1,DN9,DH3,0.13087884161252333,0.031967631822274016
2019Q1,DN9,DH4,0.023873068676271137,0.010835635835318
2019Q1,DN9,DH6,0.012514722107223078,0.012167835245076544
2019Q1,DN9,DL6,0.008086098883869384,0.003864138877708714
