time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,DT2,B2,0.005791555203136246,0.0008613722711255302
2019Q1,DT2,B37,0.0014424858353315126,0.0004711702280688
2019Q1,DT2,B4,0.0036261314021538635,0.0004293691888363709
2019Q1,DT2,B40,0.011506126976948592,0.0068599473189388535
2019Q1,DT2,B45,0.00400003073687013,N/A
2019Q1,DT2,B48,0.003210844645801078,0.006304186369132662
2019Q1,DT2,BA1,0.17015499066763082,0.01151714449014788
2019Q1,DT2,BA10,0.007375860053222245,0.04523875274392653
2019Q1,DT2,BA11,0.027903173660943168,0.0055708404167754575
2019Q1,DT2,BA12,0.06862585397930031,0.02099521833581531
2019Q1,DT2,BA14,0.02807493852343466,0.0036758615134411454
2019Q1,DT2,BA16,0.1886386414213,0.08339998949633146
2019Q1,DT2,BA2,0.026634288990087025,0.004050371043779606
2019Q1,DT2,BA20,3.0463642520256107,0.3894971184557967
2019Q1,DT2,BA21,0.7661475638713857,0.3096399689933013
2019Q1,DT2,BA22,1.0537196584998123,0.5264521787168359
2019Q1,DT2,BA3,0.02040654143878159,0.008999993259988296
2019Q1,DT2,BA4,0.04370893110613069,0.030843590608523926
2019Q1,DT2,BA5,0.04487286405590856,0.01506487721441715
2019Q1,DT2,BA6,0.02724789636069808,0.012448790924056222
2019Q1,DT2,BA7,0.002049736775998392,0.011086202701609274
2019Q1,DT2,BH1,0.2353513388110504,0.04406600077949101
2019Q1,DT2,BH10,0.01949997327474344,0.04299545958740274
2019Q1,DT2,BH11,0.2951046053662733,0.13048199773670327
2019Q1,DT2,BH12,1.606544162158687,0.17034048716545228
2019Q1,DT2,BH13,0.02289642567491443,0.062096177460695776
2019Q1,DT2,BH14,0.20535110828452444,0.08298674102610874
2019Q1,DT2,BH15,2.4261892767422357,0.29361091910422626
2019Q1,DT2,BH16,0.20158711297958132,0.28364795745972904
2019Q1,DT2,BH18,0.01550149633185966,0.042261336972758606
2019Q1,DT2,BH19,0.11696410238677447,0.12184947854853513
2019Q1,DT2,BH2,0.16169514742792854,0.05870478635188206
2019Q1,DT2,BH20,4.275487193516962,2.8603317117877216
2019Q1,DT2,BH21,0.4129231531915437,0.11402517027407705
2019Q1,DT2,BH22,0.22420117191097566,0.058016505253096436
2019Q1,DT2,BH23,0.20576215742091444,0.023737794989255042
2019Q1,DT2,BH24,0.15232887727818686,0.04737882285267201
2019Q1,DT2,BH4,0.018204532852120512,0.022111109997074524
2019Q1,DT2,BH5,0.004117695317836753,0.011351368394395607
2019Q1,DT2,BH7,0.0430881197815829,N/A
2019Q1,DT2,BH8,0.21281666462695892,0.02577904511170708
2019Q1,DT2,BH9,0.030008423258454018,0.015473640788956702
2019Q1,DT2,BN1,0.04935584221453725,0.0021303259095099675
2019Q1,DT2,BN2,0.01831612351114048,0.0020667850440218376
2019Q1,DT2,BN3,0.009694261934861115,0.0009746806666392939
2019Q1,DT2,BS1,0.09061203888620883,0.004279367310056978
2019Q1,DT2,BS10,0.011479006209186777,0.0016921133388487644
2019Q1,DT2,BS15,0.004486509508597679,0.0016720550626588948
2019Q1,DT2,BS16,0.01353580568512314,0.0023032073055843675
2019Q1,DT2,BS20,0.012457472658593493,0.003621879798367267
2019Q1,DT2,BS26,0.018509923997438445,0.08657180927107311
2019Q1,DT2,BS3,0.007066372541940291,0.000895684683331665
2019Q1,DT2,BS32,0.005461162100037891,0.003968143222352822
2019Q1,DT2,BS34,0.05057585300182263,0.0037041280560766547
2019Q1,DT2,BS4,0.003281330391182044,0.0004997889793252061
2019Q1,DT2,BS48,0.03809606221142515,0.012250936726473058
2019Q1,DT2,BS8,0.014017764328890387,0.002601406351301756
2019Q1,DT2,CF10,0.029411342605697825,0.0017897286737698886
2019Q1,DT2,CF11,0.003919657211576002,0.00027819349222572175
2019Q1,DT2,CF23,0.00683245591999464,0.0009729186361773873
2019Q1,DT2,CF24,0.003192905387958628,0.0005728450791426554
2019Q1,DT2,CF32,0.017712262666443827,0.0038303003227621157
2019Q1,DT2,CF48,0.007438859336668963,0.0012949020215654418
2019Q1,DT2,CF5,0.005985496943432972,0.0008748348431033992
2019Q1,DT2,CH8,0.004371811261605005,0.001997880866162549
2019Q1,DT2,CM24,0.004522670532280099,0.0014825623238725494
2019Q1,DT2,CR0,0.005050254217646648,0.00016577910646121497
2019Q1,DT2,CV34,0.004698107998739337,0.0007477331206988368
2019Q1,DT2,CV35,0.0029721253878976068,0.001639804939166514
2019Q1,DT2,DT1,31.57418611988487,5.507789513500957
2019Q1,DT2,DT10,0.31712878759884816,0.5032362445111432
2019Q1,DT2,DT11,1.267264204982379,0.5107674643341925
2019Q1,DT2,DT2,14.357527515996454,14.335919265053635
2019Q1,DT2,DT3,5.781343245295933,1.7828701705786452
2019Q1,DT2,DT4,5.186560088829555,1.0056637501481125
2019Q1,DT2,DT5,0.2521946068771261,1.0041392020826727
2019Q1,DT2,DT6,2.242041664957493,0.739933741753539
2019Q1,DT2,DT7,0.057340930764409014,0.12385490194823315
2019Q1,DT2,DT8,0.4439647081969244,2.8442594080152266
2019Q1,DT2,DT9,0.8724855516934829,0.43671781244244057
2019Q1,DT2,E1,0.009644681781296549,0.0006227926892869
2019Q1,DT2,E14,0.007901748690603682,0.0005660153724853182
2019Q1,DT2,E16,0.0038467701482161267,0.0010008048067935943
2019Q1,DT2,EC1V,0.0035781050425756507,0.0008265705790224625
2019Q1,DT2,EC2M,0.007308481895813989,0.0011222821114650423
2019Q1,DT2,EC4M,0.0030355484333405994,0.0010716408254614483
2019Q1,DT2,EH1,0.011711510291144832,0.0010499828879999074
2019Q1,DT2,EH12,0.007581243367418488,0.0009370197031976699
2019Q1,DT2,EN6,0.0028971195145563373,0.0015945313709540187
2019Q1,DT2,EX1,0.0674017468260509,0.01129114452369015
2019Q1,DT2,EX10,0.01212397196752243,0.007945733091571212
2019Q1,DT2,EX14,0.21630168328435206,0.07480377480715605
2019Q1,DT2,EX15,0.016268646799122242,0.0065343697380566895
2019Q1,DT2,EX16,0.022896990690909468,0.0056373822076451
2019Q1,DT2,EX2,0.21580588174870646,0.015010120176997398
2019Q1,DT2,EX20,0.030662570526709038,0.014668191234886687
2019Q1,DT2,EX23,0.013401896894299182,0.006602435413499487
2019Q1,DT2,EX3,0.009731270482536093,0.009689014217441358
2019Q1,DT2,EX31,0.02774129657836484,0.003834704485673421
2019Q1,DT2,EX32,0.005297448715475686,0.0025499554099469948
2019Q1,DT2,EX39,0.025291669731878443,0.006516225544995955
2019Q1,DT2,EX4,0.10534624349680716,0.009723905525025202
2019Q1,DT2,EX5,0.01933399982620108,0.015095466367823916
2019Q1,DT2,EX6,0.01762849904517947,0.02778438649212311
2019Q1,DT2,EX7,0.013247788781652621,0.03625745119964605
2019Q1,DT2,EX8,0.021740967965062124,0.005028524844274109
2019Q1,DT2,GL1,0.015058665045748782,0.0012647414482175165
2019Q1,DT2,GL11,0.00940469123740424,0.0060577637195119065
2019Q1,DT2,GL4,0.04249372295480313,0.008067898545194255
2019Q1,DT2,GL51,0.002685803532412199,0.00026412896762656067
2019Q1,DT2,GL54,0.007296192797921917,0.0033068830523593448
2019Q1,DT2,GL7,0.008926263943605978,0.0011099409891588735
2019Q1,DT2,GU14,0.004324632426019349,0.00037549193112934484
2019Q1,DT2,GU21,0.010148817302869028,0.0011860767561582806
2019Q1,DT2,GU51,0.0753686136100827,0.019178331543468173
2019Q1,DT2,GU9,0.007659639336729981,0.001321817913214932
2019Q1,DT2,HA9,0.007934723024074091,0.0010467384444305733
2019Q1,DT2,KT1,0.01071679963188078,0.0011169563333724233
2019Q1,DT2,KT11,0.01714555162342091,0.004648052632139493
2019Q1,DT2,L1,0.013699377815686585,0.000857544312022754
2019Q1,DT2,L3,0.008663390251914644,0.0007612769601610445
2019Q1,DT2,LS1,0.011409650495795886,0.0005898086588977742
2019Q1,DT2,M1,0.011813213170251635,0.000575430319842916
2019Q1,DT2,MK9,0.010142037110928571,0.0006734902781419037
2019Q1,DT2,N1,0.012515104290087349,0.0009758434947723672
2019Q1,DT2,N1C,0.0036632812038275993,0.001000859506204724
2019Q1,DT2,NN4,0.006146809010016265,0.001657991297182497
2019Q1,DT2,NP20,0.006310946156574747,0.0005782897678984339
2019Q1,DT2,NP7,0.005880262714357181,0.001431602239325504
2019Q1,DT2,NR1,0.0029673227519397853,0.000210571180392964
2019Q1,DT2,NW1,0.012028060502364765,0.0008359573059066834
2019Q1,DT2,NW3,0.0062828366108216155,0.000928311531429948
2019Q1,DT2,OX1,0.013911117559827,0.0012826389900305215
2019Q1,DT2,OX14,0.003914854575618181,0.0006951606374291403
2019Q1,DT2,OX2,0.0036169498922344993,0.0005465095562517677
2019Q1,DT2,OX26,0.011945709421088002,0.0009153258186296351
2019Q1,DT2,OX4,0.009401442395432771,0.000906796391959835
2019Q1,DT2,PL1,0.07825895293269858,0.006310225235705089
2019Q1,DT2,PL13,0.01069363397608423,0.02506310685377928
2019Q1,DT2,PL15,0.028657046252322363,0.008962091402088826
2019Q1,DT2,PL19,0.017727235590312328,0.007693751455253266
2019Q1,DT2,PL25,0.04522416275082332,0.007582331543337828
2019Q1,DT2,PL26,0.003716392707361153,0.004284762487741179
2019Q1,DT2,PL27,0.036369938346584654,0.013076937235546987
2019Q1,DT2,PL28,0.005419633424402612,0.01074468493820018
2019Q1,DT2,PL4,0.03779759251204642,0.0082317753287574
2019Q1,DT2,PL6,0.031130545024599107,0.0037529429874503853
2019Q1,DT2,PL9,0.02093709145812209,0.01688942965570951
2019Q1,DT2,PO1,0.045855285617280535,0.0036313134149217772
2019Q1,DT2,PO16,0.01655383862261757,0.002837025401099899
2019Q1,DT2,PO19,0.019398976665630428,0.001695344793591686
2019Q1,DT2,PO3,0.006122937084225918,0.0010741780032182194
2019Q1,DT2,PO5,0.0034898212933509943,0.0015042964352599815
2019Q1,DT2,PO9,0.007192088600836201,0.0008975864257465395
2019Q1,DT2,PR7,0.002914635010402509,0.00032935147374967325
2019Q1,DT2,RG1,0.020781288297490416,0.0011514528678940859
2019Q1,DT2,RG21,0.004647115305187174,0.0004898808115727522
2019Q1,DT2,RG27,0.004835689393531043,0.0025000262424615944
2019Q1,DT2,RH10,0.008100634320856991,0.00047662870022966905
2019Q1,DT2,RH6,0.057866536893792925,0.006770247077856322
2019Q1,DT2,S26,0.003144737774381655,0.003704239717576371
2019Q1,DT2,SA14,0.012538976215877694,0.0019189476649676426
2019Q1,DT2,SA31,0.0049044800909268955,0.0007008077840405733
2019Q1,DT2,SE1,0.09862481321983743,0.004128618949295961
2019Q1,DT2,SE10,0.013678613477868943,0.002137019968026227
2019Q1,DT2,SL1,0.00488498703909809,0.0003167898858603332
2019Q1,DT2,SL4,0.015239328910162116,0.0022381943296345247
2019Q1,DT2,SN1,0.00434765682781714,0.0003906667937924346
2019Q1,DT2,SN14,0.013629457086300657,0.002396074242959813
2019Q1,DT2,SN15,0.005172862688569851,0.0015503644994953598
2019Q1,DT2,SN8,0.007304668037847484,0.00296311260903852
2019Q1,DT2,SO14,0.07198402654580749,0.010340114299913623
2019Q1,DT2,SO15,0.292554546926669,0.017922861728006986
2019Q1,DT2,SO17,0.006861836751736605,0.00266362735698211
2019Q1,DT2,SO19,0.0027526166738254193,0.0011792284505340938
2019Q1,DT2,SO21,0.037060670400518365,0.019686407087963133
2019Q1,DT2,SO23,0.031170237398250505,0.004245560118946732
2019Q1,DT2,SO30,0.050187404505234144,0.005523133648120565
2019Q1,DT2,SO31,0.008855354436228736,0.0025303546434330155
2019Q1,DT2,SO40,0.02406869261061912,0.005530840185010699
2019Q1,DT2,SO42,0.0228481168073387,0.039326567147468336
2019Q1,DT2,SO50,0.012999746759831024,0.0021549829736090377
2019Q1,DT2,SP1,0.09386243465166257,0.0117634581041687
2019Q1,DT2,SP2,0.03589405362476406,0.0068417511411112296
2019Q1,DT2,SP3,0.017591490497504497,0.0666370695728772
2019Q1,DT2,SP4,0.03193131394356643,0.008889987551984248
2019Q1,DT2,SP5,0.012812020195479714,0.0223788229924886
2019Q1,DT2,SP8,0.08902081259018363,0.041515326614693634
2019Q1,DT2,ST16,0.002887796750638214,0.00031702886089691296
2019Q1,DT2,SW11,0.018759378559247638,0.0024399260359545703
2019Q1,DT2,SW15,0.007957120258117387,0.001570813764934056
2019Q1,DT2,SW18,0.00703826299618716,0.0009268977456881924
2019Q1,DT2,SW19,0.006051180052856117,0.00044112126840714237
2019Q1,DT2,SW1E,0.0029403432381767303,0.0010861732517667617
2019Q1,DT2,SW1P,0.004715482240586749,0.002321961842836581
2019Q1,DT2,SW1V,0.0035502780048200385,0.0008783049988167247
2019Q1,DT2,SW1W,0.005195604582370123,0.0015576197402642474
2019Q1,DT2,SW1X,0.008665509061896033,N/A
2019Q1,DT2,SW3,0.037968792358542884,0.004406104723791503
2019Q1,DT2,SW6,0.008686132145714913,0.0010287804911640556
2019Q1,DT2,SW7,0.016117646274448384,0.00264064225932585
2019Q1,DT2,SW9,0.00650813673884294,0.001158833516954437
2019Q1,DT2,SY3,0.004229568484854238,0.0007320582132808553
2019Q1,DT2,TA1,0.14432231812050367,0.009871237551084528
2019Q1,DT2,TA10,0.006195541639588275,0.02435996200621252
2019Q1,DT2,TA11,0.008228186681736773,0.03739564195011028
2019Q1,DT2,TA19,0.1343774715918433,0.3036039161425915
2019Q1,DT2,TA21,0.011170507475896136,0.0052866839742631705
2019Q1,DT2,TA24,0.011155958314023913,0.0044801825737082095
2019Q1,DT2,TA9,0.005089805337299294,0.00570122282092173
2019Q1,DT2,TF3,0.00897485531917923,0.0008177940752175925
2019Q1,DT2,TQ1,0.01762468518721296,0.006039682165439946
2019Q1,DT2,TQ13,0.026111931702674573,0.03624600905034952
2019Q1,DT2,TQ2,0.062083816280755086,0.00807341287561825
2019Q1,DT2,TQ4,0.030588977193355377,0.00660573327224915
2019Q1,DT2,TQ6,0.011255542383149323,0.010125148708475735
2019Q1,DT2,TR1,0.04450475613514143,0.004931229107948431
2019Q1,DT2,TR11,0.016748627886906852,0.006871616884876727
2019Q1,DT2,TR13,0.02434201909821865,0.008378981357937791
2019Q1,DT2,TR15,0.029616725919894064,0.005835420193462255
2019Q1,DT2,TR27,0.009637901589356094,0.0044362196907249615
2019Q1,DT2,TR3,0.015901103894350146,0.025293448240827656
2019Q1,DT2,TR4,0.005520912541513138,0.003345281447309686
2019Q1,DT2,TR7,0.01869835683178355,0.007349894427678656
2019Q1,DT2,TR9,0.008021532081551697,0.012015998518706772
2019Q1,DT2,TW1,0.008409556816143908,0.0024080433926064798
2019Q1,DT2,TW6,0.04332683903948637,0.004111333352698797
2019Q1,DT2,TW9,0.00970330219078172,0.0011860682864514866
2019Q1,DT2,UB7,0.003491233833338588,0.0009333094907519028
2019Q1,DT2,UB8,0.003234857825590185,0.00042618841711009785
2019Q1,DT2,UNKNOWN,16.889844249950865,0.008009475816477301
2019Q1,DT2,W11,0.014197580669311169,0.003367333979018141
2019Q1,DT2,W12,0.01021224034831202,0.0007585584769668585
2019Q1,DT2,W1B,0.008979234193140773,0.0009024245059325998
2019Q1,DT2,W1C,0.010927833106027398,0.0014878492780678368
2019Q1,DT2,W1D,0.022084921452041387,0.0017839381113082622
2019Q1,DT2,W1F,0.020644130664694987,0.0030298316461032505
2019Q1,DT2,W1J,0.01371350321556253,0.002130642542607845
2019Q1,DT2,W1T,0.0077614834698355485,0.0011503015876543838
2019Q1,DT2,W2,0.010243598736036618,0.0012280838270493743
2019Q1,DT2,W5,0.005243913449945855,0.0006988282137518097
2019Q1,DT2,W6,0.011755581538757779,0.0016168678020010347
2019Q1,DT2,W8,0.012162958071180036,0.0019281656622663558
2019Q1,DT2,WC2B,0.008439361409882155,0.002597342925580164
2019Q1,DT2,WC2E,0.024560680288298282,0.0035355510037989616
2019Q1,DT2,WC2H,0.0170856599279469,0.002351865622275935
2019Q1,DT2,WC2N,0.00949721260659168,0.0023826615765310736
2019Q2,DT2,B2,0.005088534051310459,0.0007568126312779225
2019Q2,DT2,B26,0.007535477071820427,0.002791304052621298
2019Q2,DT2,B4,0.010100367181294536,0.0011959816075628026
2019Q2,DT2,B40,0.006393579745849026,0.0038118491412294743
2019Q2,DT2,B45,0.003469339463530873,N/A
2019Q2,DT2,B5,0.0051978646463502745,0.000498824780893717
2019Q2,DT2,B78,0.009165830725502007,0.0009277772742402336
2019Q2,DT2,BA1,0.24724280669661475,0.016734925715089884
2019Q2,DT2,BA10,0.017465774438608583,0.10712375853229847
2019Q2,DT2,BA11,0.03368371105217618,0.006724918863946407
2019Q2,DT2,BA12,0.12042185902240707,0.03684155571080859
2019Q2,DT2,BA15,0.005720928203756521,0.007126076551811815
2019Q2,DT2,BA16,0.3132133680072349,0.1384763556665673
2019Q2,DT2,BA2,0.04678826827908671,0.007115258345989191
2019Q2,DT2,BA20,3.2062993746289967,0.40994584495082176
2019Q2,DT2,BA21,1.0513054864070148,0.4248870760205173
2019Q2,DT2,BA22,0.7488642895991743,0.3741424330869985
2019Q2,DT2,BA3,0.0117304383269786,0.005173530565982045
2019Q2,DT2,BA4,0.08328618274854742,0.05877162536428612
2019Q2,DT2,BA5,0.06250475319705825,0.020984317628086484
2019Q2,DT2,BA6,0.029733401722869375,0.013584347819337162
2019Q2,DT2,BA8,0.024873699149549226,0.4056415438750515
2019Q2,DT2,BD1,0.002702188996268296,0.0003284486641346686
2019Q2,DT2,BH1,0.2900840144883662,0.054313871648823765
2019Q2,DT2,BH10,0.02238268488142631,0.0493515457543414
2019Q2,DT2,BH11,0.5238109323136829,0.23160565996516194
2019Q2,DT2,BH12,1.6941805443070288,0.17963249692166575
