time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,E9,AB10,0.0004913380727642198,0.0004247263431932509
2019Q1,E9,AB11,0.0016850814527925358,0.0015834653733249372
2019Q1,E9,AL1,0.012441395331714518,0.009641786184346869
2019Q1,E9,AL10,0.015918607170520484,0.019092417365639446
2019Q1,E9,AL2,0.00865345605595525,0.01476544665216495
2019Q1,E9,AL3,0.0031963649300072107,0.008593103526746795
2019Q1,E9,AL4,0.00196530219796693,0.006759665976463299
2019Q1,E9,AL5,0.003207861294150493,0.005598357880763313
2019Q1,E9,AL6,0.003041051304620509,0.008274992487174289
2019Q1,E9,AL8,0.005779289880499649,0.009209232483258913
2019Q1,E9,B1,0.011114279099697135,0.018911532945353773
2019Q1,E9,B10,0.001196323174160687,0.004507277624141227
2019Q1,E9,B13,0.0010295382311756767,0.005976177590928359
2019Q1,E9,B14,0.0012332918745430073,0.0017564123555469221
2019Q1,E9,B15,0.0018012974214740866,0.007885312586474387
2019Q1,E9,B16,0.002386985829157143,0.01432379832117815
2019Q1,E9,B17,0.0013602277644736327,0.003943356975044098
2019Q1,E9,B19,0.0016227656488960495,0.0076739045254632906
2019Q1,E9,B21,0.0013419938797322164,0.006232316028634786
2019Q1,E9,B23,0.00031373302235023794,0.0011296901326795087
2019Q1,E9,B24,0.0010985665091253222,0.001322529956863928
2019Q1,E9,B25,0.0006235587836844582,0.003914925357134608
2019Q1,E9,B26,0.0036587241502359655,0.007643266202312431
2019Q1,E9,B27,0.0005691576879999048,0.002142577254661228
2019Q1,E9,B29,0.002126276342517863,0.002194433294649496
2019Q1,E9,B3,0.005459695966625385,0.01715859645552541
2019Q1,E9,B32,0.0016984813543538787,0.00916258568841002
2019Q1,E9,B40,0.006054200758139454,0.020356418061544885
2019Q1,E9,B48,0.0005925010679161128,0.006560724682073039
2019Q1,E9,B5,0.02496354072442673,0.013510834164080526
2019Q1,E9,B6,0.0007973317127173457,0.0030389300697982588
2019Q1,E9,B7,0.004653097032267484,N/A
2019Q1,E9,B70,0.0006713475914957511,0.0012810511432785234
2019Q1,E9,B78,0.0015500805753801312,0.0008848692374390047
2019Q1,E9,B8,0.0015635556165763973,0.005617896510317078
2019Q1,E9,B90,0.0025127695780189424,0.0013340569975985198
2019Q1,E9,B91,0.0020399158554458828,0.0021583782816151547
2019Q1,E9,BA1,0.04354354367084468,0.016621752794775162
2019Q1,E9,BA11,0.00209271397225207,0.0023562963735912395
2019Q1,E9,BA12,0.002909932641679147,0.005020748820012965
2019Q1,E9,BA2,0.004235521034453084,0.0036325656342380726
2019Q1,E9,BA20,0.0013892817566440198,0.0010017645905911847
2019Q1,E9,BA22,0.00098788582688313,0.002783514735672739
2019Q1,E9,BA5,0.0014341401186932993,0.002715353126372272
2019Q1,E9,BB1,0.0013597017870291687,0.000865699176860366
2019Q1,E9,BB7,0.0010940080379399683,0.0013632487735296722
2019Q1,E9,BD23,0.002416691031496867,0.002861013420934255
2019Q1,E9,BD4,0.0009044557855731632,0.0015484980288827724
2019Q1,E9,BH1,0.0041860541081285025,0.004420228571663482
2019Q1,E9,BH12,0.0032735082885285843,0.0019574540979822217
2019Q1,E9,BH15,0.001999415592222161,0.0013645942073641489
2019Q1,E9,BH2,0.005785451330563369,0.011845862705945715
2019Q1,E9,BH20,0.0008233801194907969,0.003106591095302401
2019Q1,E9,BH21,0.0017356504270959953,0.002703003941987754
2019Q1,E9,BH24,0.0017608472513403145,0.003088706443050471
2019Q1,E9,BH8,0.0052700936211686296,0.003600248263697187
2019Q1,E9,BL1,0.002471918663165578,0.0013828249349360224
2019Q1,E9,BL3,0.001651919827246335,0.0015316637908254214
2019Q1,E9,BL9,0.010424121552925556,0.0041492514920358475
2019Q1,E9,BN1,0.06855469787726788,0.016687743993659222
2019Q1,E9,BN11,0.0041806190078690405,0.004236107145169558
2019Q1,E9,BN12,0.0010511784460336211,0.0029715973663075736
2019Q1,E9,BN14,0.0016890888999884516,0.0030155384780093924
2019Q1,E9,BN17,0.0009609858375805467,0.0016738715710065961
2019Q1,E9,BN18,0.0016886631087238855,0.011642562302630938
2019Q1,E9,BN2,0.033125182823263245,0.02108011403002947
2019Q1,E9,BN21,0.004679020206316061,0.004953089982692096
2019Q1,E9,BN26,0.0005607170023435076,0.002733347167543205
2019Q1,E9,BN3,0.011372383745659072,0.006448400942555318
2019Q1,E9,BN43,0.0006838458174380126,0.0020328960327737947
2019Q1,E9,BN7,0.004742362918556503,0.006269637094641945
2019Q1,E9,BN8,0.0002512168460939555,0.0026183027838178933
2019Q1,E9,BR3,0.015064419800711085,0.014618876000259157
2019Q1,E9,BR4,0.0013284937919909765,0.0032133932227856963
2019Q1,E9,BR5,0.011102983107913649,0.012256859884614654
2019Q1,E9,BR6,0.005969418203400867,0.0050489274547983465
2019Q1,E9,BR8,0.004085127301895718,0.02593489450130628
2019Q1,E9,BS1,0.03910947867437895,0.010416663001777585
2019Q1,E9,BS10,0.0010271588094031019,0.0008539170371769867
2019Q1,E9,BS15,0.0005328401977869201,0.0011199326050943053
2019Q1,E9,BS2,0.003116666823898439,0.005302278212901453
2019Q1,E9,BS20,0.0009260208607961836,0.0015183705994334475
2019Q1,E9,BS34,0.006125833876766446,0.002530235335663879
2019Q1,E9,BS37,0.001605333253593817,0.0016002446297675645
2019Q1,E9,BS4,0.0037764178650710094,0.003243916622760969
2019Q1,E9,BS48,0.003350075576515545,0.006075705845823223
2019Q1,E9,BS5,0.004120933091194875,0.003177344691563928
2019Q1,E9,BS6,0.002000818198740732,0.01000211534848189
2019Q1,E9,BS7,0.0025412474996549172,0.0049788733729015325
2019Q1,E9,BS8,0.007566711516057878,0.007919350119574842
2019Q1,E9,BT1,0.007573549222835909,0.003866121781785432
2019Q1,E9,BT2,0.002957996961485159,0.014737579337133268
2019Q1,E9,BT29,0.002449852657043068,0.020475216812830082
2019Q1,E9,BT3,0.0027270177237305768,0.0053210947674344955
2019Q1,E9,BT47,0.0023755145115588352,0.005003036993370955
2019Q1,E9,BT7,0.002468913077768641,0.011525408172246236
2019Q1,E9,CA1,0.001153468535709365,0.0014775915526304296
2019Q1,E9,CA10,0.0015441445442211815,0.00656120650612434
2019Q1,E9,CA12,0.003343563474822183,0.01154492750734414
2019Q1,E9,CB1,0.033437738657999684,0.014842435811839827
2019Q1,E9,CB10,0.01107357846411362,0.04101039860249489
2019Q1,E9,CB11,0.004287843266904757,0.04763354373320528
2019Q1,E9,CB2,0.03937624942490205,0.02256523423539266
2019Q1,E9,CB21,0.0012028352758540494,0.02467271089515194
2019Q1,E9,CB22,0.006962989595993202,0.016258432717590834
2019Q1,E9,CB23,0.006970152907855901,0.0157239757801548
2019Q1,E9,CB24,0.0013045993880853302,0.0059896851795619
2019Q1,E9,CB25,0.001375956994717601,0.01595554539226323
2019Q1,E9,CB3,0.003063918800182201,0.020459128095410645
2019Q1,E9,CB4,0.005883508554138428,0.012242664689792215
2019Q1,E9,CB5,0.004843576006798345,0.006394293882824789
2019Q1,E9,CB6,0.0015433931478719472,0.003909158750597465
2019Q1,E9,CB7,0.0035856132854554814,0.0037962250421764475
2019Q1,E9,CB8,0.007092505280056197,0.0070421484700728095
2019Q1,E9,CF10,0.018801289171267402,0.006452275463365265
2019Q1,E9,CF11,0.004242509020500961,0.001698144245942336
2019Q1,E9,CF14,0.0010429882258269686,0.000786169905040942
2019Q1,E9,CF23,0.001571820976417973,0.0012622799655147429
2019Q1,E9,CF24,0.002445394372037612,0.002474303506326934
2019Q1,E9,CF32,0.002009684675661695,0.0024509792197155073
2019Q1,E9,CF72,0.0006216301997214237,0.0006462539025709946
2019Q1,E9,CH1,0.008553620527687003,0.002532877630439479
2019Q1,E9,CH2,0.0006970703931845339,0.0021452855383640107
2019Q1,E9,CH62,0.0013128647479269055,0.001227602529896674
2019Q1,E9,CH65,0.0018838508337099468,0.0008757737936584794
2019Q1,E9,CH8,0.001491121008510224,0.003843031970472413
2019Q1,E9,CM0,0.0049702864778241995,0.03932640578315722
2019Q1,E9,CM1,0.6660590135243912,0.2669036650491233
2019Q1,E9,CM11,0.013446964019349623,0.10077782651826954
2019Q1,E9,CM12,0.08521500838411741,0.18596674684344272
2019Q1,E9,CM13,0.0471946536714084,0.17269176176983958
2019Q1,E9,CM14,0.11349911985507975,0.1358299262335472
2019Q1,E9,CM15,0.09266928595978488,0.3288044698879809
2019Q1,E9,CM16,0.0734254744319085,0.13449458951613905
2019Q1,E9,CM17,0.020805638932849542,0.10755117991831907
2019Q1,E9,CM2,0.4014719460248879,0.15654102810278345
