time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,GL1,AB11,0.0003871965868379753,0.0005251622056987325
2019Q1,GL1,AB21,0.0007125298728164795,0.004333529616128711
2019Q1,GL1,AL1,0.0026850754928158674,0.003003441503877439
2019Q1,GL1,AL10,0.0013313364110068711,0.0023047187488049515
2019Q1,GL1,AL2,0.002577261555020665,0.006347310776652451
2019Q1,GL1,AL3,0.0006125941786650924,0.0023770637195766656
2019Q1,GL1,AL5,0.0002850223609023325,0.000717956745928491
2019Q1,GL1,B1,0.02944085767325957,0.07230530525359781
2019Q1,GL1,B10,0.0036827839031707906,0.020027018583373347
2019Q1,GL1,B14,0.003347524724319462,0.006881112808364047
2019Q1,GL1,B15,0.005966832500373087,0.037700890155062776
2019Q1,GL1,B16,0.007771227942159773,0.06730886627319653
2019Q1,GL1,B17,0.00190747202161986,0.007981543886919004
2019Q1,GL1,B18,0.022514354449904336,0.10131667763148104
2019Q1,GL1,B2,0.04565114220654875,0.055268099556426635
2019Q1,GL1,B20,0.0006500939242912683,N/A
2019Q1,GL1,B21,0.006201704808124263,0.04157040866386099
2019Q1,GL1,B23,0.0018237439917048672,0.009478448337395685
2019Q1,GL1,B24,0.061080075029375264,0.10613362455522787
2019Q1,GL1,B25,0.0024651961421313343,0.022339417018206003
2019Q1,GL1,B26,0.04076687408881749,0.12292239166629615
2019Q1,GL1,B28,0.000572404724305896,0.004668612022636402
2019Q1,GL1,B29,0.00739291607062055,0.011012672486378314
2019Q1,GL1,B3,0.010012987376895162,0.045420429981240726
2019Q1,GL1,B31,0.005060990657970489,0.00806594711056345
2019Q1,GL1,B32,0.015289328263102971,0.11904740736670864
2019Q1,GL1,B33,0.001096290573660016,0.006326604550222439
2019Q1,GL1,B37,0.014432109413409553,0.03837278253821578
2019Q1,GL1,B4,0.044701310611641586,0.04308586254093864
2019Q1,GL1,B40,0.01979799157098759,0.09608153867902497
2019Q1,GL1,B42,0.005377092169458884,0.016693739198456545
2019Q1,GL1,B43,0.0016287314320810975,N/A
2019Q1,GL1,B48,0.0134761175178558,0.21537819665735625
2019Q1,GL1,B5,0.12157561561570668,0.09497225017817602
2019Q1,GL1,B60,0.004445481182097995,0.025803464880964563
2019Q1,GL1,B61,0.010756197282227644,0.025330298038012542
2019Q1,GL1,B62,0.0007445287302596395,0.005274898595591598
2019Q1,GL1,B63,0.0018418778344532962,0.006661980379621085
2019Q1,GL1,B65,0.0003331421177840475,0.004016082093018985
2019Q1,GL1,B69,0.00981686422785905,0.013179627062917894
2019Q1,GL1,B7,0.0077012261032629705,N/A
2019Q1,GL1,B70,0.002736960841923811,0.0075380998907371485
2019Q1,GL1,B72,0.0007351928380121232,0.002883611358062916
2019Q1,GL1,B76,0.002738227607972266,N/A
2019Q1,GL1,B77,0.003948665949669757,0.008411696318564048
2019Q1,GL1,B78,0.0051935499161094795,0.004279208072710094
