time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,GU2,AB11,0.0017370765262569544,0.000943587952703262
2019Q1,GU2,AB21,0.0011462512659232182,0.0027920295656385635
2019Q1,GU2,AL1,0.009557192184172359,0.0042814856117264575
2019Q1,GU2,AL10,0.003434637605357532,0.0023812913702606657
2019Q1,GU2,AL2,0.006065967765233435,0.005983190874840716
2019Q1,GU2,AL3,0.003670863721472194,0.005704764388702461
2019Q1,GU2,AL5,0.003447419466005702,0.003477883013077649
2019Q1,GU2,AL8,0.0019275045857441047,0.0017754978124929828
2019Q1,GU2,B1,0.008504313493492555,0.008364894343332898
2019Q1,GU2,B14,0.001660558675732653,0.001367069527342319
2019Q1,GU2,B15,0.002537654286244227,0.0064215771790738325
2019Q1,GU2,B16,0.0020910257453583252,0.007253431270907825
2019Q1,GU2,B17,0.0016615552275797984,0.0027844857715067953
2019Q1,GU2,B2,0.014463000285963718,0.007012659791266115
2019Q1,GU2,B26,0.0035813040402526398,0.004324802453172875
2019Q1,GU2,B28,0.0003815493724331831,0.0012463407952263432
2019Q1,GU2,B29,0.0056118000929821716,0.0033479628645048877
2019Q1,GU2,B3,0.004780372554074569,0.008684619777512195
2019Q1,GU2,B30,0.0018228233134526476,0.0029467303872165737
2019Q1,GU2,B31,0.001265490860851235,0.000807756273815281
2019Q1,GU2,B32,0.0014208229639823915,0.004430706647609476
2019Q1,GU2,B37,0.003386066534894484,0.0036057072222237226
2019Q1,GU2,B4,0.014582023239185837,0.005629033243555535
2019Q1,GU2,B40,0.009040978327350992,0.017572588328374713
2019Q1,GU2,B42,0.0018742540544335906,0.0023304301746807803
2019Q1,GU2,B5,0.018303494463156548,0.005726453719397769
2019Q1,GU2,B61,0.0035324296714013305,0.0033316284123608504
2019Q1,GU2,B69,0.0021779423977658853,0.0011710574968484787
2019Q1,GU2,B78,0.003782000916599506,0.0012480219287800286
2019Q1,GU2,B90,0.007074088279474053,0.002171040666509684
2019Q1,GU2,B91,0.0029852360506360943,0.0018258695665384114
2019Q1,GU2,BA1,0.06132936049361613,0.013533098681845188
2019Q1,GU2,BA11,0.006723302029278839,0.004376011209490099
2019Q1,GU2,BA12,0.023655064539010204,0.023593124500023738
2019Q1,GU2,BA14,0.0054351071176491576,0.002319941980056136
2019Q1,GU2,BA15,0.00189409843469414,0.0076915739478643375
2019Q1,GU2,BA16,0.011102237502318495,0.01600201002996914
2019Q1,GU2,BA2,0.014160785106231553,0.00702052714516255
2019Q1,GU2,BA20,0.008464321434583194,0.003528119241107661
2019Q1,GU2,BA21,0.0026442420055476147,0.0034839705797900388
2019Q1,GU2,BA22,0.013282606287190472,0.021634448730379487
2019Q1,GU2,BA3,0.003615273459737947,0.005198075945511179
2019Q1,GU2,BA4,0.002969551191128848,0.006831471313671031
2019Q1,GU2,BA5,0.0060040948940280545,0.006571402110195052
2019Q1,GU2,BA6,0.004458789605834837,0.006641097603016349
2019Q1,GU2,BD1,0.0018005958744271848,0.0007135045026369275
