time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,HD9,B1,0.008732823181643767,0.0022654886664843906
2019Q1,HD9,B2,0.0183690248703017,0.002349072961535113
2019Q1,HD9,B3,0.005623321748516989,0.0026944369565956587
2019Q1,HD9,B32,0.003860099068796485,0.003174808309919488
2019Q1,HD9,B37,0.0033440939968685897,0.0009392030123940943
2019Q1,HD9,B4,0.013648588787278409,0.001389599999131882
2019Q1,HD9,B40,0.011017800751030937,0.005648085331392908
2019Q1,HD9,B48,0.006213088768007961,0.01048895026530277
2019Q1,HD9,B5,0.01834372567225111,0.0015136494879986226
2019Q1,HD9,B77,0.006256623102315792,0.0014078640048011946
2019Q1,HD9,B78,0.025173687743375674,0.0021909549907607826
2019Q1,HD9,BA1,0.003577700877569471,0.0002082182866109752
2019Q1,HD9,BB1,0.011156782059802346,0.0010829890802239585
2019Q1,HD9,BB2,0.016903642749449478,0.0024398240117463853
2019Q1,HD9,BB4,0.01307541409897646,0.003012990766044892
2019Q1,HD9,BB5,0.010423269596842123,0.0015727446508990105
2019Q1,HD9,BB7,0.022226659731495853,0.004222703571790656
2019Q1,HD9,BD1,0.04651224705499181,0.004861091737086059
2019Q1,HD9,BD10,0.013512235966616151,0.004400445211570781
2019Q1,HD9,BD13,0.004768898832535779,0.012282641430592241
2019Q1,HD9,BD15,0.0013500572050631787,0.010849247917935857
2019Q1,HD9,BD16,0.0055231106393555714,0.0032440922036619468
2019Q1,HD9,BD17,0.005134094399201079,0.003171284404106624
2019Q1,HD9,BD18,0.005776924022395557,0.004805062449277997
2019Q1,HD9,BD19,0.0215757803634671,0.017925389368910773
2019Q1,HD9,BD20,0.002606310240730997,0.0024008637831199517
2019Q1,HD9,BD21,0.014568395344974776,0.002168626783375848
2019Q1,HD9,BD22,0.007596659196462828,0.05016631573280948
2019Q1,HD9,BD23,0.06286998568027179,0.011347597371467106
2019Q1,HD9,BD24,0.008571664004451387,0.01227780397386702
2019Q1,HD9,BD3,0.004942379047739808,0.0038044923903924133
2019Q1,HD9,BD5,0.02320610011316861,0.011459444611464954
2019Q1,HD9,BD7,0.02021701629154236,0.010070660218192641
