time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,HS2,HS1,17.58377855663726,0.06257896272608325
2019Q1,HS2,HS2,67.06865633162255,2.3961058904813157
2019Q1,HS2,UNKNOWN,15.347565111740186,4.593741461467935e-05
2019Q2,HS2,HS1,11.013376952647246,0.039195540570992095
2019Q2,HS2,HS2,58.899031567979,2.1042365272067958
2019Q2,HS2,UNKNOWN,27.228464511676226,8.149861261296391e-05
2019Q3,HS2,HS1,22.862273538125983,0.08136461449213754
2019Q3,HS2,IV1,1.8990649135689024,0.00223335035468255
2019Q3,HS2,IV2,3.680659356448018,0.0028909874536903104
2019Q3,HS2,UNKNOWN,88.78722089573414,0.00026575260304010544
2019Q4,HS2,HS1,15.648503465591489,0.05569150634705847
2019Q4,HS2,HS2,59.52621959257059,2.126643550134653
2019Q4,HS2,UNKNOWN,21.25640364008516,6.362339694422415e-05
2020Q1,HS2,HS1,24.556274263672304,0.08739339880152062
2020Q1,HS2,HS2,55.27729767339539,1.9748458640681328
2020Q1,HS2,UNKNOWN,33.85508364707655,0.00010133301295595987
2020Q2,HS2,HS1,57.28264326238928,0.20386337248403807
2020Q2,HS2,HS2,139.4740393392918,4.982872559391484
2020Q2,HS2,UNKNOWN,46.44711691568062,0.0001390227343476103
2020Q3,HS2,HS1,47.585499547148984,0.16935217836550004
2020Q3,HS2,HS2,94.71866281051399,3.3839345875157716
2020Q3,HS2,IV2,4.200917697489255,0.003299626284663093
2020Q3,HS2,UNKNOWN,76.89213283540235,0.00023014893639153788
2020Q4,HS2,HS1,46.11439954327732,0.16411667610913908
2020Q4,HS2,HS2,80.04082932496216,2.8595518848068107
2020Q4,HS2,UNKNOWN,46.188632645063954,0.00013824905467762745
2021Q1,HS2,HS1,20.019819365373,0.07124859573346372
2021Q1,HS2,UNKNOWN,70.72449672217326,0.00021168833659847085
2021Q2,HS2,HS1,29.028522116742234,0.10330969522197506
2021Q2,HS2,UNKNOWN,110.60074206246273,0.0003310435308678408
2021Q3,HS2,HS1,46.60263269027071,0.16585425053371036
2021Q3,HS2,IV2,4.622191109618144,0.0036305170384907546
2021Q3,HS2,UNKNOWN,121.80224185310169,0.00036457119056124734
2021Q4,HS2,HS1,17.690462064691783,0.06295863898579775
2021Q4,HS2,UNKNOWN,96.93652499117681,0.0002901446129992024
2022Q1,HS2,HS1,20.04971849832052,0.07135500384820646
2022Q1,HS2,HS2,56.98631510418706,2.0359025029935864
2022Q1,HS2,UNKNOWN,18.31030958358968,5.480532429349795e-05
2022Q2,HS2,HS1,17.96599958329202,0.06393925029471424
2022Q2,HS2,UNKNOWN,79.7138411277344,0.0002385947050071329
2022Q3,HS2,HS1,10.182892727684916,0.03623992774914496
2022Q3,HS2,HS2,29.175511267340546,1.042329132997966
2022Q3,HS2,UNKNOWN,9.611855095732052,2.8769630200891023e-05
2022Q4,HS2,HS1,3.805626989965215,0.013543857413088016
2022Q4,HS2,HS2,20.402913196058414,0.7289178457717856
2022Q4,HS2,UNKNOWN,17.45151517660742,5.223483220207599e-05
2023Q1,HS2,HS1,7.925172496288903,0.02820492038418217
2023Q1,HS2,UNKNOWN,7.925172496288903,2.3721152652181032e-05
2023Q2,HS2,HS1,25.274771017624595,0.08995045907383738
2023Q2,HS2,UNKNOWN,36.68950175646216,0.00010981682383633209
2023Q3,HS2,UNKNOWN,42.38665352835505,0.0001268691980183449
