time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,IV19,AB10,0.040183660114468764,0.008736822449666906
2019Q1,IV19,AB11,0.14009497044257113,0.03311200310234848
2019Q1,IV19,AB15,0.01435865477305456,0.013665924692153086
2019Q1,IV19,AB21,0.0445862958004034,0.04725426928020061
2019Q1,IV19,AB23,0.007587506244679955,0.008871456310290122
2019Q1,IV19,AB24,0.032746121510769034,0.012782033987038196
2019Q1,IV19,AB25,0.0484462199037735,0.022379159117594163
2019Q1,IV19,AB31,0.010755149444932851,0.011370449644196938
2019Q1,IV19,AB35,0.0045708264864762075,0.04167563944518602
2019Q1,IV19,AB39,0.003468175962854695,0.011690838665009879
2019Q1,IV19,AB41,0.004056793974696721,N/A
2019Q1,IV19,AB42,0.0037686091453496017,0.0019035894108589961
2019Q1,IV19,AB45,0.0058786120302964295,0.01460085948443874
2019Q1,IV19,AB51,0.04055718509542282,0.014310650583337803
2019Q1,IV19,B2,0.0017983171503730602,0.0003793937183057962
2019Q1,IV19,B26,0.009371782599981162,0.004924325609769025
2019Q1,IV19,B4,0.0023351535066309464,0.0003922210852017023
2019Q1,IV19,BS1,0.009347684214113158,0.0006262184481309072
2019Q1,IV19,BT3,0.003238444656253518,0.0015893690454613161
2019Q1,IV19,CA10,0.024370637880248104,0.026045811309951736
2019Q1,IV19,CA11,0.012796939956658263,0.0035692793015688782
2019Q1,IV19,CA3,0.008948865886008385,0.0013602572161540494
2019Q1,IV19,DD1,0.045894081344223625,0.009362809773191495
2019Q1,IV19,DD10,0.009278476039822816,0.008139318023790006
2019Q1,IV19,DD5,0.0035333013527624408,0.0026117271471751053
2019Q1,IV19,DD8,0.0066759499461853,0.0034572314224467185
2019Q1,IV19,DD9,0.005223474507050161,0.011924701087947394
2019Q1,IV19,DG1,0.009261746581864865,0.0022233062954629553
2019Q1,IV19,DG10,0.009782152220485474,0.1055685173733847
2019Q1,IV19,DG16,0.007969893855147453,0.012384469158000252
2019Q1,IV19,EH1,0.10877752472538993,0.01383364580696596
2019Q1,IV19,EH10,0.008861434552156702,0.006144588311140016
2019Q1,IV19,EH11,0.01781000169784441,0.004537269780659338
2019Q1,IV19,EH12,0.08003153610849574,0.01403128999390612
2019Q1,IV19,EH13,0.0035407698607793844,N/A
2019Q1,IV19,EH14,0.003879541384427933,0.0014972001528971125
2019Q1,IV19,EH16,0.006666091515602934,0.004255389609670711
2019Q1,IV19,EH2,0.16849820433154106,0.024358052439459092
2019Q1,IV19,EH28,0.01078870794095565,0.026475719518911988
2019Q1,IV19,EH3,0.04326297575990794,0.0203738650764513
2019Q1,IV19,EH30,0.019295338572254097,N/A
2019Q1,IV19,EH4,0.01978417731698976,0.0072064602070153454
2019Q1,IV19,EH45,0.006403000873192744,0.007343436276881736
2019Q1,IV19,EH54,0.02681274042168168,0.003446770296884852
2019Q1,IV19,EH6,0.0294742179385996,0.008710061260490122
2019Q1,IV19,EH7,0.023864970097447598,0.012635903176488413
2019Q1,IV19,EH8,0.013759580849988812,0.007303903253420304
2019Q1,IV19,FK15,0.011776940921757592,0.026668452651282586
2019Q1,IV19,FK2,0.006210512526569391,0.002272323003220654
2019Q1,IV19,FK7,0.07694176455183285,0.01823990444616923
2019Q1,IV19,FK8,0.045473952873243836,0.011655503088399124
2019Q1,IV19,G1,0.22406519851898898,0.02446025166192312
2019Q1,IV19,G11,0.01645830132688456,0.008055764798058218
2019Q1,IV19,G12,0.02471996489522726,0.01181188146218388
2019Q1,IV19,G15,0.003688148418980399,0.003454798283770909
2019Q1,IV19,G2,0.2385036169576645,0.018776431927052497
2019Q1,IV19,G3,0.040411300238825186,0.022230779492919468
2019Q1,IV19,G31,0.011203558666270128,0.004444256802610753
2019Q1,IV19,G33,0.008658789034630306,0.0070769308275649935
2019Q1,IV19,G34,0.010082286662659704,0.006091017681119562
2019Q1,IV19,G4,0.002536604062874631,0.0026219976073893554
2019Q1,IV19,G41,0.005020530249203088,0.003024433699010165
2019Q1,IV19,G5,0.003984697977306495,0.003890908444694669
2019Q1,IV19,G53,0.034304550183637865,0.008576637033134918
2019Q1,IV19,G66,0.004613247612012446,0.0033194880960277845
2019Q1,IV19,G68,0.002430949569461606,N/A
2019Q1,IV19,G74,0.014588684819976412,0.002637854720360321
2019Q1,IV19,G77,0.007718454085243695,0.004344645465334237
2019Q1,IV19,G81,0.013543292857818131,0.005561243331625422
2019Q1,IV19,G82,0.00787818057669939,0.0030868857218955114
2019Q1,IV19,G83,0.004462981230711546,0.0038935609008624757
2019Q1,IV19,HS1,0.10110278630707208,0.08086467157579018
2019Q1,IV19,IV1,9.17221978382384,2.4242145230845984
2019Q1,IV19,IV10,0.012681825353090443,N/A
2019Q1,IV19,IV19,40.666550541099305,65.74752148724859
