time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,KW15,AB10,0.2291017082710679,0.05894336472258928
2019Q1,KW15,AB11,1.3051651091985983,0.3650320044664193
2019Q1,KW15,AB15,0.04020455423628952,0.04527965387330502
2019Q1,KW15,AB21,0.1625058227905277,0.20380327731755524
2019Q1,KW15,AB23,0.014224226629656509,0.019680090783066064
2019Q1,KW15,AB24,0.09908099363118107,0.04576495397789486
2019Q1,KW15,AB25,0.2006663828920719,0.10968849257924992
2019Q1,KW15,AB31,0.015891299123761006,0.01988031081811825
2019Q1,KW15,AB32,0.014936750749171038,0.04739856983778102
2019Q1,KW15,AB39,0.0068121075883526075,0.027172438816293925
2019Q1,KW15,AB42,0.02677448021273418,0.01600353075218765
2019Q1,KW15,AB43,0.012609160738346385,0.011593782123014562
2019Q1,KW15,AB51,0.032919422191129165,0.013745050968230857
2019Q1,KW15,AB54,0.0062025026844004134,0.012861126736572087
2019Q1,KW15,AB56,0.006929248674258386,0.013752469439349293
2019Q1,KW15,B2,0.002646530180065241,0.0006606984355168607
2019Q1,KW15,B26,0.006174311402950387,0.003838978355686817
2019Q1,KW15,B4,0.0023512370260110912,0.000467320133071879
2019Q1,KW15,BN1,0.009159810185047577,0.0006636279929493878
2019Q1,KW15,BS1,0.002559768355662326,0.00020292010051289463
2019Q1,KW15,BS48,0.00142336517744995,0.0007683096481320484
2019Q1,KW15,BT1,0.006415494127236277,0.0009747292641228199
2019Q1,KW15,CA10,0.010462331541117715,0.013231285767853056
2019Q1,KW15,CA11,0.0031850257323002076,0.0010512110669741335
2019Q1,KW15,CA3,0.006541555439511317,0.001176621129687745
2019Q1,KW15,CV34,0.0019548760241316267,0.0005222441489426932
2019Q1,KW15,DD1,0.07058171191217905,0.01703900711052192
2019Q1,KW15,DD10,0.005569839836814464,0.005781714626519588
2019Q1,KW15,DD11,0.0040064439359828955,0.0025828337540486817
2019Q1,KW15,DD2,0.017862248385973098,0.009994708618304376
2019Q1,KW15,DD3,0.02799798182766529,0.019992745324901813
2019Q1,KW15,DD5,0.006179949659240392,0.005405484654390909
2019Q1,KW15,DD8,0.008690236004476999,0.0053253668248057955
2019Q1,KW15,DG1,0.008367424793604469,0.002376844661364368
2019Q1,KW15,DG16,0.009891184594248094,0.01818761461726787
2019Q1,KW15,E16,0.003593504777549235,0.0015692860448610164
2019Q1,KW15,EH1,0.2273024312899246,0.03420614549912728
2019Q1,KW15,EH10,0.02105661511003734,0.017277459860170274
2019Q1,KW15,EH11,0.028694180249862488,0.008650217783127287
2019Q1,KW15,EH12,0.24529074098817275,0.05088856222533249
2019Q1,KW15,EH14,0.01200830775460554,0.0054838284611464965
2019Q1,KW15,EH16,0.0066264658961772156,0.005005559201014322
2019Q1,KW15,EH2,0.40746870338309055,0.06970182015673324
2019Q1,KW15,EH21,0.005727542706776697,0.008684600871274184
2019Q1,KW15,EH3,0.07462341598824422,0.04158481184996295
2019Q1,KW15,EH4,0.00940528471636019,0.004053951250160378
2019Q1,KW15,EH6,0.07215040945698481,0.02523017697845389
2019Q1,KW15,EH8,0.016049422759118016,0.010081190053139186
2019Q1,KW15,EH9,0.0042643731229808895,0.008122520513615979
2019Q1,KW15,FK1,0.017033593017500254,0.004191903136136943
2019Q1,KW15,FK2,0.005801849875494227,0.002511954032325505
2019Q1,KW15,FK5,0.002264980120081909,0.005619159518875849
2019Q1,KW15,FK7,0.01778003082783377,0.004987644650824718
2019Q1,KW15,FK8,0.049573737281777885,0.015035662027178038
2019Q1,KW15,FK9,0.005905274009530291,0.014360487100404376
2019Q1,KW15,G1,0.3564105057885412,0.04604045299972585
2019Q1,KW15,G12,0.04333976134584818,0.024505316923489104
2019Q1,KW15,G2,0.2844230166924138,0.026496311059143803
2019Q1,KW15,G20,0.002889227659772327,N/A
2019Q1,KW15,G3,0.03402637179170718,0.02214981420045874
2019Q1,KW15,G31,0.008308181026019937,0.003899883931376895
2019Q1,KW15,G33,0.01341484231626443,0.01297406119653302
2019Q1,KW15,G34,0.011846817996090315,0.008469058115666171
2019Q1,KW15,G4,0.006718361058396403,0.008217609978641275
2019Q1,KW15,G41,0.00949852632784266,0.006771007407713178
2019Q1,KW15,G42,0.008357999648761475,0.011113957739311935
2019Q1,KW15,G5,0.014650798586880925,0.016928538985280715
2019Q1,KW15,G51,0.11945504311781198,0.01842835514639897
2019Q1,KW15,G52,0.004095477893517602,0.003083173013077528
2019Q1,KW15,G53,0.03632678035802928,0.010747186556664642
2019Q1,KW15,G66,0.010272398041915605,0.008746589956308837
2019Q1,KW15,G67,0.01759977493271151,0.0084099811288653
2019Q1,KW15,G68,0.005751021415805226,N/A
2019Q1,KW15,G71,0.008886985903074494,0.006802849560462965
2019Q1,KW15,G74,0.012840497552394504,0.002747382714953923
2019Q1,KW15,G77,0.0077267674035177685,0.005146647623997664
2019Q1,KW15,G81,0.02194956343083204,0.010665374084177871
2019Q1,KW15,G82,0.007353211886035189,0.003409371128921656
2019Q1,KW15,G83,0.0024921092801822647,0.002572714367400182
2019Q1,KW15,HS1,0.025201070095506928,0.023851586001242164
2019Q1,KW15,IV1,1.9969095613859311,0.6245361334313688
2019Q1,KW15,IV2,1.3629055661806724,0.2846875483390935
2019Q1,KW15,IV21,0.017476911437436782,0.8229284150152262
2019Q1,KW15,IV25,0.020179908333481024,0.3042026715413517
2019Q1,KW15,IV26,0.013896955305599343,N/A
2019Q1,KW15,IV27,0.020261536820067663,0.3284911551399588
2019Q1,KW15,IV3,0.3854757169635176,0.2315983660479792
2019Q1,KW15,IV36,0.018870402271857597,0.07078877457265981
2019Q1,KW15,IV4,0.02759867546802239,N/A
2019Q1,KW15,IV40,0.0018690398835972206,N/A
2019Q1,KW15,KA7,0.010543202649993758,0.004700303753988086
2019Q1,KW15,KA9,0.0040359816666962044,0.005746457812592046
2019Q1,KW15,KW1,0.6078864980799285,1.0080521029128091
2019Q1,KW15,KW10,0.008693181362240437,N/A
2019Q1,KW15,KW14,0.1681779086182728,0.2874220974649121
