time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,LE18,AL1,0.015088827645232191,0.007421984501286837
2019Q1,LE18,AL10,0.002568735087915866,0.0019554706919025864
2019Q1,LE18,AL2,0.001964227017990631,0.002127280778471939
2019Q1,LE18,AL3,0.001168568279567594,0.0019939943325540705
2019Q1,LE18,B1,0.0397584314370195,0.04293889030163572
2019Q1,LE18,B10,0.0045691086815349,0.010926307559384478
2019Q1,LE18,B11,0.002501966522453793,0.004536114536337575
2019Q1,LE18,B13,0.003137491195483749,0.011559516552719426
2019Q1,LE18,B15,0.0047689013806687525,0.01325036883777955
2019Q1,LE18,B17,0.0026280060012279427,0.004835673279572287
2019Q1,LE18,B18,0.02083708024199889,0.0412344468807494
2019Q1,LE18,B19,0.003104383142042449,0.009317771185579127
2019Q1,LE18,B2,0.05547966631044034,0.02953647009297727
2019Q1,LE18,B20,0.0013261373586988337,N/A
2019Q1,LE18,B21,0.0017226053121252214,0.005077627689398925
2019Q1,LE18,B26,0.047221791693761415,0.06261349106059952
2019Q1,LE18,B27,0.003206943131188979,0.007662514008616823
2019Q1,LE18,B29,0.006496478820009234,0.0042555612225372175
2019Q1,LE18,B3,0.01699177122222838,0.03389441111456016
2019Q1,LE18,B31,0.0036003331011011577,0.002523273843738993
2019Q1,LE18,B33,0.002818012291239693,0.0071513784370723825
2019Q1,LE18,B37,0.014850678536152044,0.017363674870766926
2019Q1,LE18,B4,0.03746083512764376,0.015877929095411598
2019Q1,LE18,B40,0.024774334153924625,0.052871626823292765
2019Q1,LE18,B42,0.003243365936107119,0.0044279627918530655
2019Q1,LE18,B43,0.002670624234501606,N/A
2019Q1,LE18,B44,0.001526600900393474,N/A
2019Q1,LE18,B46,0.004700435978141153,0.026072424609936588
2019Q1,LE18,B47,0.0015111715214953234,0.0078015786239182235
2019Q1,LE18,B5,0.10007443853615144,0.03437757837568938
2019Q1,LE18,B61,0.006306590913978799,0.0065309757255666715
2019Q1,LE18,B63,0.0014713945037732373,0.0023403107385853985
2019Q1,LE18,B68,0.0005327673772479007,N/A
2019Q1,LE18,B69,0.007024589760658716,0.004147182730453814
2019Q1,LE18,B7,0.010829095768202408,N/A
2019Q1,LE18,B70,0.003086941235461932,0.0037387251076424796
2019Q1,LE18,B72,0.0032643593621271088,0.005630348676399994
2019Q1,LE18,B73,0.002748520894207358,0.0055900309309266285
2019Q1,LE18,B75,0.0006525719663394219,0.0018996170095500065
2019Q1,LE18,B76,0.004361147487690264,N/A
2019Q1,LE18,B77,0.003957615956712038,0.003707393695825564
2019Q1,LE18,B78,0.046664518832381166,0.016907825399150818
2019Q1,LE18,B8,0.0031967226474687205,0.0072902344921070734
2019Q1,LE18,B80,0.0008028801612832968,0.0024766561222742144
2019Q1,LE18,B90,0.011296673033072444,0.0038066979468175453
2019Q1,LE18,B91,0.011788282246149577,0.007916659636158084
2019Q1,LE18,B92,0.001458885263080875,0.006712098295134628
2019Q1,LE18,B93,0.002666086181884503,0.009853519804829543
2019Q1,LE18,B97,0.003643464331627189,0.002489588584625281
2019Q1,LE18,B98,0.0032590715442950067,0.001654034689447554
2019Q1,LE18,BA1,0.014393321755002266,0.0034873073261970865
2019Q1,LE18,BA12,0.002774486447442609,0.003038395510335524
2019Q1,LE18,BA16,0.0025164093681743125,0.003982407468148777
2019Q1,LE18,BA5,0.007578666254543448,0.00910759381021628
2019Q1,LE18,BB1,0.0028356909657828427,0.0011459307541250372
2019Q1,LE18,BD23,0.002871798080084141,0.00215788752703435
2019Q1,LE18,BH1,0.002848634281073362,0.0019092057136691784
2019Q1,LE18,BH15,0.00372767480366978,0.001614784627003645
2019Q1,LE18,BH2,0.004556362672879908,0.0059213928493225465
2019Q1,LE18,BH20,0.0027952036441728613,0.006693808895925359
2019Q1,LE18,BH23,0.005476403514338674,0.0022615144903375107
2019Q1,LE18,BH24,0.0016429328926997335,0.0018291567081058177
2019Q1,LE18,BL3,0.0014208445437514194,0.0008361750076183418
2019Q1,LE18,BL9,0.0023898174308206893,0.0006037694793464116
2019Q1,LE18,BN1,0.0140158346999135,0.002165486663920646
2019Q1,LE18,BN11,0.0022663429383083804,0.0014575656060089512
2019Q1,LE18,BN2,0.004340627597595537,0.0017532479446530375
2019Q1,LE18,BN21,0.005331185830591375,0.003581964336377658
2019Q1,LE18,BN23,0.0019951646984411424,0.0009456907275647953
2019Q1,LE18,BN3,0.0030651191215727317,0.0011031232128885405
2019Q1,LE18,BS1,0.011963687845132385,0.002022496596521692
2019Q1,LE18,BS10,0.0010487636904760727,0.0005533907119495922
2019Q1,LE18,BS16,0.0028193934376883768,0.0017172505620821731
2019Q1,LE18,BS2,0.0019151371270717075,0.00206798863847417
2019Q1,LE18,BS20,0.006837543070179858,0.007115955601672409
2019Q1,LE18,BS23,0.002615694067171107,0.0014283367503144914
2019Q1,LE18,BS34,0.004909265321182105,0.0012870290353340695
2019Q1,LE18,BS8,0.002234971183259711,0.0014846717136447482
2019Q1,LE18,BT1,0.0028653264224388804,0.0009283811663416508
2019Q1,LE18,BT2,0.002857434157017832,0.009036095320754929
2019Q1,LE18,BT3,0.0023177215861994076,0.002870452984721409
2019Q1,LE18,CA10,0.006157032484249924,0.016605170516797173
2019Q1,LE18,CA11,0.00444689695148996,0.003129913737510968
2019Q1,LE18,CA12,0.004941939300025246,0.010830666519710574
2019Q1,LE18,CA3,0.002266934858214959,0.0008695468396991263
2019Q1,LE18,CB1,0.006310971121287481,0.0017780362559144407
2019Q1,LE18,CB2,0.01134051456748637,0.004124909253455263
2019Q1,LE18,CB23,0.008119010206595556,0.011625169324094927
2019Q1,LE18,CB7,0.0024346454984122464,0.0016360643235247788
2019Q1,LE18,CB8,0.006033676375718932,0.0038024513044061493
2019Q1,LE18,CF14,0.0014558467408937713,0.0006965123266575927
2019Q1,LE18,CF24,0.0007194194544557055,0.00046202170579763536
2019Q1,LE18,CF48,0.0012482406989930818,0.0007777821382404735
2019Q1,LE18,CH1,0.00789147619450672,0.0014831962511538115
2019Q1,LE18,CH2,0.002269184153859958,0.004432557205924475
2019Q1,LE18,CH65,0.01914375523458577,0.005648702544687919
2019Q1,LE18,CH7,0.0006184773797204909,0.0004576253151477916
2019Q1,LE18,CH8,0.0020034515771332442,0.003277299243136433
2019Q1,LE18,CM23,0.0052736117543448245,0.002463454015884091
2019Q1,LE18,CM24,0.013043902213311335,0.01530574969060364
2019Q1,LE18,CM77,0.002282679927729951,0.001553018432330817
2019Q1,LE18,CO1,0.0015691796723400324,0.000561914417428305
2019Q1,LE18,CO4,0.0008104961974146089,0.0003360974551067413
2019Q1,LE18,CR0,0.00435246599572711,0.0005114238834602028
2019Q1,LE18,CT1,0.004358227349484476,0.0010925046641020492
2019Q1,LE18,CT16,0.0009300245572163934,0.0006872848710212219
2019Q1,LE18,CV1,0.15366805071759665,0.0515675985886636
2019Q1,LE18,CV10,0.02785326473998419,0.03132258512526822
2019Q1,LE18,CV11,0.04084022425828266,0.025000794241676758
2019Q1,LE18,CV13,0.01323903847584677,N/A
2019Q1,LE18,CV2,0.06208557139051241,0.04111845005657532
2019Q1,LE18,CV21,0.3662258577887604,0.1737891016935069
2019Q1,LE18,CV22,0.022265540821881626,0.06392692771605378
2019Q1,LE18,CV23,0.03392731005333178,0.14773456577112073
2019Q1,LE18,CV3,0.08886098944194397,0.03994987971370522
2019Q1,LE18,CV31,0.004982939618887595,0.004593194193661573
2019Q1,LE18,CV32,0.0162958707187274,0.012669685516323628
2019Q1,LE18,CV34,0.0195616506886303,0.011144438346165521
2019Q1,LE18,CV35,0.01584632728034446,0.03129556153231027
2019Q1,LE18,CV37,0.02708893829528272,0.015101911275185806
2019Q1,LE18,CV4,0.02176532903949555,0.011622311443747372
2019Q1,LE18,CV47,0.002370757609828856,0.023888508587182836
2019Q1,LE18,CV6,0.08375978422572193,0.03494904020925449
2019Q1,LE18,CV7,0.027471555322895164,0.04329073534361263
2019Q1,LE18,CV8,0.009159763247669265,0.012894303597474763
2019Q1,LE18,CV9,0.03330788560176077,0.06125517499943835
2019Q1,LE18,CW1,0.0017230788480504845,0.0007008302662574365
2019Q1,LE18,CW12,0.00043616604849426317,0.0004256383563139498
2019Q1,LE18,CW5,0.004705960563935887,0.0031432908250431948
2019Q1,LE18,DA1,0.0017386660722570556,0.0005682277597416193
2019Q1,LE18,DA11,0.0018987606763230312,0.0007907774221139213
2019Q1,LE18,DA9,0.002843070233951523,0.0007802763223793516
2019Q1,LE18,DE1,0.071113849496267,0.024213770085646583
2019Q1,LE18,DE11,0.0249096075832414,0.018520216192533603
2019Q1,LE18,DE13,0.006194520744999907,0.008498086033180387
2019Q1,LE18,DE14,0.009246025708721328,0.003979621237852764
2019Q1,LE18,DE15,0.001046198704214232,0.006145066405552646
2019Q1,LE18,DE21,0.16985859915428014,0.04184330014550524
2019Q1,LE18,DE22,0.008345794453469392,0.006618994833547686
2019Q1,LE18,DE4,0.011832557855161659,0.012267890598133708
2019Q1,LE18,DE45,0.0057994339380222,0.021052577837983324
2019Q1,LE18,DE5,0.005907952587561623,0.008193358582344101
2019Q1,LE18,DE55,0.037779209114728866,0.02595122096098864
2019Q1,LE18,DE56,0.0033581589366562747,0.004221262015019989
2019Q1,LE18,DE6,0.009381496444673629,0.013421960566672905
2019Q1,LE18,DE74,0.061413939603181165,0.1239425463538788
