time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,M15,AB11,0.0016745611651321356,0.0013102812330683519
2019Q1,M15,AB21,0.0014261939444877056,0.005004017759409822
2019Q1,M15,AB24,0.000685273346339033,0.000885532560599632
2019Q1,M15,AL10,0.0014765171078809636,0.0014745862178880446
2019Q1,M15,AL2,0.0014275475262884806,0.0020282589694933253
2019Q1,M15,AL3,0.0017804112619527418,0.003985564601488381
2019Q1,M15,AL5,0.0006565473325670299,0.0009540847423671947
2019Q1,M15,B1,0.023580929028875045,0.03341043879715385
2019Q1,M15,B10,0.0014935120793795836,0.004685439841593255
2019Q1,M15,B14,0.0011673590245839494,0.0013843340192205625
2019Q1,M15,B15,0.0049349186088611385,0.017988266547486875
2019Q1,M15,B16,0.007066870104272939,0.03531110421375494
2019Q1,M15,B17,0.0019478643705063985,0.0047020690806682365
2019Q1,M15,B2,0.06128176165233249,0.0428011744935359
2019Q1,M15,B23,0.0009693149673327776,0.002906296066230015
2019Q1,M15,B24,0.002598425863554445,0.0026047456812131604
2019Q1,M15,B26,0.004519218598045343,0.007861193759235366
2019Q1,M15,B28,0.0006105255513406793,0.002872698060493877
2019Q1,M15,B29,0.0038570463811062037,0.0033146171357628486
2019Q1,M15,B3,0.01297299869498794,0.0339491972121877
2019Q1,M15,B30,0.0010361518286954908,0.002412788724707614
2019Q1,M15,B32,0.0039721309137676535,0.017842538901055797
2019Q1,M15,B36,0.0003843871518245327,0.0010861466123534658
2019Q1,M15,B40,0.0082090224277669,0.02298326998062293
2019Q1,M15,B48,0.0013709377274205125,0.01264026669068494
2019Q1,M15,B5,0.06331439032316298,0.028533447121563138
2019Q1,M15,B61,0.0006038178015279497,0.0008203307953160513
2019Q1,M15,B66,0.0005536751157081284,0.001287510173600144
2019Q1,M15,B69,0.004370986351062692,0.003385410597561768
2019Q1,M15,B7,0.0020011052546702155,N/A
2019Q1,M15,B70,0.0009137880339054293,0.0014519121281024573
2019Q1,M15,B72,0.0016070625526668212,0.0036363845452174414
2019Q1,M15,B73,0.0012016798431324892,0.003206296186566149
2019Q1,M15,B75,0.0006209631710044333,0.002371391034961017
2019Q1,M15,B8,0.0010680362000026356,0.003195377749524693
2019Q1,M15,B90,0.003697805002143915,0.001634713158793274
2019Q1,M15,B91,0.006562946639642186,0.0057821588035175155
2019Q1,M15,B92,0.0015121614286347056,0.009127146483446254
2019Q1,M15,B93,0.0007908226472039117,0.003834387513524964
2019Q1,M15,B97,0.0027119763368416826,0.0024310766467000467
2019Q1,M15,B98,0.001662138292160578,0.001106668549921817
2019Q1,M15,BA1,0.03003682238787372,0.00954735054676345
2019Q1,M15,BA11,0.0007054567549683673,0.0006614031674486295
2019Q1,M15,BA14,0.0033819692486297447,0.002079403352882905
2019Q1,M15,BA16,0.00185185030143809,0.0038447665131424273
2019Q1,M15,BA5,0.0009911226741230418,0.0015625645839774773
2019Q1,M15,BB1,0.06280460133739553,0.03329589034627205
2019Q1,M15,BB10,0.003644443799597807,0.014439655636284913
2019Q1,M15,BB11,0.0168509804746128,0.01672891826408946
2019Q1,M15,BB2,0.03343365095671641,0.02635579015501412
2019Q1,M15,BB3,0.008000119636513954,0.018686598316872624
2019Q1,M15,BB4,0.017562874263033736,0.0221030386028532
2019Q1,M15,BB5,0.016802251529784897,0.013846364783438894
2019Q1,M15,BB6,0.0021802894054972553,0.03429237751848427
2019Q1,M15,BB7,0.0296041274055593,0.030717276040350936
2019Q1,M15,BB8,0.01338842798944358,0.019101371313152527
2019Q1,M15,BB9,0.010358961521331221,0.019596452691143657
2019Q1,M15,BD1,0.0188133131305897,0.010738554387438192
2019Q1,M15,BD10,0.00245620953568635,0.004368666090883214
2019Q1,M15,BD13,0.0009965971605172877,0.0140186873773944
2019Q1,M15,BD16,0.0058723191252911975,0.01883792815443508
2019Q1,M15,BD17,0.0008373557815549997,0.0028248500973224178
