time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,MK2,AL1,0.06754664688831974,0.007461562466080423
2019Q1,MK2,AL10,0.024240665865864902,0.004144173958533365
2019Q1,MK2,AL2,0.03447275927406749,0.008384373584147327
2019Q1,MK2,AL3,0.027253660759829452,0.010443741430232294
2019Q1,MK2,AL5,0.03107389298643955,0.00772997910888805
2019Q1,MK2,AL8,0.007237900080322725,0.0016439898034077793
2019Q1,MK2,B1,0.014129464770431178,0.003426957544690852
2019Q1,MK2,B2,0.02862248505702336,0.0034221065490087736
2019Q1,MK2,B3,0.006761710883224461,0.0030290572166741907
2019Q1,MK2,B37,0.003032675037903666,0.0007963109054288503
2019Q1,MK2,B4,0.02358331391518424,0.002244825949175952
2019Q1,MK2,B40,0.00892476956081842,0.004277392787313838
2019Q1,MK2,B5,0.019775908925248747,0.0015256327780228105
2019Q1,MK2,BH1,0.011544161576000642,0.0017375602174410935
2019Q1,MK2,BH2,0.014238584139950744,0.004155600926403939
2019Q1,MK2,BN1,0.02660544601883481,0.0009231420403727496
2019Q1,MK2,BN2,0.020779069119431032,0.0018848567001554612
2019Q1,MK2,BS1,0.010059189286451777,0.00038189779058655
2019Q1,MK2,CB1,0.008334540958215812,0.0005273361493330356
2019Q1,MK2,CB2,0.010459996503640387,0.0008544263162389037
2019Q1,MK2,CB22,0.005923723325674047,0.0019715839590197987
2019Q1,MK2,CB23,0.007782266918924356,0.002502440505258135
2019Q1,MK2,CF10,0.011571221773916928,0.0005660334106173142
2019Q1,MK2,CH1,0.009634133320481035,0.0004066440846997759
2019Q1,MK2,CM20,0.006887698947548984,0.0005282983066818597
2019Q1,MK2,CM23,0.010917384134653959,0.0011452922886927151
2019Q1,MK2,CM24,0.019568388836033603,0.005156601618956294
2019Q1,MK2,CO15,0.010167781509258685,0.0012300870826167769
2019Q1,MK2,CR0,0.018533248407950245,0.0004890560147619424
2019Q1,MK2,CV2,0.004519053052019612,0.000672132556394827
2019Q1,MK2,CV21,0.007666821788852932,0.0008170532104232928
2019Q1,MK2,CV23,0.006733069245170212,0.0065842636397996715
