time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,NG16,AB11,0.0017291068994538994,0.0013157651569659812
2019Q1,NG16,AL1,0.0020261888930367326,0.0012715610081721876
2019Q1,NG16,AL3,0.0017465513809094655,0.003802278457794322
2019Q1,NG16,AL5,0.001651410911126978,0.002333829319854733
2019Q1,NG16,B1,0.018315715770531926,0.025237027214242983
2019Q1,NG16,B10,0.0015040916466360847,0.004588903851946314
2019Q1,NG16,B14,0.001566848477971802,0.0018069930362976442
2019Q1,NG16,B15,0.005531570837724211,0.01960879159028689
2019Q1,NG16,B17,0.00205087097850046,0.0048146160960493645
2019Q1,NG16,B2,0.024140595150176598,0.01639703977970241
2019Q1,NG16,B26,0.036107292919173715,0.06108198095468492
2019Q1,NG16,B29,0.004206749074982565,0.0035157513337022287
2019Q1,NG16,B3,0.007459402548085939,0.018983933837544008
2019Q1,NG16,B31,0.002402420581734451,0.0021481443851150174
2019Q1,NG16,B37,0.005072354142385916,0.00756654539288512
2019Q1,NG16,B4,0.020456190761047943,0.011062006122047772
2019Q1,NG16,B40,0.015938503083099402,0.04339712305783887
2019Q1,NG16,B43,0.0009338983565059932,N/A
2019Q1,NG16,B45,0.001351978242738076,N/A
2019Q1,NG16,B48,0.00888406613022221,0.07966055427296259
2019Q1,NG16,B5,0.033842232163936024,0.014832141002584584
2019Q1,NG16,B61,0.0019824848996028393,0.002619304705418831
2019Q1,NG16,B69,0.003966609085583595,0.002987750540789662
2019Q1,NG16,B7,0.005694602507497777,N/A
2019Q1,NG16,B75,0.0020666761735781093,0.007675431417071556
2019Q1,NG16,B78,0.02248380243094098,0.010393538976276878
2019Q1,NG16,B79,0.015613460431297006,0.020076682895589424
2019Q1,NG16,B8,0.0005937000381907843,0.0017274136339912266
2019Q1,NG16,B90,0.013749004150904172,0.005911011827972286
2019Q1,NG16,B91,0.0037775653432849717,0.0032366531360857468
2019Q1,NG16,B93,0.002017250142787338,0.009511952897649315
2019Q1,NG16,B97,0.0024083900585446,0.0020995809025282372
2019Q1,NG16,B98,0.0011761415812577632,0.0007615581142880128
2019Q1,NG16,BA1,0.01046217310331782,0.003234028300087648
2019Q1,NG16,BA16,0.0017997199334309538,0.003633808642901298
2019Q1,NG16,BA2,0.0016730927932198012,0.0011619716204796994
2019Q1,NG16,BA20,0.0009343313755492164,0.0005455632932966488
2019Q1,NG16,BA5,0.00362839028289455,0.005563109297311012
2019Q1,NG16,BB11,0.0024882820720192964,0.0024023447250023353
2019Q1,NG16,BB3,0.0008640585708204087,0.0019627725850399624
2019Q1,NG16,BB7,0.0010997755799921703,0.0011097560988208189
2019Q1,NG16,BD1,0.003378136205843149,0.0018752135205501504
2019Q1,NG16,BD10,0.0024814156271910416,0.0042921608003390725
2019Q1,NG16,BD23,0.004753775846300211,0.004557286478427268
2019Q1,NG16,BD4,0.0022510185662645947,0.0031208382361615685
2019Q1,NG16,BH1,0.002197602574289836,0.00187913469221905
2019Q1,NG16,BH15,0.003264499636928696,0.0018042052364615055
2019Q1,NG16,BH2,0.0011120856927923754,0.001843896624899468
2019Q1,NG16,BH20,0.001803400595298352,0.005509913621789309
2019Q1,NG16,BL1,0.0018047615122913391,0.0008175639098367351
2019Q1,NG16,BL2,0.0023146414356867585,0.0025371461642510933
2019Q1,NG16,BL6,0.002343684641514377,0.0014543479094335635
2019Q1,NG16,BN1,0.011506522245777407,0.002268158261679589
2019Q1,NG16,BN2,0.0024699406225456248,0.0012728289668646688
2019Q1,NG16,BN3,0.001822144133883588,0.0008366659978588678
2019Q1,NG16,BR1,0.0020619438940343124,0.0008029423741250702
2019Q1,NG16,BS1,0.019817240232840327,0.004274237270038095
2019Q1,NG16,BS20,0.0014766567972547234,0.001960674271290481
2019Q1,NG16,BS23,0.002043200355449076,0.0014234668083129669
2019Q1,NG16,BS34,0.006417775239612325,0.002146589843478321
2019Q1,NG16,BS37,0.001389619969566843,0.0011217241976814855
2019Q1,NG16,BS48,0.0019194187689505337,0.0028189069311889874
2019Q1,NG16,BS8,0.0027382887096174266,0.0023207612718257825
2019Q1,NG16,BT1,0.003171555192293984,0.0013110438473051312
2019Q1,NG16,BT3,0.000968199650715609,0.001529842847085747
2019Q1,NG16,CA10,0.004164993667243178,0.01433108152192499
2019Q1,NG16,CA11,0.006096753478925575,0.005474779895017078
2019Q1,NG16,CA12,0.015422622752962176,0.043122977421565886
2019Q1,NG16,CA13,0.0015915614933671885,0.003784487278458554
2019Q1,NG16,CA14,0.0009116597356433117,0.0006702248401281536
2019Q1,NG16,CA3,0.002609279964668546,0.0012769307525868714
2019Q1,NG16,CB1,0.004785107867070583,0.0017200017075184536
2019Q1,NG16,CB2,0.00853248559705656,0.003959587349301928
2019Q1,NG16,CB23,0.0033740843847958465,0.006163747879554731
2019Q1,NG16,CB4,0.001129499244316283,0.0019032435905111133
2019Q1,NG16,CB5,0.0016560813308074578,0.0017704228260399704
2019Q1,NG16,CB6,0.002337251215729346,0.004793812014534785
2019Q1,NG16,CB7,0.002232398747405993,0.0019139436052761796
2019Q1,NG16,CB8,0.0015711168085407177,0.001263231217968586
2019Q1,NG16,CF10,0.010566716272324582,0.002936528248235977
2019Q1,NG16,CF11,0.002938560017108197,0.0009524786160182039
2019Q1,NG16,CF14,0.002132185768831461,0.0013014602702536473
2019Q1,NG16,CF48,0.0030473715166838763,0.0024225779327940893
2019Q1,NG16,CF62,0.0010666186932539305,0.002108107946654444
2019Q1,NG16,CF72,0.002944343914328393,0.0024787257343705732
2019Q1,NG16,CH1,0.0253622037309728,0.00608163121705852
2019Q1,NG16,CH3,0.0023335086939986305,0.0030693827125268767
2019Q1,NG16,CH4,0.0030904259815529352,0.0023558739909005032
2019Q1,NG16,CH41,0.001584602258743957,0.0015199623982094178
2019Q1,NG16,CH5,0.001824587598484634,0.0029068816602144075
2019Q1,NG16,CH62,0.005094128814273715,0.003857239236725725
2019Q1,NG16,CH65,0.014769722825576431,0.0055601517469538175
2019Q1,NG16,CH7,0.0015287428021681533,0.0014431563087152909
2019Q1,NG16,CH8,0.0038395489263292185,0.0080132774501719
2019Q1,NG16,CM2,0.0004916312637167238,0.00015523202998145194
2019Q1,NG16,CM20,0.0016242235011988875,0.0007077536858713326
2019Q1,NG16,CM23,0.0020725219306616236,0.00123517407394751
2019Q1,NG16,CM24,0.005999355124131995,0.008981406824669342
2019Q1,NG16,CM77,0.0020676040715278733,0.0017946993078942442
2019Q1,NG16,CO10,0.0006929232589522342,0.000491618053401054
2019Q1,NG16,CO4,0.0008546868015277905,0.0004521827244249762
2019Q1,NG16,CO6,0.0015374031830326187,0.004488165383915573
2019Q1,NG16,CO7,0.0008865137012047022,N/A
2019Q1,NG16,CR0,0.006475830721335904,0.0009708090873182961
2019Q1,NG16,CT1,0.002428494514122824,0.000776682055056785
2019Q1,NG16,CT16,0.004851638150068675,0.004574287915118713
2019Q1,NG16,CV1,0.0065350306105308575,0.002797909595976776
2019Q1,NG16,CV10,0.0077928890712311875,0.01118079569371782
2019Q1,NG16,CV11,0.004383420844617667,0.0034235098558323233
2019Q1,NG16,CV12,0.0031245726261042565,0.019456674450857997
2019Q1,NG16,CV2,0.00711586379715158,0.006012656678373881
2019Q1,NG16,CV21,0.012440080373035154,0.007531638140325201
2019Q1,NG16,CV22,0.0021225665600855727,0.007775075747450434
2019Q1,NG16,CV23,0.0013433797217369278,0.007463184995757061
2019Q1,NG16,CV3,0.01169272043436342,0.006706757811172773
2019Q1,NG16,CV31,0.0011564392147911033,0.0013600181961988414
2019Q1,NG16,CV32,0.006258640741227767,0.0062081330172622145
2019Q1,NG16,CV34,0.009729133723004109,0.007071630909449845
2019Q1,NG16,CV35,0.007338930464274891,0.01849181867523757
2019Q1,NG16,CV5,0.002780044117356815,0.0047188758534301755
2019Q1,NG16,CV6,0.008477244739113932,0.004512811062161767
2019Q1,NG16,CV7,0.006657358490241436,0.013384630453972314
2019Q1,NG16,CV8,0.0020067958258866607,0.003604205609216602
2019Q1,NG16,CW1,0.00757829720538239,0.003932530119937382
2019Q1,NG16,CW11,0.005482856195361591,0.010155797089874841
2019Q1,NG16,CW2,0.001422467556988495,0.00251518434123473
2019Q1,NG16,CW5,0.0035085677276483346,0.0029899152071577693
