time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,NN11,AL1,0.00893514810398075,0.005777431746438059
2019Q1,NN11,AL10,0.008350638810249595,0.008356419145085031
2019Q1,NN11,AL2,0.0077935973406550564,0.011095314632459977
2019Q1,NN11,AL3,0.004307224999940405,0.009661307561854274
2019Q1,NN11,AL5,0.004730109413724534,0.006887489104563804
2019Q1,NN11,AL8,0.0019863289480562354,0.0026408564325188983
2019Q1,NN11,B10,0.010834180404398435,0.03405701011097667
2019Q1,NN11,B12,0.0042948269547290144,0.023362322052431238
2019Q1,NN11,B13,0.0014290773421021807,0.006921200199881877
2019Q1,NN11,B14,0.005659602570819582,0.006724983302266791
2019Q1,NN11,B15,0.009663240570220562,0.035294004787028536
2019Q1,NN11,B16,0.0038150556264761625,0.0191009027454329
2019Q1,NN11,B17,0.004132691743623168,0.009996135462241212
2019Q1,NN11,B18,0.020882060570971386,0.05432067812514678
2019Q1,NN11,B19,0.0015376578010116142,0.006066873554611525
2019Q1,NN11,B2,0.08812341413532145,0.06167151089368821
2019Q1,NN11,B20,0.0014995030420196624,N/A
2019Q1,NN11,B21,0.0015009139575764064,0.005815665113842517
2019Q1,NN11,B23,0.002553727138226876,0.00767217067674542
2019Q1,NN11,B26,0.06607947961311128,0.11517562949577395
2019Q1,NN11,B27,0.009354160004853814,0.029380104747588568
2019Q1,NN11,B28,0.0015762328327225967,0.007431480369628618
2019Q1,NN11,B29,0.007528615391306543,0.006482797408484113
2019Q1,NN11,B3,0.020130072598706708,0.052784122310063714
2019Q1,NN11,B30,0.009256206441839858,0.02159721529817824
2019Q1,NN11,B31,0.009939029532344136,0.009156599228691959
2019Q1,NN11,B33,0.0019235281960411578,0.006416732828290063
2019Q1,NN11,B37,0.020934174388131117,0.03217508539507069
2019Q1,NN11,B4,0.08870453122782042,0.0494231851787388
2019Q1,NN11,B40,0.03483958774528221,0.09773772199014928
2019Q1,NN11,B43,0.0058198765741697255,N/A
2019Q1,NN11,B44,0.0017259099596571928,N/A
2019Q1,NN11,B46,0.007950359064853304,0.05796936518234987
2019Q1,NN11,B48,0.010288696434577223,0.0950534077268186
2019Q1,NN11,B49,0.00806029040035962,0.0307865223365995
2019Q1,NN11,B5,0.13117513081045287,0.059234148156245066
2019Q1,NN11,B50,0.0018674518075305637,N/A
2019Q1,NN11,B60,0.008997438524837005,0.030188986236719093
2019Q1,NN11,B62,0.0021367265425091693,0.008750885263652692
2019Q1,NN11,B63,0.00177625262750102,0.003713792646286858
2019Q1,NN11,B65,0.000767207848589548,0.005346338683784048
2019Q1,NN11,B68,0.0006226940722030361,N/A
2019Q1,NN11,B69,0.009273167448000715,0.007196624280109405
2019Q1,NN11,B7,0.010885933987799006,N/A
2019Q1,NN11,B70,0.0039745191038681755,0.006327735012229141
2019Q1,NN11,B72,0.003168616145647923,0.007184151487390112
2019Q1,NN11,B74,0.002756328608279341,0.00966660240162672
2019Q1,NN11,B77,0.009759453003398536,0.012017913073831887
2019Q1,NN11,B78,0.032144528895541466,0.015310047923475869
2019Q1,NN11,B79,0.05130539256520479,0.06797224339168309
2019Q1,NN11,B8,0.004207920560329565,0.01261457417647576
