time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,OX29,AB21,0.004744909025681179,0.004831356244785565
2019Q1,OX29,AL1,0.005209988469917088,0.0009756676804068908
2019Q1,OX29,AL10,0.007799176015496095,0.002260379325788618
2019Q1,OX29,AL2,0.002355870445294847,0.0009713710385303902
2019Q1,OX29,AL3,0.0047956977325400146,0.003115460432195716
2019Q1,OX29,B1,0.021380801782503872,0.008791159771719537
2019Q1,OX29,B14,0.01050320822882937,0.0036145924700372923
2019Q1,OX29,B15,0.007654894627848139,0.00809747198822121
2019Q1,OX29,B2,0.05060431275781141,0.010256823774570805
2019Q1,OX29,B26,0.025612330267222167,0.012929304465384758
2019Q1,OX29,B27,0.009173580613349485,0.008344868857762366
2019Q1,OX29,B29,0.0068759617053090576,0.0017147976382087837
2019Q1,OX29,B3,0.012777298491039276,0.009703515248332358
2019Q1,OX29,B32,0.005823391668265229,0.0075911927172067325
2019Q1,OX29,B37,0.006056086866016425,0.00269580239772854
2019Q1,OX29,B4,0.011521780927404423,0.0018592450247770247
2019Q1,OX29,B40,0.016744933000935946,0.013605193037666618
2019Q1,OX29,B48,0.00406309654870685,0.010871677694338144
2019Q1,OX29,B78,0.002502224841386023,0.00034516591683387757
2019Q1,OX29,B80,0.0033758942497801557,0.003964646117294366
2019Q1,OX29,B90,0.015013038097049652,0.00192604778221724
2019Q1,OX29,B91,0.0026643341016456532,0.0006812095736867523
2019Q1,OX29,B98,0.014304794762424296,0.002763967689288609
2019Q1,OX29,BA1,0.11434932238675816,0.010547836641254785
2019Q1,OX29,BA14,0.011244723348968368,0.002006405816249601
2019Q1,OX29,BA16,0.011753543271356174,0.007081639625181494
2019Q1,OX29,BA2,0.02227976189390526,0.004617361983874659
2019Q1,OX29,BA5,0.00762701266428686,0.003489522074276136
2019Q1,OX29,BA6,0.002184328996618576,0.0013600094345959607
2019Q1,OX29,BH1,0.031329998504883286,0.007994236912616056
2019Q1,OX29,BH15,0.019958717990456475,0.003291621127694866
2019Q1,OX29,BH19,0.027636415711180008,0.039235796675375335
2019Q1,OX29,BH2,0.02783552817215108,0.013772274409956944
2019Q1,OX29,BH20,0.005157748657147999,0.004702411616880902
2019Q1,OX29,BH22,0.00637957983358056,0.0022497561030120792
2019Q1,OX29,BH23,0.019317225527702733,0.0030370314964779355
2019Q1,OX29,BH8,0.019187973451268103,0.0031675244713806746
2019Q1,OX29,BN1,0.04264178367698975,0.002508259816985109
2019Q1,OX29,BN2,0.013073013145464293,0.00201032892049155
2019Q1,OX29,BN3,0.016313228992635844,0.002235204226728232
2019Q1,OX29,BS1,0.17150040310909567,0.011037951541489824
2019Q1,OX29,BS10,0.011156413189287293,0.002241193862388319
2019Q1,OX29,BS11,0.008761777486104273,0.007926809349560037
2019Q1,OX29,BS15,0.007070617198127206,0.003591112277386159
2019Q1,OX29,BS16,0.00879183610853093,0.0020387227899972575
2019Q1,OX29,BS2,0.007357936168357193,0.003024857361493538
2019Q1,OX29,BS20,0.018637589709593786,0.007384541118287542
2019Q1,OX29,BS23,0.026813638660066863,0.005574424363718892
2019Q1,OX29,BS34,0.045248695444758284,0.004516255615874697
2019Q1,OX29,BS35,0.005971093519844497,0.00674576555317116
2019Q1,OX29,BS37,0.027890359245474186,0.006718186183144849
2019Q1,OX29,BS4,0.007040040323589745,0.0014613072434243365
2019Q1,OX29,BS48,0.009674834054919543,0.004239966351323964
2019Q1,OX29,BS6,0.006282148436749325,0.007588731274800195
2019Q1,OX29,BS7,0.005070682302532853,0.0024006412737477053
2019Q1,OX29,BS8,0.051130545951122236,0.012931221409988643
2019Q1,OX29,CA10,0.016876776337924598,0.01732854111292906
2019Q1,OX29,CA11,0.01028533504144718,0.0027560961051286787
2019Q1,OX29,CA12,0.013393914852474405,0.011175473222422166
2019Q1,OX29,CB1,0.009299308575430643,0.00099746046225884
2019Q1,OX29,CB2,0.01924933450118735,0.002665618345887512
2019Q1,OX29,CB23,0.00775978885507496,0.004230061830841751
2019Q1,OX29,CB4,0.006181711177675422,0.003108315015556241
2019Q1,OX29,CB8,0.0030675342438515113,0.0007359896034290161
2019Q1,OX29,CF10,0.06363762779158809,0.005277351286464325
2019Q1,OX29,CF11,0.014709238709696088,0.001422717750864414
2019Q1,OX29,CF14,0.00874508976813637,0.0015928615594402126
2019Q1,OX29,CF15,0.0021901334202595857,0.0023541191574856877
2019Q1,OX29,CF24,0.00854919047025229,0.002090286452520145
2019Q1,OX29,CF31,0.00406537685799439,0.0005877320456777848
2019Q1,OX29,CF32,0.008551056177851185,0.0025200445505534747
2019Q1,OX29,CF48,0.0275839685975666,0.006543603677897256
2019Q1,OX29,CF5,0.012712620627610879,0.0025321569517106905
2019Q1,OX29,CF62,0.004871880792828268,0.0028733477690763764
2019Q1,OX29,CF72,0.009890219632169872,0.0024845844364971077
2019Q1,OX29,CH1,0.02686266530974897,0.0019221624143740809
2019Q1,OX29,CH8,0.010524871167060995,0.0065547275900445096
2019Q1,OX29,CM1,0.0030143615772829755,0.00029188644267006384
2019Q1,OX29,CM23,0.0058766679852559275,0.001045124605945677
2019Q1,OX29,CM24,0.011678914967400334,0.0052173525018634325
2019Q1,OX29,CR0,0.008557793455291644,0.00038283182238871565
2019Q1,OX29,CT1,0.014328427058676981,0.0013674534353117814
2019Q1,OX29,CV21,0.008790799604309322,0.0015881902475802234
2019Q1,OX29,CV23,0.003363767150387332,0.005576468184728292
2019Q1,OX29,CV3,0.01271583379069787,0.0021764554669615453
2019Q1,OX29,CV32,0.03370732458756544,0.009977302944317524
2019Q1,OX29,CV34,0.044714895770629697,0.009698521226776877
2019Q1,OX29,CV35,0.0917915700606174,0.06901723190278954
2019Q1,OX29,CV36,0.0244875158859322,0.12455480544561112
2019Q1,OX29,CV37,0.0810966085507904,0.01721247150815734
2019Q1,OX29,CV4,0.010347732595588036,0.00210364804321486
2019Q1,OX29,CV47,0.017387047366222656,0.06670038366746826
2019Q1,OX29,CV5,0.0032893461472758147,0.0016661125165061596
2019Q1,OX29,CV6,0.004138554056039978,0.0006574291357236236
2019Q1,OX29,CV7,0.004846071837710206,0.002907382513682501
2019Q1,OX29,CV8,0.007223605221236679,0.00387140188831299
2019Q1,OX29,CW2,0.0030525049326381825,0.001610614891266858
2019Q1,OX29,DE1,0.01129229889274022,0.0014638318840644751
2019Q1,OX29,DE6,0.002488957587349429,0.001355694854809335
2019Q1,OX29,DE74,0.0028540143742000804,0.0021928565596980878
2019Q1,OX29,DG16,0.005716839034283835,0.00853458357480482
2019Q1,OX29,DT1,0.011374079075825156,0.0027039028855718205
2019Q1,OX29,DT2,0.004317661985533993,0.005875220966579602
2019Q1,OX29,DT3,0.004036458390211503,0.0016963720951553238
2019Q1,OX29,DT4,0.017080345767048585,0.004513357303233461
2019Q1,OX29,DT6,0.010495019845478659,0.004720218394501909
2019Q1,OX29,DT7,0.01033394708944064,0.030418960650139288
2019Q1,OX29,DY10,0.005537627454367658,0.0014672120618745533
2019Q1,OX29,E1,0.06511464630738076,0.005730123266416916
2019Q1,OX29,E11,0.010010868723565144,0.0037327804986848415
2019Q1,OX29,E14,0.01815882840963264,0.0017726480363214215
2019Q1,OX29,E17,0.006655289956528525,0.0013219629524915282
2019Q1,OX29,E2,0.011659325037611924,0.003359376843102961
2019Q1,OX29,E20,0.011410045772314987,0.001658018352854352
2019Q1,OX29,E4,0.00528710438400479,0.0006453573679789313
2019Q1,OX29,E8,0.0010160850884431954,0.0002644628097746632
2019Q1,OX29,EC1A,0.004948789406071647,0.004674034672191843
2019Q1,OX29,EC1R,0.004684999081672185,0.0052677563982647035
2019Q1,OX29,EC2M,0.01839038345274006,0.003848533981269967
2019Q1,OX29,EC2V,0.009228618987516916,0.006501096568498896
2019Q1,OX29,EC3N,0.008747162776579588,0.00769529183082259
2019Q1,OX29,EC3R,0.0030917884426371603,0.005080152878863403
2019Q1,OX29,EC3V,0.00811323679464359,0.004460451835782325
2019Q1,OX29,EC4M,0.018770780502070525,0.009030755633717632
2019Q1,OX29,EC4N,0.009723549753335165,0.008681810895496486
2019Q1,OX29,EC4R,0.0010091405101584157,0.002893141153955856
2019Q1,OX29,EC4V,0.007963565585043266,0.012997283792781162
2019Q1,OX29,EH1,0.020940391138742253,0.002558490343618257
2019Q1,OX29,EH12,0.005897916321798907,0.0009934283905899614
2019Q1,OX29,EH2,0.0077957555515647875,0.0010826971899651713
2019Q1,OX29,EN1,0.004637423537900337,0.0006252129131476481
2019Q1,OX29,EN6,0.012485729853500693,0.00936505358094203
2019Q1,OX29,EX1,0.017622955727060838,0.004023233512274257
2019Q1,OX29,EX14,0.0033550605149258177,0.001581224914538296
2019Q1,OX29,EX15,0.0049944992422446,0.002733845086938776
2019Q1,OX29,EX2,0.030226536110558463,0.002865094487065584
2019Q1,OX29,EX20,0.0267777756139992,0.01745710311211509
2019Q1,OX29,EX23,0.006635285425051474,0.0044547893656125045
2019Q1,OX29,EX31,0.06917919396199786,0.013031977440458873
2019Q1,OX29,EX32,0.012401876661972537,0.008135474888824039
2019Q1,OX29,EX33,0.005994414864830697,0.015597009457298047
2019Q1,OX29,EX34,0.008084629278127184,0.00978484713221478
2019Q1,OX29,EX39,0.008378789176219788,0.0029419111000823115
2019Q1,OX29,EX5,0.009140827079946644,0.009726128289609592
2019Q1,OX29,EX8,0.01840831497577389,0.005802370234956415
2019Q1,OX29,FY1,0.00901779402884167,0.002105332038496133
2019Q1,OX29,G1,0.006793766920535472,0.000712522641296276
2019Q1,OX29,G2,0.008205589320788942,0.0006206251740274963
2019Q1,OX29,GL1,0.1078600804065314,0.012345415004600286
2019Q1,OX29,GL10,0.003200103133795289,0.0076708448571478575
2019Q1,OX29,GL11,0.01370569532233436,0.012030911634590859
2019Q1,OX29,GL16,0.007754191732278271,0.01145408671650803
2019Q1,OX29,GL19,0.007312744584295044,0.04022867233618088
2019Q1,OX29,GL2,0.14489686385474893,0.023031421160884438
2019Q1,OX29,GL20,0.03548078331073825,0.01584741851826732
2019Q1,OX29,GL4,0.09352812923350094,0.0241995655683826
2019Q1,OX29,GL5,0.021711964881307912,0.005467540108096943
2019Q1,OX29,GL50,0.23236424195323616,0.03942587510841161
2019Q1,OX29,GL51,0.17406927517193113,0.02332886392576178
2019Q1,OX29,GL53,0.01794727789800226,0.02451002155785435
2019Q1,OX29,GL54,0.5673417799432195,0.3504265295424957
2019Q1,OX29,GL55,0.015304710385010394,0.052588532126581836
2019Q1,OX29,GL56,0.2566484993613109,0.22527186528711216
2019Q1,OX29,GL6,0.01259000217819455,0.011447149635096686
2019Q1,OX29,GL7,0.6748300662854598,0.1143547647991452
2019Q1,OX29,GL8,0.0431557861204856,N/A
2019Q1,OX29,GU14,0.009903590536628627,0.0011718546849864985
2019Q1,OX29,GU22,0.0032999184903362245,0.0017599776627175235
2019Q1,OX29,GU34,0.004899762756389547,0.001618188096269404
2019Q1,OX29,GU51,0.0069037400184481755,0.002394056522850398
2019Q1,OX29,GU9,0.003670365099139242,0.0008631817601308222
2019Q1,OX29,HA0,0.03639508368461945,0.010647760427405352
2019Q1,OX29,HA1,0.032064258095471025,0.006327064403746721
2019Q1,OX29,HA3,0.007828405434545467,0.003456821048614168
2019Q1,OX29,HA4,0.019903990567555523,0.0031585970138882074
2019Q1,OX29,HA8,0.008274413201103772,0.002664774543885658
2019Q1,OX29,HA9,0.0357520364655333,0.006427422726808136
2019Q1,OX29,HP1,0.007899302323303516,0.002641188889894506
2019Q1,OX29,HP11,0.04779248410543081,0.008142632524536718
2019Q1,OX29,HP12,0.08070937057359731,0.04728065587271837
2019Q1,OX29,HP13,0.01052093245101888,0.006574167623875249
2019Q1,OX29,HP17,0.00508312035319216,0.02167871363081489
2019Q1,OX29,HP18,0.014025560525122865,N/A
2019Q1,OX29,HP20,0.017533816364002475,0.004177945376551322
2019Q1,OX29,HP22,0.0041248722003147395,0.0034599312070979146
2019Q1,OX29,HR1,0.017261423054563657,0.005230106339736864
2019Q1,OX29,HR3,0.004782534128925582,0.010886812144577412
2019Q1,OX29,HR4,0.02608653094860824,0.004763762217422375
2019Q1,OX29,HR5,0.005055963942586007,0.0026503240490839647
2019Q1,OX29,HR8,0.02247317358165748,0.01619824063993095
2019Q1,OX29,HR9,0.05743746683876803,0.02250780050895787
2019Q1,OX29,KT1,0.009142070885012574,0.0012985101366800814
2019Q1,OX29,KT11,0.03857132794830948,0.014249966452290206
2019Q1,OX29,L1,0.013535397678724016,0.0011546661209489747
2019Q1,OX29,L2,0.004480185847482268,0.00206876042362294
2019Q1,OX29,L3,0.012027698637971727,0.0014403466336341186
2019Q1,OX29,LA22,0.013030620122800488,0.01053102450440743
2019Q1,OX29,LA9,0.006117447915935673,0.0011107052725193775
2019Q1,OX29,LD3,0.008281357779388552,0.0046110921954967896
2019Q1,OX29,LE1,0.01530419213289959,0.0011773582421346854
2019Q1,OX29,LE11,0.007909563715097444,0.0009023665916932217
2019Q1,OX29,LE16,0.004788545853410913,0.001217824003579354
2019Q1,OX29,LE2,0.0060740183890502595,0.0007868815228924585
2019Q1,OX29,LE3,0.017827354359562113,0.003392526842026628
2019Q1,OX29,LE4,0.0023642661294898787,0.00023383177965900307
