time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,PO39,PO30,5.065238379654102,0.00625724665571901
2019Q1,PO39,PO41,1.3466921755972587,0.14586681153593115
2019Q1,PO39,UNKNOWN,93.58806944474865,0.00042362103539920115
2019Q2,PO39,PO30,1.6849153783453097,0.0020814284197697877
2019Q2,PO39,PO41,1.5684499832183278,0.1698864835270733
2019Q2,PO39,UNKNOWN,47.832692946311084,0.0002165119446534897
2019Q3,PO39,UNKNOWN,79.44276265980325,0.00035959311451324314
2019Q4,PO39,PO30,5.660410585653713,0.006992481410025337
2019Q4,PO39,PO31,0.918951923913616,0.006553331752581249
2019Q4,PO39,UNKNOWN,77.01038214264362,0.0003485830834347377
2020Q1,PO39,PO30,15.603728786871581,0.0192757719282436
2020Q1,PO39,PO31,1.3315235567910129,0.009495508281724569
2020Q1,PO39,PO39,8.149869505482311,N/A
2020Q1,PO39,PO41,2.4654703041359864,0.2670471386984502
2020Q1,PO39,UNKNOWN,146.3342849853464,0.0006623737586177184
2020Q2,PO39,PO30,26.084075288440534,0.03222247022404957
2020Q2,PO39,PO31,5.545721028826,0.039548260103081635
2020Q2,PO39,PO33,2.8791814332554133,0.03418889618098851
2020Q2,PO39,PO36,0.5075641832357313,0.003921081652404034
2020Q2,PO39,PO38,0.21786576201517396,0.004619614010005892
2020Q2,PO39,PO39,77.61357521829494,N/A
2020Q2,PO39,PO40,20.40247303241556,1.426109800951557
2020Q2,PO39,UNKNOWN,72.19281401112741,0.0003267766372489456
2020Q3,PO39,PO30,34.441851062809626,0.042547090823049215
2020Q3,PO39,PO36,1.5599999526443122,0.012051455548083602
2020Q3,PO39,PO38,2.122837102944754,0.04501252482728741
2020Q3,PO39,PO39,21.23337297399048,N/A
2020Q3,PO39,PO40,132.0351166104219,9.229105391720788
2020Q3,PO39,PO41,6.835320003101798,0.7403669173603386
2020Q3,PO39,SO14,0.5782869435040723,0.0007928867666608283
2020Q3,PO39,SO41,0.8079472315568833,0.0021743120852972674
2020Q3,PO39,UNKNOWN,249.8823359140211,0.0011310780796729887
2020Q4,PO39,NP19,11.609394894938447,0.01642714309053929
2020Q4,PO39,PO30,39.023809847970476,0.048207327150771265
2020Q4,PO39,PO31,4.574574257566403,0.032622710673457136
2020Q4,PO39,PO33,0.9374058435735076,0.011131244004011866
