time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,S80,AL1,0.0009545801371939613,0.00037557334026047814
2019Q1,S80,AL8,0.0025697046672190737,0.0020788642395207935
2019Q1,S80,B1,0.011464433938763386,0.009903575309786724
2019Q1,S80,B14,0.004000662178165936,0.0028925871392366173
2019Q1,S80,B15,0.003091371439180878,0.0068703463942416595
2019Q1,S80,B16,0.0043985971301844645,0.01340036107027766
2019Q1,S80,B2,0.011811455318939224,0.005029745150587735
2019Q1,S80,B24,0.0021755684991461733,0.0013296761596357926
2019Q1,S80,B26,0.016640301732108263,0.017648364815655904
2019Q1,S80,B27,0.0009400756894015676,0.0017966383377737067
2019Q1,S80,B3,0.004854253864233947,0.007745148405120457
2019Q1,S80,B37,0.003716394735377596,0.003475641723503986
2019Q1,S80,B4,0.01747519550758676,0.005924562213893654
2019Q1,S80,B40,0.00882477244511705,0.015064059278824257
2019Q1,S80,B46,0.004414186944818465,0.01958446979431193
2019Q1,S80,B48,0.006334052883053156,0.03560724049740765
2019Q1,S80,B5,0.016371081420533118,0.00449828849374008
2019Q1,S80,B69,0.003408051882648139,0.0016093711829525507
2019Q1,S80,B7,0.0017985021914003754,N/A
2019Q1,S80,B74,0.0007330666317931195,0.001564356064015459
2019Q1,S80,B77,0.007871869693041938,0.005898353173324894
2019Q1,S80,B78,0.016714600025901954,0.004844118613868559
2019Q1,S80,B79,0.0014600650762445235,0.0011770369517789564
2019Q1,S80,B91,0.003168383150078587,0.0017019506415604205
2019Q1,S80,BA1,0.01676393488233866,0.003248799961985617
2019Q1,S80,BA2,0.002679474722790761,0.0011666759590241518
2019Q1,S80,BB11,0.002502855936747328,0.0015149442825742828
2019Q1,S80,BB5,0.002436845898835005,0.0012243750675593511
2019Q1,S80,BD1,0.008133097757874333,0.0028304445648677885
2019Q1,S80,BD21,0.0012456557901705685,0.0006174521611801621
2019Q1,S80,BD23,0.008400542014617755,0.005048937912103071
2019Q1,S80,BD7,0.0026050284244277604,0.0043210124122507465
2019Q1,S80,BD8,0.0026113926209080968,0.006998583372594481
2019Q1,S80,BH1,0.0008149624934780632,0.0004368893608924081
2019Q1,S80,BH15,0.0019934242091818287,0.0006907074402810518
2019Q1,S80,BH2,0.0014328815703478946,0.0014894766673224902
2019Q1,S80,BL1,0.003400207640474702,0.0009656781873154693
2019Q1,S80,BL3,0.0017057033264429179,0.000802919366588806
2019Q1,S80,BL5,0.0007852135750467253,0.0011738327504039775
2019Q1,S80,BL6,0.0070646034371680015,0.0027484131441808273
2019Q1,S80,BL9,0.01491713386648675,0.003014460768854176
2019Q1,S80,BN1,0.004358635896470727,0.0005386478811643178
2019Q1,S80,BN21,0.00126154161394319,0.0006779799261690545
2019Q1,S80,BS1,0.009196362583798374,0.001243531040052178
2019Q1,S80,BS20,0.0011159051177420133,0.0009289198471433828
2019Q1,S80,BT1,0.0031738593191430625,0.0008225412895326799
2019Q1,S80,BT3,0.001217041573437275,0.0012056254414835096
2019Q1,S80,CA11,0.008311788607888108,0.004679372408861792
2019Q1,S80,CA12,0.011116820540310305,0.019487502771209832
2019Q1,S80,CA3,0.004313987851395503,0.0013235814629799765
2019Q1,S80,CA4,0.0012535000323440056,0.006551089256659932
2019Q1,S80,CB1,0.00557932824928432,0.0012573151556801812
2019Q1,S80,CB2,0.00443061545201189,0.0012890314504513376
2019Q1,S80,CB23,0.007057548552697551,0.008082912778324127
2019Q1,S80,CF10,0.011812195341785773,0.002058021221385728
2019Q1,S80,CF14,0.0014019486153620756,0.0005364917677236552
2019Q1,S80,CF24,0.00101328861635365,0.0005205125234697841
2019Q1,S80,CF48,0.003126991205528185,0.0015584903031138069
2019Q1,S80,CF72,0.002786038012694061,0.0014704561177319472
2019Q1,S80,CH1,0.0178816160549124,0.0026882208921677354
2019Q1,S80,CH2,0.004714093537097243,0.007365472640124189
2019Q1,S80,CH62,0.002241973215909989,0.0010642953501464117
2019Q1,S80,CH65,0.010556573910614993,0.002491508559835325
2019Q1,S80,CH7,0.0033086421469281624,0.0019581855267266413
