time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,SA65,BA1,0.03849077153891211,0.001023814803249291
2019Q1,SA65,BA5,0.011911028795279648,0.0015714325529366212
2019Q1,SA65,BS1,0.07567315231176762,0.0014044301755729393
2019Q1,SA65,BS48,0.02217398845254568,0.0028021907226923213
2019Q1,SA65,BS5,0.020934611704918428,0.0011247225883351754
2019Q1,SA65,CF10,0.7773606040118395,0.01858915023848851
2019Q1,SA65,CF14,0.06323876721006531,0.0033214838361166144
2019Q1,SA65,CF15,0.01227119570395787,0.003803467767032839
2019Q1,SA65,CF23,0.11415134317023687,0.006387712693103114
2019Q1,SA65,CF24,0.0568812102102732,0.0040103717215540895
2019Q1,SA65,CF32,0.14706779492892758,0.012498014616109328
2019Q1,SA65,CF5,0.11083291911742517,0.006365892414975889
2019Q1,SA65,CF62,0.03261703156415082,0.005547163441940484
2019Q1,SA65,CF72,0.04659812146429861,0.0033756018945766786
2019Q1,SA65,HR9,0.02565236687098794,0.002898679573834851
2019Q1,SA65,L1,0.02490471500466988,0.0006126352305824519
2019Q1,SA65,LD3,0.020504711881785542,0.003292235682092124
2019Q1,SA65,LL40,0.014153984394233838,0.011712128928371613
2019Q1,SA65,NP25,0.011570990975309992,0.0026368468900252397
2019Q1,SA65,NP44,0.014005532365008184,0.0006221838336166594
2019Q1,SA65,NP7,0.017568381066423878,0.0016808232494000175
2019Q1,SA65,RG1,0.01590377731982823,0.0003462889623434871
2019Q1,SA65,RG17,0.016746323461486662,0.003020360740634982
2019Q1,SA65,RH6,0.018412005552120272,0.0008465308462542001
2019Q1,SA65,SA14,0.5800922996358059,0.034886935050825296
2019Q1,SA65,SA15,0.07180297555953367,0.010469701998786916
2019Q1,SA65,SA2,0.005058871330077128,0.0013913829600907682
2019Q1,SA65,SA3,0.09187095810594592,0.01189327583870155
2019Q1,SA65,SA31,1.7036484275220602,0.09566445069627943
2019Q1,SA65,SA32,0.017717192543662188,0.02426268391239928
2019Q1,SA65,SA33,0.2504881771294243,0.15414498760268794
2019Q1,SA65,SA34,0.026826683528325013,N/A
2019Q1,SA65,SA38,0.11972350626238235,0.0929768640703348
2019Q1,SA65,SA4,0.028422273256491305,0.0029708984573064965
2019Q1,SA65,SA41,0.4096132961947813,0.8798767439663698
2019Q1,SA65,SA43,4.163652395540561,0.7445394681792185
2019Q1,SA65,SA46,0.06677106283040551,0.09394558009081964
2019Q1,SA65,SA48,0.02494030035792252,0.011550899592167593
2019Q1,SA65,SA6,0.03711947737064124,0.004382542438163904
2019Q1,SA65,SA61,19.88290743752143,1.7622068384603322
2019Q1,SA65,SA62,7.615487375488467,1.4428405643428126
2019Q1,SA65,SA66,0.1972722583041729,0.8964763979009234
2019Q1,SA65,SA67,0.3789671180840064,0.2850779187957521
2019Q1,SA65,SA7,0.02545862439216802,0.0043076637434799
2019Q1,SA65,SA70,0.09583279410140637,0.0433127296226243
2019Q1,SA65,SA71,0.036996905598326586,0.03931854502168609
2019Q1,SA65,SA72,0.3704424490159299,0.06468978508555795
2019Q1,SA65,SA73,0.5151759885506894,0.2675470745941835
