time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,SK3,AB10,0.0016858952306816651,0.0007643212197282022
2019Q1,SK3,AB11,0.0009978215101088526,0.0004917644030775475
2019Q1,SK3,B13,0.0006338224888563554,0.0019295907793893973
2019Q1,SK3,B14,0.0013384199120470327,0.0009996996888009349
2019Q1,SK3,B2,0.013985499524116377,0.006152379965644318
2019Q1,SK3,B26,0.0020457872044626693,0.002241435938406868
2019Q1,SK3,B29,0.001810491589438916,0.0009799766839840394
2019Q1,SK3,B3,0.0027425525836379428,0.004520482779531857
2019Q1,SK3,B31,0.0013499291962404008,0.0007817593930200483
2019Q1,SK3,B32,0.002719247477055521,0.00769347513158342
2019Q1,SK3,B40,0.0046029973318580325,0.008117117280723835
2019Q1,SK3,B42,0.0018644562829596876,0.00210329714149646
2019Q1,SK3,B5,0.02423774065301215,0.006879940274531422
2019Q1,SK3,B77,0.0010722259282551908,0.0008299688233109207
2019Q1,SK3,B78,0.0017472144045583649,0.0005231034436553682
2019Q1,SK3,B91,0.001453035190321238,0.0008063210460608103
2019Q1,SK3,BA1,0.009953334034429832,0.001992682848616624
2019Q1,SK3,BA16,0.0009754237744794348,0.0012755519537226358
2019Q1,SK3,BA2,0.001768513743770988,0.0007954843149687433
2019Q1,SK3,BB11,0.006261098357558203,0.003915019517600358
2019Q1,SK3,BB2,0.019388463741962413,0.009626676039233005
2019Q1,SK3,BB3,0.006308329403480366,0.009280873491132187
2019Q1,SK3,BB4,0.016548249389961658,0.013117442485492006
2019Q1,SK3,BB5,0.013072732101760172,0.006785398676834468
2019Q1,SK3,BB7,0.01031083818991346,0.0067385294180023324
2019Q1,SK3,BD10,0.0014678396637649894,0.0016443822448704516
2019Q1,SK3,BD21,0.002601050471335247,0.0013319154009536036
2019Q1,SK3,BD23,0.008287066670152625,0.005145364572878278
2019Q1,SK3,BD24,0.002324923163426307,0.011455628550123009
2019Q1,SK3,BD5,0.004068460327806707,0.0069110853491807425
2019Q1,SK3,BD7,0.0017309772401361858,0.002966108287302627
2019Q1,SK3,BH1,0.0018931578588941864,0.0010484392544643651
2019Q1,SK3,BL0,0.004850852871126002,0.010571750358842105
2019Q1,SK3,BL1,0.059746031426020425,0.017529060625131727
2019Q1,SK3,BL3,0.08390931990452029,0.040803858730785084
2019Q1,SK3,BL4,0.01830702083507934,0.01700643611015031
2019Q1,SK3,BL5,0.01049059315134017,0.01620097175474311
2019Q1,SK3,BL6,0.04506061460257625,0.01810981179087626
2019Q1,SK3,BL7,0.008426085451426047,0.056432081209743336
2019Q1,SK3,BL9,0.22249819837168167,0.04644867664092195
2019Q1,SK3,BN1,0.0063466300089703295,0.000810252057943736
2019Q1,SK3,BN2,0.001336414144677234,0.00044603844180450916
2019Q1,SK3,BS1,0.00926368435378075,0.001294037584893493
2019Q1,SK3,BS16,0.0019710484917546986,0.0009920092159057415
2019Q1,SK3,BS34,0.001617794652840408,0.00035045773630886483
2019Q1,SK3,BS8,0.003450206414249265,0.0018938431171138738
2019Q1,SK3,BT1,0.009765556003523926,0.00261450578509737
2019Q1,SK3,BT2,0.006073415839384193,0.015870039392039997
2019Q1,SK3,BT3,0.0052083092702436785,0.005329989486731993
2019Q1,SK3,CA1,0.0053807575076804115,0.0036150026670667096
2019Q1,SK3,CA10,0.022936713975502072,0.05111442844399012
2019Q1,SK3,CA11,0.009352176899881626,0.005439117376257967
2019Q1,SK3,CA12,0.01991550299655996,0.0360652936004253
2019Q1,SK3,CA13,0.0016380911083681321,0.0025227218481140927
2019Q1,SK3,CA14,0.006080244999714697,0.002895052966766286
2019Q1,SK3,CA3,0.0065106731260002855,0.002063574950876836
2019Q1,SK3,CB1,0.0026401151786803728,0.0006146214442481492
2019Q1,SK3,CB2,0.0043435847520307495,0.0013054803914271775
2019Q1,SK3,CB23,0.0013082378887681585,0.0015478302784222124
2019Q1,SK3,CF10,0.016384492811127388,0.0029490003748047326
2019Q1,SK3,CF11,0.005120580825997966,0.0010749483158643037
2019Q1,SK3,CF14,0.0032479104480952928,0.0012839780808278774
2019Q1,SK3,CF23,0.0019606376039781248,0.0008257840522692298
2019Q1,SK3,CF24,0.002006340446189964,0.0010646950745417287
2019Q1,SK3,CF32,0.0017916278248896196,0.0011459774222543804
2019Q1,SK3,CF5,0.0033039764217177585,0.0014283422330973136
2019Q1,SK3,CH1,0.17784766768349736,0.027620336020923925
2019Q1,SK3,CH2,0.04856879724508588,0.07839391814676652
2019Q1,SK3,CH3,0.023430514799400108,0.019960487278364518
2019Q1,SK3,CH4,0.016304405385433287,0.008049823628465215
2019Q1,SK3,CH41,0.0035423762005281053,0.0022006701055899
2019Q1,SK3,CH44,0.0027588852607920177,0.002917469647960336
2019Q1,SK3,CH45,0.0037709859243191977,0.010113606075697841
2019Q1,SK3,CH47,0.004884139058191469,0.023201953210985442
2019Q1,SK3,CH49,0.002530036755171187,0.0038197766944758657
2019Q1,SK3,CH6,0.006065249500807154,0.010567819481606634
2019Q1,SK3,CH62,0.00843472935366256,0.004136428235693585
2019Q1,SK3,CH64,0.0041641640851656685,0.010307572582508986
2019Q1,SK3,CH65,0.18710538249153466,0.045619263471979435
2019Q1,SK3,CH66,0.0036383187397168045,0.013003136224693648
2019Q1,SK3,CH7,0.010953113555542536,0.006696752155324865
2019Q1,SK3,CH8,0.015170525988739763,0.02050587480935464
2019Q1,SK3,CM23,0.001414209264805851,0.0005458714739028403
2019Q1,SK3,CM24,0.0005069338245336206,0.0004915172424232343
2019Q1,SK3,CM77,0.003139646766492117,0.001765032859605243
2019Q1,SK3,CV1,0.0051270756917668366,0.0014216852891330224
