time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,SM6,AL10,0.00482030646374269,0.004514810680196997
2019Q1,SM6,AL2,0.005877206091798161,0.007831355799001334
2019Q1,SM6,AL3,0.0019618697341220867,0.004118820765474621
2019Q1,SM6,AL5,0.0021775281900758684,0.002967685683489988
2019Q1,SM6,AL8,0.0010281301998891204,0.001279399313880211
2019Q1,SM6,B1,0.005063226919631141,0.006727936224523586
2019Q1,SM6,B14,0.0011462548419589865,0.0012748257752821172
2019Q1,SM6,B2,0.0061569462840689645,0.004032951654134159
2019Q1,SM6,B26,0.0012964524251284633,0.0021150222583286426
2019Q1,SM6,B29,0.003459227062298511,0.0027879872662577767
2019Q1,SM6,B37,0.002088493705583349,0.0030044253565566052
2019Q1,SM6,B40,0.0059188367693454565,0.015541393104078628
2019Q1,SM6,B43,0.0010655913950934656,N/A
2019Q1,SM6,B5,0.004023037293888567,0.0017003529421876866
2019Q1,SM6,B90,0.0017630174993045005,0.0007309495145826825
2019Q1,SM6,B91,0.0021317280301856247,0.0017613925039910519
2019Q1,SM6,BA1,0.01959602177186344,0.005841575599615826
2019Q1,SM6,BA12,0.007491340998518267,0.010093787653644468
2019Q1,SM6,BA14,0.0016937078735882415,0.000976654146068275
2019Q1,SM6,BA16,0.0020096263434194067,0.003913024935929151
2019Q1,SM6,BA2,0.003683096191173793,0.002466770396128636
2019Q1,SM6,BA22,0.0039710791293071975,0.008737845278702512
2019Q1,SM6,BB2,0.0007034237441966618,0.0005200468460627019
2019Q1,SM6,BD23,0.001816418946235352,0.0016792827510280096
2019Q1,SM6,BH1,0.012785781750536502,0.01054329154619988
2019Q1,SM6,BH12,0.0027251736593517212,0.0012725690704251315
2019Q1,SM6,BH15,0.008019774776075454,0.00427436554044935
2019Q1,SM6,BH17,0.001094136312672119,0.0015677569961913087
2019Q1,SM6,BH19,0.003882237082461276,0.0178120990161464
2019Q1,SM6,BH2,0.011108206566321364,0.017761614375217116
2019Q1,SM6,BH20,0.0018702052684593988,0.005510386121499613
2019Q1,SM6,BH21,0.004712637600471296,0.005731357551062393
2019Q1,SM6,BH22,0.003810810642632443,0.00434303190777407
2019Q1,SM6,BH23,0.011129502999211506,0.005654739530001355
2019Q1,SM6,BH24,0.002844773656712169,0.0038968322173911158
