time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,SS7,AB21,0.0018470415707113595,0.009881388931075692
2019Q1,SS7,AL10,0.0052972539907992855,0.008066470560428087
2019Q1,SS7,AL3,0.004121715047778831,0.014068524562979759
2019Q1,SS7,AL4,0.0014272020066078948,0.006232442009701193
2019Q1,SS7,AL5,0.001183449649965549,0.002622235932313557
2019Q1,SS7,AL8,0.0010747119525058044,0.002174292357797796
2019Q1,SS7,B1,0.003986088837685264,0.008611311730548608
2019Q1,SS7,B16,0.0037690869015355537,0.028715832402758133
2019Q1,SS7,B26,0.000849661217269815,0.0022535750004011343
2019Q1,SS7,B29,0.0016129556639520458,0.0021134988165942077
2019Q1,SS7,B3,0.0017664154877073718,0.00704827868917709
2019Q1,SS7,B4,0.003881691178948512,0.003291077784682224
2019Q1,SS7,B40,0.005962246560405699,0.025452554576650358
2019Q1,SS7,B5,0.0028786490477183345,0.001978069755225612
2019Q1,SS7,B7,0.00037531471229529216,N/A
2019Q1,SS7,B78,0.0014272611889541175,0.0010344397049423886
2019Q1,SS7,B91,0.0018011357974913253,0.002419572662407087
2019Q1,SS7,BA1,0.014409658475944087,0.0069836688684572
2019Q1,SS7,BA11,0.0028099580712025816,0.00401695330099413
2019Q1,SS7,BA12,0.00506287217230886,0.0110907118884925
2019Q1,SS7,BA16,0.0015947472287642112,0.005048437913683436
2019Q1,SS7,BA2,0.001755131387027587,0.0019111429039331965
2019Q1,SS7,BA20,0.0006887641453391763,0.0006305547147166048
2019Q1,SS7,BA22,0.001583502582981908,0.005664772179851809
2019Q1,SS7,BA3,0.0007293632348479128,0.002303278609013043
2019Q1,SS7,BA5,0.0011917154509879788,0.002864733352154641
2019Q1,SS7,BA6,0.0012301050662377364,0.004024076506322061
2019Q1,SS7,BD23,0.0018054758362143195,0.002713734446742848
2019Q1,SS7,BH1,0.00775142752396005,0.010391984322175092
2019Q1,SS7,BH12,0.0030906007569903773,0.002346377853052364
2019Q1,SS7,BH15,0.004500935794924818,0.003900139750155017
2019Q1,SS7,BH19,0.003975870019237486,0.02965740090970347
2019Q1,SS7,BH2,0.0055941915492470524,0.014542654471123394
2019Q1,SS7,BH20,0.0035590882096888585,0.0170490180469913
2019Q1,SS7,BH21,0.0014329821490889733,0.002833362242839495
2019Q1,SS7,BH22,0.0018024772640057051,0.003339745006029516
2019Q1,SS7,BH23,0.004584639359932382,0.0037871270584162366
2019Q1,SS7,BH24,0.002354392097429379,0.005243371679050702
2019Q1,SS7,BH8,0.002607731994159793,0.002261798839807633
2019Q1,SS7,BH9,0.0005916656426365518,0.002184517421343087
2019Q1,SS7,BL9,0.004430370710778681,0.0022389647776974914
2019Q1,SS7,BN1,0.04342725601512688,0.013421458063291132
2019Q1,SS7,BN11,0.001923406524787316,0.00247442521626039
2019Q1,SS7,BN17,0.001229572425121733,0.0027191687676631337
2019Q1,SS7,BN18,0.002531682679263691,0.022161121134120467
2019Q1,SS7,BN2,0.013981651748061898,0.011296659922919157
2019Q1,SS7,BN21,0.006219571401781772,0.008359083384417845
2019Q1,SS7,BN22,0.0017403555279206658,0.003939995323598024
2019Q1,SS7,BN26,0.0030176683789953345,0.01867667170789963
2019Q1,SS7,BN27,0.001084615131773727,0.00276231913494398
2019Q1,SS7,BN3,0.004883411571113051,0.003515610533914577
2019Q1,SS7,BN9,0.001978229104838229,0.01492672079076354
2019Q1,SS7,BR1,0.009300919985312676,0.005678602626132468
2019Q1,SS7,BR2,0.0037439935867371525,0.009341046104169595
2019Q1,SS7,BR3,0.0017984528644625652,0.0022158355968317366
2019Q1,SS7,BR5,0.004137201095040424,0.0057985989913728045
2019Q1,SS7,BR6,0.011092034238843631,0.011911192098638194
2019Q1,SS7,BR8,0.0030460561777334648,0.02455238593103199
2019Q1,SS7,BS1,0.007976695261132188,0.0026974070629852843
2019Q1,SS7,BS16,0.0017518960854340825,0.002134455416822363
2019Q1,SS7,BS2,0.0006226969195059603,0.0013450107428796911
2019Q1,SS7,BS20,0.00028014949956927434,0.0005832083977754622
2019Q1,SS7,BS23,0.0015413844799201234,0.0016836639307395713
