time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,SW1E,AL1,0.01359917820682012,0.0006963509009170838
2019Q1,SW1E,AL10,0.029448901947128493,0.002333737639478243
2019Q1,SW1E,B3,0.003795260549315207,0.0007881011629984146
2019Q1,SW1E,B40,0.007013574778608665,0.0015581563928822161
2019Q1,SW1E,BA1,0.07637677552119708,0.0019263776866344808
2019Q1,SW1E,BH1,0.011417244555016451,0.0007965779200144342
2019Q1,SW1E,BN1,0.11006255593014098,0.0017702193032133988
2019Q1,SW1E,BN2,0.022510383260086392,0.0009465087474870346
2019Q1,SW1E,BR1,0.12107836411662723,0.003847089444754225
2019Q1,SW1E,BR3,0.02749213657002451,0.0017627760287415313
2019Q1,SW1E,BS1,0.09074508913098968,0.0015969701170879351
2019Q1,SW1E,BS8,0.03916790766265912,0.002708568417890377
2019Q1,SW1E,CB2,0.049743235150153685,0.0018835042151951
2019Q1,SW1E,CF10,0.05085201832102334,0.0011530829132129939
2019Q1,SW1E,CM24,0.04381873184159922,0.005352513955526497
2019Q1,SW1E,CR0,0.2670871018396081,0.0032670024939938525
2019Q1,SW1E,CR2,0.04178615223058962,0.004796583815508335
2019Q1,SW1E,CR4,0.03370359675391174,0.004416606603363506
2019Q1,SW1E,CT1,0.059653671806296,0.0015566878297439519
2019Q1,SW1E,DA9,0.030919698084897473,0.0008833788886076668
2019Q1,SW1E,E1,0.6202074381729717,0.014923564580132102
2019Q1,SW1E,E10,0.05085201832102334,0.0030266391462143213
2019Q1,SW1E,E12,0.011518077486110924,0.003888842806958419
2019Q1,SW1E,E13,0.049455141061312345,0.007926919320819022
2019Q1,SW1E,E14,0.4245168748293008,0.01133130599654032
2019Q1,SW1E,E15,0.1926875615386695,0.0070536145099861875
2019Q1,SW1E,E16,0.19043929043219845,0.018462465466756988
2019Q1,SW1E,E17,0.09319464702848017,0.0050616672408858926
2019Q1,SW1E,E1W,0.05209271825888877,0.014395884303018294
2019Q1,SW1E,E2,0.15522471599654775,0.012229156661229321
2019Q1,SW1E,E20,0.17959633869901706,0.007135916273462827
2019Q1,SW1E,E3,0.1146686497110768,0.014017673614534655
2019Q1,SW1E,E4,0.05276898122532688,0.0017612111150360746
2019Q1,SW1E,E5,0.02045126866720982,0.004861931162536296
2019Q1,SW1E,E6,0.05600624901309674,0.0022606657304796753
2019Q1,SW1E,E7,0.009421813918620604,0.002097143644034883
2019Q1,SW1E,E8,0.051971036413470256,0.0036986754751521063
2019Q1,SW1E,EC1A,0.16499679167581233,0.04261071055872352
2019Q1,SW1E,EC1M,0.13985186378750572,0.029163890916699187
2019Q1,SW1E,EC1R,0.13965512585052064,0.04293617711748436
2019Q1,SW1E,EC1V,0.16366094487439534,0.014088083175883937
2019Q1,SW1E,EC2A,0.2308755702280985,0.03166835567674692
