time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,SW7,AB10,0.0008675122780785909,0.0009723866812201297
2019Q1,SW7,AB11,0.0017169449450892813,0.002092081662714513
2019Q1,SW7,AB21,0.0004206600105093417,0.002298424489906507
2019Q1,SW7,AL1,0.015479083079339246,0.015554935993480741
2019Q1,SW7,AL10,0.011043938147156726,0.017175698608486906
2019Q1,SW7,AL2,0.0071183253307436,0.015749596076920894
2019Q1,SW7,AL4,0.0026534147140999296,0.01183411050884158
2019Q1,SW7,AL5,0.00816798582716653,0.018483943949287752
2019Q1,SW7,AL6,0.0014885932762380807,0.005252360240961435
2019Q1,SW7,AL8,0.014445493348310003,0.029848047544292083
2019Q1,SW7,AL9,0.006318920647350285,N/A
2019Q1,SW7,B1,0.005420754156916183,0.011960235682020509
2019Q1,SW7,B10,0.0016599246332597475,0.008109400592668129
2019Q1,SW7,B13,0.0004866042329300824,0.0036626168561164642
2019Q1,SW7,B15,0.0010411615339551167,0.005909982466644545
2019Q1,SW7,B16,0.0006445497240649381,0.005015328389534257
2019Q1,SW7,B17,0.0010228501330017301,0.003845041711285356
2019Q1,SW7,B18,0.001635084483865175,0.0066103120011352145
2019Q1,SW7,B19,0.0008320870572468281,0.005102275955362057
2019Q1,SW7,B2,0.028542142918963717,0.031043435639673825
2019Q1,SW7,B24,0.0009719529373137828,0.001517256444208659
2019Q1,SW7,B26,0.004033047428335843,0.010924894177124559
2019Q1,SW7,B32,0.0009370878753719444,0.006554992141440782
2019Q1,SW7,B40,0.004892659534484122,0.02133163431003565
2019Q1,SW7,B49,0.0010322762550114902,0.006127676243426679
2019Q1,SW7,B5,0.021505117890554298,0.015092194663018987
2019Q1,SW7,B69,0.0008890880532525709,0.0010723472232212355
2019Q1,SW7,B72,0.0010587196177806743,0.003730583287624483
2019Q1,SW7,B73,0.0011911875373358707,0.004949413755427981
2019Q1,SW7,B78,0.0020046155088010837,0.0014838517051877155
2019Q1,SW7,B79,0.002745473930285416,0.005652959086942178
2019Q1,SW7,B90,0.0048038067450478575,0.003307058203308846
2019Q1,SW7,B91,0.0041467017355191,0.0056892196097840225
2019Q1,SW7,B93,0.0005996018021044624,0.004527292883300061
2019Q1,SW7,BA1,0.07042744443833783,0.0348601755455305
2019Q1,SW7,BA10,0.005828144196481457,0.261406124953027
2019Q1,SW7,BA11,0.005047862178640728,0.0073699089224769825
2019Q1,SW7,BA12,0.011681959122780477,0.02613580203827804
2019Q1,SW7,BA13,0.00047037894094606887,0.0017739904015157664
2019Q1,SW7,BA15,0.0007284962942584178,0.006635884969546002
2019Q1,SW7,BA2,0.009938667394040965,0.011052725264701944
2019Q1,SW7,BA20,0.0038551486912254095,0.003604550115618764
2019Q1,SW7,BA21,0.0016323416368869248,0.004824398403304985
2019Q1,SW7,BA22,0.00359662570561346,0.0131406426473556
2019Q1,SW7,BA5,0.0030853358498791287,0.0075748104268074795
2019Q1,SW7,BA6,0.002425758414905187,0.008104556554726161
2019Q1,SW7,BA9,0.00656786298436215,N/A
2019Q1,SW7,BD1,0.002106274689410444,0.0018722088934605755
2019Q1,SW7,BD23,0.0034197700229877124,0.005249648879749866
