time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,SY6,B1,0.04292794901922716,0.00714576328510173
2019Q1,SY6,B15,0.007124447052889808,0.003051038590392152
2019Q1,SY6,B18,0.021490857283198703,0.006554868155644299
2019Q1,SY6,B2,0.05974862846465093,0.004902748360778857
2019Q1,SY6,B24,0.010128661007631929,0.0011928731133237695
2019Q1,SY6,B26,0.049209557113619344,0.01005684659744834
2019Q1,SY6,B3,0.009640674660458034,0.0029640380835702453
2019Q1,SY6,B32,0.003551854456633496,0.001874456981040688
2019Q1,SY6,B37,0.0053161324830633535,0.0009580276748551276
2019Q1,SY6,B4,0.0829226034006939,0.005417217131700765
2019Q1,SY6,B40,0.02492724382662369,0.008199395888217399
2019Q1,SY6,B48,0.01540766966050629,0.016690243970542588
2019Q1,SY6,B5,0.19655455118655046,0.010406918044172979
2019Q1,SY6,BA1,0.07377068316665507,0.0027548623587669466
2019Q1,SY6,BS1,0.04347686965319402,0.0011328382519724073
2019Q1,SY6,BS20,0.007659030207611261,0.0012285528638443029
2019Q1,SY6,BS34,0.02173843482659701,0.0008783892731366392
2019Q1,SY6,CH1,0.11020349806129956,0.003192439383709093
2019Q1,SY6,CH2,0.033527683162544716,0.010094273378280358
2019Q1,SY6,CH3,0.010930023686883915,0.0017368283833320286
2019Q1,SY6,CH65,0.12888676967655024,0.0058616087033424935
2019Q1,SY6,CV1,0.00706530495100252,0.00036543584831187783
2019Q1,SY6,CV34,0.010724946528391635,0.000941748058510952
2019Q1,SY6,CV35,0.03170682329837854,0.00965147679655242
2019Q1,SY6,CV37,0.05856322616275422,0.0050321298052854995
2019Q1,SY6,CV6,0.006819263566094802,0.0004385550247945982
2019Q1,SY6,CV7,0.04632106709850083,0.0112506388014497
2019Q1,SY6,CW1,0.013070148490675412,0.0008193607029071826
2019Q1,SY6,CW2,0.009644259030269385,0.0020601104359637104
2019Q1,SY6,CW5,0.03482676119274427,0.0035853889929057547
2019Q1,SY6,DY1,0.01721060767561572,0.002247703623354783
2019Q1,SY6,DY10,0.08303653515541183,0.008906860959151913
2019Q1,SY6,DY11,0.08301477291012864,0.008227508905347208
2019Q1,SY6,DY5,0.018805652241666804,0.0010150457177402457
2019Q1,SY6,DY8,0.02441570304926092,0.002314091526402361
2019Q1,SY6,E1,0.00436448229814973,0.00015549066293111768
2019Q1,SY6,E15,0.02137794963414116,0.0011586708201987682
2019Q1,SY6,EH2,0.01612684786051231,0.0009067437815603383
2019Q1,SY6,FY4,0.011600300841606508,0.0006041387734915585
2019Q1,SY6,GL1,0.014551517328423656,0.0006742788461441628
2019Q1,SY6,GL11,0.003686780377389342,0.0013101801976715447
