time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,TW10,AB10,0.003134182535969593,0.0018373197843565509
2019Q1,TW10,AB11,0.001520980252369166,0.0009692658967904449
2019Q1,TW10,AB12,0.0006855528008468862,0.0010211599203433957
2019Q1,TW10,AB21,0.0014415740180290732,0.00411939134401831
2019Q1,TW10,AL10,0.0043978865890768595,0.0035771039800243385
2019Q1,TW10,AL2,0.006604124177234901,0.007641945070734948
2019Q1,TW10,AL3,0.0038413042860511843,0.007003321802787669
2019Q1,TW10,AL5,0.0036384305905953094,0.004306166871744254
2019Q1,TW10,AL8,0.004299459791627394,0.004646163991995979
2019Q1,TW10,B1,0.009862475903833049,0.011380545384388534
2019Q1,TW10,B14,0.0012436493622948602,0.0012011306508596974
2019Q1,TW10,B15,0.0035451374985287633,0.0105244220438625
2019Q1,TW10,B2,0.017120538120707803,0.009738626451588869
2019Q1,TW10,B29,0.0010138144802956052,0.0007095660883480225
2019Q1,TW10,B32,0.0004155346709583189,0.0015201842062775742
2019Q1,TW10,B40,0.005165283210992417,0.01177796791301169
2019Q1,TW10,B5,0.012564282260537771,0.004611533295620239
2019Q1,TW10,B76,0.00142218412359719,N/A
2019Q1,TW10,B78,0.00561494409615085,0.0021737117077277
2019Q1,TW10,B90,0.0064749320806201825,0.002331248779294929
2019Q1,TW10,B91,0.003963885351992937,0.002844252040673191
2019Q1,TW10,BA1,0.082891872562565,0.02145836777707231
2019Q1,TW10,BA10,0.0016678263861999614,0.039123113093633005
2019Q1,TW10,BA11,0.006690547706702723,0.005108735257443465
2019Q1,TW10,BA12,0.014212090889057581,0.01662934791776546
2019Q1,TW10,BA14,0.0031181904897048212,0.001561448194293522
2019Q1,TW10,BA16,0.008746984510449873,0.01479034496234972
2019Q1,TW10,BA2,0.01993831451268132,0.011596495246045613
2019Q1,TW10,BA20,0.010932022480695724,0.005345736460518457
2019Q1,TW10,BA21,0.0028702953060347268,0.004436656249245635
2019Q1,TW10,BA22,0.009816346421651292,0.01875721391030501
2019Q1,TW10,BA3,0.0018029277839748726,0.0030411351449091397
2019Q1,TW10,BA5,0.004777005191635489,0.0061336943375057615
2019Q1,TW10,BA6,0.005719427927289513,0.009993817074693741
2019Q1,TW10,BA9,0.00248944084626029,N/A
2019Q1,TW10,BD23,0.0023285231890417856,0.001869437786560421
2019Q1,TW10,BH1,0.0131438369718237,0.009412256161578305
2019Q1,TW10,BH12,0.04511171585630983,0.01829359974446008
2019Q1,TW10,BH13,0.0050694417328005364,0.05258258367524463
2019Q1,TW10,BH14,0.003620000957601957,0.005595062651966092
2019Q1,TW10,BH15,0.01327347226602543,0.006143511567031821
2019Q1,TW10,BH16,0.0009710459131487086,0.005225661450490458
2019Q1,TW10,BH19,0.008125289095265322,0.0323738622612621
2019Q1,TW10,BH2,0.008021396194242681,0.01113809974334698
2019Q1,TW10,BH20,0.004988078042451131,0.01276287867488764
2019Q1,TW10,BH21,0.009780299684574115,0.010329237584335816
2019Q1,TW10,BH22,0.005155902195400611,0.00510273443494759
2019Q1,TW10,BH23,0.00965631515960682,0.0042606014566807906
2019Q1,TW10,BH24,0.012634529078079569,0.015029540197659015
2019Q1,TW10,BH25,0.003912326699370253,0.012661915121152605
2019Q1,TW10,BH4,0.0034703848388523213,0.01612104734528089
2019Q1,TW10,BH5,0.0018036664466198969,0.01901668645702391
2019Q1,TW10,BH8,0.017202049543586215,0.00796940683894516
2019Q1,TW10,BL1,0.002609879790531473,0.0009901140306531773
2019Q1,TW10,BN1,0.13901261648031432,0.02294807760124028
2019Q1,TW10,BN14,0.007300129054508878,0.008838419058785558
2019Q1,TW10,BN16,0.008215886068677533,0.009188032290908756
2019Q1,TW10,BN17,0.0040553317874469225,0.0047903056255125705
2019Q1,TW10,BN18,0.0045430707319563494,0.021241576122009852
2019Q1,TW10,BN2,0.042700573250422084,0.018428078860715395
2019Q1,TW10,BN20,0.0028932307811627253,0.015855959482419885
2019Q1,TW10,BN21,0.01180959063611663,0.008477890941774362
2019Q1,TW10,BN23,0.008869639442656129,0.004491918729976185
2019Q1,TW10,BN25,0.011274614215457909,0.06206436203912325
2019Q1,TW10,BN26,0.0038401962920836478,0.012695101551777364
2019Q1,TW10,BN27,0.0022780355972543873,0.0030989422379655274
2019Q1,TW10,BN3,0.020646618122994943,0.007939280329729922
2019Q1,TW10,BN43,0.001615972268519268,0.00325778606812382
2019Q1,TW10,BN6,0.002463772319345702,0.008455573262218687
2019Q1,TW10,BN7,0.016749692539773448,0.01501710237210681
2019Q1,TW10,BR1,0.03124380482670124,0.010189063512268023
2019Q1,TW10,BR2,0.008669240267061087,0.011553039054195365
2019Q1,TW10,BR3,0.01780852850828327,0.011719829491439886
2019Q1,TW10,BR4,0.003559393687577728,0.005838644792759349
2019Q1,TW10,BR5,0.007770657159389243,0.005817400655102831
2019Q1,TW10,BR6,0.013515864412990098,0.007752515374374209
2019Q1,TW10,BS1,0.035207653245561916,0.0063593883995342465
2019Q1,TW10,BS10,0.0013483178590947779,0.0007601548226339979
2019Q1,TW10,BS15,0.0004922447866440737,0.0007016293015275407
2019Q1,TW10,BS16,0.002652205160091355,0.0017259994137428152
2019Q1,TW10,BS2,0.003140867432907062,0.003623709919086796
2019Q1,TW10,BS20,0.0030106412085893096,0.003347709017186436
2019Q1,TW10,BS3,0.0034997466789920308,0.0016966014653944995
2019Q1,TW10,BS30,0.0019738912531657056,0.00204044716206748
2019Q1,TW10,BS34,0.0055790820247349285,0.0015627522490577641
2019Q1,TW10,BS37,0.0024734118668632674,0.0016720501584474956
2019Q1,TW10,BS4,0.0011799397091615295,0.0006873550715231033
2019Q1,TW10,BS48,0.0008485017803392071,0.0010435819945716967
2019Q1,TW10,BS5,0.002662731102782949,0.0013922837816763586
2019Q1,TW10,BS6,0.002976367261860191,0.01009026177586824
2019Q1,TW10,BS7,0.0017514429976166915,0.002327082653332182
2019Q1,TW10,BS8,0.01696612069476551,0.012041944025704795
2019Q1,TW10,BS9,0.002267842052753054,0.005181835116661472
2019Q1,TW10,BT1,0.009512054345033608,0.00329292686547437
2019Q1,TW10,BT2,0.005515298505337097,0.01863498897182714
2019Q1,TW10,BT3,0.003491104326045249,0.004619633745033392
2019Q1,TW10,BT9,0.0015825108506996753,0.0034101861917728137
2019Q1,TW10,CA10,0.004459564919936373,0.012850497185690351
2019Q1,TW10,CA12,0.007194758828196188,0.01684727106138235
2019Q1,TW10,CA3,0.00517148797721062,0.002119458929712444
2019Q1,TW10,CB1,0.013957695474111274,0.004201590126573668
2019Q1,TW10,CB2,0.03672689764071528,0.014273202521318131
2019Q1,TW10,CB21,0.0011103946211325087,0.01544613220603746
2019Q1,TW10,CB22,0.0040732074234565065,0.006449872701247554
2019Q1,TW10,CB3,0.002705056472342831,0.012249486711769623
2019Q1,TW10,CB5,0.002594072409927957,0.0023224172727073452
2019Q1,TW10,CB6,0.0007390689094788835,0.001269472675844369
2019Q1,TW10,CB7,0.002384735416328121,0.0017122232410922973
2019Q1,TW10,CB9,0.0016025655415120802,0.0014557916891658298
2019Q1,TW10,CF10,0.031040414067393843,0.007224111855675015
2019Q1,TW10,CF11,0.003506948639781016,0.0009519472723630107
2019Q1,TW10,CF14,0.003589346457833457,0.001834780323265068
2019Q1,TW10,CF15,0.0007985312524033252,0.0024088220683387623
2019Q1,TW10,CF23,0.001673144757244135,0.0009112086015321068
2019Q1,TW10,CF24,0.0018201386236039348,0.0012489360816806026
2019Q1,TW10,CF32,0.0036548658344470963,0.003022837715344686
2019Q1,TW10,CH1,0.011700822561636829,0.0023496994075622073
2019Q1,TW10,CH2,0.0025660032294170408,0.005355467045701425
2019Q1,TW10,CH65,0.002637136442132863,0.000831399422828149
2019Q1,TW10,CH8,0.0013244590556604988,0.0023148951774298924
2019Q1,TW10,CM12,0.0018865813285238546,0.002792070753876945
2019Q1,TW10,CM13,0.003425215618109097,0.008499598614586962
2019Q1,TW10,CM14,0.0030418127722093274,0.002468693280631819
2019Q1,TW10,CM15,0.0027329779203247428,0.006576119613179879
2019Q1,TW10,CM16,0.001361392187911705,0.0016911144145233211
2019Q1,TW10,CM17,0.0017959104888471433,0.0062957937719723064
2019Q1,TW10,CM2,0.005909375026457464,0.0015625942284424204
2019Q1,TW10,CM23,0.006523425283266016,0.0032558736599638967
2019Q1,TW10,CM24,0.034272801802019394,0.0429687012655908
2019Q1,TW10,CM3,0.002462258060923403,0.0036030571612501857
2019Q1,TW10,CM4,0.0007729735248854907,0.0038105005122737188
2019Q1,TW10,CM77,0.003747974260852385,0.002724480698975405
2019Q1,TW10,CM8,0.002071874853028155,0.0018560864127025493
2019Q1,TW10,CO1,0.007471018657435209,0.0028584649296990988
2019Q1,TW10,CO3,0.001066148728695564,0.0005560550417463827
2019Q1,TW10,CO5,0.0022477504288083983,0.0029994909234039462
2019Q1,TW10,CO7,0.0022513329426367646,N/A
2019Q1,TW10,CR0,0.2270384529577227,0.028503656998946195
2019Q1,TW10,CR2,0.008386406340281349,0.009880528398823194
2019Q1,TW10,CR3,0.009013124661452064,0.011406198255421652
2019Q1,TW10,CR5,0.012936752899291186,0.017836856667622192
2019Q1,TW10,CR6,0.0037235983935665897,N/A
2019Q1,TW10,CR7,0.01424392724905812,0.03890454694536975
2019Q1,TW10,CR8,0.02137312976750842,0.0963155134432414
2019Q1,TW10,CR9,0.009239192363961696,N/A
2019Q1,TW10,CT1,0.02369482032708373,0.006346326089487887
2019Q1,TW10,CT10,0.0072579883506102534,0.0029315309609899173
2019Q1,TW10,CT11,0.005026119168669872,0.00804987484703348
2019Q1,TW10,CT12,0.0018327697548338477,0.006187508929441093
2019Q1,TW10,CT14,0.0035955142909194077,0.00568342336940269
2019Q1,TW10,CT16,0.0054679132966588,0.004317372618373254
2019Q1,TW10,CT19,0.004483165191444893,0.003157382407316025
2019Q1,TW10,CT20,0.00686867620355029,0.008815276182880716
2019Q1,TW10,CT21,0.004427026830423061,0.007971949533088845
2019Q1,TW10,CT5,0.018839369162546683,0.013692760408295559
2019Q1,TW10,CT9,0.004751705996043412,0.005965246189255336
2019Q1,TW10,CV1,0.0054418754384217,0.0019511805926099913
2019Q1,TW10,CV32,0.005047392652846568,0.004192865210789804
2019Q1,TW10,CV4,0.0038752458345900414,0.0022109660591423915
2019Q1,TW10,CV5,0.0008821478638200556,0.0012539813283992318
2019Q1,TW10,CV7,0.010861812596286182,0.018288141185330484
2019Q1,TW10,CV8,0.0021662759390622373,0.003258239200440655
2019Q1,TW10,DA1,0.013536214568860512,0.004726710924009575
2019Q1,TW10,DA11,0.003813124306143514,0.0016967604831708064
2019Q1,TW10,DA12,0.0013230186635027018,0.002369068294141324
2019Q1,TW10,DA6,0.0031077384132777303,0.002460086701267286
2019Q1,TW10,DA8,0.0014636969642475455,0.0031064571458949693
2019Q1,TW10,DA9,0.03487728637757488,0.01022725472497713
2019Q1,TW10,DD1,0.003860915779276575,0.0021237152901645837
2019Q1,TW10,DE4,0.0013071004835024322,0.001447957379502388
2019Q1,TW10,DE45,0.003404163732725909,0.013203396399855485
2019Q1,TW10,DE5,0.002424106135307907,0.0035919653378228976
2019Q1,TW10,DE55,0.004734679822075606,0.003474970280460071
2019Q1,TW10,DE56,0.0013483917253592805,0.001810975968347412
2019Q1,TW10,DE74,0.0013800064865663127,0.0029757067497047053
2019Q1,TW10,DH1,0.00988611310847382,0.0027322507830716573
2019Q1,TW10,DL1,0.009828349689632934,0.0037720167991656655
2019Q1,TW10,DL3,0.0016274215395171419,0.002838838357638709
2019Q1,TW10,DL7,0.0018683363611917585,0.0029555177834977913
2019Q1,TW10,DL8,0.011554641224186556,0.02634004595453276
2019Q1,TW10,DL9,0.024552961654940503,0.05988567078267335
2019Q1,TW10,DN1,0.0027975370354998506,0.001476494440087149
2019Q1,TW10,DN4,0.00045996522905651974,0.00020558624128115026
2019Q1,TW10,DT1,0.006286683905535786,0.00419422191075103
2019Q1,TW10,DT3,0.0041755860660568495,0.004924850071490914
2019Q1,TW10,DT4,0.004230801098772403,0.003137477359742837
2019Q1,TW10,DT6,0.011091832143946692,0.014000290642084284
2019Q1,TW10,DT7,0.007737971337346925,0.06392344736903344
2019Q1,TW10,DT9,0.006694019421134336,0.012814871038509316
2019Q1,TW10,E1,0.2517747506811582,0.06218023906258785
2019Q1,TW10,E10,0.009444134314823641,0.005769248145266217
2019Q1,TW10,E11,0.04235066875547417,0.04431756526650061
2019Q1,TW10,E14,0.3044328287846957,0.08340289128514618
2019Q1,TW10,E15,0.05208066551392214,0.01956767288674319
2019Q1,TW10,E16,0.03867286744589907,0.03848080333483665
2019Q1,TW10,E17,0.05194582264807299,0.028957286662448286
2019Q1,TW10,E1W,0.02379745750160983,0.06749886987471078
2019Q1,TW10,E2,0.04694234348947311,0.03795814807022548
2019Q1,TW10,E20,0.06005205424709669,0.02448977241633993
2019Q1,TW10,E3,0.011533072274951851,0.014470411214374666
2019Q1,TW10,E5,0.0048438910941424225,0.011819185145041294
2019Q1,TW10,E6,0.025154085315461133,0.010421086660373365
2019Q1,TW10,E7,0.00431829568907551,0.009865307952035671
2019Q1,TW10,E8,0.059184014839796587,0.0432308611652296
2019Q1,TW10,E9,0.021769237610902603,0.05942111127401041
2019Q1,TW10,EC1A,0.05056415417055537,0.13402648802516914
