time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,UB6,AL1,0.029442501334107845,0.018626935305916758
2019Q1,UB6,AL10,0.036943208449384916,0.03617168674114368
2019Q1,UB6,AL2,0.02708994351534096,0.03773491642067845
2019Q1,UB6,AL3,0.007685652191198806,0.016867577357696274
2019Q1,UB6,AL4,0.007128792017346867,0.020016592013906667
2019Q1,UB6,AL5,0.006944245794442217,0.009893465814503313
2019Q1,UB6,AL6,0.0037461809414598094,0.008321678013412298
2019Q1,UB6,AL7,0.006240423624295469,0.022113675116609933
2019Q1,UB6,AL8,0.00546661809015113,0.0071112506909758065
2019Q1,UB6,B1,0.008733285662071991,0.012131133939152126
2019Q1,UB6,B11,0.006964403212305618,0.01624009562735851
2019Q1,UB6,B13,0.0016938367205519467,0.008026585876170124
2019Q1,UB6,B14,0.0030330624279148732,0.0035263081365690006
2019Q1,UB6,B15,0.0020948680887292845,0.007486321339468348
2019Q1,UB6,B2,0.015295737076160843,0.010473632189926902
2019Q1,UB6,B20,0.0009519394277743307,N/A
2019Q1,UB6,B21,0.0010498425029678037,0.003980167784020626
2019Q1,UB6,B23,0.0011717074401876328,0.0034442652217012964
2019Q1,UB6,B24,0.0021995823462145005,0.0021617112621118697
2019Q1,UB6,B25,0.0006504065468588015,0.0033335677476661533
2019Q1,UB6,B26,0.003200181842073083,0.005457607160827497
2019Q1,UB6,B28,0.0006368148632766303,0.0029376617698975674
2019Q1,UB6,B29,0.004781940864824415,0.004028887815297733
2019Q1,UB6,B30,0.001973187237517341,0.004504708138651285
2019Q1,UB6,B31,0.0021840270785482233,0.0019687105951155808
2019Q1,UB6,B32,0.0017031330639501359,0.007500395118182777
2019Q1,UB6,B4,0.017433834695741775,0.009504110661964951
2019Q1,UB6,B40,0.0062733136577042435,0.01721947246223294
2019Q1,UB6,B42,0.0020742504558461717,0.0036422635138739054
2019Q1,UB6,B44,0.0006947712747590718,N/A
2019Q1,UB6,B48,0.0016510367237186985,0.01492442836136272
2019Q1,UB6,B5,0.015300676717372425,0.006760283599142847
2019Q1,UB6,B66,0.0013976116528637665,0.0031862851598852267
2019Q1,UB6,B69,0.0037726893265952422,0.002864741278398385
2019Q1,UB6,B70,0.0013206330205665481,0.002057214050562631
2019Q1,UB6,B78,0.0007573911984412649,0.0003529582793985792
2019Q1,UB6,B8,0.003151981989008543,0.009245330152355022
2019Q1,UB6,B90,0.011132724050846905,0.0048250460289323924
2019Q1,UB6,B91,0.003726698505625322,0.003218976933570709
2019Q1,UB6,B97,0.0017884569286048047,0.0015717870440266097
2019Q1,UB6,B98,0.0013921811156311606,0.0009087587701554953
2019Q1,UB6,BA1,0.019295251045471643,0.006012869511954987
2019Q1,UB6,BA12,0.002156260772358912,0.00303714227860417
2019Q1,UB6,BA20,0.0024388634754636067,0.0014356253888851928
2019Q1,UB6,BA22,0.000925707171650727,0.0021293090260310803
2019Q1,UB6,BD1,0.004179856895035411,0.002339076435287544
2019Q1,UB6,BD7,0.0019916265193071483,0.00531208832317946
2019Q1,UB6,BH1,0.014798060553843912,0.012756248958509976
2019Q1,UB6,BH11,0.0016754588007647669,0.0034106690885471304
2019Q1,UB6,BH12,0.0067106099694349145,0.003275807977374136
2019Q1,UB6,BH15,0.005005083787382275,0.002788624878863753
2019Q1,UB6,BH2,0.009873514394911298,0.01650363122381164
2019Q1,UB6,BH22,0.003622321739154561,0.004315508043120411
2019Q1,UB6,BH23,0.00632768039203293,0.0033608615856988338
2019Q1,UB6,BH24,0.003082244073021466,0.00441367420985297
2019Q1,UB6,BH25,0.0020312356920037244,0.007913547537014143
2019Q1,UB6,BH8,0.007661199433151423,0.0042725699707550245
2019Q1,UB6,BL1,0.001638825685195664,0.0007484177591076128
2019Q1,UB6,BL3,0.0010727918919507923,0.0008120228660885113
2019Q1,UB6,BL9,0.0012505269325637006,0.00040635128562408797
2019Q1,UB6,BN1,0.03694547884348216,0.00734175696324002
2019Q1,UB6,BN11,0.008555642664463025,0.0070771317342325545
