time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,WD5,AL1,2.538748418096645,0.040776057142247794
2019Q1,WD5,AL10,0.3118526817633277,0.0077517988422058015
2019Q1,WD5,AL2,4.365207603940194,0.15436863237308504
2019Q1,WD5,AL4,0.6943585520308018,0.04949676808348615
2019Q1,WD5,AL5,0.2062312225688736,0.007459275539479517
2019Q1,WD5,AL8,0.13440819525262368,0.0044388642653833705
2019Q1,WD5,AL9,0.494136046996824,N/A
2019Q1,WD5,CB8,0.043253823268595504,0.0008900761580107421
2019Q1,WD5,CM24,0.01782312272820671,0.0006828917843860441
2019Q1,WD5,CV7,0.07205022741612124,0.003707388417744729
2019Q1,WD5,E1,0.07336629607973781,0.0005537353883511639
2019Q1,WD5,EC2M,0.048665536285744236,0.0008734669181790838
2019Q1,WD5,EN6,0.07339771737014554,0.004721709813921082
2019Q1,WD5,GU51,0.03869652764830343,0.0011509126784624466
2019Q1,WD5,HA1,0.07001630311780473,0.0011849516835153386
2019Q1,WD5,HA3,0.13418582919743044,0.005081953054031346
2019Q1,WD5,HA4,0.09503006730470616,0.001293407892465163
2019Q1,WD5,HA7,0.05564831382328008,0.003136280772229032
2019Q1,WD5,HA8,0.10143275948086833,0.0028017018291044853
2019Q1,WD5,HA9,0.13178089197006868,0.0020319308722144738
2019Q1,WD5,HP1,2.4161534195261627,0.0692876194378394
2019Q1,WD5,HP19,0.19228862920602294,0.006097203046285144
2019Q1,WD5,HP2,4.589400928021769,0.10756638397537374
2019Q1,WD5,HP23,0.3034740738249865,0.015836464831746222
2019Q1,WD5,HP3,6.1485096474087095,0.24884266478063696
2019Q1,WD5,HP4,0.8311354291757014,0.0363873790420633
2019Q1,WD5,HP5,0.26133812338820483,0.012263100933520166
2019Q1,WD5,HP7,0.2355448694969575,N/A
2019Q1,WD5,HP9,0.35641894816203123,0.008885734809797723
2019Q1,WD5,LE1,0.03709766737101719,0.00024477396824159817
2019Q1,WD5,LU1,0.41390661598533374,0.00489723250107465
2019Q1,WD5,LU2,0.2458087548597633,0.0075208113495779175
2019Q1,WD5,LU3,0.08599402929014137,0.002413331271654673
2019Q1,WD5,LU4,0.07289497672362168,0.0036117003636160975
2019Q1,WD5,LU5,0.419214397041903,0.007103025312120961
2019Q1,WD5,LU6,0.22745026168345545,0.010763495660085772
2019Q1,WD5,LU7,0.4533451694917277,0.008759197967525537
2019Q1,WD5,MK16,0.08451722864097752,0.010859929515451392
