time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,WR1,AB10,0.0010557160752152934,0.0005178037020854252
2019Q1,WR1,AB11,0.0019259887973623708,0.0010269059381007217
2019Q1,WR1,AB21,0.0013626841964331868,0.0032579834697131905
2019Q1,WR1,AL1,0.0054016059949769935,0.0023752019705232273
2019Q1,WR1,AL2,0.0011428095614337151,0.0011064202039910806
2019Q1,WR1,AL3,0.0014804126950365983,0.0022582172671078873
2019Q1,WR1,B1,0.12509242281245514,0.12077183788602773
2019Q1,WR1,B10,0.020060547706532844,0.04288424968042317
2019Q1,WR1,B12,0.009226170992164159,0.03413000955863329
2019Q1,WR1,B13,0.010581924789541952,0.03485257920629941
2019Q1,WR1,B14,0.01881740185813792,0.01520580823307626
2019Q1,WR1,B15,0.04417895441667169,0.1097332283075234
2019Q1,WR1,B16,0.02150847139708047,0.07323305290755422
2019Q1,WR1,B17,0.02043898280909267,0.033620407489539164
2019Q1,WR1,B18,0.052427939142025315,0.09274685518681967
2019Q1,WR1,B19,0.01106881843018523,0.02969963317895425
2019Q1,WR1,B2,0.3595979247859085,0.17114137815206187
2019Q1,WR1,B20,0.0038957671225142367,N/A
2019Q1,WR1,B21,0.026491384175239555,0.06980601064913444
2019Q1,WR1,B23,0.011030855734722565,0.022537074640381214
2019Q1,WR1,B26,0.11942423923852577,0.14155689829835694
2019Q1,WR1,B28,0.005207775534771678,0.016697513247515682
2019Q1,WR1,B29,0.048120806485770835,0.028178950245171083
2019Q1,WR1,B3,0.06967920324165164,0.12425266538084273
2019Q1,WR1,B30,0.023421702963060616,0.03716445502456927
2019Q1,WR1,B31,0.08960299695918059,0.05613805157681201
2019Q1,WR1,B32,0.08031140653134704,0.245823690119382
2019Q1,WR1,B35,0.011381789954406524,0.030034391714603
2019Q1,WR1,B36,0.003844649911647064,0.007402693900112485
2019Q1,WR1,B37,0.06442119334939564,0.0673344334567581
2019Q1,WR1,B4,0.3025829443225952,0.11464996979392815
2019Q1,WR1,B40,0.045855978560069593,0.08748422424381977
2019Q1,WR1,B42,0.018127672652784223,0.02212397498588861
2019Q1,WR1,B43,0.016156393476881508,N/A
2019Q1,WR1,B44,0.009868799969542659,N/A
2019Q1,WR1,B45,0.09826824705454927,N/A
2019Q1,WR1,B46,0.008849854737723184,0.04388261682469812
2019Q1,WR1,B48,0.07270712548882162,0.4568029362315864
2019Q1,WR1,B49,0.047866544711509265,0.12433305286707373
2019Q1,WR1,B5,0.5575002813636184,0.17120258053549126
2019Q1,WR1,B6,0.012431105342596135,0.026883180712949286
2019Q1,WR1,B60,0.2253998404680485,0.5143133767696157
2019Q1,WR1,B61,0.1918868143402972,0.17764035752636345
2019Q1,WR1,B62,0.02004461220297236,0.055827126875105514
2019Q1,WR1,B63,0.02155407077430481,0.03064691737221969
2019Q1,WR1,B65,0.004154796305043227,0.0196896384393756
2019Q1,WR1,B66,0.012274178153794064,0.019449188696731425
2019Q1,WR1,B67,0.0026475448671679064,0.04598390291222312
2019Q1,WR1,B68,0.008329765809884641,N/A
2019Q1,WR1,B69,0.15772595040020854,0.0832431402280232
2019Q1,WR1,B7,0.06023342247050286,N/A
2019Q1,WR1,B70,0.016369293570156446,0.017723039557847518
2019Q1,WR1,B72,0.004067835246832234,0.00627211164038553
2019Q1,WR1,B74,0.00941541061477864,0.022455705409124255
2019Q1,WR1,B77,0.006946820128314983,0.005817470767062454
2019Q1,WR1,B78,0.021763616024724902,0.00704928573011432
2019Q1,WR1,B79,0.007714417002036287,0.0069505036232418395
2019Q1,WR1,B8,0.024108651180258324,0.04914988999454079
2019Q1,WR1,B80,0.020314103198088157,0.05601775947221151
2019Q1,WR1,B90,0.07285465028909632,0.021946649803521696
2019Q1,WR1,B91,0.0800011718526126,0.048028706831311385
2019Q1,WR1,B92,0.006893539926659821,0.028352578584249367
2019Q1,WR1,B93,0.0069737030138228495,0.023040598447156332
2019Q1,WR1,B97,0.13982923219237864,0.08541303058058729
2019Q1,WR1,B98,0.2783618617640306,0.12629133342495982
2019Q1,WR1,BA1,0.054203578008287866,0.011740057951087127
2019Q1,WR1,BA14,0.005123816178062383,0.002146723097839891
2019Q1,WR1,BA15,0.0010846736661728627,0.004323398262539689
2019Q1,WR1,BA16,0.005965307879928461,0.008439376468554019
2019Q1,WR1,BA2,0.008673857915851492,0.004220930167263399
2019Q1,WR1,BA20,0.0016474044124031922,0.0006740076173805262
2019Q1,WR1,BA5,0.006086391221386714,0.006538585882816831
2019Q1,WR1,BA6,0.002469782338530509,0.0036107301824828703
2019Q1,WR1,BB8,0.0021356223331207517,0.002076217353696516
2019Q1,WR1,BD1,0.0031938103978080322,0.0012422330239138287
2019Q1,WR1,BD21,0.005095432441803668,0.002822809632745348
2019Q1,WR1,BH1,0.005848153236023904,0.0035038690719237787
2019Q1,WR1,BH15,0.005291249322120403,0.002049028083556126
2019Q1,WR1,BH2,0.00621290411114951,0.007217941158895855
2019Q1,WR1,BH20,0.0012412035709526517,0.0026571493708618635
2019Q1,WR1,BH22,0.001208140711764817,0.001000399271853931
2019Q1,WR1,BH23,0.0017785081397568227,0.0006565576839125392
