time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AB10,AB15,3.1327668358741385,11.496052369166962
2019Q2,AB10,AB15,3.3521864746353787,12.301238260800377
2019Q3,AB10,AB15,2.9803526708517927,10.936750858810276
2019Q4,AB10,AB15,3.7985887030587815,13.939363172269035
2020Q1,AB10,AB15,3.8381293338632325,14.084462117148233
2020Q2,AB10,AB15,1.327011085055011,4.8696215605847195
2020Q3,AB10,AB15,1.9635663010599484,7.205534982311567
2020Q4,AB10,AB15,2.713768911446372,9.958490739416806
2021Q1,AB10,AB15,1.2042811969122431,4.419249957695361
2021Q2,AB10,AB15,2.1950026609023534,8.054817629973174
2021Q3,AB10,AB15,2.4724835842560973,9.073066160247004
2021Q4,AB10,AB15,3.0587267322804923,11.224353595232
2022Q1,AB10,AB15,2.6016685658850687,9.54712547966716
2022Q2,AB10,AB15,2.447038376106975,8.979692008657763
2022Q3,AB10,AB15,2.3168997770558395,8.50213327916348
2022Q4,AB10,AB15,2.2705413615033843,8.332015679972947
2023Q1,AB10,AB15,2.13876394961774,7.848443136123559
2023Q2,AB10,AB15,2.2473516420598805,8.246918306591688
2023Q3,AB10,AB15,3.0624980705579667,11.238192959797287
2019Q1,AB11,AB15,1.1481246836590893,1.5863256243315589
2019Q2,AB11,AB15,1.1433281549645078,1.5796984204360665
2019Q3,AB11,AB15,1.1156764156983292,1.5414929335411445
2019Q4,AB11,AB15,1.1323319800287213,1.5645053718773698
2020Q1,AB11,AB15,1.0687514455802871,1.4766582656878178
2020Q2,AB11,AB15,0.8978270340814594,1.2404977008611389
2020Q3,AB11,AB15,1.0444347428332634,1.443060687640875
2020Q4,AB11,AB15,1.0094054382591175,1.3946618645519169
2021Q1,AB11,AB15,0.5534316779231645,0.7646581111803761
2021Q2,AB11,AB15,0.6235931800716975,0.8615979211887282
2021Q3,AB11,AB15,0.5728913508914651,0.7915448929995305
2021Q4,AB11,AB15,0.6843001874047258,0.94547477069775
2022Q1,AB11,AB15,0.8093469423373014,1.1182477059131677
2022Q2,AB11,AB15,0.6226995886622686,0.8603632757093349
2022Q3,AB11,AB15,0.7031742620109867,0.9715524507699496
2022Q4,AB11,AB15,0.8570773588612322,1.184195232231147
2023Q1,AB11,AB15,0.616232146239102,0.8514274259834489
2023Q2,AB11,AB15,0.6607829632695764,0.9129818056132948
2023Q3,AB11,AB15,1.3671303082173376,1.8889183993621173
2019Q1,AB12,AB15,1.1351490027203386,1.9405101273067813
2019Q2,AB12,AB15,1.194791061976446,2.042466804115333
2019Q3,AB12,AB15,1.1474292905573102,1.9615029862678328
2019Q4,AB12,AB15,1.0034169413354,1.715317312446467
2020Q1,AB12,AB15,0.943992489888593,1.613732630994222
2020Q2,AB12,AB15,0.4679441657691964,0.7999393828591163
2020Q3,AB12,AB15,0.9308640028479288,1.5912897957386103
2020Q4,AB12,AB15,0.9270164750135714,1.5847125387355443
2021Q1,AB12,AB15,0.3574826163060144,0.6111080004611946
2021Q2,AB12,AB15,1.0201826112350103,1.7439778249900275
2021Q3,AB12,AB15,1.153821859534585,1.972430930361675
2021Q4,AB12,AB15,0.9430270873960188,1.6120822984746337
2022Q1,AB12,AB15,0.8176219522759441,1.397705213058004
2022Q2,AB12,AB15,0.882138814550749,1.5079952492790547
2022Q3,AB12,AB15,0.8304907514239295,1.4197041180591077
2022Q4,AB12,AB15,0.942816686979128,1.6117226239836306
2023Q1,AB12,AB15,0.7853374913636457,1.3425156976685522
2023Q2,AB12,AB15,1.6024337475255035,2.739322245766427
