time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AL1,AL7,0.12797917250065888,0.7226526192036212
2019Q2,AL1,AL7,0.11300333063802225,0.6380893958654028
2019Q3,AL1,AL7,0.1024809723372316,0.5786734015462788
2019Q4,AL1,AL7,0.11457395573623047,0.6469581541080869
2020Q1,AL1,AL7,0.08514217466136624,0.4807674117709406
2020Q3,AL1,AL7,0.0826588799263889,0.4667451344783077
2020Q4,AL1,AL7,0.054791889918806534,0.30939020769757025
2021Q1,AL1,AL7,0.038376775297828736,0.2166999258056774
2021Q2,AL1,AL7,0.0539537919050666,0.3046577679345659
2021Q3,AL1,AL7,0.04330445197404678,0.24452475376070446
2021Q4,AL1,AL7,0.10070436551344468,0.5686415381624299
2022Q1,AL1,AL7,0.07791506186837531,0.439958490388768
2022Q2,AL1,AL7,0.06907390569420924,0.390035643247242
2022Q3,AL1,AL7,0.07142621391964163,0.40331828656386587
2022Q4,AL1,AL7,0.06366545095782106,0.3594960335222687
2023Q2,AL1,AL7,0.05943987968665325,0.3356357437026478
2023Q3,AL1,AL7,0.029323861129840045,0.16558135700192209
2019Q1,AL10,AL7,1.31929578629523,5.809426633828296
2019Q2,AL10,AL7,1.2486143984917002,5.498186090890728
2019Q3,AL10,AL7,1.218313722982312,5.364759187571688
2019Q4,AL10,AL7,1.1120955760928022,4.897035013852758
2020Q1,AL10,AL7,0.937475691123802,4.128108575162585
2020Q2,AL10,AL7,0.5726778364868029,2.52174676099898
2020Q3,AL10,AL7,0.7349862549828718,3.2364605189754703
2020Q4,AL10,AL7,0.5665638667888212,2.4948243234600747
2021Q1,AL10,AL7,0.4902583389296277,2.1588182735216064
2021Q3,AL10,AL7,0.4783827045473358,2.1065247489073657
2021Q4,AL10,AL7,0.4840744711663501,2.1315880447455875
2022Q1,AL10,AL7,0.4517854413671717,1.9894055625119589
2022Q2,AL10,AL7,0.44256697045613613,1.9488126712209708
2022Q3,AL10,AL7,0.3943929818899794,1.7366818851295007
2022Q4,AL10,AL7,0.3542425307604259,1.5598821844291355
2023Q1,AL10,AL7,0.5331704920003995,2.347778935379183
2023Q2,AL10,AL7,0.574218902415273,2.528532736928214
2023Q3,AL10,AL7,0.483556445271624,2.129306953984064
2019Q1,AL2,AL7,0.050355463701680016,0.02750670815290997
2019Q2,AL2,AL7,0.09327904762968034,0.05095374665064206
2019Q3,AL2,AL7,0.09275917430432278,0.050669765473905996
2019Q4,AL2,AL7,0.07693428600958531,0.04202540889614655
2020Q1,AL2,AL7,0.10640565006229206,0.058124162641490784
2020Q2,AL2,AL7,0.12967535525404314,0.07083525578732545
2020Q3,AL2,AL7,0.11202394417722056,0.061193159830198914
2020Q4,AL2,AL7,0.05769817684068886,0.03151767046996466
2021Q1,AL2,AL7,0.08225164273249977,0.044930018818688924
2021Q2,AL2,AL7,0.060413579512148735,0.03300096112624725
2021Q3,AL2,AL7,0.06299025641493547,0.03440847273192301
2021Q4,AL2,AL7,0.13410144369558274,0.07325300977210976
2022Q2,AL2,AL7,0.07452320428547295,0.04070835377555671
2022Q3,AL2,AL7,0.0869354784773847,0.04748856745273554
2022Q4,AL2,AL7,0.10948846703643574,0.05980815362405775
2023Q1,AL2,AL7,0.11243116501323952,0.0614156045038597
2023Q2,AL2,AL7,0.06286048711626277,0.034337586159475866
2023Q3,AL2,AL7,0.07138684752399345,0.03899511664576846
2019Q1,AL3,AL7,0.07638798800325437,0.19322907724756816
2019Q2,AL3,AL7,0.07636735748155207,0.19317689081386472
2019Q3,AL3,AL7,0.09101051496355338,0.2302178429609142
2019Q4,AL3,AL7,0.07869521099388033,0.19906536880513653
2020Q1,AL3,AL7,0.07518032883910676,0.19017421388465472
2020Q2,AL3,AL7,0.04854155451331076,0.12278945986075665
2020Q3,AL3,AL7,0.03770309503574662,0.09537277330598508
