time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q2,AB15,BA20,0.0010781035900258099,0.000730463882437641
2019Q2,AB25,BA20,0.0006185136993164085,0.0004340233403239229
2019Q1,AL1,BA20,0.0016414614011063312,0.0015396703482562866
2019Q2,AL1,BA20,0.0016999557441899074,0.0015945373134653444
2019Q3,AL1,BA20,0.002925237018320761,0.0027438358865426358
2019Q4,AL1,BA20,0.0031583479504184763,0.002962491037229293
2020Q1,AL1,BA20,0.0009360442689295768,0.000877997864923748
2020Q3,AL1,BA20,0.002329010610181848,0.0021845829422820423
2020Q4,AL1,BA20,0.001587299259205706,0.0014888669337951015
2021Q2,AL1,BA20,0.0018299217796784325,0.001716443835901533
2021Q3,AL1,BA20,0.002926604068471826,0.002745118162556409
2021Q4,AL1,BA20,0.0010120407047922743,0.0009492815751542123
2022Q1,AL1,BA20,0.0007204354296109838,0.0006757594592584978
2022Q2,AL1,BA20,0.0020065985710329077,0.0018821644655125649
2022Q4,AL1,BA20,0.0021336187097170264,0.0020013077734402
2023Q1,AL1,BA20,0.0008547144120549799,0.0008017114722170133
2023Q2,AL1,BA20,0.0015144605166496927,0.0014205451005541974
2023Q3,AL1,BA20,0.0018567044101028085,0.0017415656096361606
2019Q3,AL10,BA20,0.0038996009646320587,0.002852450082976893
2019Q4,AL10,BA20,0.003889082923015675,0.0028447564268942547
2020Q1,AL10,BA20,0.0038326410377221226,0.0028034707512958647
2020Q3,AL10,BA20,0.0011262946113018194,0.0008238533087365343
2020Q4,AL10,BA20,0.0005414322408583991,0.00039604268600047034
2021Q2,AL10,BA20,0.002152322163908488,0.0015743640415303484
2021Q3,AL10,BA20,0.0011719715525936266,0.0008572647259968228
2021Q4,AL10,BA20,0.002347942923830103,0.0017174552085321142
2022Q2,AL10,BA20,0.0013155699799196536,0.0009623029977729523
2023Q3,AL10,BA20,0.002066128541178921,0.0015113157941489062
2021Q3,AL2,BA20,0.01035686384314932,0.0009397818965169627
2023Q3,AL2,BA20,0.004225662546196925,0.00038343664856929123
2019Q1,AL3,BA20,0.0038208155995170727,0.001605499870371828
2019Q2,AL3,BA20,0.003352330835860976,0.0014086434119193164
2019Q3,AL3,BA20,0.003321642934828824,0.0013957484108793993
2019Q4,AL3,BA20,0.0023939141620291115,0.0010059184424667882
2020Q3,AL3,BA20,0.005306771905377831,0.002229896048177212
2021Q3,AL3,BA20,0.00234324044309787,0.000984625436547934
2021Q4,AL3,BA20,0.0012440634389014444,0.000522753228431922
2022Q3,AL3,BA20,0.003858896104159211,0.0016215012302056744
2019Q2,AL4,BA20,0.003487106165271086,0.0006407948626012445
2020Q1,AL4,BA20,0.005017242178548772,0.0009219745141285065
2020Q3,AL4,BA20,0.01190457415481402,0.002187598999948241
2021Q2,AL4,BA20,0.003819099193265949,0.000701802304495977
2023Q3,AL4,BA20,0.01298763015496304,0.002386622685466285
2019Q1,AL5,BA20,0.002308873515362679,0.0014029002601956561
2019Q2,AL5,BA20,0.002731657239181455,0.0016597889083634107
2019Q3,AL5,BA20,0.006637353729425753,0.0040329386655723045
2019Q4,AL5,BA20,0.0030533224148821584,0.0018552366692233266
2020Q1,AL5,BA20,0.002904230516775087,0.0017646465778840788
2020Q3,AL5,BA20,0.005244045951182714,0.003186347532873227
2020Q4,AL5,BA20,0.0014811400268288427,0.000899959099187808
2021Q2,AL5,BA20,0.0009001096392297533,0.0005469178102126064
2021Q3,AL5,BA20,0.005334523570368904,0.003241322859435561
2021Q4,AL5,BA20,0.001954364131645964,0.0011874959501072975
2022Q2,AL5,BA20,0.0022297501834725227,0.0013548239397919329
2022Q3,AL5,BA20,0.0041309096704590645,0.0025099920861717077
2023Q1,AL5,BA20,0.0008206593514226956,0.0004986428273278759
2023Q3,AL5,BA20,0.0015054833810054155,0.0009147504239100657
2019Q2,AL7,BA20,0.0020527844460442235,0.0008854928585253802
2019Q3,AL7,BA20,0.005109059359206292,0.0022038532029397327
2019Q4,AL7,BA20,0.0025725328880836485,0.0011096924984546905
2020Q1,AL7,BA20,0.0026031802104272005,0.001122912583554437
2021Q4,AL7,BA20,0.0011786658724258002,0.000508431469573863
2022Q3,AL7,BA20,0.002040433407668065,0.0008801650919892803
2019Q2,AL8,BA20,0.0038107661879941608,0.0016203995564473624
2019Q3,AL8,BA20,0.00533822416283683,0.002269899447761828
2019Q4,AL8,BA20,0.004373406562621996,0.0018596433642565754
2020Q3,AL8,BA20,0.004005717446357697,0.0017032959917039705
