time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q4,AL1,BB10,0.00045089549912152285,0.002790919905005944
2021Q3,AL1,BB10,0.0004809898566724213,0.002977195753136625
2021Q4,AL1,BB10,0.0007111741461932089,0.004401973593445193
2022Q4,B1,BB10,0.0018762707186002973,0.0033615461115636537
2021Q3,B11,BB10,0.0020408559817972336,0.0036306509516654322
2021Q4,B11,BB10,0.00418749293770351,0.007449484605952966
2022Q2,B11,BB10,0.0014984186497130618,0.0026656634006007322
2022Q3,B11,BB10,0.0008817537563161498,0.001568626176005134
2023Q3,B11,BB10,0.001084941656552199,0.001930094280535112
2022Q1,B13,BB10,0.0012113190553648874,0.004561553478695982
2022Q2,B13,BB10,0.001338922933385298,0.005042080810534053
2023Q3,B13,BB10,0.0011059319239641015,0.004164689387669003
2022Q3,B15,BB10,0.0011922553798176909,0.005762633451479734
2022Q4,B15,BB10,0.0009646190042778707,0.0046623784099298635
2023Q1,B15,BB10,0.0008937538674384598,0.004319859671908379
2023Q3,B15,BB10,0.0005969783674387547,0.002885428380736993
2022Q2,B18,BB10,0.0015114744665642769,0.0025407644314126613
2022Q2,B19,BB10,0.0028212855520828666,0.004409601011410877
2021Q4,B23,BB10,0.001547435130037265,0.004120116663932039
2022Q2,B24,BB10,0.0015708228927489498,0.003960894313898392
2022Q2,B27,BB10,0.0017070122893043669,0.003981154642869739
2022Q1,B31,BB10,0.0002970634270189378,0.0017625294421014987
2022Q2,B34,BB10,0.0028406420836616314,0.007161549577748404
2021Q3,B6,BB10,0.0018401685005603762,0.004576927493033063
2023Q2,B6,BB10,0.0017261761856235687,0.004293402065839914
2023Q3,B6,BB10,0.0007352719935709552,0.0018287926356783761
2022Q2,B7,BB10,0.0025879613404375173,0.0024221819177274234
2021Q4,B77,BB10,0.0004445133133473932,0.0034684491414889392
2022Q4,B77,BB10,0.0005052572039147776,0.00394242166101275
2023Q1,B77,BB10,0.0004630557028743745,0.003613131726025501
2023Q3,B77,BB10,0.0005454425637545532,0.004255980046445779
2020Q4,B8,BB10,0.002244492649266691,0.002059045315517452
2021Q3,B8,BB10,0.004364919171309345,0.004004275253578217
2022Q1,B8,BB10,0.0040380601387484255,0.0037044223848022783
2022Q2,B8,BB10,0.005838642885685761,0.00535623508799565
2022Q3,B8,BB10,0.008376996875037032,0.007684861957237735
2022Q4,B8,BB10,0.004748419912215479,0.004356089907245377
2023Q3,B8,BB10,0.005518409374055132,0.005062460317911114
2020Q1,B9,BB10,0.0013464305661686296,0.0025710357464639694
2022Q1,B9,BB10,0.0028781022170444623,0.005495793001086519
2022Q2,B9,BB10,0.003310560261497362,0.006321580174277489
2022Q3,B9,BB10,0.0031082180793475136,0.0059352037829533254
2023Q3,B9,BB10,0.0016719755452227975,0.003192670310667189
2020Q1,B90,BB10,0.0003334425740880747,0.00261489339976665
2022Q2,B98,BB10,0.000736494299191226,0.006634781024493375
2022Q3,B98,BB10,0.00035659865701531316,0.003212453926015681
2023Q1,B98,BB10,0.00016938932310977812,0.001525960306759591
2023Q2,B98,BB10,0.00038969863252458084,0.003510638297111627
2021Q3,BA1,BB10,0.0014225229581156804,0.008248933351481184
2019Q1,BB1,BB10,0.15085682360239686,0.7018340038306466
2019Q2,BB1,BB10,0.1466366804185927,0.6822005532733539
2019Q3,BB1,BB10,0.18179705158310486,0.845777801430189
2019Q4,BB1,BB10,0.1507474134315942,0.7013249928598431
2020Q1,BB1,BB10,0.14787147064407366,0.6879451907855709
2020Q2,BB1,BB10,0.1199714672175351,0.5581454863761431
2020Q3,BB1,BB10,0.10334107002155024,0.4807755804571736
2020Q4,BB1,BB10,0.06535055925036395,0.3040316212154829
2021Q1,BB1,BB10,0.06580964135548083,0.30616741742428005
2021Q2,BB1,BB10,0.10490852249897288,0.4880678687459901
2021Q3,BB1,BB10,0.11373539488568273,0.5291332911812024
2021Q4,BB1,BB10,0.12132314777534392,0.5644339349536323
2022Q1,BB1,BB10,0.11834309753426635,0.5505697918385393
2022Q2,BB1,BB10,0.13657798937741886,0.6354043180209874
2022Q3,BB1,BB10,0.12725427544008447,0.5920274304069558
2022Q4,BB1,BB10,0.11622270229477975,0.5407050376623903
2023Q1,BB1,BB10,0.12084959207001553,0.5622308029456068
2023Q2,BB1,BB10,0.15560839127538406,0.7239398104144722
2023Q3,BB1,BB10,0.15319173552891255,0.7126967579762429
2019Q1,BB10,BB10,7.928649116401025,6.507386340311253
2019Q2,BB10,BB10,8.701112480924737,7.1413805394358345
2019Q3,BB10,BB10,10.132899620658538,8.316510367802652
2019Q4,BB10,BB10,14.128462822235775,11.595842447968693
2020Q1,BB10,BB10,21.25995568406031,17.448968062906918
2020Q2,BB10,BB10,64.99064330030558,53.34064078906057
2020Q3,BB10,BB10,40.24844892904282,33.03364834720491
2020Q4,BB10,BB10,25.99060937258656,21.331620800026947
2021Q1,BB10,BB10,26.594795828855318,21.82750283930038
2021Q2,BB10,BB10,26.96227500274538,22.129108941602773
2021Q3,BB10,BB10,25.74549600615618,21.130445625149147
2021Q4,BB10,BB10,26.883913135812612,22.0647939574241
