time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2023Q3,AB10,BH24,0.0023194110066198466,0.003945511316987149
2021Q3,AB12,BH24,0.0014464127737189964,0.0011461994849827706
2019Q3,AB15,BH24,0.0013629963153928635,0.00224653165951585
2021Q3,AB15,BH24,0.0032717349267405416,0.005392572240628436
2023Q1,AB15,BH24,0.0008502533826495398,0.0014014132842186525
2023Q2,AB15,BH24,0.0007067941154409429,0.0011649593906935167
2023Q3,AB15,BH24,0.0014504259691357467,0.00239063585326584
2019Q3,AB25,BH24,0.00106566986659018,0.0018191397092719769
2021Q3,AB25,BH24,0.00106566986659018,0.0018191397092719769
2021Q3,AB51,BH24,0.0020567540379392143,0.002944514380889658
2019Q1,AL1,BH24,0.005897512114374629,0.013456915314951426
2019Q2,AL1,BH24,0.008446001663598506,0.01927204674322846
2019Q3,AL1,BH24,0.010421851233346205,0.023780530968359626
2019Q4,AL1,BH24,0.006455595897876095,0.01473034825880614
2020Q1,AL1,BH24,0.0042142690396371725,0.009616099209460077
2020Q3,AL1,BH24,0.014556985398041471,0.0332160605935781
2020Q4,AL1,BH24,0.0077670590942064514,0.017722838792005244
2021Q1,AL1,BH24,0.001106617470172961,0.0025250745218252818
2021Q2,AL1,BH24,0.012984723690497477,0.02962848124807911
2021Q3,AL1,BH24,0.014251286028344985,0.032518517214258406
2021Q4,AL1,BH24,0.008102583262269125,0.01848843625550748
2022Q1,AL1,BH24,0.0048828143261901436,0.011141582689761035
2022Q2,AL1,BH24,0.010469717242860941,0.02388975140301282
2022Q3,AL1,BH24,0.011215991845749791,0.025592597270560336
2022Q4,AL1,BH24,0.007600972127965856,0.01734386233612494
2023Q1,AL1,BH24,0.004620186663365927,0.010542320127947057
2023Q2,AL1,BH24,0.00904756149274932,0.020644683122902525
2023Q3,AL1,BH24,0.0108484864058432,0.024754025091869462
2019Q1,AL10,BH24,0.002925373532474153,0.005205456459780507
2019Q2,AL10,BH24,0.0052108995332849645,0.00927235798631986
2019Q3,AL10,BH24,0.006576491936478781,0.011702314953429063
2019Q4,AL10,BH24,0.004925554446523118,0.008764610374378201
2020Q1,AL10,BH24,0.0022426637467121216,0.0039906317459448455
2020Q2,AL10,BH24,0.0014038622729247898,0.0024980549854971587
2020Q4,AL10,BH24,0.003243556636489028,0.005771636564919568
2021Q1,AL10,BH24,0.0010853335055704095,0.0019312598014823352
2021Q2,AL10,BH24,0.004281460193831565,0.007618498757806253
2021Q3,AL10,BH24,0.006031109257454604,0.010731852290092622
2021Q4,AL10,BH24,0.0028463153886815226,0.005064779134052621
2022Q1,AL10,BH24,0.00212684183773922,0.0037845363883591116
2022Q2,AL10,BH24,0.004394442725372815,0.007819541681769654
2022Q3,AL10,BH24,0.004359851701183722,0.007757989859988027
2022Q4,AL10,BH24,0.003367032519408124,0.0059913515261828905
2023Q2,AL10,BH24,0.005533255287612443,0.009845962972173477
2023Q3,AL10,BH24,0.007049235933729717,0.012543523184444629
2019Q1,AL2,BH24,0.005942319296276925,0.0013116996367682015
2019Q2,AL2,BH24,0.01136476526719629,0.0025086431290013496
2019Q3,AL2,BH24,0.01624584238475709,0.0035860855825149947
2020Q1,AL2,BH24,0.01510021035537037,0.0033332002961659266
2020Q3,AL2,BH24,0.04645024374883135,0.01025336485895508
2021Q2,AL2,BH24,0.014102857662657226,0.0031130459928484875
2021Q3,AL2,BH24,0.043557104906029855,0.009614737249092318
2021Q4,AL2,BH24,0.007143083374332883,0.0015767546980162775
2022Q1,AL2,BH24,0.007088548423663675,0.001564716725733504
2022Q2,AL2,BH24,0.027241601087936183,0.006013274694683271
2022Q3,AL2,BH24,0.028382854398656038,0.006265193428513284
2022Q4,AL2,BH24,0.038343245169786884,0.00846383680413051
2023Q1,AL2,BH24,0.02398920828178461,0.005295345844052604
2023Q2,AL2,BH24,0.046747399520178534,0.01031895862763457
2023Q3,AL2,BH24,0.04484763271675666,0.00989960663698102
2019Q1,AL3,BH24,0.00712917763600005,0.007287410585824569
2019Q4,AL3,BH24,0.015092000269786675,0.015426969019812187
2020Q1,AL3,BH24,0.005876002383346761,0.006006420958639064
2020Q2,AL3,BH24,0.001397803805837028,0.00142882822839548
