time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AL1,BR4,0.0013350303707656088,0.004200656961375008
2019Q2,AL1,BR4,0.0013713438437924768,0.004314916866319745
2019Q3,AL1,BR4,0.0018962718475737594,0.005966596499675196
2019Q4,AL1,BR4,0.0031924856957401284,0.01004511774081235
2020Q1,AL1,BR4,0.0015913041385215002,0.0050070192810009115
2020Q3,AL1,BR4,0.0018454791954820961,0.0058067780324195135
2020Q4,AL1,BR4,0.00036525269529145483,0.0011492632008492422
2021Q1,AL1,BR4,0.0010566912583178877,0.003324866300780561
2021Q2,AL1,BR4,0.0011773575019336784,0.003704541181103292
2021Q3,AL1,BR4,0.0010347606932184165,0.003255862042173957
2021Q4,AL1,BR4,0.0013852453960328788,0.004358657932793818
2022Q1,AL1,BR4,0.0018342924893163426,0.005771579196378743
2022Q2,AL1,BR4,0.0009982354236892713,0.0031409357220890336
2019Q1,AL10,BR4,0.0008924286718877668,0.002189779567458928
2019Q2,AL10,BR4,0.0011455036168829145,0.0028107573117238053
2019Q3,AL10,BR4,0.0008244564451978505,0.0020229940328285656
2019Q4,AL10,BR4,0.00033899697510081725,0.0008318072613421242
2020Q1,AL10,BR4,0.0024452965343779924,0.006000099006268218
2020Q3,AL10,BR4,0.0014935865997650205,0.003664859188664902
2021Q3,AL10,BR4,0.0013731723064244028,0.003369394948783945
2021Q4,AL10,BR4,0.0006694758179066758,0.0016427133205602106
2022Q2,AL10,BR4,0.001292509297126925,0.0031714696521484963
2022Q3,AL10,BR4,0.0005732332680929112,0.0014065600281558698
2022Q4,AL10,BR4,0.0007537189117918897,0.0018494231804072122
2023Q1,AL10,BR4,0.0007131034693999855,0.0017497638253520195
2020Q3,AL5,BR4,0.0011311783026835755,0.002305614635462288
2021Q2,AL5,BR4,0.0011358745785808875,0.0023151867802031515
2021Q3,AL5,BR4,0.0019851574343650483,0.0040462303984353815
2021Q4,AL5,BR4,0.001007172840382399,0.0020528615477478428
2022Q2,AL5,BR4,0.0009757553490946847,0.001988825111095357
2023Q3,AL5,BR4,0.002297786737453202,0.004683444438842989
2019Q2,AL7,BR4,0.00043885960765726185,0.0006350330454033609
2020Q1,AL7,BR4,0.0017030197864020974,0.0024642820220212853
2022Q3,AL8,BR4,0.002547193217119389,0.0036332953442978783
2021Q3,B13,BR4,0.0015110552480065815,0.0028926052075776442
2022Q2,B13,BR4,0.0007466662435852067,0.0014293393093113426
2019Q1,B15,BR4,0.00031620546792923015,0.0007769188870685651
2020Q1,B15,BR4,0.0008852470921393654,0.0021750578511802576
2021Q2,B15,BR4,0.0008605651151121383,0.002114414073423268
2021Q3,B15,BR4,0.000655218956587916,0.0016098772291073752
2021Q4,B15,BR4,0.0008281900543361654,0.002034868338962801
2022Q1,B15,BR4,0.001104031489904186,0.002712612536532673
2022Q2,B15,BR4,0.0005865976358418891,0.0014412741986401408
2022Q4,B15,BR4,0.001108395835492417,0.002723335761970223
2023Q1,B15,BR4,0.0012119072636245839,0.002977664012743292
2023Q2,B15,BR4,0.0004942559735372286,0.001214390135003851
2019Q2,B29,BR4,0.0014011686377399734,0.002243638027424925
2019Q4,B29,BR4,0.002645853139667112,0.004236703962139652
2020Q1,B29,BR4,0.0005029739123539236,0.0008053929885129059
2021Q1,B29,BR4,0.0008468909323100818,0.0013560942270853685
2021Q4,B29,BR4,0.0006690680507045875,0.0010713532126419608
2022Q1,B29,BR4,0.0024347735957358247,0.003898710319675871
2023Q1,B29,BR4,0.001360534217560335,0.0021785716764648787
2020Q3,B31,BR4,0.0005165918734243724,0.0015580785977565002
2021Q4,B98,BR4,0.0003840893640929544,0.0017589118877309462
2019Q1,BA1,BR4,0.0021360760113963034,0.006296653743651297
2019Q2,BA1,BR4,0.0017343825747659347,0.005112555205928661
2019Q3,BA1,BR4,0.0006309947245549032,0.0018600252394556367
2019Q4,BA1,BR4,0.0012548783757368668,0.0036990886935926734
2021Q4,BA1,BR4,0.0010452661291165991,0.00308120069225048
2022Q2,BA1,BR4,0.0015169604787765426,0.0044716455906527435
2022Q3,BA1,BR4,0.0007636799548892938,0.002251150343550666
2022Q4,BA1,BR4,0.0007539381954130697,0.002222433909328076
2023Q2,BA1,BR4,0.0004618292767726281,0.0013613649650122991
2023Q3,BA1,BR4,0.0006293505457403508,0.001855178583890643
2020Q4,BA11,BR4,0.0021204902522704264,0.0046673898922839465
2021Q3,BA11,BR4,0.0010455334526128218,0.002301313228648356
2021Q4,BA11,BR4,0.0038355218279115815,0.00844232874546878
2020Q3,BA12,BR4,0.002752231536133005,0.003501526896124599
2021Q3,BA12,BR4,0.0016390437128864478,0.002085273556838741
2022Q3,BA12,BR4,0.004155656762925259,0.005287034806268451
2019Q3,BA14,BR4,0.0007436089005975842,0.0025188068971274693
2021Q3,BA14,BR4,0.0005323628758487372,0.0018032587861506425
2021Q4,BA14,BR4,0.00028471979239496216,0.000964423874239277
2023Q2,BA14,BR4,0.00037786764582752464,0.0012799411515203973
2023Q3,BA14,BR4,0.0002395588227487985,0.0008114513079691486
2019Q2,BA2,BR4,0.0010043158787260893,0.0038507890127769907
2019Q4,BA2,BR4,0.0013764983230071539,0.005277826160694962
2020Q1,BA2,BR4,0.0007674495224443044,0.0029425863430916467
2020Q3,BA2,BR4,0.001150376354843014,0.004410820063312068
2020Q4,BA2,BR4,0.0005164100541896852,0.001980040547883805
2021Q1,BA2,BR4,0.00035383798162726224,0.0013567000590309925
2021Q2,BA2,BR4,0.0012502991643371108,0.004793948185724857
2021Q4,BA2,BR4,0.0004162028344218861,0.0015958219279688926
2022Q1,BA2,BR4,0.0013107679486403857,0.005025800071315265
