time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AB10,BT8,0.0007502799370002397,0.0008428964757818536
2019Q2,AB10,BT8,0.003803338168763936,0.004272832286406594
2019Q3,AB10,BT8,0.002170078180604859,0.002437958367800987
2019Q4,AB10,BT8,0.0020826014802048654,0.0023396833122597428
2020Q1,AB10,BT8,0.001592943740941955,0.0017895809272563644
2020Q3,AB10,BT8,0.0039662560979411305,0.0044558612354335106
2020Q4,AB10,BT8,0.0020684740060038626,0.0023238119052975174
2021Q2,AB10,BT8,0.0035296732389031938,0.0039653854341730466
2021Q3,AB10,BT8,0.009097344396868415,0.010220344637966413
2021Q4,AB10,BT8,0.010344642822943787,0.011621612878978766
2022Q1,AB10,BT8,0.005871063186190414,0.00659580274599679
2022Q2,AB10,BT8,0.009197140668006762,0.010332460024624629
2022Q3,AB10,BT8,0.00913463886258368,0.010262242831117156
2022Q4,AB10,BT8,0.007095452892674764,0.007971334354512808
2023Q1,AB10,BT8,0.002120593280112864,0.0023823649203793683
2023Q3,AB10,BT8,0.0016773211782631185,0.0018843741384914528
2019Q2,AB11,BT8,0.0015062163328655026,0.0006371194772880532
2019Q3,AB11,BT8,0.0025152536885650906,0.0010639355584843029
2020Q3,AB11,BT8,0.005783341162228955,0.002446314794135761
2020Q4,AB11,BT8,0.0032397576009307637,0.0013703958881644384
2021Q2,AB11,BT8,0.004214154313215783,0.0017825592079056172
2021Q3,AB11,BT8,0.004259838805322915,0.001801883443804781
2022Q2,AB11,BT8,0.009901804985220338,0.004188397561982318
2022Q3,AB11,BT8,0.007474764895528781,0.0031617757683123173
2022Q4,AB11,BT8,0.007128152675382622,0.003015161107653945
2020Q4,AB12,BT8,0.004890991930879534,0.0025597068570395645
2021Q2,AB12,BT8,0.0021992526316794497,0.0011509816661381949
2021Q3,AB12,BT8,0.009752100903997769,0.005103774430070646
2021Q4,AB12,BT8,0.004857837925793714,0.002542355666247222
2022Q1,AB12,BT8,0.005881564855408542,0.003078124458856926
2022Q3,AB12,BT8,0.008198076217450048,0.004290473630891116
2022Q4,AB12,BT8,0.00450944366499222,0.002360023086081536
