time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AB10,CA12,0.0031633919973700648,0.010592666006577316
2019Q2,AB10,CA12,0.014855775197335663,0.04974478820993336
2019Q3,AB10,CA12,0.01638756014685536,0.05487399330928668
2019Q4,AB10,CA12,0.0059095457027525606,0.01978820327417652
2020Q1,AB10,CA12,0.005263995030624471,0.01762656707295349
2020Q3,AB10,CA12,0.004317247641618695,0.014456369104230447
2020Q4,AB10,CA12,0.003547080766529292,0.011877453660322841
2021Q2,AB10,CA12,0.006394864473705108,0.021413300527914545
2021Q3,AB10,CA12,0.015543527501720496,0.05204773721582925
2021Q4,AB10,CA12,0.009896256937013972,0.033137766213043804
2022Q1,AB10,CA12,0.00639667237716776,0.02141935432003639
2022Q2,AB10,CA12,0.006659954775714418,0.02230095941846678
2022Q3,AB10,CA12,0.014804611529342631,0.049573465892885034
2022Q4,AB10,CA12,0.0042207055967131216,0.014133096604923718
2023Q1,AB10,CA12,0.0054209727055672405,0.018152209194619167
2023Q2,AB10,CA12,0.0053224419668527504,0.01782227752397841
2023Q3,AB10,CA12,0.013263967852855944,0.044414597212134636
2019Q2,AB11,CA12,0.004446280921760135,0.005605725022087434
2019Q3,AB11,CA12,0.010487746323927741,0.01322260626979765
2019Q4,AB11,CA12,0.004076963646227396,0.00514010192517266
2020Q3,AB11,CA12,0.005306672189777804,0.006690478087578149
2021Q3,AB11,CA12,0.0046291560808556535,0.005836288019185278
2022Q2,AB11,CA12,0.004228422142582575,0.005331055825244692
2022Q3,AB11,CA12,0.009928762951283556,0.012517858384069849
2023Q3,AB11,CA12,0.015873646123891336,0.02001297192738631
2019Q2,AB12,CA12,0.008233392440258856,0.012843206469246924
2019Q3,AB12,CA12,0.011333236474302958,0.01767862968520139
2019Q4,AB12,CA12,0.007938998181051994,0.01238398309543239
2020Q1,AB12,CA12,0.006121571022660242,0.009548992244770578
2020Q3,AB12,CA12,0.014109634913580044,0.02200951256917206
2020Q4,AB12,CA12,0.013945971664393856,0.021754215507119232
2021Q2,AB12,CA12,0.0024605483272805697,0.0038381906879967663
2021Q3,AB12,CA12,0.024154744039782763,0.03767880216638722
2021Q4,AB12,CA12,0.010765238510917962,0.016792613966796516
2022Q1,AB12,CA12,0.0038427044255907616,0.005994205510820934
2022Q2,AB12,CA12,0.01214434532782394,0.0189438722386678
2022Q3,AB12,CA12,0.010353252872468584,0.01614996069168996
2022Q4,AB12,CA12,0.004308468299714464,0.006720747048187393
2023Q2,AB12,CA12,0.009848624520811169,0.015362794750360415
2023Q3,AB12,CA12,0.004928248605491024,0.007687537650046655
2022Q3,AB13,CA12,0.08050553194245445,0.007392112594500431
2019Q1,AB15,CA12,0.004509077770260249,0.01462959404165992
2019Q2,AB15,CA12,0.014528942575310488,0.04713880366696662
2019Q3,AB15,CA12,0.032422007632200794,0.10519242156413752
2019Q4,AB15,CA12,0.01084338283931438,0.03518109401965698
2020Q1,AB15,CA12,0.0036514141913483547,0.011846925251479802
2020Q3,AB15,CA12,0.01299655130579079,0.04216699716278136
2020Q4,AB15,CA12,0.004585898581872136,0.0148788373115909
2021Q2,AB15,CA12,0.011742308949931756,0.038097638098474565
2021Q3,AB15,CA12,0.02949364733945898,0.09569142724261874
2021Q4,AB15,CA12,0.010110013307781468,0.0328016942675366
2022Q1,AB15,CA12,0.003995775074489913,0.012964195828939304
2022Q2,AB15,CA12,0.018673108162723155,0.0605844489350821
2022Q3,AB15,CA12,0.03379340039299885,0.10964187229095182
2022Q4,AB15,CA12,0.01024766170166203,0.03324829116063984
2023Q1,AB15,CA12,0.005642358001520136,0.01830649441098172
2023Q2,AB15,CA12,0.021029630540298484,0.0682301289367434
2023Q3,AB15,CA12,0.02968532619313736,0.0963133246590218
2019Q3,AB16,CA12,0.005557643007979014,0.005766323478805624
2022Q3,AB16,CA12,0.00438720052315627,0.004551932779162746
2023Q3,AB16,CA12,0.0071576867295754685,0.0074264462441057735
2019Q2,AB21,CA12,0.015723778179862192,0.016227881644572614
2019Q3,AB21,CA12,0.01899333993821109,0.019602265373291163
2019Q4,AB21,CA12,0.012899006872415844,0.013312548324179406
2020Q3,AB21,CA12,0.00926350692659681,0.009560494449802087
2023Q3,AB21,CA12,0.013625436491646112,0.014062267237098088
2019Q1,AB22,CA12,0.00428022139720656,0.009160511756037076
2019Q2,AB22,CA12,0.007498418694251844,0.016048084018553704
