time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AL1,CB21,0.001734594099426034,0.04628393827738928
2019Q2,AL1,CB21,0.0012290551027168914,0.03279471003186394
2019Q3,AL1,CB21,0.0008520958371177296,0.022736357251893824
2019Q4,AL1,CB21,0.001866350778070179,0.04979958380161727
2020Q3,AL1,CB21,0.0021552026987218605,0.05750698028772981
2020Q4,AL1,CB21,0.0008601633584317581,0.02295162182512947
2021Q2,AL1,CB21,0.0006240872753021572,0.016652435828847238
2021Q3,AL1,CB21,0.0008700792855838455,0.023216207159774717
2021Q4,AL1,CB21,0.0009925746808102153,0.026484735119023356
2022Q4,AL1,CB21,0.0014808041270150346,0.039512094984265056
2023Q3,AL1,CB21,0.0015008285235940072,0.04004640323286905
2020Q1,AL10,CB21,0.0005931582905915537,0.012342520542752169
2022Q2,AL10,CB21,0.0003339107859623781,0.00694806226357727
2022Q3,AL10,CB21,0.0007924085155779772,0.01648854704874659
2022Q4,AL10,CB21,0.00046570727926814376,0.00969050210112352
2023Q3,AL10,CB21,0.0007259177032002277,0.01510499693962107
2019Q2,AL3,CB21,0.0015583350528329473,0.0186273213169566
2019Q2,AL4,CB21,0.0018982964285733505,0.009923234444025065
2019Q1,AL5,CB21,0.002078755996394388,0.035930688444824284
2019Q2,AL5,CB21,0.0033891061415399705,0.05857970684838861
2019Q3,AL5,CB21,0.0009068865436891656,0.015675268243419554
2019Q4,AL5,CB21,0.0018710200961012614,0.032340034262619194
2020Q1,AL5,CB21,0.001941434511295769,0.033557126801987316
2020Q4,AL5,CB21,0.001402313927590415,0.024238585443161195
2021Q2,AL5,CB21,0.001441816147005147,0.02492136973392533
2021Q3,AL5,CB21,0.0010424246328774123,0.018018004410375512
2021Q4,AL5,CB21,0.003263317283328423,0.05640548328291545
2022Q1,AL5,CB21,0.0021841249714321808,0.03775196031145999
2022Q3,AL5,CB21,0.004087067854329095,0.07064377059234908
2023Q1,AL5,CB21,0.002259176215993655,0.03904919908811872
2023Q3,AL5,CB21,0.0018294669713896016,0.031621800674591916
2021Q3,AL6,CB21,0.02496901565588936,0.04160360352279087
2019Q3,AL7,CB21,0.0019069584573521566,0.02340013249919801
2019Q4,AL7,CB21,0.004358367433496054,0.0534811731376713
2020Q1,AL7,CB21,0.0015291422868218064,0.0187639809266957
2020Q3,AL7,CB21,0.0021596313949796687,0.02650066161489521
2022Q2,AL7,CB21,0.0014036641105053774,0.017224248406439782
2022Q3,AL7,CB21,0.0017620116951207656,0.021621502540864344
2022Q4,AL7,CB21,0.003639160188663347,0.04465583939294116
2023Q2,AL7,CB21,0.0015715544965677335,0.019284417711153242
2023Q3,AL7,CB21,0.0015535931560139305,0.01906401555860409
2019Q2,AL8,CB21,0.001496027924474692,0.018096095615940708
2019Q4,AL8,CB21,0.003153580824016166,0.03814601264480544
2020Q3,AL8,CB21,0.0015644519935865998,0.018923759643345545
2021Q3,AL8,CB21,0.0015093644593605635,0.018257415606384608
2021Q4,AL8,CB21,0.0013848335030377122,0.01675107735166644
2022Q2,AL8,CB21,0.002688713389857363,0.03252293208617979
2021Q3,B13,CB21,0.0022965849742825283,0.03728187180427475
2023Q2,B15,CB21,0.002562783181120748,0.05339794435279259
2023Q2,BA1,CB21,0.0007088260391887842,0.017718997294329818
2023Q2,BA2,CB21,0.001442481506506102,0.046902502826734666
2023Q3,BA2,CB21,0.0018287738604769567,0.059462856732379235
2023Q3,BH23,CB21,0.0006637300319883411,0.015859193582842854
2022Q4,BH25,CB21,0.008961754164196123,0.11760792437084575
2023Q2,BL0,CB21,0.006882816454219711,0.03710822162347845
2022Q2,BL9,CB21,0.0006012773804663651,0.015147638847923112
2023Q3,BL9,CB21,0.0010858028614899836,0.02735401353886753
2019Q2,BN1,CB21,0.0005729694031132597,0.03394295900843117
2019Q3,BN1,CB21,0.0005133551923455575,0.030411386988331325
2020Q4,BN1,CB21,0.0008694880938840633,0.05150885643921869
2021Q2,BN1,CB21,0.0010021414206083537,0.059367297757148135
2021Q3,BN1,CB21,0.0006213094686964968,0.03680664571777601
2021Q4,BN1,CB21,0.0005574371000168158,0.033022818553383335
2022Q1,BN1,CB21,0.0005942255029956626,0.03520217969816999
2022Q3,BN1,CB21,0.0008397330230164483,0.04974615297675687
2023Q1,BN1,CB21,0.0005151417107363267,0.030517221122189433
2023Q2,BN1,CB21,0.000415903215854916,0.024638289113751488
2019Q3,BN2,CB21,0.0005057230541260423,0.015638277672362356
2020Q3,BN2,CB21,0.001115783989914148,0.03450295515360265
2022Q3,BN2,CB21,0.0007078195497530072,0.02188762914930364
2022Q4,BN2,CB21,0.000745118681015958,0.023041015705184367
2019Q1,BN3,CB21,0.0003594459627217916,0.016418162212151644
2019Q2,BN3,CB21,0.0005596118216133335,0.025560998358456072
2019Q3,BN3,CB21,0.000724808268541861,0.03310656109619338
2019Q4,BN3,CB21,0.0004795049859746754,0.02190201437138144
2020Q3,BN3,CB21,0.0003628315506924791,0.016572803349487988
2022Q3,BN3,CB21,0.0003151408762881108,0.014394469720564032
2022Q4,BN3,CB21,0.00023673245853507988,0.010813063181123248
2023Q2,BN3,CB21,0.00036252786007716825,0.016558931885341542
2019Q4,BR1,CB21,0.0009908977562557884,0.025577438612259272
2021Q3,BR2,CB21,0.0006563048742068094,0.0159994494981014
2022Q4,BR3,CB21,0.00045510282406338397,0.013445558821360596
2023Q2,BR3,CB21,0.0011311403231382426,0.033418412160522826
2019Q2,BS6,CB21,0.0013582695123755455,0.026689724533632
2019Q4,BS6,CB21,0.0015987315856251685,0.03141475622825786
2022Q2,BS6,CB21,0.0009796535199075905,0.019249995929752788
2023Q2,BS6,CB21,0.0006192872313787713,0.012168870361955872
2019Q1,CB10,CB21,1.0000812131175651,8.68900242630917
2019Q2,CB10,CB21,1.1141758673872002,9.680290648480003
2019Q3,CB10,CB21,0.7706711207228122,6.695819449474777
2019Q4,CB10,CB21,0.8279696709242327,7.193646261131534
2020Q1,CB10,CB21,0.6123454775711722,5.3202392671382865
2020Q3,CB10,CB21,0.5525678107245046,4.800873154209677
2020Q4,CB10,CB21,0.5005713474401043,4.349112447467417
2021Q2,CB10,CB21,0.6155441737144755,5.348030488676732
2021Q3,CB10,CB21,0.6239091301574077,5.420707713161364
