time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2021Q2,BA1,CF42,0.0001313493350475665,0.0015872779377737324
2023Q2,BA14,CF42,0.0005891136705763718,0.008180528980502456
2021Q2,BA2,CF42,0.0003808253564874642,0.005986007331594821
2019Q2,BS15,CF42,0.0005026047889994166,0.007454816864374333
2020Q1,BS16,CF42,0.0009041247275355602,0.015127695069597569
2021Q2,BS16,CF42,0.00033972586831565205,0.005684248186798219
2021Q3,BS16,CF42,0.0006243522293482307,0.01044657872299151
2022Q2,BS16,CF42,0.0001590790462157051,0.0026616895101112645
2022Q4,BS16,CF42,0.0006453707913937134,0.010798258516433477
2023Q3,BS16,CF42,0.0010136112484730466,0.016959609021877188
2021Q2,BS21,CF42,0.0006761833630705442,0.004375135057396663
2023Q3,BS21,CF42,0.0009364694317002763,0.006059273955228564
2019Q2,BS3,CF42,0.0014542040114715815,0.018431647253325304
2019Q4,BS3,CF42,0.0007573860839933646,0.00959966622607265
2023Q3,BS36,CF42,0.0011451794443857342,0.0035937899795941025
2020Q3,BS4,CF42,0.0004220861116727946,0.0037954594656639303
2019Q3,BS5,CF42,0.0007256257520266263,0.008196175750973391
2020Q1,BS5,CF42,0.000257985120103282,0.0029140247291345963
2020Q3,BS5,CF42,0.00045435988424224143,0.005132140714466658
2021Q2,BS5,CF42,0.0004976102661772244,0.005620667659170293
2021Q3,BS5,CF42,0.002017838103799385,0.022792128985995214
2021Q4,BS5,CF42,0.0011430677962745433,0.012911317614317831
2022Q2,BS5,CF42,0.0006075282424319169,0.006862226477967177
2022Q3,BS5,CF42,0.001999060357905905,0.022580028319611437
2022Q4,BS5,CF42,0.0012236098140822925,0.013821065554556478
2023Q1,BS5,CF42,0.0005925544193014018,0.006693092340019452
2023Q2,BS5,CF42,0.0009664382497144424,0.010916230198555605
2023Q3,BS5,CF42,0.0019197936436834272,0.02168468534266349
2020Q3,BS6,CF42,0.0005767220193258863,0.005478356556315599
2022Q2,BS6,CF42,0.0004489479460442829,0.004264614218355932
2022Q3,BS6,CF42,0.0011830671254183074,0.01123810661967198
2022Q4,BS6,CF42,0.0008102293343408237,0.007696472541647659
2023Q1,BS6,CF42,0.0006118618504064008,0.005812154326362211
2021Q2,BS7,CF42,0.0005927976463962303,0.005569753564780742
2020Q3,BS8,CF42,0.0015425164294461734,0.012274518892294384
2021Q3,BS8,CF42,0.0007221943195531344,0.005746835268681958
2022Q2,BS8,CF42,0.002213243596877647,0.017611806152935526
2022Q3,BS8,CF42,0.001048475464659166,0.00834320572111297
2023Q3,BS8,CF42,0.0021780374430915737,0.017331654453074972
2019Q1,CF10,CF42,0.027589661432280674,0.13364006003799944
2019Q2,CF10,CF42,0.029845853966210405,0.1445687083083574
2019Q3,CF10,CF42,0.029592408526235525,0.1433410577299791
2019Q4,CF10,CF42,0.03136544986031025,0.15192939618847004
2020Q1,CF10,CF42,0.017867775334211262,0.08654874487207832
2020Q2,CF10,CF42,0.014691272826154662,0.07116225718612021
2020Q3,CF10,CF42,0.009710093168432708,0.0470341920356304
2020Q4,CF10,CF42,0.011223484956071502,0.05436482818198145
2021Q1,CF10,CF42,0.010053113600039413,0.04869573004278207
2021Q2,CF10,CF42,0.013949241183970472,0.06756797048365401
2021Q3,CF10,CF42,0.015815754303817844,0.0766090718400579
2021Q4,CF10,CF42,0.014525146339098504,0.07035756613332927
2022Q1,CF10,CF42,0.016465801094835756,0.07975779812625651
2022Q2,CF10,CF42,0.0136318062823147,0.0660303648330896
2022Q3,CF10,CF42,0.008847363455097216,0.04285526251271055
2023Q1,CF10,CF42,0.012321252884427194,0.05968224652773885
2023Q2,CF10,CF42,0.014120956494202287,0.06839973293297404
2023Q3,CF10,CF42,0.01633782217147397,0.07913788798188423
2019Q1,CF11,CF42,0.015519098771790262,0.18275328565477586
2019Q2,CF11,CF42,0.02212156381291737,0.2605040750163399
2019Q3,CF11,CF42,0.03121200378977985,0.3675533179040116
2019Q4,CF11,CF42,0.020530754743833226,0.24177066861821794
2020Q1,CF11,CF42,0.016261481961477937,0.19149560820361566
2021Q2,CF11,CF42,0.01806311098408815,0.21271163551645925
2022Q1,CF11,CF42,0.012713101219086118,0.1497097900345217
2022Q2,CF11,CF42,0.01739433340042349,0.204836094379422
2022Q4,CF11,CF42,0.014200377359812963,0.16722399014309092
2023Q1,CF11,CF42,0.013925695579628524,0.16398933080002018
2023Q3,CF11,CF42,0.012072015372014069,0.14216034746301362
2019Q1,CF14,CF42,0.018046801883332957,0.27551454348812343
2019Q2,CF14,CF42,0.013302535088150802,0.2030853946167296
2019Q3,CF14,CF42,0.014241373734474068,0.2174183330909781
2019Q4,CF14,CF42,0.012390701677538791,0.18916473612631848
2020Q1,CF14,CF42,0.016067692274626368,0.24530013298587602
2020Q2,CF14,CF42,0.008408877281199689,0.12837554267811993
2020Q3,CF14,CF42,0.012595290740372984,0.1922881295460403
2020Q4,CF14,CF42,0.010532204609532959,0.1607916773109204
2021Q1,CF14,CF42,0.004918580711234031,0.07509034165863301
2021Q2,CF14,CF42,0.009182479675041492,0.14018587404644325
2021Q3,CF14,CF42,0.012601163565729469,0.19237778802445316
2022Q1,CF14,CF42,0.010462674261683616,0.15973018053325727
2022Q2,CF14,CF42,0.011124497755180809,0.1698340204745045
2022Q3,CF14,CF42,0.015799331811799325,0.24120316273685155
2022Q4,CF14,CF42,0.014724930135848403,0.22480062841602685
2023Q1,CF14,CF42,0.008943076633639772,0.1365309871535817
2023Q2,CF14,CF42,0.011464698652285513,0.1750277548251107
2023Q3,CF14,CF42,0.014951855456894382,0.22826502208744065
2019Q1,CF15,CF42,0.01874621015086105,0.03751648508345313
2019Q2,CF15,CF42,0.03777921785798362,0.07560693344560991
2019Q3,CF15,CF42,0.02406096226875624,0.04815281194358423
2019Q4,CF15,CF42,0.023626484447695408,0.047283298555985134
2020Q1,CF15,CF42,0.02069881627384622,0.04142420391821012
2020Q2,CF15,CF42,0.0132336409387725,0.026484270094263764
2020Q3,CF15,CF42,0.019833955966798832,0.03969337307040146
2020Q4,CF15,CF42,0.010410341758785682,0.02083404742420393
2021Q1,CF15,CF42,0.007327174953177219,0.01466375590706254
2021Q2,CF15,CF42,0.019736660733519283,0.03949865770454093
2021Q3,CF15,CF42,0.03516341565509297,0.07037197109661998
2021Q4,CF15,CF42,0.02195806975865177,0.04394432740977482
2022Q1,CF15,CF42,0.015011388664192769,0.03004204766563111
2022Q2,CF15,CF42,0.025919003381844705,0.05187127936407372
2022Q3,CF15,CF42,0.02075478585319453,0.04153621492586713
2023Q1,CF15,CF42,0.03877699040335039,0.07760375939142447
2023Q2,CF15,CF42,0.018720397129786886,0.03746482590475544
2023Q3,CF15,CF42,0.04753430600488665,0.09512963248748788
2019Q1,CF23,CF42,0.004102962305088557,0.04314137488703621
2019Q2,CF23,CF42,0.0034106004073386157,0.03586140447363868
2019Q3,CF23,CF42,0.004972264806551817,0.05228182081785873
2019Q4,CF23,CF42,0.004114489072491053,0.04326257526782695
2020Q1,CF23,CF42,0.0036417498864386734,0.038291869486790565
2020Q3,CF23,CF42,0.0035339226462903226,0.037158099531237915
2020Q4,CF23,CF42,0.002057740565170634,0.02163650322407045
2021Q1,CF23,CF42,0.0017382979374014535,0.01827766316297642
2021Q2,CF23,CF42,0.0020744638260742554,0.021812343120791437
2021Q3,CF23,CF42,0.005343176340407143,0.05618184044809827
2021Q4,CF23,CF42,0.0030712693817151284,0.03229344408339342
2022Q1,CF23,CF42,0.002833246358938581,0.029790705892351967
2022Q2,CF23,CF42,0.003191213899891104,0.033554623455637984
2022Q3,CF23,CF42,0.003066167369914023,0.03223979801320735
2022Q4,CF23,CF42,0.0027201517640140878,0.028601551336560917
2023Q1,CF23,CF42,0.003134761084128878,0.032961039623486635
2023Q2,CF23,CF42,0.0042262136827652475,0.0444373248603273
2023Q3,CF23,CF42,0.0059868565422215424,0.06294993794180379
2019Q1,CF24,CF42,0.013123484834126987,0.20708103339984707
2019Q2,CF24,CF42,0.007824079973596666,0.12345947641301384
2019Q3,CF24,CF42,0.00875617762885117,0.13816744065569267
2019Q4,CF24,CF42,0.009349748496378324,0.14753364713188152
2020Q1,CF24,CF42,0.012334491398419491,0.1946311713337038
2020Q2,CF24,CF42,0.004243798757103204,0.06696470055549686
2020Q3,CF24,CF42,0.0108140011959448,0.17063871152729546
2020Q4,CF24,CF42,0.004495915275878393,0.07094295403809107
2021Q1,CF24,CF42,0.004951827816947323,0.0781369913946165
2021Q2,CF24,CF42,0.00801306505543795,0.1264415521756252
2021Q3,CF24,CF42,0.007380696134547028,0.11646313475958148
2021Q4,CF24,CF42,0.006336312348380909,0.0999833600321463
2022Q2,CF24,CF42,0.00874426277027252,0.13797943104860538
2022Q3,CF24,CF42,0.007291106471363835,0.11504946146560432
2022Q4,CF24,CF42,0.004908481026292631,0.0774530039997442
2023Q1,CF24,CF42,0.005837839995427342,0.09211775335255093
2023Q2,CF24,CF42,0.0067921619311482355,0.10717640394292756
2023Q3,CF24,CF42,0.00991015607853531,0.15637655606232026
2019Q1,CF3,CF42,0.0032995803103089017,0.02053179155653524
2019Q2,CF3,CF42,0.0034656190199931244,0.02156497513048904
2019Q3,CF3,CF42,0.005897367680142396,0.03669664398306335
2019Q4,CF3,CF42,0.005468421042407697,0.034027503629870684
2020Q1,CF3,CF42,0.007295764851415578,0.045398235256391535
2020Q3,CF3,CF42,0.001528075000062615,0.009508517579043555
2022Q1,CF3,CF42,0.00046067759307098603,0.002866587694849698
2022Q4,CF3,CF42,0.0003987722953017,0.002481379107541443
2023Q1,CF3,CF42,0.0025179610671006948,0.015668129554434942
2023Q2,CF3,CF42,0.0030135227544659145,0.018751785144389355
2023Q3,CF3,CF42,0.006906771278198646,0.04297770470068151
2019Q1,CF31,CF42,0.03823682572363355,0.6444576919882518
2019Q2,CF31,CF42,0.01984114135370773,0.33440998098646674
2019Q3,CF31,CF42,0.023209772871706075,0.3911861503510245
2019Q4,CF31,CF42,0.027942328593124368,0.4709504058746182
2020Q1,CF31,CF42,0.01754154266002151,0.29565168872278064
2020Q3,CF31,CF42,0.0210981578539782,0.35559620492698474
2020Q4,CF31,CF42,0.01490763451611448,0.2512588205595057
2021Q1,CF31,CF42,0.011015722578193207,0.1856630882394976
2021Q2,CF31,CF42,0.02024095111274996,0.3411485234692827
2021Q3,CF31,CF42,0.026120359035507586,0.4402422528375101
2021Q4,CF31,CF42,0.02094617356034848,0.3530346050756002
2022Q1,CF31,CF42,0.0175987467542498,0.2966158278175135
2022Q2,CF31,CF42,0.024208531011480672,0.40801959176339
2022Q3,CF31,CF42,0.02410418732491949,0.4062609444347441
2022Q4,CF31,CF42,0.011182884671167376,0.1884805003700101
2023Q1,CF31,CF42,0.012526340949063595,0.21112361249437736
2023Q2,CF31,CF42,0.009656764314947127,0.16275869988440936
2023Q3,CF31,CF42,0.020506297358182414,0.3456207678481736
2019Q1,CF32,CF42,0.07303147813040671,0.20169034843045594
2019Q2,CF32,CF42,0.062478891605736775,0.17254736916331345
2019Q3,CF32,CF42,0.06274005105782635,0.17326861077359273
2019Q4,CF32,CF42,0.06095420243537643,0.16833664937657966
2020Q1,CF32,CF42,0.10116997019800432,0.2794001581550723
2020Q3,CF32,CF42,0.13611947199819674,0.3759198696001129
2020Q4,CF32,CF42,0.07155697042501398,0.1976182143250361
2021Q2,CF32,CF42,0.1355559647231302,0.374363636841845
2021Q3,CF32,CF42,0.12453627689193368,0.3439306682758765
2021Q4,CF32,CF42,0.11083880536741113,0.3061024895901849
2022Q1,CF32,CF42,0.14447207791802266,0.3989871830572477
2022Q2,CF32,CF42,0.16063869335321015,0.4436343733310344
2022Q3,CF32,CF42,0.15954657200810834,0.44061827205168463
2022Q4,CF32,CF42,0.17241658894630996,0.4761612771643116
2023Q1,CF32,CF42,0.09472587870388252,0.2616035710937181
2023Q2,CF32,CF42,0.17171647657216488,0.4742277833846889
2023Q3,CF32,CF42,0.2823782978480773,0.7798414976687342
2020Q1,CF33,CF42,0.01827305249437401,0.025814936024118218
2020Q3,CF33,CF42,0.07119688687167786,0.10058215945445463
2020Q4,CF33,CF42,0.04242440187115615,0.05993433338532614
2021Q1,CF33,CF42,0.01873453316896567,0.02646688479374051
2021Q2,CF33,CF42,0.08347948070444773,0.11793417954528546
2021Q3,CF33,CF42,0.0439691754664464,0.062116685323867486
2021Q4,CF33,CF42,0.0245456736255856,0.03467647206226041
2022Q2,CF33,CF42,0.02939113280771716,0.04152180996257643
2022Q3,CF33,CF42,0.04836792135557323,0.06833093681518912
2022Q4,CF33,CF42,0.02117871062376485,0.029919853839096195
2023Q2,CF33,CF42,0.004965883662929764,0.007015465484007922
2023Q3,CF33,CF42,0.004573844842229039,0.006461619481624034
2019Q1,CF34,CF42,0.038049855011814564,0.13572927643802332
2019Q2,CF34,CF42,0.03923333647379495,0.1399509241279432
2019Q3,CF34,CF42,0.023925360938034417,0.08534518535299658
2019Q4,CF34,CF42,0.029035260423718918,0.10357292786732762
2020Q1,CF34,CF42,0.035283106786365856,0.12585988969240405
2020Q2,CF34,CF42,0.025834053772410846,0.09215376576077768
2020Q3,CF34,CF42,0.06852774020857935,0.2444482532602362
2020Q4,CF34,CF42,0.029162047089342308,0.10402519404236846
2021Q1,CF34,CF42,0.0331293348399662,0.11817707702973901
2021Q2,CF34,CF42,0.03815101977027188,0.136090145604599
2021Q3,CF34,CF42,0.039373978464217384,0.1404526142287573
2021Q4,CF34,CF42,0.04174073251393497,0.14889516452428891
2022Q1,CF34,CF42,0.03459702452219626,0.12341253610160102
2022Q2,CF34,CF42,0.04599494384997015,0.1640705449896074
2022Q3,CF34,CF42,0.05600008972407562,0.1997603317109379
2022Q4,CF34,CF42,0.04108765238019123,0.14656553425417193
2023Q1,CF34,CF42,0.03919002988070448,0.1397964433147222
2023Q2,CF34,CF42,0.038903941792265986,0.1387759261740068
2023Q3,CF34,CF42,0.07044833887481829,0.2512993034735813
2019Q1,CF35,CF42,0.08612159467219031,0.2375820529992923
2019Q2,CF35,CF42,0.10506793496767328,0.2898489721309882
2019Q3,CF35,CF42,0.10990762579369732,0.3032001378485445
2019Q4,CF35,CF42,0.06921135102870353,0.19093207610522595
2020Q1,CF35,CF42,0.09680056869809377,0.2670419414588302
2020Q3,CF35,CF42,0.049164135695167414,0.13562819333355236
2020Q4,CF35,CF42,0.034700251015453716,0.09572694174117992
2021Q1,CF35,CF42,0.017694306507929438,0.04881295664059605
2021Q2,CF35,CF42,0.04957304757142168,0.13675625097607594
2021Q3,CF35,CF42,0.05681651362773835,0.15673866703607614
2021Q4,CF35,CF42,0.05951666444073225,0.16418752322598534
2022Q1,CF35,CF42,0.04711120361365568,0.12996480750738207
2022Q2,CF35,CF42,0.09183429704908128,0.2533415795621924
2022Q3,CF35,CF42,0.052630703681774825,0.14519135042852616
2022Q4,CF35,CF42,0.05798437026771424,0.15996041158447247
2023Q1,CF35,CF42,0.06575432611978939,0.1813952453224731
2023Q2,CF35,CF42,0.0940864633846993,0.2595545892463338
2023Q3,CF35,CF42,0.1280103940327068,0.35313991032448405
2019Q3,CF36,CF42,0.006445577893511545,0.005859591360647109
2020Q1,CF36,CF42,0.006862205973349003,0.0062383425506181535
2020Q2,CF36,CF42,0.03137550939602142,0.028523069122770195
2020Q3,CF36,CF42,0.03749625398663019,0.03408735873595791
2020Q4,CF36,CF42,0.0249736433010502,0.022703215591890542
2021Q1,CF36,CF42,0.01439210966940144,0.01308368045093416
2021Q2,CF36,CF42,0.027620392702666776,0.025109341184309863
2022Q1,CF36,CF42,0.0088428968447074,0.008038962961955902
2022Q2,CF36,CF42,0.009214720331041024,0.008376982876415306
2022Q3,CF36,CF42,0.01877503706929148,0.017068142969429545
2022Q4,CF36,CF42,0.02395324600387453,0.02177558562825654
2023Q2,CF36,CF42,0.010061090030278035,0.00914640660528763
2019Q1,CF37,CF42,0.10406519337515817,0.8259768696673122
2019Q2,CF37,CF42,0.14981679216809168,1.189112334346927
2019Q3,CF37,CF42,0.1159525202944316,0.9203278890527938
2019Q4,CF37,CF42,0.12178425524666825,0.966615009888796
2020Q1,CF37,CF42,0.1286600513053938,1.0211889583999292
2020Q2,CF37,CF42,0.041044499704399946,0.32577470221656296
2020Q3,CF37,CF42,0.0973759239679875,0.7728834036764529
2020Q4,CF37,CF42,0.11262983634509315,0.8939553816047511
2021Q1,CF37,CF42,0.061728055526867574,0.4899423565276647
2021Q2,CF37,CF42,0.08780774195392957,0.696939692123564
2021Q3,CF37,CF42,0.12513660322312864,0.9932229639782112
2021Q4,CF37,CF42,0.11665344245427545,0.9258911852202374
2022Q1,CF37,CF42,0.11837921294354818,0.9395888151410788
2022Q2,CF37,CF42,0.10785646256305292,0.8560685896201525
2022Q3,CF37,CF42,0.12397764094829394,0.9840241531099176
2022Q4,CF37,CF42,0.061742793666924985,0.4900593347640426
2023Q1,CF37,CF42,0.10341756007416313,0.8208365330254559
2023Q2,CF37,CF42,0.1281832677808607,1.0174046751988872
2023Q3,CF37,CF42,0.13779644649428716,1.093705530496811
2019Q1,CF38,CF42,0.03893895137551268,0.2038662429716601
2019Q2,CF38,CF42,0.07076353724396889,0.3704849762951055
2019Q4,CF38,CF42,0.042785906966150616,0.224007113627858
2020Q1,CF38,CF42,0.043075276583302013,0.22552211838774214
2020Q2,CF38,CF42,0.024687165667311956,0.12925052001731208
2020Q3,CF38,CF42,0.05175878441759346,0.2709849276175058
2020Q4,CF38,CF42,0.03378138860738975,0.17686364256036707
2021Q1,CF38,CF42,0.017778821840138844,0.09308164408584772
2021Q2,CF38,CF42,0.03970943355940986,0.20790012941592875
2021Q3,CF38,CF42,0.06546057810263793,0.3427211480823297
2021Q4,CF38,CF42,0.05180968500762681,0.2712514194383838
2022Q1,CF38,CF42,0.051055663685557764,0.2673037144124233
2022Q2,CF38,CF42,0.05321160964626203,0.2785912449578686
2022Q3,CF38,CF42,0.07226266161138169,0.3783336943970497
2022Q4,CF38,CF42,0.033810942258452915,0.1770183717350241
2023Q1,CF38,CF42,0.052180979432781535,0.27319534439832044
2023Q2,CF38,CF42,0.047968042432910335,0.2511383652630231
2023Q3,CF38,CF42,0.06352507486503242,0.3325877531301929
2019Q1,CF39,CF42,0.3816215340378348,1.4701218746075813
2019Q2,CF39,CF42,0.44404883008443496,1.7106107498543626
2019Q3,CF39,CF42,0.3535309206130313,1.3619083133077228
2019Q4,CF39,CF42,0.3495341764528241,1.346511642802887
2020Q1,CF39,CF42,0.382877233649216,1.4749592102974605
2020Q2,CF39,CF42,0.49263267778918496,1.8977704641074769
2020Q3,CF39,CF42,0.7972446309880675,3.0712280804175154
2020Q4,CF39,CF42,0.6694549369537192,2.578943427186496
2021Q1,CF39,CF42,0.5156684507339175,1.9865112470141024
2021Q2,CF39,CF42,0.8043990306170957,3.0987889973370413
2021Q3,CF39,CF42,0.7652766090287006,2.9480775656309435
2021Q4,CF39,CF42,0.8386419725583486,3.2307031937559527
2022Q1,CF39,CF42,0.8028471517165691,3.092810689209964
2022Q2,CF39,CF42,1.020072740200613,3.9296295290064536
2022Q3,CF39,CF42,0.7060009081868425,2.7197295908238632
2022Q4,CF39,CF42,0.7002918170697998,2.69773644057763
2023Q1,CF39,CF42,0.5776807476328841,2.2254014196970515
2023Q2,CF39,CF42,0.5730659210074971,2.2076237081048373
2023Q3,CF39,CF42,1.0301926720329742,3.9686145752612494
2019Q1,CF40,CF42,1.3919337013574349,6.076456592820011
2019Q2,CF40,CF42,1.9265819061422143,8.41045181517551
2019Q3,CF40,CF42,1.7786185776335401,7.7645210915100655
2019Q4,CF40,CF42,1.5786765937187055,6.891678667222197
2020Q1,CF40,CF42,1.4011698567279196,6.116776830154994
2020Q2,CF40,CF42,0.3083240813478656,1.3459821362212356
2020Q3,CF40,CF42,0.4055391608823461,1.7703724720416367
2020Q4,CF40,CF42,0.3461259536790613,1.5110053956795175
2021Q1,CF40,CF42,0.26175547073917743,1.1426878696367908
2021Q2,CF40,CF42,0.4454419463646783,1.9445672226102468
2021Q3,CF40,CF42,0.5130801079433139,2.2398401601430566
2021Q4,CF40,CF42,0.4769786849506777,2.0822401756467706
2022Q1,CF40,CF42,0.5594794644189696,2.4423955514552627
2022Q2,CF40,CF42,0.654639030734468,2.8578125885912997
2022Q3,CF40,CF42,0.6118372490831225,2.6709623326875
2022Q4,CF40,CF42,0.5118007742661691,2.234255256530677
2023Q1,CF40,CF42,0.5272721381132874,2.3017951621720583
2023Q2,CF40,CF42,1.163919824305326,5.0810669236737285
2023Q3,CF40,CF42,0.9934514422100048,4.3368908733055935
2019Q1,CF41,CF42,19.222182514231967,42.76100438050214
