time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2020Q3,AL1,CH48,0.0005838266856419343,0.006962546896072508
2021Q3,AL3,CH48,0.001680871755693822,0.008979990898080721
2019Q2,AL5,CH48,0.001804142749462324,0.013937493288629015
2020Q3,AL5,CH48,0.001115068292959885,0.008614205751802655
2021Q2,AL5,CH48,0.0022454440674837934,0.01734666596081385
2021Q3,AL5,CH48,0.0024773747056276284,0.01913839320275217
2021Q4,AL5,CH48,0.0016251789698565275,0.012554949430662769
2022Q2,AL5,CH48,0.004273046324515687,0.03301044470438229
2023Q2,AL5,CH48,0.0007794926291582827,0.006021792505425153
2022Q2,B12,CH48,0.008569477326746115,0.01638754194574575
2019Q4,B13,CH48,0.001467602836170762,0.010648182415789536
2021Q2,B13,CH48,0.0016047010503534055,0.011642897578172828
2021Q3,B13,CH48,0.002810513390744198,0.020391660828857436
2021Q4,B13,CH48,0.0008996832947331943,0.006527646037911391
2022Q1,B13,CH48,0.0028881137649768482,0.02095468981735324
2022Q2,B13,CH48,0.0017580662271606752,0.012755637577459395
2021Q3,B14,CH48,0.0016518467620288124,0.01098847970818382
2019Q2,B15,CH48,0.0017557491070936345,0.016350343456293746
2019Q3,B15,CH48,0.002063521771682893,0.01921646410654033
2019Q4,B15,CH48,0.0014725351329330655,0.013712924630085423
2020Q1,B15,CH48,0.0018043733415568628,0.016803154698265085
2021Q3,B15,CH48,0.0017517299639813089,0.016312915346536474
2022Q3,B15,CH48,0.001802006238864941,0.01678111114896019
2022Q4,B15,CH48,0.0033405736739747435,0.031108958956530017
2019Q4,B16,CH48,0.0005611717968595733,0.0023598078771498304
2020Q3,B16,CH48,0.004218262379994055,0.017738398201586215
2021Q3,B16,CH48,0.0019143837721221934,0.008050258282085812
2019Q2,B17,CH48,0.002295226718243367,0.015986395272457755
2019Q3,B17,CH48,0.0026661105116424547,0.018569623706624884
2019Q4,B17,CH48,0.0008894947226400695,0.006195385456201185
2020Q1,B17,CH48,0.0013602039494980405,0.009473904174693477
2023Q2,B17,CH48,0.0010111775743232726,0.0070429140029132625
2020Q3,B23,CH48,0.0013313286590696935,0.006829596739327372
2022Q3,B23,CH48,0.0015293964167398474,0.007845666590099776
2021Q2,B27,CH48,0.0015533019774879465,0.0069797684189669565
2021Q3,B28,CH48,0.00268195744617042,0.013752419322590016
2022Q2,B28,CH48,0.0033564322183306235,0.017210960360405602
2022Q3,B28,CH48,0.001267987494920217,0.006501928563722352
2019Q4,B29,CH48,0.001984881705273924,0.012046340454513416
2020Q1,B29,CH48,0.0009130259104050614,0.005541197206517437
2020Q3,B29,CH48,0.003345340253522937,0.02030302739102734
2020Q4,B29,CH48,0.001532379223571432,0.009300081603612185
2021Q2,B29,CH48,0.0022833214691258684,0.01385758542239878
2023Q3,B31,CH48,0.00031803402799316,0.003635578293170504
2021Q3,B6,CH48,0.0016596686895612367,0.007953358513266387
2020Q1,B62,CH48,0.008851676503553361,0.026198758348865137
2020Q4,B62,CH48,0.008106899347175291,0.023994403418375856
2022Q1,B62,CH48,0.003621013437165629,0.010717298127672588
2022Q2,B62,CH48,0.0024089661961141096,0.007129940098606537
2022Q3,B62,CH48,0.003034501426517899,0.008981368619912276
2022Q4,B62,CH48,0.003262279106843525,0.00965553383615358
2023Q1,B62,CH48,0.0015914956860353885,0.004710430942089288
2019Q4,B63,CH48,0.004360033363753593,0.019413478328452808
2021Q2,B63,CH48,0.0045047902257228925,0.020058022525315668
2023Q3,B63,CH48,0.006554231783087303,0.029183363076625526
2020Q3,B77,CH48,0.0003465471795532765,0.005209855106028267
2021Q3,B77,CH48,0.0011782206986090064,0.017712910347702438
2023Q2,B77,CH48,0.00041996832160945337,0.006313639913409723
2020Q3,B78,CH48,0.0011076956660955397,0.003575188152887307
2019Q4,B90,CH48,0.0010133365570219556,0.015310852334384891
2019Q3,B91,CH48,0.0011885393193691962,0.004859913760813093
2019Q3,B98,CH48,0.0004513741264591159,0.00783441519514207
2022Q1,B98,CH48,0.00024211137162074737,0.004202281206550457
2019Q4,BA1,CH48,0.0007243018722807602,0.008092278797948264
2020Q3,BA1,CH48,0.0011863983281107534,0.013255061741398377
2021Q2,BA1,CH48,0.0005440587697354374,0.0060785087208242005
2021Q3,BA1,CH48,0.0014103560348879918,0.015757234207808973
2021Q4,BA1,CH48,0.001019904670902126,0.011394907648492785
2022Q1,BA1,CH48,0.0010877064947672366,0.012152425035543214
2022Q2,BA1,CH48,0.0007267886927377709,0.008120062854884641
2022Q3,BA1,CH48,0.0006934940717430819,0.007748077960364573
2022Q4,BA1,CH48,0.0010119098514163644,0.011305585349746915
2023Q1,BA1,CH48,0.0008177117811825268,0.009135903085351784
2023Q3,BA1,CH48,0.0009676197845993553,0.010810753591913122
2020Q3,BA2,CH48,0.001375976904172033,0.01999625466320092
2021Q3,BA2,CH48,0.0006010221106161383,0.008734297171453268
2021Q4,BA2,CH48,0.0011510241782442248,0.016727150377224255
2022Q4,BA2,CH48,0.0005627215270908867,0.008177697551504725
2023Q1,BA2,CH48,0.0006515839370521139,0.00946908214828303
2023Q3,BA2,CH48,0.0008248529960198981,0.01198709841575652
2019Q1,BA20,CH48,0.001160208570061826,0.014379282755947909
2019Q2,BB1,CH48,0.0005944679053257197,0.005328568803847325
2019Q3,BB1,CH48,0.0006981398700267961,0.006257842179231713
2020Q3,BB1,CH48,0.0006223135751132338,0.005578166075664185
2021Q2,BB1,CH48,0.0003335076126620504,0.002989426754170832
2021Q3,BB1,CH48,0.0005055000937599079,0.004531097483681775
2022Q3,BB1,CH48,0.0008373169849813181,0.0075053692977054935
2019Q3,BB11,CH48,0.0021169405585596385,0.012538187148378841
2019Q3,BB2,CH48,0.0013025933050849964,0.011653000871604235
2021Q2,BB2,CH48,0.0007875262130607077,0.007045210205965854
2022Q1,BB2,CH48,0.00034006697075944584,0.0030422394243804713
2022Q2,BB2,CH48,0.0007860888404014482,0.007032351468871334
2022Q3,BB2,CH48,0.0003280803094759784,0.002935006741824378
2023Q2,BB2,CH48,0.0017196880499594017,0.01538433083206787
2021Q3,BB3,CH48,0.002877708135602685,0.009948070105053929
2019Q3,BB4,CH48,0.0010572350801863106,0.007884472421688597
2020Q3,BB4,CH48,0.00047465812377762073,0.003539826625877375
2021Q2,BB4,CH48,0.0005354990976090023,0.003993556349069753
2021Q3,BB4,CH48,0.0009656657197740996,0.0072015816338474375
2022Q3,BB4,CH48,0.0012952723113049394,0.00965966700164825
2019Q4,BB5,CH48,0.0011767994160661124,0.013176990837610213
2020Q1,BB5,CH48,0.0006600502353347499,0.007390788765381102
2020Q3,BB5,CH48,0.0009159537642980688,0.010256220554711912
2022Q1,BB5,CH48,0.0009057209042169168,0.010141640022387521
2022Q2,BB5,CH48,0.0005252594751876311,0.00588149449891172
2023Q2,BB5,CH48,0.0012225499387936677,0.013689273738643709
2023Q3,BB5,CH48,0.0009079561381825391,0.010166668635660785
2020Q3,BB7,CH48,0.0015528967031775555,0.009020863312416876
2021Q2,BB7,CH48,0.0036941675708614978,0.02145962486861844
2021Q3,BB7,CH48,0.008826956419331995,0.05127628074714912
2021Q4,BB7,CH48,0.002134827804948669,0.0124013334464443
2022Q4,BB7,CH48,0.0008496146652267571,0.004935458841243403
2023Q3,BB7,CH48,0.0011243737392935286,0.0065315495831008
2019Q3,BD10,CH48,0.0013024808204320224,0.007538664241968092
2020Q1,BD10,CH48,0.0017150725944411304,0.009926715416664816
2021Q2,BD10,CH48,0.002044947652218605,0.011836008254895898
2023Q3,BD10,CH48,0.0016419168991264387,0.009503295573766666
2021Q2,BD20,CH48,0.0019616041168554685,0.005892057032953649
2021Q3,BD20,CH48,0.005099253351937925,0.015316592842016375
2021Q4,BD20,CH48,0.0037080127703848203,0.011137732906602364
2022Q1,BD20,CH48,0.0017467144374914494,0.0052465943548697545
2020Q3,BD23,CH48,0.0039259534241353825,0.023911510488177246
2021Q4,BD23,CH48,0.0017785641593797558,0.010832567520912757
2023Q1,BD7,CH48,0.004615334812380795,0.017990750917066187
2023Q3,BD7,CH48,0.024365904664377054,0.09497922458623596
2019Q3,BL1,CH48,0.0010737244873603902,0.012594903363777887
2019Q4,BL1,CH48,0.0017700960195723558,0.02076341610307224
2020Q3,BL1,CH48,0.0020466362072250922,0.024007262155470374
2020Q4,BL1,CH48,0.0007318615414293798,0.008584814352729465
2021Q3,BL1,CH48,0.000991684427443025,0.011632564664436159
2021Q4,BL1,CH48,0.001691540362104356,0.019841949818066668
2022Q1,BL1,CH48,0.0015924110699493722,0.01867915259223357
2022Q3,BL1,CH48,0.0015014251003726813,0.01761187741338834
2023Q2,BL1,CH48,0.0004721952577730093,0.005538901003464845
2019Q2,BL2,CH48,0.0012896277420586931,0.009891813130265402
2019Q3,BL2,CH48,0.0030574286989994287,0.02345135139643761
