time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AL1,CM16,0.014054854399596252,0.03348930469206675
2019Q2,AL1,CM16,0.009277803544952546,0.022106752653302364
2019Q3,AL1,CM16,0.012514535455441213,0.029819098727837588
2019Q4,AL1,CM16,0.008779234578591085,0.020918783888220927
2020Q1,AL1,CM16,0.009848922440457824,0.02346759028015977
2020Q2,AL1,CM16,0.003267442403318918,0.007785521720642619
2020Q3,AL1,CM16,0.007674349988891304,0.018286112241683763
2020Q4,AL1,CM16,0.01004402552751045,0.023932473554144868
2021Q1,AL1,CM16,0.006260935658055505,0.014918289151118452
2021Q2,AL1,CM16,0.01141423337188162,0.0271973460805315
2021Q3,AL1,CM16,0.01806699255915068,0.04304925554405465
2021Q4,AL1,CM16,0.009587931386969386,0.022845711983616974
2022Q1,AL1,CM16,0.009529764365752966,0.02270711409841921
2022Q2,AL1,CM16,0.013386771214502794,0.0318974247117317
2022Q3,AL1,CM16,0.01205478301167899,0.02872362030918405
2022Q4,AL1,CM16,0.00645076308677867,0.015370601812543412
2023Q1,AL1,CM16,0.004191818610395747,0.009988085729401202
2023Q2,AL1,CM16,0.01342851437967896,0.03199688853666012
2019Q1,AL10,CM16,0.01536772295988534,0.02855552277480318
2019Q2,AL10,CM16,0.014647187728685987,0.027216660780852008
2019Q3,AL10,CM16,0.01604653168795867,0.02981685069858413
2019Q4,AL10,CM16,0.01613267593021116,0.029976919557059806
2020Q1,AL10,CM16,0.01117196258401262,0.02075917381122555
2020Q2,AL10,CM16,0.002838093539248997,0.005273601359719668
2020Q3,AL10,CM16,0.008202986090283694,0.015242372388800359
2020Q4,AL10,CM16,0.006792704355339514,0.012621858451491077
2021Q1,AL10,CM16,0.00489538297503199,0.00909635216614763
2021Q2,AL10,CM16,0.006361390578352174,0.011820413083559984
2021Q3,AL10,CM16,0.009640056734039552,0.017912664116721887
2021Q4,AL10,CM16,0.010119936210227424,0.018804351801827424
2022Q1,AL10,CM16,0.020734096925232204,0.03852704649276565
2022Q2,AL10,CM16,0.007171674826630296,0.013326042145599168
2022Q3,AL10,CM16,0.010624283712804584,0.019741504731630413
2022Q4,AL10,CM16,0.0118059585291429,0.02193723289633256
2023Q1,AL10,CM16,0.011859141302949688,0.02203605442718857
2023Q2,AL10,CM16,0.013314606174414951,0.024740525375392237
2023Q3,AL10,CM16,0.00921765613316375,0.017127780760229524
2019Q2,AL2,CM16,0.020009550111599158,0.004612313734019358
2019Q3,AL2,CM16,0.011794476794549648,0.0027186931740928754
2019Q4,AL2,CM16,0.04486932727742434,0.010342632057374837
2020Q1,AL2,CM16,0.012263795822571515,0.0028268738471469426
2020Q2,AL2,CM16,0.030004174501398258,0.006916130815479521
2020Q3,AL2,CM16,0.029057376106020806,0.006697888465302167
2020Q4,AL2,CM16,0.047264486388202624,0.010894729690764429
2021Q2,AL2,CM16,0.016490453532101827,0.0038011421987059688
2021Q3,AL2,CM16,0.031778948790147636,0.007325226261460489
2021Q4,AL2,CM16,0.02351471440442917,0.005420273798970667
2022Q1,AL2,CM16,0.02167485643367676,0.004996176198583982
2022Q2,AL2,CM16,0.02307345898240861,0.005318561944788789
2022Q3,AL2,CM16,0.02949962669137475,0.006799829710224194
2022Q4,AL2,CM16,0.030931865760774824,0.007129968863446023
2023Q1,AL2,CM16,0.024007320254452125,0.005533822215344211
2023Q2,AL2,CM16,0.022456258683046508,0.005176293807748643
2023Q3,AL2,CM16,0.03581413707433568,0.00825535983461493
2019Q1,AL3,CM16,0.0063501175602174425,0.006778266980650228
2019Q2,AL3,CM16,0.004130832168347479,0.004409348807135899
2019Q3,AL3,CM16,0.016365763063888702,0.01746920593786666
2019Q4,AL3,CM16,0.0066984295349577175,0.007150063492283037
2020Q1,AL3,CM16,0.003829841452761824,0.004088064136483807
2020Q2,AL3,CM16,0.0031053662989831837,0.0033147420732949308
2020Q3,AL3,CM16,0.00403292315076871,0.004304838385924209
2020Q4,AL3,CM16,0.005003632177114853,0.00534099635917532
2021Q3,AL3,CM16,0.009884469769847555,0.010550918849429743
2021Q4,AL3,CM16,0.0049126429803570595,0.005243872319796413
2022Q1,AL3,CM16,0.007794383020138161,0.008319910388892737
2023Q3,AL3,CM16,0.005247029352948292,0.005600804311467596
2019Q1,AL4,CM16,0.024682964180528663,0.011522159243218809
2019Q2,AL4,CM16,0.02891071553791618,0.013495699537013055
2019Q3,AL4,CM16,0.020850891902687428,0.009733324373392194
2019Q4,AL4,CM16,0.010942108872648921,0.005107843610888308
2020Q1,AL4,CM16,0.0212081431332266,0.009900091441480208
2020Q2,AL4,CM16,0.0022799213331630643,0.0010642812779933263
2020Q3,AL4,CM16,0.01787337243077139,0.008343400000683952
2020Q4,AL4,CM16,0.01346792912707994,0.006286912015251982
2021Q1,AL4,CM16,0.014856442300410737,0.0069350784906157936
2021Q2,AL4,CM16,0.020559783747293472,0.00959743329892818
2021Q3,AL4,CM16,0.02753684622520446,0.01285436890570567
2021Q4,AL4,CM16,0.04650624774070016,0.021709402013217003
2022Q1,AL4,CM16,0.019269748079602363,0.00899523672789014
2022Q2,AL4,CM16,0.022100730664383898,0.010316756781886078
2022Q3,AL4,CM16,0.019631421952610386,0.009164068312639492
2022Q4,AL4,CM16,0.008543562440376979,0.0039881874082231174
2023Q2,AL4,CM16,0.02224569505641836,0.010384427050229909
2023Q3,AL4,CM16,0.035749300166080335,0.016687992833216675
2019Q1,AL5,CM16,0.006398230061110084,0.00987573014487643
2019Q2,AL5,CM16,0.008709035588708999,0.013442480885298584
2019Q3,AL5,CM16,0.008673040714584664,0.0133869224480346
2019Q4,AL5,CM16,0.005974257406684393,0.009221324241380576
2020Q1,AL5,CM16,0.0062907210109798455,0.00970978888345295
2020Q2,AL5,CM16,0.003959079474494755,0.0061108775612619655
2020Q3,AL5,CM16,0.0064098221345275,0.009893622622608018
2020Q4,AL5,CM16,0.005394802352139466,0.008326929745541283
2021Q1,AL5,CM16,0.0037957798556350563,0.005858823015986712
2021Q2,AL5,CM16,0.009227944352096808,0.014243421593601346
2021Q3,AL5,CM16,0.010838677815079323,0.016729604313479626
2021Q4,AL5,CM16,0.010716396302158177,0.016540861612485382
2022Q1,AL5,CM16,0.012931790148552204,0.01996034349773215
2022Q2,AL5,CM16,0.005427973516072378,0.008378129758742445
2022Q3,AL5,CM16,0.00949830717210915,0.014660729228079634
2022Q4,AL5,CM16,0.005952143297395784,0.009187190899246469
2019Q1,AL6,CM16,0.02956820603269378,0.004399485005309511
2019Q2,AL6,CM16,0.03574085232883537,0.005317919650716374
2019Q3,AL6,CM16,0.01858546521535691,0.0027653512506390955
2019Q4,AL6,CM16,0.0201462792196063,0.0029975864359655124
2020Q1,AL6,CM16,0.0071994164727813455,0.0010712088783458133
2020Q2,AL6,CM16,0.0074590382411689376,0.0011098382789868331
2020Q3,AL6,CM16,0.028842991781805882,0.004291579601143621
2020Q4,AL6,CM16,0.020147820916568224,0.002997815826705661
2021Q1,AL6,CM16,0.02862931258288355,0.004259786044559028
2021Q2,AL6,CM16,0.01944542378071676,0.00289330540549397
2021Q3,AL6,CM16,0.0794257607630602,0.011817843907270321
2021Q4,AL6,CM16,0.017413467184904132,0.002590968409978149
2022Q2,AL6,CM16,0.02038863398202037,0.003033646660316868
2022Q3,AL6,CM16,0.03698870184981468,0.005503588515792629
2022Q4,AL6,CM16,0.0409650466540028,0.006095233112783833
2023Q1,AL6,CM16,0.02156402374578938,0.003208534160606141
2023Q2,AL6,CM16,0.09233716447976097,0.013738945477866605
2023Q3,AL6,CM16,0.038061722935312105,0.005663244470936038
2019Q1,AL7,CM16,0.014324566836961709,0.01569661193244257
2019Q2,AL7,CM16,0.02561006647863457,0.02806306673385222
2019Q3,AL7,CM16,0.034061902973403106,0.03732444259846274
2019Q4,AL7,CM16,0.019777194402658696,0.021671506662944456
2020Q1,AL7,CM16,0.016921048179117094,0.018541791160653368
2020Q2,AL7,CM16,0.0051956422316194965,0.0056932946578955
2020Q3,AL7,CM16,0.012102133551933776,0.013261308078729241
2020Q4,AL7,CM16,0.010333925403661579,0.011323736252990291
2021Q1,AL7,CM16,0.011075490121351473,0.012136330010892602
2021Q2,AL7,CM16,0.009009475410470414,0.009872426918218291
2021Q3,AL7,CM16,0.016258990654228304,0.017816320005859483
2021Q4,AL7,CM16,0.010798282578678438,0.011832570792787859
2022Q1,AL7,CM16,0.006735377103896111,0.007380509429836295
2022Q2,AL7,CM16,0.01168759920968854,0.012807068535087032
2022Q3,AL7,CM16,0.014149642639213946,0.015504933029974416
2022Q4,AL7,CM16,0.011171032730078228,0.012241023944696413
2023Q1,AL7,CM16,0.010889345319248421,0.011932355764752491
2023Q2,AL7,CM16,0.015300005793191329,0.016765481025238862
2023Q3,AL7,CM16,0.012383695358983487,0.013569838624229074
2019Q1,AL8,CM16,0.011770383970643427,0.012714027650882772
2019Q2,AL8,CM16,0.00587346942599528,0.006344351456585184
2019Q3,AL8,CM16,0.008566260227792272,0.009253026041669108
2019Q4,AL8,CM16,0.01270564033429595,0.013724264470497094
2020Q1,AL8,CM16,0.007225938471762183,0.0078052493242953954
2020Q2,AL8,CM16,0.003038691248008897,0.003282306222637923
2020Q3,AL8,CM16,0.017777643475907802,0.01920289527376156
2020Q4,AL8,CM16,0.0059170892391411075,0.0063914683146117
2021Q1,AL8,CM16,0.004491736454953327,0.004851843544882499
2021Q2,AL8,CM16,0.01634664177726199,0.017657168710344402
2021Q3,AL8,CM16,0.008902774131934821,0.009616518608508541
2021Q4,AL8,CM16,0.009825543421522226,0.010613267252602126
2022Q2,AL8,CM16,0.01770713822778504,0.019126737548032232
2022Q3,AL8,CM16,0.01878365992592931,0.020289565087993386
