time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AL1,CO15,0.00640052880728392,0.007066586160505216
2019Q2,AL1,CO15,0.010827133467568124,0.011953835975675784
2019Q3,AL1,CO15,0.015647737384771095,0.017276085738510517
2019Q4,AL1,CO15,0.008548511170700865,0.009438093718608476
2020Q1,AL1,CO15,0.005485895239311861,0.006056773204736706
2020Q2,AL1,CO15,0.003832149641073429,0.004230934104659717
2020Q3,AL1,CO15,0.023741675498901795,0.026212302226781142
2020Q4,AL1,CO15,0.0040960865913662724,0.004522337089685393
2021Q1,AL1,CO15,0.003097658625402205,0.003420009850955713
2021Q2,AL1,CO15,0.01652014643187999,0.018239280168880625
2021Q3,AL1,CO15,0.02578077520592057,0.028463596487516424
2021Q4,AL1,CO15,0.00990060078701356,0.010930885651600749
2022Q1,AL1,CO15,0.009694060688837944,0.010702852399458172
2022Q2,AL1,CO15,0.02394962115568344,0.026441887303982583
2022Q3,AL1,CO15,0.02834688237328845,0.031296740113814725
2022Q4,AL1,CO15,0.012896577837095037,0.01423863265138046
2023Q1,AL1,CO15,0.007328717351401746,0.008091364662046853
2023Q2,AL1,CO15,0.011848031117001095,0.013080971157469728
2023Q3,AL1,CO15,0.0223807289379484,0.02470973167013029
2019Q1,AL10,CO15,0.015304664090664109,0.013177056763854035
2019Q2,AL10,CO15,0.03944579172173294,0.03396215908649086
2019Q3,AL10,CO15,0.0466221576936851,0.04014088873455207
2019Q4,AL10,CO15,0.020322485958596682,0.017497316469847125
2020Q1,AL10,CO15,0.014332164975203732,0.012339751484149385
2020Q2,AL10,CO15,0.008464924830913304,0.00728815701788212
2020Q3,AL10,CO15,0.03566766673069855,0.030709257410709262
2020Q4,AL10,CO15,0.010050260357078518,0.008653104075477223
2021Q1,AL10,CO15,0.0014791921906984675,0.0012735594421424195
2021Q2,AL10,CO15,0.0230905826715958,0.019880600892095715
2021Q3,AL10,CO15,0.03389463601118182,0.029182707968217377
2021Q4,AL10,CO15,0.014625164035911775,0.012592018716663224
2022Q1,AL10,CO15,0.012365513405086808,0.010646497766156223
2022Q2,AL10,CO15,0.028583148446100725,0.024609607067017442
2022Q3,AL10,CO15,0.029842745655259018,0.02569409894650897
2022Q4,AL10,CO15,0.011469751550996663,0.009875261969779543
2023Q1,AL10,CO15,0.007290508944704603,0.006277004815829937
2023Q2,AL10,CO15,0.032937222631467006,0.028358391251676617
2023Q3,AL10,CO15,0.04176956290203618,0.03596288674491379
2019Q2,AL2,CO15,0.03611248704168292,0.003857029296984153
2019Q3,AL2,CO15,0.03066954070609593,0.0032756901204815873
2020Q1,AL2,CO15,0.017486213963481562,0.0018676320872786586
2020Q2,AL2,CO15,0.004108233272858119,0.00043878384986248837
2020Q3,AL2,CO15,0.05083553049370238,0.005429538270671371
2020Q4,AL2,CO15,0.025436175768518712,0.0027167354890061607
2021Q2,AL2,CO15,0.038743101797138836,0.004137994664148172
2021Q3,AL2,CO15,0.09494554814775802,0.010140751602109985
2021Q4,AL2,CO15,0.02187866588435293,0.002336772186237781
2022Q1,AL2,CO15,0.016394519786764022,0.001751032629088854
2022Q2,AL2,CO15,0.04883166960560899,0.005215513959813585
2022Q3,AL2,CO15,0.04816510920491127,0.005144321328003622
2023Q1,AL2,CO15,0.014310448734000232,0.0015284413935910527
2023Q2,AL2,CO15,0.0374967592384141,0.004004877835126376
2023Q3,AL2,CO15,0.07621697227888521,0.008140427843359901
