time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q4,AB15,DE14,0.0009969112957267786,0.0006352284375803152
2021Q3,AB15,DE14,0.002762617125981679,0.0017603300996710972
2020Q4,AB39,DE14,0.01092970643143268,0.0023119427725934475
2021Q1,AB39,DE14,0.006800524221480906,0.001438503670920514
2021Q2,AB39,DE14,0.012389875191529384,0.002620809861828689
2021Q3,AB39,DE14,0.01190922794391108,0.002519139342380674
2021Q4,AB39,DE14,0.022828255109735133,0.004828823147535667
2022Q1,AB39,DE14,0.022730294928964282,0.004808101792085186
2019Q1,AL1,DE14,0.002526558984124406,0.002228751625875041
2019Q2,AL1,DE14,0.0048446909557801785,0.004273643683921021
2019Q4,AL1,DE14,0.0015697586579716248,0.001384730055054758
2020Q1,AL1,DE14,0.0021905342061472603,0.0019323343346276708
2020Q2,AL1,DE14,0.004783809088489109,0.004219938006925595
2020Q3,AL1,DE14,0.002613665109242937,0.0023055904882176444
2021Q2,AL1,DE14,0.0009219886828693364,0.0008133132014313743
2021Q3,AL1,DE14,0.0013857845144023128,0.001222441078555295
2021Q4,AL1,DE14,0.0014101603663917162,0.0012439437310145644
2022Q1,AL1,DE14,0.0022216490377545864,0.0019597816382407665
2022Q2,AL1,DE14,0.002118792954557594,0.0018690492769157926
2022Q4,AL1,DE14,0.0008422954353305207,0.0007430134553579804
2023Q2,AL1,DE14,0.0014959572040416224,0.0013196276325615668
2023Q3,AL1,DE14,0.0008107762649461187,0.000715209472675655
2019Q2,AL10,DE14,0.0008740591344168994,0.0006012759871331749
2019Q3,AL10,DE14,0.0022357010994449376,0.0015379661770828221
2019Q4,AL10,DE14,0.0021319280268776593,0.0014665794090841574
2020Q3,AL10,DE14,0.002853352106664315,0.001962855872123175
2020Q4,AL10,DE14,0.0007117948867575717,0.000489652423181896
2021Q3,AL10,DE14,0.0010117565947327957,0.0006959997570900043
2021Q4,AL10,DE14,0.002078177377584544,0.0014296036789073565
2022Q1,AL10,DE14,0.002028426546934278,0.0013953794729788984
2022Q2,AL10,DE14,0.002211924399734662,0.001521609894051008
2022Q3,AL10,DE14,0.0009990658121252342,0.0006872696122526706
2023Q2,AL10,DE14,0.002123261753151484,0.0014606177732127484
2021Q3,AL2,DE14,0.011417508923865416,0.00097432832411216
2021Q4,AL2,DE14,0.011474830331868085,0.0009792199227758804
2019Q1,AL3,DE14,0.005266714309072558,0.002081273323107398
2019Q2,AL3,DE14,0.0063181402515788965,0.002496770469324704
2019Q3,AL3,DE14,0.0025686718729489,0.0010150746615922447
2019Q4,AL3,DE14,0.004584488744530058,0.0018116749009225762
2020Q3,AL3,DE14,0.002736638703808352,0.0010814509379041132
2021Q3,AL3,DE14,0.0033950102276325816,0.0013416228418307247
2022Q1,AL3,DE14,0.005015752608614947,0.0019820995571439896
