time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q2,AB10,DN35,0.0015244500268997991,0.0095233795167465
2021Q3,AB10,DN35,0.0006535829289407253,0.0040829926649858005
2021Q4,AB10,DN35,0.0016626255058309965,0.010386574441178414
2022Q3,AB10,DN35,0.001211605246284174,0.007569009400925231
2023Q3,AB10,DN35,0.0012214195793671374,0.007630320442286752
2023Q3,AB11,DN35,0.002083857636220107,0.004901495067162083
2023Q3,AB12,DN35,0.0010196797015692355,0.0029674544018975287
2019Q3,AB15,DN35,0.0016998403807431124,0.010289122154382735
2021Q3,AB15,DN35,0.0013734718806126664,0.008313615863776314
2022Q4,AB15,DN35,0.00110625167366986,0.006696133785752024
2023Q3,AB15,DN35,0.0010443312207293973,0.006321329709218317
2022Q3,AB42,DN35,0.007952824636088983,0.021818179447879355
2023Q2,AB42,DN35,0.00276640699014982,0.007589500196327635
2023Q3,AB42,DN35,0.0029331359558394552,0.008046912833853705
2021Q3,AB51,DN35,0.002860999767968205,0.01504185727382029
2022Q3,AB51,DN35,0.0040830346905264695,0.02146677037397044
2023Q2,AB56,DN35,0.00293756237713702,0.004251598028729979
2019Q3,AL1,DN35,0.0015307881015525473,0.01282756061159532
2020Q3,AL1,DN35,0.0024281121190202837,0.020346875800048583
2021Q2,AL1,DN35,0.003538580434689201,0.02965227843027032
2021Q3,AL1,DN35,0.0041860038336968535,0.035077498866536334
2022Q2,AL1,DN35,0.0021462302287162823,0.017984787259173213
2022Q3,AL1,DN35,0.0022336059130195307,0.0187169701689063
2022Q4,AL1,DN35,0.0011970160681905352,0.010030647711590228
2023Q2,AL1,DN35,0.0031435992121689638,0.02634245026582241
2019Q1,AL10,DN35,0.0020276364593011225,0.013250122762452738
2019Q2,AL10,DN35,0.0018419411752710246,0.012036648178031722
2019Q3,AL10,DN35,0.003530926322810835,0.023073765037024997
2019Q4,AL10,DN35,0.0016695786200504267,0.010910299810282341
2020Q2,AL10,DN35,0.0006356501911122022,0.004153823052242925
2020Q3,AL10,DN35,0.0036643770620985202,0.02394583392796976
2020Q4,AL10,DN35,0.0009827455644528644,0.006422008892927759
2021Q2,AL10,DN35,0.0028223164768244216,0.01844316796577341
2021Q3,AL10,DN35,0.0021727656814163887,0.014198507765408024
2021Q4,AL10,DN35,0.0008528995999914513,0.00557349634945347
2022Q1,AL10,DN35,0.00187848272830447,0.012275438549650271
2022Q2,AL10,DN35,0.0023646088348419783,0.015452157216405403
