time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AB10,EC4V,0.001631529566273396,0.010686460080875931
2019Q2,AB10,EC4V,0.0014243696566458945,0.00932957011065691
2019Q3,AB10,EC4V,0.0014806212815266695,0.009698016233975329
2019Q4,AB10,EC4V,0.0016368757950843786,0.0107214776876376
2021Q2,AB10,EC4V,0.0007980344156065546,0.005227096769704223
2021Q3,AB10,EC4V,0.001851783862408957,0.012129117812583676
2021Q4,AB10,EC4V,0.001214807818132299,0.0079569475924725
2022Q1,AB10,EC4V,0.002271088329782413,0.01487554701922946
2022Q2,AB10,EC4V,0.002946572717813541,0.019299945508334103
2023Q2,AB10,EC4V,0.002547904177106632,0.016688680880444704
2023Q3,AB10,EC4V,0.0009270412412628779,0.006072086845909685
2019Q2,AB12,EC4V,0.0008788583421746152,0.002681638175777577
2022Q4,AB12,EC4V,0.002500410751455661,0.007629439927300573
2023Q2,AB12,EC4V,0.001218936380964616,0.003719309672763424
2019Q3,AB15,EC4V,0.0024432056806155287,0.015505694773757057
2020Q1,AB15,EC4V,0.0006586011843534022,0.004179782743320234
2022Q1,AB15,EC4V,0.0010048279442516678,0.006377095275819284
2022Q3,AB15,EC4V,0.004019978161562639,0.025512610282837727
2022Q4,AB15,EC4V,0.004137315154177325,0.026257284219866044
2023Q2,AB15,EC4V,0.0022658407671993265,0.01438005634191098
2023Q3,AB15,EC4V,0.0012792984151633962,0.008119009753234228
2019Q1,AB25,EC4V,0.000649629838733583,0.004269948851551969
2019Q2,AB25,EC4V,0.0020490582627777907,0.013468245228648229
2019Q4,AB25,EC4V,0.0008894737619996288,0.005846417824556715
2021Q2,AB25,EC4V,0.0006775545792361754,0.0044534952444814846
2021Q3,AB25,EC4V,0.0032664482632507198,0.02147002212446297
2022Q1,AB25,EC4V,0.001302270916765602,0.008559690263447488
2022Q2,AB25,EC4V,0.002292839960511022,0.015070596780563775
2022Q3,AB25,EC4V,0.0009051219115162887,0.0059492714714702135
2022Q4,AB25,EC4V,0.0010766853402630922,0.00707693990950537
2019Q2,AB31,EC4V,0.002525469177804376,0.004924287513166128
2019Q4,AB51,EC4V,0.00042948139778516137,0.0023674947180171066
2021Q4,AB51,EC4V,0.0007476566841186058,0.0041214200653841215
2022Q2,AB51,EC4V,0.0008816106892155851,0.004859834816662768
2019Q1,AL1,EC4V,0.025954717896972918,0.2280375310740821
2019Q2,AL1,EC4V,0.031465605123553536,0.2764560545257935
2019Q3,AL1,EC4V,0.028154956233769988,0.2473687725111645
2019Q4,AL1,EC4V,0.02781194217121768,0.2443550591562896
2020Q1,AL1,EC4V,0.028085294438748142,0.24675672564515624
2020Q3,AL1,EC4V,0.008111863799914378,0.07127064145657458
2020Q4,AL1,EC4V,0.0056124725307639435,0.04931104950617796
2021Q2,AL1,EC4V,0.010956310079729976,0.09626187848318304
2021Q3,AL1,EC4V,0.017412098519880872,0.1529822814123286
2021Q4,AL1,EC4V,0.02376333650481655,0.2087841065409144
2022Q1,AL1,EC4V,0.015804389779546596,0.1388569908471474
2022Q2,AL1,EC4V,0.023685607188480676,0.2081011786254707
2022Q3,AL1,EC4V,0.018708889994871632,0.1643758603157348
2022Q4,AL1,EC4V,0.016174706336665234,0.1421105832666989
2023Q1,AL1,EC4V,0.01298449263976772,0.11408144197812894
2023Q2,AL1,EC4V,0.015038918711860402,0.1321315803427181
2023Q3,AL1,EC4V,0.009060269282885976,0.07960330936120973
2019Q1,AL10,EC4V,0.009455299679073829,0.06478375667936244
2019Q2,AL10,EC4V,0.008752837702482906,0.05997078117223097
2019Q3,AL10,EC4V,0.007815127133119909,0.05354598075096827
2019Q4,AL10,EC4V,0.0063701803032710285,0.043645809733996836
2020Q1,AL10,EC4V,0.003621267905614469,0.024811412311692253
2020Q3,AL10,EC4V,0.003050330829705416,0.020899590385330867
2020Q4,AL10,EC4V,0.0016019273664614796,0.010975735962820143
2021Q1,AL10,EC4V,0.0001934480189304372,0.001325424874288248
2021Q2,AL10,EC4V,0.00295860659354376,0.020271134302627503
2021Q3,AL10,EC4V,0.003144696921390436,0.02154614735655355
2021Q4,AL10,EC4V,0.004025916224982808,0.027583893264431256
2022Q1,AL10,EC4V,0.0020431419291018008,0.013998753512728376
2022Q2,AL10,EC4V,0.005481430476925143,0.03755646783547995
2022Q3,AL10,EC4V,0.003262568120161834,0.02235375148544341
2022Q4,AL10,EC4V,0.003247013269884084,0.0222471761605166
2023Q1,AL10,EC4V,0.006006715301780926,0.041155499641540264
2023Q2,AL10,EC4V,0.004257979776983724,0.02917389561202988
2023Q3,AL10,EC4V,0.0031180314637714343,0.021363446799536143
2019Q1,AL2,EC4V,0.022273546695037998,0.018931330217833255
2019Q2,AL2,EC4V,0.021249722657656952,0.01806113423144669
2019Q3,AL2,EC4V,0.018229401940849533,0.015494022238169834
2019Q4,AL2,EC4V,0.013450030515960134,0.011431810686633943
2020Q1,AL2,EC4V,0.01384809584931202,0.011770145051480977
2020Q3,AL2,EC4V,0.006738648995647369,0.005727493295312983
2021Q3,AL2,EC4V,0.011695955624545055,0.009940940307935495
2021Q4,AL2,EC4V,0.011012875512513223,0.009360358537857992
2022Q1,AL2,EC4V,0.01196823231255775,0.01017236101349087
2022Q2,AL2,EC4V,0.017016098804792986,0.014462779094116082
2022Q3,AL2,EC4V,0.014989946258031897,0.012740657177044687
2022Q4,AL2,EC4V,0.036946433915055116,0.03140250407327728
2023Q1,AL2,EC4V,0.030208780082741124,0.02567585661387642
2023Q2,AL2,EC4V,0.01761876971948774,0.014975017322494488
2023Q3,AL2,EC4V,0.03016280353673898,0.025636778994736587
2019Q1,AL3,EC4V,0.025393335518781063,0.0999463397163672
2019Q2,AL3,EC4V,0.02239688118228453,0.08815251125934694
2019Q3,AL3,EC4V,0.020561667336105482,0.08092924173704523
2019Q4,AL3,EC4V,0.018000903829809126,0.07085026100825215
2020Q1,AL3,EC4V,0.013055724797517414,0.05138639250014966
2020Q4,AL3,EC4V,0.003737133045862172,0.01470908651172472
2021Q1,AL3,EC4V,0.0015643093080759012,0.00615700877148629
2021Q2,AL3,EC4V,0.004042808609084389,0.015912203513120768
2021Q3,AL3,EC4V,0.011504782348294454,0.04528199472239708
2021Q4,AL3,EC4V,0.011716073274728707,0.04611362059119108
2022Q1,AL3,EC4V,0.008363226675825175,0.032917057857515024
2022Q2,AL3,EC4V,0.011890830985648495,0.0468014543549251
