time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2021Q3,AB10,FK7,0.06827676562663801,0.06240634506924501
2021Q4,AB10,FK7,0.1273937625325615,0.11644047621925935
2022Q2,AB10,FK7,0.06305693509488687,0.05763531436241915
2022Q3,AB10,FK7,0.1267761310553352,0.1158759485539598
2023Q1,AB10,FK7,0.07999670644081287,0.07311860807596206
2023Q2,AB10,FK7,0.03792741271753567,0.034666422521789135
2023Q3,AB10,FK7,0.07143762655916036,0.06529543590798746
2019Q3,AB11,FK7,0.04779962921542639,0.01644988858614289
2020Q3,AB11,FK7,0.04557453378754173,0.01568413846458283
2021Q3,AB11,FK7,0.033022548092773225,0.011364465496342223
2022Q2,AB11,FK7,0.02774180493905623,0.009547136827553166
2022Q3,AB11,FK7,0.04117489769255765,0.01417003626818538
2022Q4,AB11,FK7,0.028501841234171894,0.009808697692800268
2023Q1,AB11,FK7,0.02140743746286842,0.0073672111470136125
2023Q2,AB11,FK7,0.023521408450492474,0.008094718614990611
2019Q1,AB12,FK7,0.1182501903502662,0.050350065248269966
2019Q2,AB12,FK7,0.13258231192339373,0.05645257767734602
2019Q3,AB12,FK7,0.06996232444793056,0.029789445500592437
2021Q2,AB12,FK7,0.06593333664928235,0.0280739319953242
2021Q4,AB12,FK7,0.046499434638023966,0.019799118809848925
2022Q1,AB12,FK7,0.0345448654965023,0.014708950798214803
2022Q3,AB12,FK7,0.07767412344362855,0.033073073048800125
2022Q4,AB12,FK7,0.045058732336752866,0.0191856783184851
2023Q1,AB12,FK7,0.053130623745548514,0.022622630579669317
2023Q3,AB12,FK7,0.05238016787123136,0.0223030919630642
2019Q2,AB13,FK7,0.07694341527902815,0.001928492036519077
2019Q3,AB13,FK7,0.10321661578835566,0.002586997482012567
2020Q3,AB13,FK7,0.10275322038951754,0.0025753830464799337
2020Q4,AB13,FK7,0.02594072372926681,0.0006501723240645884
2021Q2,AB13,FK7,0.08109513665723628,0.002032549824787057
2021Q3,AB13,FK7,0.10974936067929293,0.002750732695131149
2022Q1,AB13,FK7,0.08682635820587431,0.00217619584148639
2022Q2,AB13,FK7,0.10171152260269854,0.002549274173107796
2023Q2,AB13,FK7,0.21289251134344253,0.00533588886419342
2023Q3,AB13,FK7,0.09680913835279532,0.0024264019435400012
2019Q1,AB14,FK7,0.05775947515729798,0.0005167007417444526
2019Q3,AB14,FK7,0.1958618313744961,0.0017521273050875711
2020Q3,AB14,FK7,0.4323991264768152,0.003868126377045071
2021Q1,AB14,FK7,0.09253443694562366,0.0008277882040392438
2021Q2,AB14,FK7,0.3187801588976567,0.00285172162848197
2021Q3,AB14,FK7,0.15390651816516307,0.0013768063487190106
2021Q4,AB14,FK7,0.20804019293566794,0.00186107165464672
2022Q1,AB14,FK7,0.6007217636471098,0.005373895452013621
2022Q2,AB14,FK7,0.28503699328927,0.0025498643375149416
2022Q3,AB14,FK7,0.32241387587918074,0.0028842278840275704
2022Q4,AB14,FK7,0.14096816350981625,0.0012610633051895405
2023Q2,AB14,FK7,0.1457708976466164,0.0013040272740297678
2023Q3,AB14,FK7,0.12960785007084658,0.0011594369942790016
2019Q1,AB15,FK7,0.10078176119235586,0.08925448198435072
2019Q2,AB15,FK7,0.0944242925961363,0.0836241719007203
2019Q3,AB15,FK7,0.212398188914034,0.18810437624475912
2019Q4,AB15,FK7,0.08853505244432146,0.07840853493612694
2020Q1,AB15,FK7,0.12425195853042822,0.11004019043691372
2020Q2,AB15,FK7,0.01429498828540156,0.01265994718975652
2020Q4,AB15,FK7,0.02429651418747158,0.021517512317424027
2021Q1,AB15,FK7,0.009922146173763224,0.008787264743488279
2021Q2,AB15,FK7,0.0605226713512484,0.05360017145815176
2021Q3,AB15,FK7,0.15838135001654569,0.14026590907384476
2021Q4,AB15,FK7,0.09469892299934143,0.08386739045619329
2022Q1,AB15,FK7,0.037084087296511095,0.032842460405063764
2022Q2,AB15,FK7,0.0917388428017356,0.08124588015965083
2022Q3,AB15,FK7,0.07328449536104534,0.06490231559309938
2023Q1,AB15,FK7,0.15198405827926156,0.1346003307652433
2023Q2,AB15,FK7,0.1640507632310381,0.1452868626038088
2023Q3,AB15,FK7,0.1020859024237657,0.0904094573357117
2019Q1,AB16,FK7,0.11412230991900275,0.03232082588887557
2019Q2,AB16,FK7,0.05724473988848744,0.016212406428707346
2019Q3,AB16,FK7,0.2442278029879995,0.06916828360028969
2020Q1,AB16,FK7,0.031622701981164174,0.008955933731050605
2021Q1,AB16,FK7,0.01272708250712862,0.00360446452650853
2021Q2,AB16,FK7,0.01092907546823733,0.003095247069446689
2021Q3,AB16,FK7,0.016758282471057002,0.004746149375420582
2021Q4,AB16,FK7,0.009584842029073651,0.002714543813684957
2022Q1,AB16,FK7,0.010831135721786206,0.003067509342310828
2022Q2,AB16,FK7,0.014897844053364109,0.004219250592720645
2022Q3,AB16,FK7,0.01814010810226278,0.005137499197087226
2022Q4,AB16,FK7,0.02127493016548017,0.00602531892462136
2023Q2,AB16,FK7,0.0199283628429968,0.005643954684723624
2023Q3,AB16,FK7,0.03871495662481272,0.010964546487483821
2019Q1,AB21,FK7,0.09370598523479527,0.026398289997402756
2019Q3,AB21,FK7,0.08391121013586947,0.02363896450850356
2019Q4,AB21,FK7,0.12449674665213566,0.03507247924048187
2020Q2,AB21,FK7,0.004405168425762514,0.0012409977153465767
2021Q3,AB21,FK7,0.02139033143181841,0.006025956302181078
2021Q4,AB21,FK7,0.01068511016690613,0.003010145361936238
2022Q1,AB21,FK7,0.011994091258381046,0.003378903690097335
2022Q2,AB21,FK7,0.021086821444409008,0.005940453282873767
2022Q3,AB21,FK7,0.017025385202068182,0.004796289743451703
2023Q2,AB21,FK7,0.016216332488529342,0.004568368249411924
2023Q3,AB21,FK7,0.04808597051765767,0.01354649216217122
2019Q1,AB22,FK7,0.033064905265884084,0.019316317111650938
2019Q4,AB22,FK7,0.039394863078914426,0.023014240073675103
2020Q1,AB22,FK7,0.012037943365590316,0.007032493501856697
2023Q1,AB22,FK7,0.00368192869395004,0.0021509604114368273
2023Q3,AB22,FK7,0.003274042259621301,0.0019126756304075649
2019Q1,AB23,FK7,0.09602972097099033,0.004314786406949437
2019Q4,AB23,FK7,0.04055620312461308,0.0018222624432328
2020Q1,AB23,FK7,0.033894820623389284,0.0015229546625046425
2021Q2,AB23,FK7,0.02177729353069854,0.0009784925870480426
2021Q3,AB23,FK7,0.019966284343718617,0.0008971207185907543
2021Q4,AB23,FK7,0.01330595261660968,0.0005978601510151682
2022Q2,AB23,FK7,0.011411932274554958,0.0005127584435047173
2022Q3,AB23,FK7,0.006629333890720245,0.0002978677795747214
2022Q4,AB23,FK7,0.05688838519205084,0.002556096473654403
2019Q3,AB24,FK7,0.07099500585041778,0.033009170046794364
2021Q3,AB24,FK7,0.018622186055972368,0.008658396443543884
2021Q4,AB24,FK7,0.012977228492766404,0.006033770078931689
2022Q1,AB24,FK7,0.009279131912103772,0.0043143378820000074
2022Q3,AB24,FK7,0.011124549988319772,0.0051723661102614105
2022Q4,AB24,FK7,0.0061068324975702,0.0028393753890844755
2023Q1,AB24,FK7,0.0139713994381095,0.006496010449184711
2023Q2,AB24,FK7,0.012460113377178877,0.0057933370994604156
2023Q3,AB24,FK7,0.006702593790285376,0.0031163749552225147
2021Q2,AB25,FK7,0.04944295358086582,0.04535007435804776
2021Q3,AB25,FK7,0.07021777660874569,0.0644051610965196
2021Q4,AB25,FK7,0.06246571422269787,0.0572948131060722
2022Q1,AB25,FK7,0.08384000550475874,0.07689974421939381
2022Q2,AB25,FK7,0.04614191467131512,0.042322294883626
2022Q4,AB25,FK7,0.04131358548443275,0.037893653959249964
2023Q1,AB25,FK7,0.025763545747308,0.023630843846261237
2023Q2,AB25,FK7,0.023408473507962626,0.021470724083225496
2023Q3,AB25,FK7,0.030886332958236583,0.028329567609923563
2019Q1,AB30,FK7,0.08184582004747375,0.004382584494042368
2019Q4,AB30,FK7,0.06906445062411293,0.003698182634363313
2020Q4,AB30,FK7,0.011493180907388812,0.0006154234437718327
2021Q2,AB30,FK7,0.031246727394437925,0.0016731633074114382
2021Q3,AB30,FK7,0.06754084367298382,0.0036165983067194506
2021Q4,AB30,FK7,0.05845386841931685,0.00313001955631573
2022Q1,AB30,FK7,0.015344520700520716,0.0008216504942049257
2022Q2,AB30,FK7,0.039444931926612935,0.002112151200022908
2022Q4,AB30,FK7,0.008471977656206015,0.0004536475764849755
2023Q3,AB30,FK7,0.024129948745110062,0.001292082346429133
2019Q1,AB31,FK7,0.12341223219006385,0.033579670175894236
2019Q2,AB31,FK7,0.05509138924805161,0.01499001069547401
2019Q3,AB31,FK7,0.07328285327167543,0.019939790397936242
2020Q2,AB31,FK7,0.011100560132348641,0.0030203906160442924
2020Q3,AB31,FK7,0.042236994925957005,0.011492413139811477
2020Q4,AB31,FK7,0.023433966360976784,0.006376230681110362
2021Q1,AB31,FK7,0.020051317772106853,0.00545583387830177
2021Q2,AB31,FK7,0.033325192099515434,0.009067569230306341
2021Q3,AB31,FK7,0.0564399719166349,0.015356951317261096
2021Q4,AB31,FK7,0.050699732911135886,0.013795069410461106
2022Q1,AB31,FK7,0.02837324581961779,0.007720176675639484
2022Q2,AB31,FK7,0.031955266704705186,0.008694821390752934
2022Q3,AB31,FK7,0.04847453680435356,0.013189607941881898
2022Q4,AB31,FK7,0.03614529501011116,0.009834900992477549
2023Q2,AB31,FK7,0.04073649716134376,0.011084137402947879
2023Q3,AB31,FK7,0.03161430363937244,0.008602047545949586
2019Q1,AB32,FK7,0.053075377636237715,0.007701362234339671
2019Q2,AB32,FK7,0.05644060236911854,0.008189664264812258
2019Q3,AB32,FK7,0.06943816264754807,0.010075640857440536
2019Q4,AB32,FK7,0.04942772456706095,0.007172079187434866
2020Q2,AB32,FK7,0.02121775414249868,0.003078746072622887
2020Q3,AB32,FK7,0.1481492805440564,0.02149680935002135
2020Q4,AB32,FK7,0.0495377024215172,0.007188037233004092
2021Q1,AB32,FK7,0.06336025929750241,0.009193722773977864
2021Q3,AB32,FK7,0.1328159923715021,0.019271913141657274
2021Q4,AB32,FK7,0.05176442859598855,0.007511140442628376
2022Q1,AB32,FK7,0.05034870775356511,0.0073057160157890015
2022Q2,AB32,FK7,0.08462145143872864,0.012278771802469071
2022Q3,AB32,FK7,0.05229528323961389,0.0075881687010490705
2023Q1,AB32,FK7,0.045833108155506584,0.006650491884399244
