time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AB10,G40,0.010265146724971785,0.0755080823075808
2019Q3,AB10,G40,0.012344184052635996,0.09080100756854276
2019Q4,AB10,G40,0.013722400516599636,0.10093885410759608
2020Q1,AB10,G40,0.007983288455990436,0.05872325237725641
2020Q3,AB10,G40,0.0034779930270636933,0.0255833248943102
2020Q4,AB10,G40,0.0030432180714884084,0.022385219303574604
2021Q1,AB10,G40,0.0007668609944719836,0.005640854888922492
2021Q2,AB10,G40,0.0031246770360770053,0.022984412901838832
2021Q3,AB10,G40,0.010934613377191515,0.08043252658805229
2021Q4,AB10,G40,0.01565422284801939,0.11514889937169495
2022Q1,AB10,G40,0.007675454150685586,0.056458893310131715
2022Q2,AB10,G40,0.009802839982379552,0.07210745915953712
2022Q3,AB10,G40,0.010483670599221666,0.07711549417660858
2022Q4,AB10,G40,0.00792365346891527,0.058284590989053475
2023Q1,AB10,G40,0.00831886116585082,0.061191648833263765
2023Q2,AB10,G40,0.006788212612793358,0.04993254655009013
2023Q3,AB10,G40,0.009154319183134252,0.06733708780493508
2019Q1,AB11,G40,0.00911261567336964,0.025237943168994924
2019Q3,AB11,G40,0.010065199069603507,0.02787618080345763
2019Q4,AB11,G40,0.01165798271333868,0.032287491948573485
2020Q1,AB11,G40,0.005754119550160429,0.015936383953834808
2020Q3,AB11,G40,0.0051208474313420346,0.014182498316810278
2020Q4,AB11,G40,0.003483956988170092,0.009649030708890387
2021Q2,AB11,G40,0.00223030867323021,0.006176975476843119
2021Q3,AB11,G40,0.010866186778815208,0.030094564965452375
2021Q4,AB11,G40,0.01705026187931724,0.04722173695794292
2022Q1,AB11,G40,0.01090796133691317,0.03021026214406458
2022Q2,AB11,G40,0.008463155055846616,0.023439222500521325
2022Q3,AB11,G40,0.010451322201842323,0.028945572295096613
2022Q4,AB11,G40,0.006412840537705171,0.017760751780128852
2023Q2,AB11,G40,0.006011695027431126,0.01664975489913671
2023Q3,AB11,G40,0.007691937721371397,0.021303289201445624
2019Q2,AB12,G40,0.0068680905518919595,0.023534591931824
2019Q3,AB12,G40,0.008704811345350375,0.029828404460960238
2019Q4,AB12,G40,0.006959735318458615,0.02384862713091429
2020Q3,AB12,G40,0.00472971266533664,0.016207103953050576
2020Q4,AB12,G40,0.003726499083350161,0.012769434910377384
2021Q2,AB12,G40,0.0024765154735426373,0.008486169575416907
2022Q1,AB12,G40,0.007013624437093092,0.02403328666722147
2022Q2,AB12,G40,0.0088107600137768,0.030191454228329594
2022Q3,AB12,G40,0.010318047532619928,0.035356411855472794
2022Q4,AB12,G40,0.004946100762075697,0.01694859178248155
2023Q1,AB12,G40,0.003842260893750149,0.013166110951333538
2023Q2,AB12,G40,0.012575181069499371,0.043090834738330544
2023Q3,AB12,G40,0.0035401602688126346,0.01213091567012181
2021Q4,AB13,G40,0.015260024902388385,0.0030780388963465646
2022Q3,AB13,G40,0.04108395792137892,0.008286881660204738
2019Q2,AB15,G40,0.012438227669419316,0.08865006593266844
2019Q3,AB15,G40,0.009391890654889086,0.06693813201661711
2019Q4,AB15,G40,0.008299739678423491,0.05915412462863984
2020Q1,AB15,G40,0.003401066841362636,0.024240173740306358
2020Q3,AB15,G40,0.007731073753743406,0.05510111377722288
2020Q4,AB15,G40,0.001953546308890906,0.013923367033350412
2021Q1,AB15,G40,0.0021148913375816595,0.015073309598440263
2021Q2,AB15,G40,0.004777390847874842,0.0340495466803112
2021Q3,AB15,G40,0.011313343883564616,0.08063276439799856
2021Q4,AB15,G40,0.011564864070368835,0.08242540574017397
2022Q1,AB15,G40,0.00468487001612437,0.033390129755905634
2022Q2,AB15,G40,0.009826506662290829,0.07003573874448595
2022Q3,AB15,G40,0.00875157506275142,0.06237445775615315
2022Q4,AB15,G40,0.010410925917873973,0.07420102715347239
2023Q1,AB15,G40,0.007774975168290519,0.055414009102632264
2023Q2,AB15,G40,0.009588660686575051,0.06834055660202819
2023Q3,AB15,G40,0.011084534082427752,0.07900198511851214
2019Q1,AB16,G40,0.005493377863711934,0.012520562490045696
2019Q3,AB16,G40,0.016951578021712464,0.038636208393340164
2019Q4,AB16,G40,0.008025141147717492,0.018290983020698117
2022Q1,AB16,G40,0.0037017056509740845,0.008436965028191024
2022Q2,AB16,G40,0.0045073121611444176,0.010273111549187785
2023Q2,AB16,G40,0.0034903225045910557,0.007955178419060367
2019Q2,AB21,G40,0.005670240286590678,0.012855305394339156
2019Q4,AB21,G40,0.004978837496387778,0.011287789104143162
2020Q1,AB21,G40,0.002258727694815076,0.005120882511481401
2023Q1,AB21,G40,0.0055475625887532,0.012577176216197484
2019Q3,AB22,G40,0.007692380937641774,0.03616515223207737
2019Q4,AB22,G40,0.009063007048796569,0.04260904812919989
2020Q1,AB22,G40,0.0007343087264337075,0.0034522974215781864
2019Q1,AB24,G40,0.005171252700326075,0.01934973569131529
2019Q2,AB24,G40,0.004757205202278328,0.01780045738001383
2019Q3,AB24,G40,0.006001124724310186,0.02245494157705684
2019Q4,AB24,G40,0.004580416313473636,0.017138950687193268
2020Q1,AB24,G40,0.006158264761889313,0.023042926417458802
2020Q3,AB24,G40,0.0013127158874340285,0.004911905669981511
2021Q2,AB24,G40,0.0007909297271107057,0.002959492033532082
2021Q3,AB24,G40,0.0030380576506049105,0.011367770240753573
2022Q1,AB24,G40,0.001396540831551359,0.005225560911178164
2022Q2,AB24,G40,0.005977464867278887,0.022366411387839614
2022Q4,AB24,G40,0.0012990581588043725,0.004860801333287447
2023Q1,AB24,G40,0.004840268563014822,0.018111262937008214
2023Q2,AB24,G40,0.002697579107145905,0.010093771423391514
2023Q3,AB24,G40,0.0011665426505389376,0.004364956282092253
2019Q1,AB25,G40,0.005650551937883577,0.04170968779496309
2019Q2,AB25,G40,0.00495508434538491,0.03657607669404488
2019Q3,AB25,G40,0.010006399662879677,0.07386248467024256
2019Q4,AB25,G40,0.0073616307607719264,0.054340058116269636
2020Q1,AB25,G40,0.003948378147450435,0.0291450501892556
2020Q3,AB25,G40,0.0037982537130249773,0.028036902992465727
2020Q4,AB25,G40,0.0027086740916634523,0.019994144278922224
2021Q1,AB25,G40,0.0008186452957663247,0.006042850340389553
2021Q2,AB25,G40,0.003280372027869985,0.02421414662459228
2021Q3,AB25,G40,0.006782237435247168,0.050063252065500975
2021Q4,AB25,G40,0.019296433217787776,0.14243709533475066
2022Q1,AB25,G40,0.009512556417936132,0.0702171686386972
2022Q2,AB25,G40,0.014196165958877406,0.10478934740170497
2022Q3,AB25,G40,0.008807257257813509,0.0650109855800945
2022Q4,AB25,G40,0.010814724386349651,0.07982915345295807
2023Q1,AB25,G40,0.006004874428666243,0.044325127955807626
2023Q2,AB25,G40,0.005792672137934561,0.04275875153929254
2023Q3,AB25,G40,0.003737488448207815,0.02758836269902824
2019Q3,AB31,G40,0.007099579796245488,0.015546167197070469
2019Q4,AB31,G40,0.006628564915407947,0.014514771494795103
2020Q1,AB31,G40,0.00626348283425776,0.013715340086584614
2020Q3,AB31,G40,0.00629974811703361,0.013794751286354571
2021Q3,AB31,G40,0.0035621530627054205,0.007800155598456811
2022Q1,AB31,G40,0.006091526397746431,0.013338801813991177
2022Q2,AB31,G40,0.008235863070205567,0.01803432146354689
2022Q3,AB31,G40,0.0038913168972785697,0.008520935722684616
2023Q1,AB31,G40,0.0035573813149717562,0.007789706756381817
