time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q2,AL1,GL15,0.0018678140993586426,N/A
2019Q3,AL1,GL15,0.0025904060024473613,N/A
2019Q4,AL1,GL15,0.0009099547906944726,N/A
2020Q3,AL1,GL15,0.0017036525558660252,N/A
2021Q2,AL1,GL15,0.0008494387537255197,N/A
2023Q2,AL1,GL15,0.0005593353082876521,N/A
2019Q2,AL10,GL15,0.002700988644657968,N/A
2021Q3,AL10,GL15,0.0007151280689599468,N/A
2020Q3,AL2,GL15,0.014277011245998675,N/A
2021Q3,AL3,GL15,0.001648550605026906,N/A
2019Q3,AL5,GL15,0.0030805489257805,N/A
2019Q4,AL5,GL15,0.001478672995819495,N/A
2021Q3,AL5,GL15,0.0017274270020511695,N/A
2022Q3,AL5,GL15,0.0008397416876636723,N/A
2023Q2,AL5,GL15,0.0009863962780265688,N/A
2023Q3,AL5,GL15,0.000986217938435532,N/A
2020Q3,B11,GL15,0.002460563266656729,N/A
2021Q2,B11,GL15,0.00232497068173165,N/A
2021Q3,B11,GL15,0.0048262653177729865,N/A
2021Q4,B11,GL15,0.005746204732887208,N/A
2022Q3,B11,GL15,0.003515961281928316,N/A
2021Q3,B12,GL15,0.003869881245988407,N/A
2019Q1,B13,GL15,0.001692270477556401,N/A
2019Q2,B13,GL15,0.0017479705830415009,N/A
2019Q3,B13,GL15,0.0032700392609962725,N/A
2019Q4,B13,GL15,0.003702727807696436,N/A
2020Q3,B13,GL15,0.0022383846936080407,N/A
2021Q2,B13,GL15,0.004417176603904465,N/A
2021Q3,B13,GL15,0.0060230169745973386,N/A
2022Q4,B13,GL15,0.0011012164036701925,N/A
2023Q1,B13,GL15,0.0010762146517763122,N/A
2019Q2,B14,GL15,0.004065741815047283,N/A
2019Q4,B14,GL15,0.002563529484392307,N/A
2020Q4,B14,GL15,0.0010567262934437376,N/A
2021Q2,B14,GL15,0.0036252263333418884,N/A
2022Q1,B14,GL15,0.0024353996091305576,N/A
2022Q2,B14,GL15,0.0019297146219041008,N/A
2022Q3,B14,GL15,0.002326116423495134,N/A
2022Q4,B14,GL15,0.0020358221748552363,N/A
2023Q1,B14,GL15,0.00456869990029484,N/A
2019Q2,B15,GL15,0.002351001462152863,N/A
2019Q3,B15,GL15,0.003685554234002649,N/A
2019Q4,B15,GL15,0.0018302881845694656,N/A
2020Q1,B15,GL15,0.00183253200066285,N/A
2020Q4,B15,GL15,0.0010724454633588537,N/A
2021Q2,B15,GL15,0.0014866637771254738,N/A
2021Q4,B15,GL15,0.0009828900781811427,N/A
2022Q2,B15,GL15,0.0016887305121285965,N/A
2022Q4,B15,GL15,0.0005908880094709977,N/A
2023Q1,B15,GL15,0.0018541811273660523,N/A
2023Q3,B15,GL15,0.003473353340599736,N/A
2019Q2,B16,GL15,0.002032493589832348,N/A
2019Q3,B16,GL15,0.0011930019867459336,N/A
2019Q4,B16,GL15,0.0021255944863630056,N/A
2019Q3,B17,GL15,0.002507405215515947,N/A
2019Q4,B17,GL15,0.0025250098329092905,N/A
2022Q2,B18,GL15,0.0016120078308678632,N/A
2020Q4,B23,GL15,0.0022974517057482483,N/A
2021Q4,B23,GL15,0.002482270185165212,N/A
2022Q2,B24,GL15,0.002257239648319673,N/A
2019Q2,B27,GL15,0.002511436401210649,N/A
2021Q2,B27,GL15,0.0018909740986591261,N/A
2019Q1,B28,GL15,0.0008800592681758377,N/A
2019Q2,B28,GL15,0.0022914319855404162,N/A
