time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q3,AB15,HP20,0.0014900891779069086,0.001380653585240106
2023Q2,AB15,HP20,0.0014158805937544124,0.001311895050996099
2021Q4,AB39,HP20,0.005084775743848441,0.0015640096765574564
2019Q1,AL1,HP20,0.02065092914116483,0.026489324108501
2019Q2,AL1,HP20,0.023512530937664918,0.03015995301525845
2019Q3,AL1,HP20,0.021606978552445904,0.027715666155682
2019Q4,AL1,HP20,0.02978268937068324,0.03820279979510579
2020Q1,AL1,HP20,0.06867511213464801,0.08809082105153795
2020Q2,AL1,HP20,0.012771733426116134,0.01638253580936375
2020Q4,AL1,HP20,0.017352930278835506,0.022258920712289385
2021Q1,AL1,HP20,0.010037729395124562,0.012875578887676351
2021Q2,AL1,HP20,0.014836845594460097,0.019031492917963216
2021Q3,AL1,HP20,0.014269442764858416,0.01830367494180064
2021Q4,AL1,HP20,0.02043175826976248,0.02620818962743077
2022Q1,AL1,HP20,0.01988909712247232,0.02551210825920768
2022Q2,AL1,HP20,0.017651390058999596,0.022641760525262213
2022Q3,AL1,HP20,0.015427623056222231,0.01978929396186008
2022Q4,AL1,HP20,0.02841049834088165,0.03644266529080708
2023Q1,AL1,HP20,0.012919086029018902,0.01657154768528666
2023Q2,AL1,HP20,0.016949015094764645,0.021740811326021143
2023Q3,AL1,HP20,0.012626075195231588,0.016195697335385333
2019Q1,AL10,HP20,0.02667296345151589,0.026681077434603902
2019Q2,AL10,HP20,0.026374927582146487,0.026382950901967617
2019Q3,AL10,HP20,0.031711796712442696,0.03172144352138025
2019Q4,AL10,HP20,0.03573924373221474,0.03575011570074379
2020Q1,AL10,HP20,0.027615636758824648,0.027624037505522062
2020Q2,AL10,HP20,0.007737501023162374,0.0077398547905853125
2020Q3,AL10,HP20,0.013957663437087988,0.013961909393683044
2020Q4,AL10,HP20,0.008298636074372591,0.008301160540500375
2021Q1,AL10,HP20,0.008459665810105113,0.008462239261886658
2021Q2,AL10,HP20,0.007877124322084088,0.00787952056326845
2021Q3,AL10,HP20,0.010444119042206577,0.01044729616969118
2021Q4,AL10,HP20,0.009612428357117644,0.009615352482187816
2022Q1,AL10,HP20,0.013845446302941359,0.013849658122799778
2022Q2,AL10,HP20,0.012794827272752723,0.012798719491639231
2022Q3,AL10,HP20,0.013454130712382521,0.013458223493046451
2022Q4,AL10,HP20,0.012969881063973756,0.012973826534667249
2023Q1,AL10,HP20,0.01810898138359571,0.01811449018163214
2023Q2,AL10,HP20,0.026920754685464312,0.026928944047273747
2023Q3,AL10,HP20,0.016470882817678827,0.016475893301979534
2019Q1,AL2,HP20,0.10434805035419617,0.012948437248315656
2019Q2,AL2,HP20,0.1459291589454673,0.01810819225554298
2019Q3,AL2,HP20,0.08020180529840425,0.00995215569033635
2019Q4,AL2,HP20,0.10962341118444202,0.013603051095347764
2020Q1,AL2,HP20,0.16613575139707562,0.020615606562507247
2020Q2,AL2,HP20,0.13328759912154484,0.016539514704354736
2020Q3,AL2,HP20,0.1817381211704694,0.02255168783331253
2020Q4,AL2,HP20,0.0749437603101592,0.009299690547499365
2021Q1,AL2,HP20,0.05391695423917931,0.006690496815384395
2021Q2,AL2,HP20,0.1424988309353074,0.017682526545163866
2021Q4,AL2,HP20,0.11602310754874025,0.014397182528566798
2022Q1,AL2,HP20,0.0542413774858611,0.006730754146856282
2022Q2,AL2,HP20,0.13480781062961567,0.01672815611403711
2022Q3,AL2,HP20,0.07477378641281797,0.00927859866953802
2022Q4,AL2,HP20,0.12429928389445928,0.01542416434283917
2023Q1,AL2,HP20,0.09868457582393224,0.012245662790013495
