time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q2,AB10,HU10,0.0009970329324598024,0.0014616996856285484
2022Q4,AB15,HU10,0.0017822854780073613,0.0025317347368113995
2023Q2,AB15,HU10,0.0015928723318192738,0.002262673552320765
2019Q2,AB51,HU10,0.0013663922283947347,0.0016858920967415586
2019Q1,AL1,HU10,0.0008522113624826082,0.0016758960155840116
2019Q2,AL1,HU10,0.0008401197076253054,0.001652117458891059
2019Q3,AL1,HU10,0.0010246137153365716,0.0020149297681774747
2019Q4,AL1,HU10,0.0008070601990425207,0.0015871050674232266
2020Q3,AL1,HU10,0.0011331305414126202,0.002228330955313587
2021Q2,AL1,HU10,0.0010590787825253804,0.002082706227541144
2021Q4,AL1,HU10,0.0006414545884889202,0.001261437286983605
2022Q2,AL1,HU10,0.007735732466096847,0.01521252096403509
2022Q3,AL1,HU10,0.016152583229290966,0.03176447893923768
2022Q4,AL1,HU10,0.0012018296250604805,0.0023634295067155838
2023Q2,AL1,HU10,0.0021875498008878933,0.0043018741084603134
2019Q2,AL10,HU10,0.0009753384928920306,0.0014957393710854975
2019Q3,AL10,HU10,0.0014478602779961411,0.002220379527120084
2019Q4,AL10,HU10,0.001382850879930559,0.002120683763151066
2021Q2,AL10,HU10,0.0007393491929638727,0.0011338357964497693
2022Q2,AL10,HU10,0.0006781914721099233,0.0010400468077102103
2022Q3,AL10,HU10,0.0029050534661589325,0.004455071624988473
2022Q3,AL2,HU10,0.13426843210292386,0.025543205792753258
2022Q4,AL2,HU10,0.047252743460868746,0.00898935462036175
2022Q2,AL3,HU10,0.002811596265993328,0.0024769077462200068
2022Q3,AL4,HU10,0.0228110070448809,0.008788221351009899
2019Q1,AL5,HU10,0.00400339686286749,0.005099856723594021
2019Q2,AL5,HU10,0.00181427838288627,0.0023111772643011337
2019Q4,AL5,HU10,0.0019002677890313567,0.0024207176536525845
2023Q2,AL5,HU10,0.0010818971290269721,0.0013782096895967654
2023Q3,AL5,HU10,0.00116509254824581,0.001484190868233029
2020Q3,AL8,HU10,0.0025843996010685077,0.002303945251039424
2022Q2,AL9,HU10,0.03465029618946761,0.005790911561497001
2022Q3,AL9,HU10,0.0628043981678681,0.010496150263030591
2021Q4,B11,HU10,0.004304126677997264,0.0024326826598866174
2022Q1,B11,HU10,0.0020537855118814927,0.0011607949244201224
2022Q2,B11,HU10,0.0032271571151239607,0.001823981899702063
2019Q2,B13,HU10,0.001380413182414256,0.0016515494997343804
2019Q3,B13,HU10,0.0019844428490555163,0.0023742207306924803
