time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2022Q4,AB10,IG8,0.0012211096530592544,0.002323906906481506
2019Q1,AL1,IG8,0.0055809726146070215,0.014247053388155875
2019Q2,AL1,IG8,0.00551075244698826,0.014067796017429609
2019Q3,AL1,IG8,0.007968496822099927,0.02034190229686372
2019Q4,AL1,IG8,0.010165442685997951,0.025950244637036157
2020Q1,AL1,IG8,0.009322011251246123,0.02379714095602045
2020Q2,AL1,IG8,0.0016285995771498374,0.004157473387856
2020Q4,AL1,IG8,0.0076867882198432425,0.01962275927764352
2021Q1,AL1,IG8,0.004739851687152767,0.01209984794801957
2021Q2,AL1,IG8,0.011184626709185226,0.02855200784094448
2021Q3,AL1,IG8,0.016497118375814173,0.04211368563891468
2021Q4,AL1,IG8,0.008345879680703643,0.02130528164049818
2022Q1,AL1,IG8,0.006167591163233524,0.015744567595426858
2022Q2,AL1,IG8,0.007148285985688714,0.018248075936685933
2022Q3,AL1,IG8,0.006391171252728747,0.01631532070452295
2023Q1,AL1,IG8,0.0032180745640607578,0.008215069896820916
2023Q2,AL1,IG8,0.0048816590725413575,0.01246185248199242
2023Q3,AL1,IG8,0.0020825757526681246,0.005316379416642398
2019Q1,AL10,IG8,0.013458772477227307,0.026793004954687
2019Q2,AL10,IG8,0.020522254678592363,0.040854607819193235
2019Q4,AL10,IG8,0.01208278548360979,0.02405376358628145
2020Q1,AL10,IG8,0.012429288291225584,0.024743562857126655
2020Q2,AL10,IG8,0.0029246081350795326,0.005822153572050493
2020Q3,AL10,IG8,0.007613679476903773,0.015156906195809838
2020Q4,AL10,IG8,0.012592663599619035,0.025068801689617944
2021Q1,AL10,IG8,0.0047666233810661676,0.009489139078777496
2021Q2,AL10,IG8,0.0065630357564766,0.013065340827969152
2021Q3,AL10,IG8,0.007984477479239102,0.01589507104186608
2021Q4,AL10,IG8,0.008965519417232974,0.017848076901048317
2022Q1,AL10,IG8,0.00906516921996472,0.01804645440262529
2022Q2,AL10,IG8,0.012875811255151168,0.025632476909658763
2022Q4,AL10,IG8,0.007723822631013367,0.015376173300501332
2023Q1,AL10,IG8,0.007101826141811636,0.014137935931887075
2023Q2,AL10,IG8,0.004483179442671601,0.00892487403464874
2023Q3,AL10,IG8,0.006587553163342959,0.013114148771246142
2019Q1,AL2,IG8,0.023314089476419816,0.005757518682413793
2019Q2,AL2,IG8,0.03391078768291365,0.00837442070457923
2019Q3,AL2,IG8,0.017841288240831442,0.0044059859369078285
2019Q4,AL2,IG8,0.017709329582825294,0.004373398156049174
2020Q2,AL2,IG8,0.014117387047324568,0.003486351879795541
2021Q2,AL2,IG8,0.006122443859618652,0.0015119648974254991
2021Q3,AL2,IG8,0.018497498942862026,0.0045680401050692
2021Q4,AL2,IG8,0.01787174023883286,0.004413506194029058
2022Q1,AL2,IG8,0.029698858390717363,0.007334265925497976
2022Q2,AL2,IG8,0.008130683466378906,0.0020079086513679354
2022Q3,AL2,IG8,0.01850864477219588,0.004570792617479583
2023Q2,AL2,IG8,0.011799253578549872,0.0029138784504429594
2023Q3,AL2,IG8,0.024891423359826657,0.006147048340490484
2019Q2,AL3,IG8,0.0030521137648391555,0.0034903823443964608
2019Q3,AL3,IG8,0.0033317862746657816,0.0038102144560816383
2019Q4,AL3,IG8,0.008345131989082127,0.009543452046875256
2020Q1,AL3,IG8,0.0036458859675830993,0.004169417325636774
2020Q2,AL3,IG8,0.0030815552385184603,0.00352405146941634
2020Q3,AL3,IG8,0.006309845062644436,0.007215907891851456
2020Q4,AL3,IG8,0.002462381705928576,0.002815967651845007
2021Q2,AL3,IG8,0.002542367957778484,0.002907439537482953
2021Q3,AL3,IG8,0.00491384642745636,0.005619450693828629
2021Q4,AL3,IG8,0.007417274275521776,0.008482358512672152
2022Q2,AL3,IG8,0.0027024264219853928,0.0030904816127735016
2022Q3,AL3,IG8,0.002959018535657586,0.0033839190965233874
2022Q4,AL3,IG8,0.003412202329051154,0.0039021778617928673
2023Q1,AL3,IG8,0.003143231902357589,0.0035945845999324345
2023Q2,AL3,IG8,0.0019444696506940831,0.0022236859635391248
2023Q3,AL3,IG8,0.0038285090649018846,0.004378264204774674
2019Q1,AL4,IG8,0.018113865900132982,0.00905905901465497
2019Q2,AL4,IG8,0.008103460374254717,0.004052681308232088
2019Q3,AL4,IG8,0.011444521057110066,0.005723603797357274
2019Q4,AL4,IG8,0.007284976674686566,0.003643343391202097
2020Q3,AL4,IG8,0.020060319991144892,0.010032514519791732
2021Q2,AL4,IG8,0.024431070121691833,0.012218402589695405
2021Q4,AL4,IG8,0.030739920463031745,0.015373568244112932
