time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2021Q3,B13,IM5,0.0006348862591685174,N/A
2019Q3,B15,IM5,0.00035681607348751483,N/A
2019Q3,B77,IM5,0.0005001557557253113,N/A
2021Q3,B77,IM5,0.0003754604772259087,N/A
2022Q3,B77,IM5,0.0007037096480037951,N/A
2023Q3,B77,IM5,0.0007880057335057798,N/A
2019Q3,B90,IM5,0.0007441023086948818,N/A
2022Q2,B98,IM5,0.000235562815314957,N/A
2022Q3,B98,IM5,0.0007461120778463969,N/A
2022Q2,BA1,IM5,0.0007954126060101579,N/A
2022Q3,BA1,IM5,0.0015970730915156153,N/A
2023Q3,BA1,IM5,0.0006320017840788168,N/A
2023Q2,BA11,IM5,0.010626589966083913,N/A
2019Q3,BA14,IM5,0.0008068521436347466,N/A
2022Q3,BA14,IM5,0.000347247614130799,N/A
2023Q2,BA2,IM5,0.0029435357288241297,N/A
2023Q3,BA2,IM5,0.00031934533565547007,N/A
2023Q2,BA3,IM5,0.043486589360877716,N/A
2023Q3,BA3,IM5,0.013765405152113278,N/A
2023Q3,BA4,IM5,0.013298631052614251,N/A
2023Q3,BA5,IM5,0.06375312120347815,N/A
2019Q3,BB1,IM5,0.0020859916198687125,N/A
2022Q2,BB11,IM5,0.0035754677864838227,N/A
2023Q2,BB11,IM5,0.002556813234140505,N/A
2019Q3,BB12,IM5,0.00208721014976608,N/A
2019Q3,BB2,IM5,0.001486602672839126,N/A
2022Q3,BB2,IM5,0.0004741276386043085,N/A
2019Q2,BB4,IM5,0.0020410976701700995,N/A
2019Q3,BB4,IM5,0.0015720741102645149,N/A
2023Q3,BB5,IM5,0.004359998157182315,N/A
2019Q2,BB7,IM5,0.008489743117524541,N/A
2021Q3,BB7,IM5,0.013822899358664358,N/A
2022Q1,BB7,IM5,0.004621770964779629,N/A
2022Q3,BB7,IM5,0.003173662969032805,N/A
2023Q3,BB7,IM5,0.0022315528019622483,N/A
2019Q2,BB8,IM5,0.020223877035714884,N/A
2019Q3,BB8,IM5,0.00584354561042131,N/A
2019Q3,BB9,IM5,0.005732763760951218,N/A
2019Q1,BD20,IM5,0.028696525261011543,N/A
2021Q3,BD21,IM5,0.0005213175563641164,N/A
2020Q1,BD23,IM5,0.025075620792510182,N/A
2020Q3,BD23,IM5,0.010851329986224262,N/A
2022Q2,BD23,IM5,0.043293198319282425,N/A
2022Q4,BD23,IM5,0.002492048276648322,N/A
2022Q2,BD24,IM5,0.01266767461722047,N/A
2023Q3,BL1,IM5,0.000564571073270515,N/A
