time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AB10,IV25,0.00783604763255366,0.3848874193230222
2019Q2,AB10,IV25,0.011866484303418906,0.5828525723868841
2019Q3,AB10,IV25,0.010566136824310882,0.5189826970459168
2019Q4,AB10,IV25,0.009114028763109456,0.4476587145407418
2020Q1,AB10,IV25,0.0019067699548658765,0.0936558583592782
2020Q3,AB10,IV25,0.01743619580957769,0.8564231258727353
2020Q4,AB10,IV25,0.009045715839413564,0.4443033514622311
2021Q2,AB10,IV25,0.01608995340971065,0.7902990047130483
2021Q3,AB10,IV25,0.022991857323112444,1.1293035782188097
2021Q4,AB10,IV25,0.013796576212952985,0.6776539478954611
2022Q1,AB10,IV25,0.0055015277184245134,0.2702215332486987
2022Q2,AB10,IV25,0.015073240156700274,0.7403605461313266
2022Q3,AB10,IV25,0.02085277177329589,1.0242369482560516
2022Q4,AB10,IV25,0.008708696806783059,0.4277498040854876
2023Q1,AB10,IV25,0.007559438402768028,0.3713010531336649
2023Q2,AB10,IV25,0.0065651948070791725,0.3224662489482776
2023Q3,AB10,IV25,0.01930151312076421,0.9480429321560174
2019Q1,AB11,IV25,0.003096324758594405,0.057261903213949424
2019Q2,AB11,IV25,0.005686072979334189,0.10515542974177343
2019Q3,AB11,IV25,0.0092843783884391,0.17170071556764782
2019Q4,AB11,IV25,0.004253733820641933,0.07866645566147748
2020Q1,AB11,IV25,0.0015238453335735106,0.028181244154675263
2020Q3,AB11,IV25,0.011227546995662618,0.20763671756691146
2020Q4,AB11,IV25,0.007679796347342925,0.14202636655724207
2021Q2,AB11,IV25,0.00974348695551574,0.1801912430097924
2021Q3,AB11,IV25,0.004160855739090795,0.07694881422166519
2021Q4,AB11,IV25,0.010314954678855869,0.19075968528089748
2022Q2,AB11,IV25,0.004238094084605256,0.07837722209554157
2022Q4,AB11,IV25,0.002684066804294301,0.04963780790134091
2023Q2,AB11,IV25,0.0021918952864734627,0.04053583055226169
2023Q3,AB11,IV25,0.013337608049277506,0.24665914617109624
2019Q2,AB12,IV25,0.0081177969542991,0.1857450349030703
2019Q3,AB12,IV25,0.01555066986373161,0.3558181773781929
2019Q4,AB12,IV25,0.004091304022254335,0.0936139956063138
2020Q3,AB12,IV25,0.015063006604977641,0.3446598508607712
2020Q4,AB12,IV25,0.008435864725498681,0.19302281107751876
2021Q2,AB12,IV25,0.013864361805721068,0.31723340482772683
2021Q3,AB12,IV25,0.02871807682340946,0.6571044104630244
2021Q4,AB12,IV25,0.009321597811202795,0.21328945778537792
2022Q1,AB12,IV25,0.0012748768343619275,0.029170727406561226
2022Q2,AB12,IV25,0.010398215912810723,0.2379237850525235
2022Q3,AB12,IV25,0.02272873373073196,0.5200609800768181
2022Q4,AB12,IV25,0.008624033108878737,0.1973283317914943
2023Q2,AB12,IV25,0.014591809465806429,0.3338782891200291
2023Q3,AB12,IV25,0.0090474396922239,0.20701638768207525
2020Q3,AB13,IV25,0.11239410515071044,0.1513807889923794
2021Q2,AB13,IV25,0.09285614955417022,0.12506560876529932
2023Q3,AB13,IV25,0.10495340667343182,0.14135909964635487
2020Q3,AB14,IV25,0.4689790718638064,0.2254499532374021
2021Q3,AB14,IV25,0.14908795083890092,0.07167030164333506
2019Q1,AB15,IV25,0.0033491954675261572,0.1593930661961124
2019Q2,AB15,IV25,0.02399392228829805,1.1419055354293677
2019Q3,AB15,IV25,0.023423097277656627,1.1147391458920108
2019Q4,AB15,IV25,0.01298700867894934,0.6180705647443945
2020Q1,AB15,IV25,0.004924928388565957,0.2343844795746237
2020Q3,AB15,IV25,0.0307619370817578,1.4640051681471389
2020Q4,AB15,IV25,0.014867839105093116,0.7075820105601965
2021Q2,AB15,IV25,0.02666217936115478,1.2688917565579427
2021Q3,AB15,IV25,0.053324332066927334,2.537782244547614
2021Q4,AB15,IV25,0.020307589546217013,0.9664676177334428
2022Q1,AB15,IV25,0.009012211390281272,0.4289042012126879
2022Q2,AB15,IV25,0.0286783658183066,1.364844992057177
2022Q3,AB15,IV25,0.03930232155103213,1.870454442383373
2022Q4,AB15,IV25,0.012127585844809694,0.5771693865298981
2023Q1,AB15,IV25,0.005540267887545975,0.2636693781256333
2023Q2,AB15,IV25,0.021232078168401287,1.0104653710990337
2023Q3,AB15,IV25,0.027304094276226768,1.2994414176757865
2019Q2,AB16,IV25,0.007521522468519442,0.11447179512876128
2019Q3,AB16,IV25,0.014469326405274537,0.22021203484376475
2019Q4,AB16,IV25,0.006171954438910764,0.0939324062424976
2020Q3,AB16,IV25,0.0115789786197943,0.17622316145607536
2020Q4,AB16,IV25,0.0046648492852232526,0.07099542332281795
2022Q3,AB16,IV25,0.011618154518374751,0.17681938854375026
2022Q4,AB16,IV25,0.0098669918518286,0.15016803772468326
2023Q1,AB16,IV25,0.003737297371599302,0.056878795595911524
2023Q2,AB16,IV25,0.01595042543054269,0.24275322446269001
2023Q3,AB16,IV25,0.011152128031218794,0.16972682333696248
2019Q1,AB21,IV25,0.012613261688245213,0.19094870195337316
2019Q2,AB21,IV25,0.019810185702227315,0.29990095653219107
2019Q3,AB21,IV25,0.015766598059366938,0.23868619458378434
2019Q4,AB21,IV25,0.008567746731825912,0.12970476293471853
2020Q1,AB21,IV25,0.004942721316218411,0.07482649950319695
2020Q3,AB21,IV25,0.010435481162904865,0.15797988114149578
2021Q2,AB21,IV25,0.006467896711259375,0.09791571061547444
2021Q3,AB21,IV25,0.01375909149714528,0.20829510449989708
2022Q1,AB21,IV25,0.004368968449351454,0.0661406125472185
2022Q2,AB21,IV25,0.007061090306198938,0.1068959054104754
2022Q3,AB21,IV25,0.006012212748936824,0.09101723635424896
2023Q2,AB21,IV25,0.010387633508898582,0.1572555286583844
2023Q3,AB21,IV25,0.041856390317771115,0.6336523888250553
2019Q1,AB22,IV25,0.002230282937379244,0.07001608861710518
2019Q2,AB22,IV25,0.011628965893642507,0.3650723829198699
2019Q3,AB22,IV25,0.009546942846054441,0.2997106712914437
2019Q4,AB22,IV25,0.004964988933974423,0.15586771496920074
2019Q1,AB24,IV25,0.003262673975726092,0.08151946570441533
2019Q2,AB24,IV25,0.009314012430946051,0.23271504372913404
