time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2023Q2,EN6,KA14,0.0019535326910328802,N/A
2022Q3,G41,KA14,0.0023551788104197355,N/A
2022Q4,G51,KA14,0.007841680851029351,N/A
2022Q4,KA15,KA14,4.339788466889475,N/A
2023Q1,KA15,KA14,3.5633678194738834,N/A
2023Q3,KA15,KA14,4.134560701026083,N/A
2021Q2,KA25,KA14,0.4476069130985044,N/A
2022Q1,KA25,KA14,0.3973115962749888,N/A
2022Q2,KA25,KA14,0.4084246267305818,N/A
2022Q3,KA25,KA14,0.6054018612030703,N/A
2022Q4,KA25,KA14,0.4884748584180823,N/A
2023Q1,KA25,KA14,0.5796740498850603,N/A
2023Q2,KA25,KA14,0.3870192036540006,N/A
2022Q3,KA30,KA14,0.062446707259589826,N/A
2021Q4,PA1,KA14,0.008714800065005964,N/A
2022Q3,PA1,KA14,0.008056061315983416,N/A
2023Q2,PA1,KA14,0.008058841695380368,N/A
2021Q4,PA12,KA14,1.6723664662695623,N/A
2022Q2,PA12,KA14,1.2995937343271935,N/A
2022Q3,PA12,KA14,1.9293695925856988,N/A
2022Q4,PA12,KA14,1.8947818534918868,N/A
2022Q2,PA2,KA14,0.019736118376821914,N/A
2021Q2,PA5,KA14,0.10525830146471277,N/A
2022Q2,PA5,KA14,0.18568614251990095,N/A
2022Q4,PA5,KA14,0.20403998543159368,N/A
2021Q2,UNKNOWN,KA14,0.0001869212054756728,N/A
2021Q3,UNKNOWN,KA14,0.00016858294204304122,N/A
2021Q4,UNKNOWN,KA14,0.0002125756417668277,N/A
2022Q1,UNKNOWN,KA14,0.00017233656517314286,N/A
2022Q2,UNKNOWN,KA14,0.0001919992517496975,N/A
2022Q3,UNKNOWN,KA14,0.00024777399307700053,N/A
2022Q4,UNKNOWN,KA14,0.00025491463770189906,N/A
2023Q1,UNKNOWN,KA14,0.00016803332280164796,N/A
2023Q2,UNKNOWN,KA14,0.00015994297539962532,N/A
