time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AB10,KW14,0.017905682511635882,0.0997091239060434
2019Q2,AB10,KW14,0.022753059102888547,0.12670210073573865
2019Q3,AB10,KW14,0.023922230272185062,0.13321271729062306
2019Q4,AB10,KW14,0.034401742693442636,0.19156866109824214
2020Q1,AB10,KW14,0.018398465341169942,0.10245322171839168
2020Q2,AB10,KW14,0.0017519617640782885,0.00975592929784238
2020Q3,AB10,KW14,0.02157502920662504,0.12014215370131365
2020Q4,AB10,KW14,0.017813092027155815,0.09919352691142763
2021Q1,AB10,KW14,0.003858220952451561,0.021484790136030336
2021Q2,AB10,KW14,0.02653312697136893,0.14775168961494686
2021Q3,AB10,KW14,0.03824108396830565,0.21294831834638847
2021Q4,AB10,KW14,0.02304648183487684,0.12833604702746235
2022Q1,AB10,KW14,0.01932878663585792,0.10763378499399948
2022Q2,AB10,KW14,0.0176748907210323,0.09842394266646562
2022Q3,AB10,KW14,0.018297326056030773,0.101890020091916
2022Q4,AB10,KW14,0.011742332989919415,0.06538805400336171
2023Q1,AB10,KW14,0.012667230574219436,0.07053841494455687
2023Q2,AB10,KW14,0.012339483503633102,0.06871333102219318
2023Q3,AB10,KW14,0.02243812231969472,0.1249483518508448
2019Q1,AB11,KW14,0.01248544822127914,0.026177657621194072
2019Q2,AB11,KW14,0.022128717394559863,0.04639625084213457
2019Q3,AB11,KW14,0.016383583833087172,0.03435069695453409
2020Q1,AB11,KW14,0.016050965060973827,0.033653310670882265
2020Q3,AB11,KW14,0.020088897962443033,0.04211945646866494
2020Q4,AB11,KW14,0.01796196245678857,0.03766000988231888
2021Q1,AB11,KW14,0.014126591575127719,0.029618566434633925
2021Q2,AB11,KW14,0.015781179614341164,0.03308766409352557
2021Q3,AB11,KW14,0.03043115358402958,0.06380358201181867
2021Q4,AB11,KW14,0.016062214695666877,0.03367689725585213
2022Q1,AB11,KW14,0.014891017971587015,0.031221303647464588
2022Q2,AB11,KW14,0.01041249724308461,0.02183139787857537
2022Q3,AB11,KW14,0.011042408190561787,0.023152102816248025
2022Q4,AB11,KW14,0.017634351144020302,0.036973122505391455
2023Q1,AB11,KW14,0.010755130933888107,0.022549781975675986
2023Q2,AB11,KW14,0.015229741728381345,0.03193148996808177
2023Q3,AB11,KW14,0.026375934658519846,0.05530119341274085
