time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q3,AB10,L12,0.0008403135294402686,0.005165511737478115
2019Q4,AB10,L12,0.002651471218324221,0.016298923223290452
2020Q1,AB10,L12,0.0010455880540281483,0.006427359760882222
2020Q3,AB10,L12,0.002191359787079496,0.01347056105205943
2021Q2,AB10,L12,0.002406629435096604,0.014793850341827074
2021Q3,AB10,L12,0.00590120351963204,0.03627543170251105
2021Q4,AB10,L12,0.006930029725842181,0.04259975430093866
2022Q1,AB10,L12,0.002968422522519297,0.018247262295159505
2022Q2,AB10,L12,0.004307149209420172,0.026476581676781116
2022Q3,AB10,L12,0.00235420023467972,0.014471561528602322
2022Q4,AB10,L12,0.00226840230178076,0.01394415096824142
2023Q1,AB10,L12,0.0015746322615845306,0.009679460278170815
2023Q2,AB10,L12,0.0014116885052150125,0.008677824749779208
2023Q3,AB10,L12,0.0015288664767871324,0.009398132309188423
2021Q3,AB11,L12,0.005799598256267079,0.013423090926367709
2021Q4,AB11,L12,0.002840601355328051,0.006574533026822788
2022Q1,AB11,L12,0.003040625347797119,0.007037485824538739
2022Q2,AB11,L12,0.0007293055857102662,0.001687967813894373
2022Q3,AB11,L12,0.004865535600076645,0.011261215670366984
2022Q4,AB11,L12,0.0031555911267333874,0.007303572549151884
2019Q3,AB12,L12,0.001702496970192915,0.0048752930426136576
2020Q3,AB12,L12,0.0022087885662526287,0.006325116413238508
2021Q3,AB12,L12,0.004890603840518998,0.01400479841979406
2021Q4,AB12,L12,0.00677007001511649,0.019386862837685256
2022Q1,AB12,L12,0.002802067844552563,0.00802403887152328
2022Q2,AB12,L12,0.002256911770959137,0.006462922664410472
2022Q3,AB12,L12,0.002061369670728891,0.005902965696802736
2022Q4,AB12,L12,0.0011344990068079199,0.0032487664950828212
2023Q2,AB12,L12,0.0018017926610101448,0.005159637507877467
2019Q2,AB15,L12,0.0008330873164878272,0.004961977619963765
2019Q3,AB15,L12,0.0015642177959126885,0.009316686909590245
2019Q4,AB15,L12,0.0005888440490347664,0.003507232597511343
2021Q2,AB15,L12,0.0021390677692721453,0.012740568951957257
2021Q3,AB15,L12,0.0073974283342618,0.04406005602706737
2021Q4,AB15,L12,0.0039786623190926785,0.02369743602382579
2022Q1,AB15,L12,0.001839114752940236,0.0109540093385493
2022Q2,AB15,L12,0.004205339689650446,0.0250475562542018
2022Q3,AB15,L12,0.0038020437563791587,0.02264547263642322
2022Q4,AB15,L12,0.002640508819946268,0.015727217796481424
2023Q1,AB15,L12,0.0013650754352074806,0.008130568819145846
2023Q2,AB15,L12,0.0023967720047557424,0.014275489270310415
2023Q3,AB15,L12,0.0016940561627973175,0.010090021298367474
2019Q3,AB16,L12,0.0015143568625736806,0.0028844054968804518
2022Q4,AB16,L12,0.0034149714145554656,0.00650451856050155
2019Q3,AB22,L12,0.001264189330094571,0.004966899271791335
2020Q4,AB24,L12,0.0017703259548655851,0.005535746965281132
2021Q3,AB24,L12,0.0038088308042361608,0.011910079896795342
2022Q2,AB24,L12,0.0012293986655705885,0.0038442863662188063
2022Q3,AB24,L12,0.001585058104420922,0.004956420916287475
2019Q2,AB25,L12,0.0008365325719407963,0.005160272559726185
2019Q4,AB25,L12,0.0017898085751440445,0.011040693915899406
2020Q1,AB25,L12,0.0006768854149476341,0.0041754659053256215
2020Q3,AB25,L12,0.002016063315935096,0.012436379116420988
2021Q3,AB25,L12,0.006453188764900952,0.039807431322122416
2021Q4,AB25,L12,0.00362689618098234,0.022373035393322888
2022Q1,AB25,L12,0.002686643144317629,0.016572948096012587
2022Q2,AB25,L12,0.004065919428441532,0.02508121400218389
2022Q3,AB25,L12,0.0029425212734206464,0.01815136946600298
2022Q4,AB25,L12,0.0016637225809300346,0.010262914164181146
