time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q3,AL1,LL61,0.00048177927999909227,0.018503254430507845
2021Q3,AL1,LL61,0.0008203071075486104,0.031504781862255464
2019Q3,AL5,LL61,0.0020361922806668513,0.05065803871640717
2020Q3,AL5,LL61,0.0007755394348902923,0.019294497426297286
2021Q3,AL5,LL61,0.0018813637923814173,0.04680609033783969
2019Q2,B13,LL61,0.0016723323716157116,0.039075572321033314
2019Q3,B13,LL61,0.0014643747618756028,0.03421645295156377
2020Q3,B13,LL61,0.0008218297382028843,0.019202801976317952
2021Q3,B13,LL61,0.003227599578351091,0.07541581021082817
2022Q3,B13,LL61,0.0022043633223600393,0.05150696110815135
2023Q2,B13,LL61,0.0007861310342328883,0.01836866917328011
2023Q3,B13,LL61,0.0006877697115921549,0.016070367088314143
2019Q3,B14,LL61,0.0009625963985518233,0.020621863012691723
2023Q3,B14,LL61,0.0012431566426594435,0.02663235186295021
2019Q2,B15,LL61,0.0011542584501484036,0.03461651132607039
2019Q3,B15,LL61,0.0009660737861406144,0.028972804275729257
2021Q2,B15,LL61,0.00048244511739732674,0.014468654631417013
2021Q3,B15,LL61,0.0005311679811393854,0.015929865995603868
2022Q3,B15,LL61,0.0014883158175458776,0.044634978715748286
2023Q2,B15,LL61,0.0009679723997580936,0.029029744192248682
2023Q3,B17,LL61,0.0016635374413260411,0.03731413230610766
2023Q3,B20,LL61,0.004234218175502051,0.0420956063348689
2021Q3,B23,LL61,0.0016801517179450634,0.027757100084067718
2020Q3,B28,LL61,0.0038087987133752633,0.06289716285034272
2021Q3,B28,LL61,0.0036024529591517727,0.0594896416124009
2022Q2,B28,LL61,0.0020893403213020014,0.03450263149303154
2022Q3,B28,LL61,0.0026129964085176045,0.043150104009631284
2023Q2,B28,LL61,0.002154047268969741,0.035571179277064935
2019Q2,B29,LL61,0.0009457528875516043,0.01848476744462492
2019Q3,B29,LL61,0.001462914795778307,0.028592711845976195
2020Q3,B29,LL61,0.004163741690120479,0.08138045133609699
2023Q3,B29,LL61,0.0010263028694533272,0.02005911916241531
2021Q3,B30,LL61,0.009826884131933078,0.05596158522650237
2019Q3,B31,LL61,0.0017490766766583966,0.06439091130968352
2020Q3,B31,LL61,0.0005844048512873742,0.021514414691119626
2021Q2,B31,LL61,0.000330929742385354,0.012182923696851441
2019Q3,B42,LL61,0.002806460835942055,0.036462991476057534
2021Q3,B42,LL61,0.0013760531268241308,0.017878394307664785
2019Q3,B44,LL61,0.001558200366388463,0.03559262418068914
2019Q2,B60,LL61,0.0008152616234465394,0.020381532196213626
2019Q3,B60,LL61,0.0016418520765055901,0.04104628501615376
2021Q3,B60,LL61,0.001625287730335861,0.040632176532376094
2019Q2,B61,LL61,0.0015189943944852625,0.01519999979294576
2019Q3,B61,LL61,0.0019731777828825587,0.019744840402405484
2019Q2,B63,LL61,0.0021263323593580788,0.03049021607700022
2019Q3,B63,LL61,0.0025953610945240115,0.03721578154121047
2019Q3,B76,LL61,0.0015650342335404655,0.02515265351288042
2020Q3,B77,LL61,0.0004997433632070012,0.024195027644144603
2021Q2,B77,LL61,0.0003479981902658492,0.016848299454267874
2021Q3,B77,LL61,0.0012461738213483307,0.06033338764809786
2023Q3,B77,LL61,0.0003806688419941959,0.01843004596641144
2021Q2,B78,LL61,0.0018401122930996234,0.019126635594480274
2021Q3,B78,LL61,0.002683369629659061,0.027891685341295457
2019Q3,B79,LL61,0.0010967032752398553,0.017273500129575285
2021Q3,B79,LL61,0.0014985007250237793,0.023601965137020182
2019Q2,B90,LL61,0.0012084690783879318,0.058802665216991186
2019Q3,B90,LL61,0.0016216819487883125,0.07890911106326677
2020Q1,B90,LL61,0.0004840319941983127,0.023552420014853925
2019Q3,B98,LL61,0.0018033665713612468,0.10080213922526884
2020Q3,B98,LL61,0.0004299689464535222,0.024033821127245444
2021Q3,B98,LL61,0.0005677135287886527,0.03173328100776849
2022Q2,B98,LL61,0.0006498549148546174,0.0363247088216532
2022Q3,B98,LL61,0.0006933399746064013,0.03875537772554096
2023Q2,B98,LL61,0.00020776783188371334,0.011613524531657171
2023Q3,B98,LL61,0.0006470899688588393,0.0361701576196719
2019Q2,BA1,LL61,0.0007511430914283304,0.02702649440197429
2019Q3,BA1,LL61,0.0008751552785159562,0.03148851331467849
2021Q3,BA1,LL61,0.0007250212005121268,0.026086616039686088
2019Q2,BA11,LL61,0.0010716263740332649,0.02879089233464122
2019Q2,BA14,LL61,0.0009233048459579828,0.03817414688938161
2019Q3,BA14,LL61,0.0011737917290845265,0.048530556380999484
2020Q3,BA14,LL61,0.0006115778994379883,0.025285759811237526
2019Q2,BA2,LL61,0.0002724334410653414,0.012750104423739759
2019Q3,BA2,LL61,0.0005314679981251492,0.024873130286330505
2020Q1,BA2,LL61,0.00039866420087690687,0.018657805632489147
2020Q3,BA2,LL61,0.0006874986343924179,0.0321754897100882
2021Q3,BA2,LL61,0.0006692963768754668,0.03132360940060275
2022Q2,BA2,LL61,0.000500356674296263,0.023417095278190872
2022Q3,BA2,LL61,0.0004491154233175539,0.021018963469457082
2019Q4,BA20,LL61,0.0004257544144233778,0.016993237423590053
2019Q2,BB1,LL61,0.0019004477502542077,0.054859760867879685
2019Q3,BB1,LL61,0.0019056992335168027,0.055011354152119725
2021Q3,BB1,LL61,0.000778577223414832,0.022474998477596715
2022Q2,BB1,LL61,0.0009458817950636416,0.027304538669653572
2023Q2,BB1,LL61,0.0007330302124836447,0.021160204041602668
2019Q3,BB11,LL61,0.0016210467287205,0.03091985362891953
2020Q3,BB11,LL61,0.0014717862139147235,0.02807285780294818
2021Q2,BB11,LL61,0.0016420595076879626,0.03132065148286148
2021Q3,BB11,LL61,0.0016989335791736955,0.032405467814471865
2021Q4,BB11,LL61,0.0009765902254435077,0.018627486975641143
2022Q2,BB11,LL61,0.0007830555527394985,0.014936005634537506
2023Q3,BB11,LL61,0.001700523106733965,0.03243578647131986
2019Q3,BB12,LL61,0.0021888961970516407,0.04006573528492309
2021Q3,BB12,LL61,0.0014938193422450944,0.027342991600290068
2022Q3,BB12,LL61,0.0011468263108046165,0.02099160273035034
2021Q3,BB18,LL61,0.0095520482540996,0.04108104054961366
2019Q1,BB2,LL61,0.0009744873282401028,0.02807507624125413
2019Q3,BB2,LL61,0.003986630072562938,0.11485520641403756
2020Q3,BB2,LL61,0.0007423259764007797,0.02138648474880974
2021Q3,BB2,LL61,0.001407726848162262,0.040556749629973736
2022Q2,BB2,LL61,0.0011181475920593058,0.0322139426407247
2023Q2,BB2,LL61,0.0007577007303810734,0.02182943293056477
2019Q2,BB3,LL61,0.0021331068014667303,0.023747642585777683
2019Q3,BB3,LL61,0.005602709895899521,0.062374350889573424
2020Q3,BB3,LL61,0.0034437645646398485,0.03833905080345735
2021Q3,BB3,LL61,0.0023131130115923715,0.025751631855487383
2022Q3,BB3,LL61,0.005570162647574221,0.062012005966267984
2023Q2,BB3,LL61,0.001657252746359685,0.01845001191116501
2023Q3,BB3,LL61,0.004327057030415043,0.048172648334305936
2019Q3,BB4,LL61,0.002811708952078915,0.06752852255373455
2020Q1,BB4,LL61,0.0023207321460489497,0.05573678347816593
2021Q3,BB4,LL61,0.0031734294786837074,0.07621592695984143
2021Q4,BB4,LL61,0.002234828139475289,0.05367363585363085
2022Q1,BB4,LL61,0.0009502091565841434,0.02282107485332518
2022Q2,BB4,LL61,0.0019056218175091285,0.045767121731218975
2022Q3,BB4,LL61,0.0014818287184123994,0.03558892678351255
2023Q2,BB4,LL61,0.0007356646699155872,0.017668382148034692
2023Q3,BB4,LL61,0.004473936084296003,0.1074500593487708
2019Q2,BB5,LL61,0.003124775057005577,0.1126803973947696
2019Q3,BB5,LL61,0.0022084931849694353,0.0796389772659249
2021Q2,BB5,LL61,0.0006810901440386818,0.02456033048519132
2021Q3,BB5,LL61,0.0019515233058573797,0.07037256046196462
2022Q2,BB5,LL61,0.000937813942347183,0.03381787353592778
2022Q3,BB5,LL61,0.0015837350382111636,0.057109996789550026
2023Q2,BB5,LL61,0.0010599930613121203,0.03822369201154786
2023Q3,BB5,LL61,0.0014324363574922468,0.05165411751577948
2019Q2,BB7,LL61,0.005691635602772902,0.10647764389132862
2019Q3,BB7,LL61,0.007035824506918296,0.1316243815687265
2021Q3,BB7,LL61,0.00466386827651623,0.08725043909364523
2021Q4,BB7,LL61,0.003669383519726429,0.0686458759804989
2022Q2,BB7,LL61,0.002382391620353674,0.044569165046005055
2022Q3,BB7,LL61,0.0018599501469051746,0.03479546534941716
2019Q2,BB8,LL61,0.00290544505394522,0.038423351459083516
2019Q3,BB8,LL61,0.0031166433982244947,0.041216365286276715
2020Q3,BB8,LL61,0.002138096661426162,0.028275475168225105
2021Q3,BB8,LL61,0.001983654027881191,0.026233032967878902
2023Q3,BB8,LL61,0.002925295573463129,0.038685866658621136
2019Q2,BB9,LL61,0.001995083785741762,0.0365606027615194
2021Q3,BB9,LL61,0.0021364800678808603,0.039151738702871
2019Q3,BD10,LL61,0.0013490560841518968,0.02514599819796257
2021Q3,BD10,LL61,0.004139565006462153,0.07716024219874154
2022Q3,BD10,LL61,0.0029240458368597426,0.05450333178005679
2019Q3,BD16,LL61,0.002621998542155494,0.03185751355290179
2020Q3,BD16,LL61,0.0024521933859935237,0.029794365928366706
2019Q3,BD17,LL61,0.003738663838743789,0.02994226181543015
2022Q3,BD17,LL61,0.0017661495618159888,0.014144762638748063
2020Q3,BD18,LL61,0.0014515740297540774,0.016446762120890617
2019Q2,BD20,LL61,0.0015134012744110565,0.014639474380975298
2020Q3,BD20,LL61,0.0028291132173260784,0.027366654942220226
2021Q3,BD20,LL61,0.002908846385443002,0.028137931993256097
2022Q3,BD20,LL61,0.0037369858007935595,0.0361487127160477
2023Q3,BD20,LL61,0.003298720937117316,0.031909277113374004
2019Q2,BD21,LL61,0.0008547696523690256,0.026058515821144032
2019Q3,BD21,LL61,0.0019713866442574368,0.060099712146537615
2022Q2,BD21,LL61,0.0012724640652012464,0.03879235169730681
2022Q3,BD21,LL61,0.0022204993980197425,0.06769416594724563
2023Q3,BD21,LL61,0.001469619709074666,0.044802840547565295
2019Q2,BD23,LL61,0.002909431772673701,0.057067106982301635
2019Q3,BD23,LL61,0.0020169451408058666,0.03956141031003674
2021Q3,BD23,LL61,0.0020457107091797593,0.04012563311918379
2022Q3,BD23,LL61,0.002795123511455297,0.05482500533441978
2023Q3,BD23,LL61,0.0028321455142641602,0.055551174139901315
2023Q3,BD7,LL61,0.005406215287058837,0.06786646465567453
2023Q3,BH23,LL61,0.0006344449789069934,0.021819819697905644
2019Q1,BL0,LL61,0.004582572696332857,0.035561566044405815
2019Q3,BL0,LL61,0.008392997616446435,0.06513113022443608
2019Q4,BL0,LL61,0.00551128455947405,0.042768532621007584
2020Q1,BL0,LL61,0.003429925590181012,0.026616822794808547
2020Q3,BL0,LL61,0.010672944265073177,0.08282391519383624
2023Q3,BL0,LL61,0.004771535924796739,0.037027953764639895
2019Q1,BL1,LL61,0.0015124264159712395,0.05713366013148018
2019Q3,BL1,LL61,0.005145581529453237,0.1943803038469236
2020Q3,BL1,LL61,0.002104931434720657,0.07951622367966224
2021Q2,BL1,LL61,0.0014504510330797154,0.05479246823926582
2021Q3,BL1,LL61,0.0031334369914179324,0.11836921269066507
2022Q1,BL1,LL61,0.0008480996411166415,0.03203794653511919
2022Q2,BL1,LL61,0.0010875837959792149,0.04108473794679024
2022Q3,BL1,LL61,0.001212885257093759,0.04581814581225586
2023Q2,BL1,LL61,0.0014637426581534188,0.055294574775846234
2023Q3,BL1,LL61,0.002246597842170424,0.08486783635305307
2019Q2,BL2,LL61,0.006599975844575174,0.16303081266608474
2019Q4,BL2,LL61,0.003181784269939139,0.07859557178269228
2020Q3,BL2,LL61,0.0049698221950925,0.12276319949532008
2021Q2,BL2,LL61,0.002609131954940167,0.0644500696645089
2021Q3,BL2,LL61,0.005261941035061133,0.12997903982514564
2021Q4,BL2,LL61,0.0021790065713913538,0.053825229137870884
2022Q1,BL2,LL61,0.0010057713328987653,0.02484429058835313
2022Q2,BL2,LL61,0.0040603860156082725,0.10029855372981783
2022Q3,BL2,LL61,0.0031451122491396337,0.07768970947442867
2023Q2,BL2,LL61,0.002629309050465773,0.06494847880391272
2023Q3,BL2,LL61,0.0023127621541931425,0.057129223254868286
2019Q1,BL3,LL61,0.0013714936631655386,0.038250313271219284
2019Q2,BL3,LL61,0.002326761298330215,0.0648922783668286
2019Q3,BL3,LL61,0.003135164621538159,0.08743826687021579
2021Q2,BL3,LL61,0.0014803625681834738,0.04128661583263185
2021Q3,BL3,LL61,0.0027689185949885398,0.07722383743017881
2021Q4,BL3,LL61,0.00090078015347645,0.02512233485603241
2022Q2,BL3,LL61,0.0016197762804543705,0.04517479870352987
2022Q3,BL3,LL61,0.0034881533532731238,0.09728295659259413
2023Q2,BL3,LL61,0.0011524831528274622,0.03214221313549892
2023Q3,BL3,LL61,0.003143861406936572,0.08768081612499984
2019Q2,BL4,LL61,0.003153636638307348,0.06452845448465254
2019Q3,BL4,LL61,0.0019788020042387352,0.04048945700135987
2020Q1,BL4,LL61,0.0009280716562963568,0.018989831898946586
2020Q3,BL4,LL61,0.0019833556268514037,0.04058263141020983
2021Q3,BL4,LL61,0.001436053556642992,0.029383954841765637
