time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AB10,LS1,0.007715615434748766,0.0021813880550563434
2019Q2,AB10,LS1,0.015234479318376437,0.004307149765453722
2019Q3,AB10,LS1,0.020078808300934926,0.005676756826184635
2019Q4,AB10,LS1,0.014771733513514703,0.004176320516667336
2020Q1,AB10,LS1,0.007029696861018907,0.0019874625547343697
2020Q3,AB10,LS1,0.002686208791999448,0.0007594551363802809
2021Q2,AB10,LS1,0.005923724831338211,0.001674777948409061
2021Q3,AB10,LS1,0.020086091569170173,0.005678815979399892
2021Q4,AB10,LS1,0.00977228641386075,0.002762857873628502
2022Q2,AB10,LS1,0.01683031570485864,0.004758330680409457
2022Q3,AB10,LS1,0.01809202570425057,0.005115046116124837
2022Q4,AB10,LS1,0.00873475644383756,0.002469523465957205
2023Q1,AB10,LS1,0.010525743095516793,0.002975878003943019
2023Q2,AB10,LS1,0.006717704377749962,0.0018992548567191038
2023Q3,AB10,LS1,0.015212681168055329,0.0043009869097314635
2019Q1,AB11,LS1,0.006696070669702695,0.000712795600757967
2019Q2,AB11,LS1,0.013671324346726759,0.0014553101858637927
2019Q3,AB11,LS1,0.012895648315574418,0.0013727396023243367
2019Q4,AB11,LS1,0.014856857495506906,0.0015815099908967273
2020Q1,AB11,LS1,0.00789888984252338,0.0008408355001534714
2021Q2,AB11,LS1,0.002528835564596941,0.000269194122105199
2021Q4,AB11,LS1,0.008648431051614433,0.0009206240362638037
2022Q1,AB11,LS1,0.004882204266115736,0.0005197098260379602
2022Q2,AB11,LS1,0.0064379464297640455,0.0006853183186692711
2022Q3,AB11,LS1,0.0068389547493711,0.0007280055870961954
2022Q4,AB11,LS1,0.004924870563549123,0.0005242516462503356
2023Q1,AB11,LS1,0.0020679435188494548,0.0002201322410650853
2023Q2,AB11,LS1,0.005424793354054804,0.0005774683435297445
2023Q3,AB11,LS1,0.01075142678587942,0.0011444875797863231
2019Q1,AB12,LS1,0.0043900227169071755,0.0005781912377436112
2019Q2,AB12,LS1,0.01004344588180042,0.0013227795799882064
2019Q3,AB12,LS1,0.01302131865967595,0.001714982549838867
2019Q4,AB12,LS1,0.01995760223206216,0.0026285309851608834
2020Q1,AB12,LS1,0.013938265298663207,0.001835749695325166
2020Q3,AB12,LS1,0.005513322544739618,0.0007261362848866004
2021Q2,AB12,LS1,0.0017714107299281559,0.00023330498007332535
2021Q3,AB12,LS1,0.020727129975525668,0.002729882214337365
2021Q4,AB12,LS1,0.016991704813883172,0.0022379052390495684
2022Q1,AB12,LS1,0.0052810227432185716,0.0006955410651279941
2022Q2,AB12,LS1,0.01222235149029175,0.0016097539789698273
2022Q3,AB12,LS1,0.006434427294732621,0.0008474510775046164
2022Q4,AB12,LS1,0.00501762027137454,0.0006608494448241423
2023Q1,AB12,LS1,0.0023359713215484,0.00030766085663702213
2023Q2,AB12,LS1,0.014299189333962016,0.0018832854663582274
2023Q3,AB12,LS1,0.00982872102946366,0.0012944990821063252
2019Q1,AB15,LS1,0.007320794110325584,0.002005454588501722
2019Q2,AB15,LS1,0.018315366277697774,0.005017302056055933
2019Q3,AB15,LS1,0.020673967775087725,0.0056634161420560025
2019Q4,AB15,LS1,0.012336697318472171,0.00337950854394218
2020Q1,AB15,LS1,0.0037575559234227945,0.0010293429448523217
2020Q3,AB15,LS1,0.002950404293853207,0.0008082322409119014
2021Q2,AB15,LS1,0.005080755753133303,0.0013918196283933676
2021Q3,AB15,LS1,0.031280810752416024,0.00856904927390408
2021Q4,AB15,LS1,0.010548334413314387,0.0028896053257931537
2022Q1,AB15,LS1,0.006265614149025042,0.0017163991304195755
2022Q2,AB15,LS1,0.01367298494086187,0.003745570490705535
2022Q3,AB15,LS1,0.015069593693257713,0.00412815677692324
2022Q4,AB15,LS1,0.010873370144332898,0.0029786454474486305
2023Q1,AB15,LS1,0.005240661391183168,0.0014356240969689948
2023Q2,AB15,LS1,0.014077400400187184,0.0038563558544710665
2023Q3,AB15,LS1,0.015092170802013881,0.004134341538530767
2019Q1,AB16,LS1,0.006563963483642381,0.0005750221863414073
2019Q2,AB16,LS1,0.004587414370795085,0.00040187076721590986
2019Q3,AB16,LS1,0.01191705828924602,0.0010439687742500518
2019Q4,AB16,LS1,0.006347745864668574,0.0005560808975457449
2022Q2,AB16,LS1,0.005783779631061489,0.0005066758243030883
2022Q4,AB16,LS1,0.0026415391530065237,0.00023140647001670543
2023Q1,AB16,LS1,0.003893084083188371,0.00034104542578650864
2023Q3,AB16,LS1,0.005790031104239221,0.0005072234714348057
2019Q1,AB21,LS1,0.005793923539328466,0.0005048795417110556
2019Q2,AB21,LS1,0.011758121041775621,0.001024596669710772
2019Q3,AB21,LS1,0.015629926389166847,0.0013619838126574088
2019Q4,AB21,LS1,0.006409239342074788,0.0005584978468870574
2020Q1,AB21,LS1,0.004723845532918207,0.00041163349008399016
2021Q3,AB21,LS1,0.0031957372694180128,0.0002784749154973681
