time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q1,AB10,M4,0.010198977458238752,0.007457170766521547
2019Q2,AB10,M4,0.015293287835297247,0.01118196990201726
2019Q3,AB10,M4,0.012260245677584334,0.008964305101331444
2019Q4,AB10,M4,0.017310856445231317,0.012657152460176384
2020Q1,AB10,M4,0.006818120501504073,0.004985194750613516
2020Q3,AB10,M4,0.003029245560441348,0.002214888848459065
2020Q4,AB10,M4,0.002708006942320556,0.0019800092988241135
2021Q2,AB10,M4,0.002802792738148125,0.0020493136843491395
2021Q3,AB10,M4,0.020053936714727303,0.01466280627004763
2021Q4,AB10,M4,0.01824208169165062,0.013338035000909444
2022Q1,AB10,M4,0.010926761910725145,0.007989303812763974
2022Q2,AB10,M4,0.01898572404022369,0.013881762840806468
2022Q3,AB10,M4,0.02300492588242818,0.016820476511383856
2022Q4,AB10,M4,0.01185909772641436,0.008670998366733433
2023Q1,AB10,M4,0.008143778629089214,0.005954474178468702
2023Q2,AB10,M4,0.009332139402282157,0.006823366109470744
2023Q3,AB10,M4,0.013851717268563844,0.010127938953116757
2019Q1,AB11,M4,0.014730779272544575,0.004055326290766703
2019Q2,AB11,M4,0.015119646218123159,0.0041623798497698004
2019Q3,AB11,M4,0.011875018348514309,0.00326914640570461
2019Q4,AB11,M4,0.007936960252612658,0.0021850143149711658
2020Q1,AB11,M4,0.009959630851355943,0.002741847670823057
2021Q2,AB11,M4,0.003249841114954409,0.0008946686302504508
2021Q3,AB11,M4,0.02091746099571939,0.005758495728065781
2021Q4,AB11,M4,0.016191105327302467,0.004457348378898114
2022Q1,AB11,M4,0.011198668360261562,0.003082949882195957
2022Q2,AB11,M4,0.016820536107445185,0.004630628226739432
2022Q3,AB11,M4,0.017536671389124566,0.004827777486925065
2022Q4,AB11,M4,0.00884008641339721,0.0024336414375386024
2023Q1,AB11,M4,0.002882993271427462,0.0007936768444771978
2023Q2,AB11,M4,0.0070191546904603466,0.0019323460102504992
2023Q3,AB11,M4,0.014513812232702443,0.003995596107819657
2019Q1,AB12,M4,0.005305749643332745,0.0018072015517016304
2019Q2,AB12,M4,0.013075041453870196,0.004453514921061171
2019Q3,AB12,M4,0.006456493003803116,0.0021991584525074717
2019Q4,AB12,M4,0.008401657332291406,0.00286170460132097
2020Q1,AB12,M4,0.002791755729258311,0.0009509052678781152
2021Q2,AB12,M4,0.009505663525057184,0.0032377422658876843
2021Q3,AB12,M4,0.028559347865950088,0.00972765419563066
2021Q4,AB12,M4,0.014038836143522198,0.004781794876910504
2022Q1,AB12,M4,0.0037075380971639572,0.0012628316548269922
2022Q2,AB12,M4,0.009380809311924629,0.003195215433134998
2022Q3,AB12,M4,0.011813914106567272,0.004023959919007284
2022Q4,AB12,M4,0.009076823676664509,0.003091674303480034
2023Q1,AB12,M4,0.006402437560728409,0.002180746524472895
2023Q2,AB12,M4,0.013962105135096152,0.004755659381115779
2023Q3,AB12,M4,0.0063039180506322505,0.00214718960537808
2019Q2,AB13,M4,0.031532549914026715,0.0006322183986355161
2019Q1,AB15,M4,0.008160865136959947,0.005781572011202453
2019Q2,AB15,M4,0.016367950706721767,0.011595888928263322
2019Q3,AB15,M4,0.010974420698399748,0.007774837898211461
2019Q4,AB15,M4,0.011266270478531102,0.00798159912903258
2020Q1,AB15,M4,0.005695268935263922,0.004034818235540497
2020Q3,AB15,M4,0.002750462271680839,0.0019485673909496808
2021Q2,AB15,M4,0.0029063162916304237,0.002058982307070887
2021Q3,AB15,M4,0.027009765545547224,0.019135091915689698
2021Q4,AB15,M4,0.016737340993785453,0.01185758379872812
2022Q1,AB15,M4,0.004449662923250223,0.003152367571893504
2022Q2,AB15,M4,0.018315206345404345,0.012975423880786407
2022Q3,AB15,M4,0.015617415109027147,0.011064171330653473
2022Q4,AB15,M4,0.01588244957462638,0.011251935228548657
2023Q1,AB15,M4,0.008673154928205213,0.0061445041598142975
2023Q2,AB15,M4,0.030710332261743713,0.02175676162752603
2023Q3,AB15,M4,0.01468122477404009,0.010400926472776096
2019Q1,AB16,M4,0.0056224916230760156,0.0012738032755327251
2019Q2,AB16,M4,0.02457795853366639,0.005568258022403898
2019Q3,AB16,M4,0.005817620939196942,0.0013180107868444653
2019Q4,AB16,M4,0.0045461546478220574,0.0010299538122399024
2020Q1,AB16,M4,0.002357972329664622,0.0005342102894053024
2021Q3,AB16,M4,0.008644370404215724,0.0019584248539589624
2021Q4,AB16,M4,0.003085977219455382,0.000699143396537612
2022Q1,AB16,M4,0.0026513748041394874,0.0006006820706173162
2022Q2,AB16,M4,0.005262156709111571,0.0011921676192317202
2022Q3,AB16,M4,0.005051023621655653,0.0011443343743993252
2022Q4,AB16,M4,0.020861165994090044,0.004726200296260456
2023Q1,AB16,M4,0.0027227249513413296,0.0006168467992302379
2023Q2,AB16,M4,0.005403189944001195,0.0012241193958824953
2023Q3,AB16,M4,0.0022840382402159838,0.0005174601559010249
2019Q2,AB21,M4,0.007553393226141011,0.0017022063518326539
2019Q3,AB21,M4,0.004943391686151948,0.001114025508250097
2019Q4,AB21,M4,0.006732022465073402,0.001517105101991699
2020Q1,AB21,M4,0.0019087107932664734,0.0004301404069452429
2021Q3,AB21,M4,0.006749284490862009,0.0015209952119149025
2021Q4,AB21,M4,0.0031440349882938838,0.0007085287588280584
2022Q2,AB21,M4,0.003513995395365246,0.0007919017457743772
2022Q3,AB21,M4,0.005191512357802753,0.0011699411173889532
2023Q1,AB21,M4,0.0035985458032327436,0.0008109557307865707
2023Q2,AB21,M4,0.0027096352713611685,0.0006106339537703651
2019Q1,AB22,M4,0.008495748304482435,0.00397027262526133
2019Q2,AB22,M4,0.011869398257844608,0.005546862417826281
2019Q3,AB22,M4,0.0038832857478692095,0.0018147551632029962
2019Q4,AB22,M4,0.011093953372291951,0.005184477906048284
2023Q1,AB22,M4,0.0017468724545305512,0.000816356563010047
2019Q1,AB24,M4,0.006455434597091455,0.002401009835852705
2019Q2,AB24,M4,0.016179585064730297,0.0060177734428501425
2019Q3,AB24,M4,0.011443653424889984,0.004256309008789278
2019Q4,AB24,M4,0.017088001721391282,0.0063556464853062105
2020Q1,AB24,M4,0.010956595466732772,0.0040751545209577866
2020Q3,AB24,M4,0.002433157357319704,0.0009049793099498145
2020Q4,AB24,M4,0.002016165070199392,0.0007498847817980329
2021Q2,AB24,M4,0.002414117772798809,0.0008978977991672846
2021Q3,AB24,M4,0.008420573580774846,0.003131916168753557
2021Q4,AB24,M4,0.00548060786962159,0.0020384364837871733
2022Q1,AB24,M4,0.003648999838711415,0.0013571951465077973
2022Q2,AB24,M4,0.01325535874344765,0.0049301478067973175
2022Q3,AB24,M4,0.008491197746291021,0.003158183852749555
2022Q4,AB24,M4,0.010892977868320287,0.00405149283292976
2023Q1,AB24,M4,0.004374738028422573,0.0016271234535090837
2023Q2,AB24,M4,0.012249459414039685,0.004556017429134697
2023Q3,AB24,M4,0.005830123869199848,0.0021684341377256693
2019Q1,AB25,M4,0.009874239715892751,0.007245008703476952
2019Q2,AB25,M4,0.020139683169702008,0.01477705464400578
2019Q3,AB25,M4,0.010974654651311044,0.008052414236857881
2019Q4,AB25,M4,0.010919191226626173,0.008011719154894275
2020Q1,AB25,M4,0.007690061741005644,0.005642415603318551
2020Q3,AB25,M4,0.004366760250316928,0.003204015390534089
2020Q4,AB25,M4,0.0023322177051828805,0.0017112140335480322
2021Q2,AB25,M4,0.006386040702254626,0.0046856185184693715
2021Q3,AB25,M4,0.024101212969131085,0.017683741001817382
2021Q4,AB25,M4,0.022163673508747518,0.016262113549202938
2022Q1,AB25,M4,0.008973261475547816,0.00658393550890622
2022Q2,AB25,M4,0.025099992143955144,0.018416573505651082
2022Q3,AB25,M4,0.017197934008921986,0.012618610157490669
2022Q4,AB25,M4,0.02078365084907101,0.015249551927444932
2023Q1,AB25,M4,0.008074985629445067,0.005924845137354597
2023Q2,AB25,M4,0.01396939647632594,0.010249740938576272
2023Q3,AB25,M4,0.011080434083076624,0.008130027595034409
2019Q2,AB31,M4,0.004627814470207264,0.0010072929777358065
2019Q3,AB31,M4,0.007962572063641144,0.0017331383909307445
2019Q4,AB31,M4,0.0050297691474812225,0.0010947826829503693
2021Q3,AB31,M4,0.0021569167346660693,0.0004694758388386023
2021Q4,AB31,M4,0.0032616197145342576,0.0007099261769558108
2022Q1,AB31,M4,0.004847054588806722,0.0010550129183956813
2022Q2,AB31,M4,0.0034914444371974824,0.0007599499691236021
2022Q3,AB31,M4,0.002532062865581804,0.0005511303791683606
2022Q4,AB31,M4,0.004302815070019858,0.0009365534060255213
2023Q2,AB31,M4,0.0032014956930900853,0.0006968395450296956
2021Q3,AB32,M4,0.010623112370457806,0.001233070425511613
