time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2019Q3,AB10,N11,0.0004032657809405076,0.0005872087534982484
2019Q1,AL1,N11,0.022455396832114997,0.04386043976158322
2019Q2,AL1,N11,0.044414111612161536,0.08675074778208529
2019Q3,AL1,N11,0.029537294241453425,0.057692977972431864
2019Q4,AL1,N11,0.06789254331295977,0.13260940470132332
2020Q1,AL1,N11,0.016178095080701674,0.03159945780737507
2020Q2,AL1,N11,0.004887031002008217,0.009545470537844977
2020Q3,AL1,N11,0.015075829065939144,0.029446484404001962
2020Q4,AL1,N11,0.015442198506424427,0.03016208631008398
2021Q1,AL1,N11,0.009946040763865844,0.019426854268097173
2021Q2,AL1,N11,0.029104574733072805,0.056847779463009576
2021Q3,AL1,N11,0.02478286710409846,0.04840651260208672
2021Q4,AL1,N11,0.021691966712541658,0.04236928905861116
2022Q1,AL1,N11,0.035545633689201675,0.06942861606359292
2022Q2,AL1,N11,0.02198532412242361,0.04294228205004829
2022Q3,AL1,N11,0.01519175876959491,0.029672921185404093
2022Q4,AL1,N11,0.0181725827426498,0.03549514072966423
2023Q1,AL1,N11,0.009437382582304976,0.018433330452936627
2023Q2,AL1,N11,0.013880411098629431,0.027111564289380958
2019Q1,AL10,N11,0.06195237618123409,0.09436501832627786
2019Q2,AL10,N11,0.04941133987039405,0.07526268207623732
2019Q3,AL10,N11,0.07176393131214548,0.10930984589881887
2019Q4,AL10,N11,0.06191274834838361,0.09430465774927232
2020Q1,AL10,N11,0.0482008515456841,0.07341888269377553
2020Q2,AL10,N11,0.017540217048677833,0.02671702048043065
2020Q3,AL10,N11,0.048582315731067034,0.07399992376214673
2020Q4,AL10,N11,0.037205942662213935,0.05667158675069117
2021Q1,AL10,N11,0.02181789963601337,0.03323272852312218
2021Q2,AL10,N11,0.030598242264225507,0.04660682721141776
2021Q3,AL10,N11,0.025296655484797405,0.038531522203978416
2021Q4,AL10,N11,0.02478561692757696,0.037753115211541705
2022Q1,AL10,N11,0.03482498888946105,0.05304495028815137
2022Q2,AL10,N11,0.03870723261640222,0.058958331227216165
2022Q3,AL10,N11,0.014088571081806453,0.021459520203656726
2022Q4,AL10,N11,0.02463952478615878,0.03753058964509818
2023Q1,AL10,N11,0.04089096076372865,0.062284556294665415
2023Q2,AL10,N11,0.030224777716128283,0.046037971081956085
2023Q3,AL10,N11,0.027088771758702557,0.041261249382402714
2019Q1,AL2,N11,0.06304359716960463,0.011912282097513143
2019Q2,AL2,N11,0.051351622198393086,0.0097030473712738
2019Q3,AL2,N11,0.031981962110157094,0.006043090365913478
2019Q4,AL2,N11,0.04278266879999377,0.008083917201915525
2020Q1,AL2,N11,0.048700308045602866,0.009202073386045787
2020Q2,AL2,N11,0.047213733058200265,0.008921180457912162
2020Q3,AL2,N11,0.09809125944457124,0.018534645963499213
2020Q4,AL2,N11,0.08060225902375624,0.015230045401830771
2021Q1,AL2,N11,0.054333728643198735,0.010266525580167371
2021Q2,AL2,N11,0.0845148431852719,0.015969340244681333
2021Q3,AL2,N11,0.09804408870256906,0.01852573290633391
2021Q4,AL2,N11,0.12146884034166072,0.022951911965221408
2022Q1,AL2,N11,0.03350476104289473,0.00633082792022468
