time_period_value,cardholder_location,merchant_location,cardholder_index_spend,merchant_index_spend
2022Q3,BD21,NE22,0.00044568624514397336,0.004731548340455643
2022Q1,BD22,NE22,0.1405751397479826,0.023772335095741958
2019Q1,BS16,NE22,0.00022611282177884077,0.003922699241872257
2019Q2,BS16,NE22,0.00033062673093296784,0.0057358499910367365
2019Q3,BS16,NE22,0.00032108228503237074,0.005570268975312725
2020Q3,BS16,NE22,0.0009073012616300047,0.01574023951028686
2020Q4,BS16,NE22,0.0008763226324005396,0.015202809370604102
2021Q1,BS16,NE22,0.0006211905388710501,0.01077667173722261
2021Q2,BS16,NE22,0.001452284669468916,0.025194838254154767
2021Q3,BS16,NE22,0.0012942149892271465,0.022452579721580903
2022Q1,BS16,NE22,0.0013715502351713306,0.02379422372145975
2022Q2,BS16,NE22,0.0027638963781291877,0.04794922349739748
2022Q3,BS16,NE22,0.0033656417783847143,0.058388552885322326
2022Q4,BS16,NE22,0.0015019514128334535,0.0260564775677046
2023Q1,BS16,NE22,0.0013061047266554177,0.02265884782981564
2023Q2,BS16,NE22,0.0009402986228073409,0.01631269145111808
2023Q3,BS16,NE22,0.0009044809743498904,0.015691311993976498
2020Q4,BT30,NE22,0.008104161377386612,0.030408966413376808
2021Q1,BT30,NE22,0.003528546387141114,0.013240043426827414
2021Q2,BT30,NE22,0.004519819829052351,0.0169595647193898
2021Q3,BT30,NE22,0.005032956877319473,0.018884991242824372
2022Q1,BT30,NE22,0.004207284571889253,0.015786849407403568
2022Q2,BT30,NE22,0.0018639564305115762,0.0069940596999442314
2022Q3,BT30,NE22,0.006223734050581857,0.023353103534935284
2022Q4,BT30,NE22,0.004667714752018199,0.01751450575964679
2022Q4,BT33,NE22,0.054568472001408345,0.038642952381923085
2019Q2,CA1,NE22,0.0004023774678231451,0.00325857258627004
2019Q3,CA1,NE22,0.0007493302536156482,0.006068299588703452
2023Q1,CA1,NE22,0.0009114705024247377,0.0073813596185272985
2023Q2,CA1,NE22,0.002298200498613086,0.01861151217797383
2023Q3,CA1,NE22,0.0010569165698992963,0.008559225195388303
2023Q2,CA11,NE22,0.000877676163181563,0.007612606511404688
2021Q2,CA2,NE22,0.0010865685841747704,0.006792426830096795
2021Q3,CA2,NE22,0.0011576690647557932,0.007236894688789863
2021Q4,CA2,NE22,0.0020430883750735896,0.01277188434971038
